"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Unsupervised feature learning from finite data by message passing: discontinuous versus continuous phase transition","https://scispace.com/paper/http://arxiv.org/abs/1608.03714v2","2016","Preprint","","Haiping Huang
Taro Toyoizumi","10.1103/PhysRevE.94.062310","https://arxiv.org/pdf/1608.03714v2","Unsupervised neural network learning extracts hidden features from unlabeled training data. This is used as a pretraining step for further supervised learning in deep networks. Hence, understanding unsupervised learning is of fundamental importance. Here, we study the unsupervised learning from a finite number of data, based on the restricted Boltzmann machine learning. Our study inspires an efficient message passing algorithm to infer the hidden feature, and estimate the entropy of candidate features consistent with the data. Our analysis reveals that the learning requires only a few data if the feature is salient and extensively many if the feature is weak. Moreover, the entropy of candidate features monotonically decreases with data size and becomes negative (i.e., entropy crisis) before the message passing becomes unstable, suggesting a discontinuous phase transition. In terms of convergence time of the message passing algorithm, the unsupervised learning exhibits an easy-hard-easy phenomenon as the training data size increases. All these properties are reproduced in an approximate Hopfield model, with an exception that the entropy crisis is absent, and only continuous phase transition is observed. This key difference is also confirmed in a handwritten digits dataset. This study deepens our understanding of unsupervised learning from a finite number of data, and may provide insights into its role in training deep networks."
"A learning by confusion approach to characterize phase transitions","https://scispace.com/paper/http://arxiv.org/abs/2206.15114v2","2022","Preprint","","Monika Richter-Laskowska
Marcin Kurpas
Maciej Maśka","10.1103/PhysRevE.108.024113","https://arxiv.org/pdf/2206.15114v2","Recently, the learning by confusion (LBC) approach has been proposed as a machine learning tool to determine the critical temperature Tc of phase transitions without any prior knowledge of its even approximate value. However, the effectiveness of the method has been demonstrated only for continuous phase transitions, where confusion can result only from a deliberate incorrect labeling of the data and not from the coexistence of different phases. To verify whether the confusion scheme can also be used for discontinuous phase transitions, in this work, we apply the LBC method to three microscopic models, the Blume-Capel, the q-state Potts, and the Falicov-Kimball models, which undergo continuous or discontinuous phase transitions depending on model parameters. With the help of a simple model, we predict that the phase coexistence present in discontinuous phase transitions can make the neural network more confused and thus decrease its performance. However, numerical calculations performed for the models mentioned above indicate that other aspects of this kind of phase transition are more important and can render the LBC method less effective. Nevertheless, we demonstrate that in some cases the same aspects allow us to use the LBC method to identify the order of a phase transition"
"Learning through atypical ""phase transitions"" in overparameterized neural networks","https://scispace.com/paper/http://arxiv.org/abs/2110.00683v2","2021","Preprint","","Carlo Baldassi
Clarissa Lauditi
Enrico M. Malatesta
Rosalba Pacelli
Gabriele Perugini
Riccardo Zecchina","10.1103/PhysRevE.106.014116","https://arxiv.org/pdf/2110.00683v2","Current deep neural networks are highly overparameterized (up to billions of connection weights) and nonlinear. Yet they can fit data almost perfectly through variants of gradient descent algorithms and achieve unexpected levels of prediction accuracy without overfitting. These are formidable results that defy predictions of statistical learning and pose conceptual challenges for non-convex optimization. In this paper, we use methods from statistical physics of disordered systems to analytically study the computational fallout of overparameterization in non-convex binary neural network models, trained on data generated from a structurally simpler but ""hidden"" network. As the number of connection weights increases, we follow the changes of the geometrical structure of different minima of the error loss function and relate them to learning and generalization performance. A first transition happens at the so-called interpolation point, when solutions begin to exist (perfect fitting becomes possible). This transition reflects the properties of typical solutions, which however are in sharp minima and hard to sample. After a gap, a second transition occurs, with the discontinuous appearance of a different kind of ""atypical"" structures: wide regions of the weight space that are particularly solution-dense and have good generalization properties. The two kinds of solutions coexist, with the typical ones being exponentially more numerous, but empirically we find that efficient algorithms sample the atypical, rare ones. This suggests that the atypical phase transition is the relevant one for learning. The results of numerical tests with realistic networks on observables suggested by the theory are consistent with this scenario."
"Phase probabilities in first-order transitions using machine learning","https://scispace.com/paper/http://arxiv.org/abs/2411.00733v3","2024","Preprint","","Diana Sukhoverkhova
Vyacheslav Mozolenko
Lev Shchur","10.1103/h9cg-cc4r","https://arxiv.org/pdf/2411.00733v3","We set out to explore the possibility of investigating the critical behavior of systems with first-order phase transition using deep machine learning. We propose a machine learning protocol with ternary classification of instantaneous spin configurations using known values of disordered phase energy and ordered phase energy. The trained neural network is used to predict whether a given sample belong to one or another phase of matter. This allows us to estimate for the first time the probability that configurations with a certain energy belong to the ordered phase, coexistence phase, and disordered phase. Based on these probabilities, we obtained estimates of the values of the critical energies and latent heat for the Potts model with 10 and 20 components, which undergoes a strong discontinuous transition. We also found that the probabilities may reflect geometric transitions in the coexistence phase."
"Machine learning of quantum phase transitions","https://scispace.com/paper/http://arxiv.org/abs/1806.00829v2","2018","Preprint","","Xiao-Yu Dong
Frank Pollmann
Xue-Feng Zhang","10.1103/PhysRevB.99.121104","https://arxiv.org/pdf/1806.00829v2","Machine learning algorithms provide a new perspective on the study of physical phenomena. In this paper, we explore the nature of quantum phase transitions using multi-color convolutional neural-network (CNN) in combination with quantum Monte Carlo simulations. We propose a method that compresses $d+1$ dimensional space-time configurations to a manageable size and then use them as the input for a CNN. We test our approach on two models and show that both continuous and discontinuous quantum phase transitions can be well detected and characterized. Moreover we show that intermediate phases, which were not trained, can also be identified using our approach."
"Machine Learned Phase Transitions in a System of Anisotropic Particles on a Square Lattice","https://scispace.com/paper/http://arxiv.org/abs/2102.03006v4","2021","Preprint","","Karthik Padavala
Avaneesh Singh
Joyjit Kundu","","https://arxiv.org/pdf/2102.03006v4","The area of Machine learning (ML) has seen exceptional growth in recent years. Successful implementation of ML methods in various branches of physics has led to new insights. These methods have been shown to classify phases in condensed matter systems. Here we study the classification problem of phases in a system of hard rigid rods on a square lattice around a continuous and a discontinuous phase transition. On comparing a number of methods we find that convolutional neural network (CNN) classifies the phases with the highest accuracy when only snapshots are given as inputs. We study how the system size affects the model performance. We further compare the performance of CNN in classifying the phases around a continuous and a discontinuous phase transition. Further, we show that one can even beat the accuracy of CNN with simpler models by using physics-guided features. Lastly, we show that the critical point in this system can be learned without any prior estimate by using only the information of the ordered phase (as training set). Our study reveals the ML techniques that have been successful in studying spin systems can be easily adapted to more complex systems."
"Scanning-probe and information-concealing machine learning intermediate hexatic phase and critical scaling of solid-hexatic phase transition in deformable particles","https://scispace.com/paper/http://arxiv.org/abs/2106.16135v2","2021","Preprint","","Wei-chen Guo
Bao-quan Ai
Liang He","10.1209/0295-5075/ac49d4","https://arxiv.org/pdf/2106.16135v2","We investigate the two-dimensional melting of deformable polymeric particles with multi-body interactions described by the Voronoi model. We report machine learning evidence for the existence of the intermediate hexatic phase in this system, and extract the critical exponent $ν\approx0.65$ for the divergence of the correlation length of the associated solid-hexatic phase transition. Moreover, we clarify the discontinuous nature of the hexatic-liquid phase transition in this system. These findings are achieved by directly analyzing system's spatial configurations with two generic machine learning approaches developed in this work, dubbed ""scanning-probe"" via which the possible existence of intermediate phases can be efficiently detected, and ""information-concealing"" via which the critical scaling of the correlation length in the vicinity of generic continuous phase transition can be extracted. Our work provides new physical insights into the fundamental nature of the two-dimensional melting of deformable particles, and establishes a new type of generic toolbox to investigate fundamental properties of phase transitions in various complex systems."
"Optimal generalisation and learning transition in extensive-width shallow neural networks near interpolation","https://scispace.com/paper/http://arxiv.org/abs/2501.18530v2","2025","Preprint","","Jean Barbier
Francesco Camilli
Minh-Toan Nguyen
Mauro Pastore
Rudy Skerk","","https://arxiv.org/pdf/2501.18530v2","We consider a teacher-student model of supervised learning with a fully-trained two-layer neural network whose width $k$ and input dimension $d$ are large and proportional. We provide an effective theory for approximating the Bayes-optimal generalisation error of the network for any activation function in the regime of sample size $n$ scaling quadratically with the input dimension, i.e., around the interpolation threshold where the number of trainable parameters $kd+k$ and of data $n$ are comparable. Our analysis tackles generic weight distributions. We uncover a discontinuous phase transition separating a ""universal"" phase from a ""specialisation"" phase. In the first, the generalisation error is independent of the weight distribution and decays slowly with the sampling rate $n/d^2$, with the student learning only some non-linear combinations of the teacher weights. In the latter, the error is weight distribution-dependent and decays faster due to the alignment of the student towards the teacher network. We thus unveil the existence of a highly predictive solution near interpolation, which is however potentially hard to find by practical algorithms."
"Phase transitions in semisupervised clustering of sparse networks","https://scispace.com/paper/http://arxiv.org/abs/1404.7789v1","2014","Preprint","","Pan Zhang
Cristopher Moore
Lenka Zdeborová","10.1103/PhysRevE.90.052802","https://arxiv.org/pdf/1404.7789v1","Predicting labels of nodes in a network, such as community memberships or demographic variables, is an important problem with applications in social and biological networks. A recently-discovered phase transition puts fundamental limits on the accuracy of these predictions if we have access only to the network topology. However, if we know the correct labels of some fraction $α$ of the nodes, we can do better. We study the phase diagram of this ""semisupervised"" learning problem for networks generated by the stochastic block model. We use the cavity method and the associated belief propagation algorithm to study what accuracy can be achieved as a function of $α$. For $k = 2$ groups, we find that the detectability transition disappears for any $α> 0$, in agreement with previous work. For larger $k$ where a hard but detectable regime exists, we find that the easy/hard transition (the point at which efficient algorithms can do better than chance) becomes a line of transitions where the accuracy jumps discontinuously at a critical value of $α$. This line ends in a critical point with a second-order transition, beyond which the accuracy is a continuous function of $α$. We demonstrate qualitatively similar transitions in two real-world networks."
"Analyzing Training Using Phase Transitions in Entropy---Part I: General Theory","https://scispace.com/paper/http://arxiv.org/abs/2012.00970v3","2020","Preprint","","Kang Gao
Bertrand Hochwald","","https://arxiv.org/pdf/2012.00970v3","We analyze phase transitions in the conditional entropy of a sequence caused by a change in the conditional variables. Such transitions happen, for example, when training to learn the parameters of a system, since the transition from the training phase to the data phase causes a discontinuous jump in the conditional entropy of the measured system response. For large-scale systems, we present a method of computing a bound on the mutual information obtained with one-shot training, and show that this bound can be calculated using the difference between two derivatives of a conditional entropy. The system model does not require Gaussianity or linearity in the parameters, and does not require worst-case noise approximations or explicit estimation of any unknown parameters. The model applies to a broad range of algorithms and methods in communication, signal processing, and machine learning that employ training as part of their operation."
