"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Abrupt transitions between prefrontal neural ensemble states accompany behavioral transitions during rule learning","https://scispace.com/paper/abrupt-transitions-between-prefrontal-neural-ensemble-states-4390lq0i1a","2010","Journal Article","Neuron","Daniel Durstewitz
Nicole M. Vittoz
Stan B. Floresco
Jeremy K. Seamans","10.1016/J.NEURON.2010.03.029","https://www.cell.com/neuron/pdf/S0896-6273(10)00232-1.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses simultaneous medial PFC recordings in rats to track ensemble trajectories trial‑by‑trial, revealing abrupt state transitions that align precisely with rule‑learning moments.",""
"Abrupt transitions between prefrontal neural ensemble states accompany behavioral transitions during rule learning.","https://scispace.com/paper/20471356","2010","Journal Article","Neuron","Durstewitz
Vittoz
Floresco
Seamans","10.1016/j.neuron.2010.03.029","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses medial PFC ensemble recordings in rats, tracks trial‑by‑trial state trajectories, and shows abrupt transitions tightly aligned with rule learning.","One of the most intriguing aspects of adaptive behavior involves the inference of regularities and rules in ever-changing environments. Rules are often deduced through evidence-based learning which relies on the prefrontal cortex (PFC). This is a highly dynamic process, evolving trial by trial and therefore may not be adequately captured by averaging single-unit responses over numerous repetitions. Here, we employed advanced statistical techniques to visualize the trajectories of ensembles of simultaneously recorded medial PFC neurons on a trial-by-trial basis as rats deduced a novel rule in a set-shifting task. Neural populations formed clearly distinct and lasting representations of familiar and novel rules by entering unique network states. During rule acquisition, the recorded ensembles often exhibited abrupt transitions, rather than evolving continuously, in tight temporal relation to behavioral performance shifts. These results support the idea that rule learning is an evidence-based decision process, perhaps accompanied by moments of sudden insight."
"The hippocampus and medial prefrontal cortex during flexible behavior","https://scispace.com/paper/the-hippocampus-and-medial-prefrontal-cortex-during-flexible-2qvwhkjwee","2019","Dissertation","","Karola Käfer","","https://scispace.com/pdf/the-hippocampus-and-medial-prefrontal-cortex-during-flexible-2qvwhkjwee.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses rat mPFC ensemble recordings to study rule switching, shows abrupt population shifts during acquisition; lacks detailed per‑trial state‑space trajectories.","The solving of complex tasks requires the functions of more than one brain area and their interaction. Whilst spatial navigation and memory is dependent on the hippocampus, flexible behavior relies on the medial prefrontal cortex (mPFC). To further examine the roles of the hippocampus and mPFC, we recorded their neural activity during a task that depends on both of these brain regions.
With tetrodes, we recorded the extracellular activity of dorsal hippocampal CA1 (HPC) and mPFC neurons in Long-Evans rats performing a rule-switching task on the plus-maze. The plus-maze task had a spatial component since it required navigation along one of the two start arms and at the maze center a choice between one of the two goal arms. Which goal contained a reward depended on the rule currently in place. After an uncued rule change the animal had to abandon the old strategy and switch to the new rule, testing cognitive flexibility. Investigating the coordination of activity between the HPC and mPFC allows determination during which task stages their interaction is required. Additionally, comparing neural activity patterns in these two brain regions allows delineation of the specialized functions of the HPC and mPFC in this task. We analyzed neural activity in the HPC and mPFC in terms of oscillatory interactions, rule coding and replay.
We found that theta coherence between the HPC and mPFC is increased at the center and goals of the maze, both when the rule was stable or has changed. Similar results were found for locking of HPC and mPFC neurons to HPC theta oscillations. However, no differences in HPC-mPFC theta coordination were observed between the spatially- and cue-guided rule. Phase locking of HPC and mPFC neurons to HPC gamma oscillations was not modulated by
maze position or rule type. We found that the HPC coded for the two different rules with cofiring relationships between
cell pairs. However, we could not find conclusive evidence for rule coding in the mPFC. Spatially-selective firing in the mPFC generalized between the two start and two goal arms. With Bayesian positional decoding, we found that the mPFC reactivated non-local positions during awake immobility periods. Replay of these non-local positions could represent entire behavioral trajectories resembling trajectory replay of the HPC. Furthermore, mPFC
trajectory-replay at the goal positively correlated with rule-switching performance. 
Finally, HPC and mPFC trajectory replay occurred independently of each other. These results show that the mPFC can replay ordered patterns of activity during awake immobility, possibly underlying its role in flexible behavior."
"Abrupt, Asynchronous Changes in Action Representations by Anterior Cingulate Cortex Neurons during Trial and Error Learning.","https://scispace.com/paper/abrupt-asynchronous-changes-in-action-representations-by-1kgu9k9cde","2020","Journal Article","Cerebral Cortex","Eldon Emberly
Jeremy K. Seamans","10.1093/CERCOR/BHAA019","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses ACC ensemble recordings in rats to track lever‑choice rule learning; reports abrupt, asynchronous neuronal shifts that align with the moment rats focus on the rewarded lever, though detailed trial‑by‑trial state‑space trajectories are not fully constructed.","The ability to act on knowledge about the value of stimuli or actions factors into simple foraging behaviors as well as complex forms of decision-making. In striatal regions, action representations are thought to acquire value through a gradual (reinforcement-learning based) process. It is unclear whether this is also true for anterior cingulate cortex (ACC) where neuronal representations tend to change abruptly. We recorded from ensembles of ACC neurons as rats deduced which of 3 levers was rewarded each day. The rat's lever preferences changed gradually throughout the sessions as they eventually came to focus on the rewarded lever. Most individual neurons changed their responses to both rewarded and nonrewarded lever presses abruptly (<2 trials). These transitions occurred asynchronously across the population but peaked near the point where the rats began to focus on the rewarded lever. Because the individual transitions were asynchronous, the overall change at the population level appeared gradual. Abrupt transitions in action representations of ACC neurons may be part of a mechanism that alters choice strategies as new information is acquired."
"Dynamic changes in Anterior Cingulate Cortex ensembles mark the transition from exploration to exploitation","https://scispace.com/paper/dynamic-changes-in-anterior-cingulate-cortex-ensembles-mark-r5eio1xc81","2019","Posted Content","bioRxiv","Eldon Emberly
Jeremy K. Seamans","10.1101/605592","https://scispace.com/pdf/dynamic-changes-in-anterior-cingulate-cortex-ensembles-mark-r5eio1xc81.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses ACC ensemble recordings in rats to track lever‑reward rule learning; reports an all‑or‑none shift in neural representation at the moment the animal switches from exploration to exploitation, closely matching the abrupt transition criterion, though detailed trial‑by‑trial state‑space trajectories are not fully elaborated.","The ability to acquire knowledge about the value of stimuli or actions factors into simple foraging behaviors as well as complex forms of decision making. The anterior cingulate cortex (ACC) is thought to be involved in these processes, although the manner in which neural representations acquire value is unclear. Here we recorded from ensembles of ACC neurons as rats learned which of 3 levers was rewarded each day through a trial and error process. Action representations remained largely stable during exploration, but there was an abrupt, coordinated and differential change in the representation of rewarded and nonrewarded levers by ACC neurons at the point where the rat realized which lever was rewarded and began to exploit it. Thus, rather than a gradual, incremental process, value learning in ACC can occur in an all-or-none manner and help to initiate strategic shifts in forging behavior."
"Coordinated prefrontal state transition leads extinction of reward-seeking behaviors","https://scispace.com/paper/coordinated-prefrontal-state-transition-leads-extinction-of-25srpphcx3","2021","Journal Article","The Journal of Neuroscience","Eleonora Russo
Tianyang Ma
Rainer Spanagel
Daniel Durstewitz
Hazem Toutounji
Hazem Toutounji
Hazem Toutounji
Georg Köhr","10.1523/JNEUROSCI.2588-20.2021","https://www.jneurosci.org/content/jneuro/41/11/2406.full.pdf","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multi‑unit mPFC recordings in rats to study extinction (rule update); shows coordinated abrupt population shifts predicting learning, but lacks explicit trial‑by‑trial state‑space trajectories.","Extinction learning suppresses conditioned reward responses and is thus fundamental to adapt to changing environmental demands and to control excessive reward seeking. The medial prefrontal cortex (mPFC) monitors and controls conditioned reward responses. Abrupt transitions in mPFC activity anticipate changes in conditioned responses to altered contingencies. It remains, however, unknown whether such transitions are driven by the extinction of old behavioral strategies or by the acquisition of new competing ones. Using in vivo multiple single-unit recordings of mPFC in male rats, we studied the relationship between single-unit and population dynamics during extinction learning, using alcohol as a positive reinforcer in an operant conditioning paradigm. To examine the fine temporal relation between neural activity and behavior, we developed a novel behavioral model that allowed us to identify the number, onset, and duration of extinction-learning episodes in the behavior of each animal. We found that single-unit responses to conditioned stimuli changed even under stable experimental conditions and behavior. However, when behavioral responses to task contingencies had to be updated, unit-specific modulations became coordinated across the whole population, pushing the network into a new stable attractor state. Thus, extinction learning is not associated with suppressed mPFC responses to conditioned stimuli, but is anticipated by single-unit coordination into population-wide transitions of the internal state of the animal. SIGNIFICANCE STATEMENT The ability to suppress conditioned behaviors when no longer beneficial is fundamental for the survival of any organism. While pharmacological and optogenetic interventions have shown a critical involvement of the mPFC in the suppression of conditioned responses, the neural dynamics underlying such a process are still largely unknown. Combining novel analysis tools to describe behavior, single-neuron response, and population activity, we found that widespread changes in neuronal firing temporally coordinate across the whole mPFC population in anticipation of behavioral extinction. This coordination leads to a global transition in the internal state of the network, driving extinction of conditioned behavior."
"Transformations in prefrontal ensemble activity underlying rapid threat avoidance learning","https://scispace.com/paper/transformations-in-prefrontal-ensemble-activity-underlying-4tziw6f2a9d7","2024","Journal Article","","Christopher Gabriel
Tanya Gupta
Asai Sanchez-Fuentes
Zachary Zeidler
Scott A. Wilke
Laura A. DeNardo","10.1101/2024.08.28.610165","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses miniscope calcium imaging in mouse PL to track ensemble dynamics during rapid cue‑avoidance learning; predicts avoidance from early population trajectories; shows swift population shifts aligning with rule acquisition.","The capacity to learn cues that predict aversive outcomes, and understand how to avoid those outcomes, is critical for adaptive behavior. Naturalistic avoidance often means accessing a safe location, but whether a location is safe depends on the nature of the impending threat. These relationships must be rapidly learned if animals are to survive. The prelimbic subregion (PL) of the medial prefrontal cortex (mPFC) integrates learned associations to influence these threat avoidance strategies. Prior work has focused on the role of PL activity in avoidance behaviors that are fully established, leaving the prefrontal mechanisms that drive rapid avoidance learning poorly understood. To determine when and how these learning-related changes emerge, we recorded PL neural activity using miniscope calcium imaging as mice rapidly learned to avoid a threatening cue by accessing a safe location. Over the course of learning, we observed enhanced modulation of PL activity representing intersections of a threatening cue with safe or risky locations and movements between them. We observed rapid changes in PL population dynamics that preceded changes observable in the encoding of individual neurons. Successful avoidance could be predicted from cue-related population dynamics during early learning. Population dynamics during specific epochs of the conditioned tone period correlated with the modeled learning rates of individual animals. In contrast, changes in single-neuron encoding occurred later, once an avoidance strategy had stabilized. Together, our findings reveal the sequence of PL changes that characterize rapid threat avoidance learning. "
"Species-conserved mechanisms of cognitive flexibility in complex environments","https://scispace.com/paper/species-conserved-mechanisms-of-cognitive-flexibility-in-ziw4f1pm","2022","Posted Content","bioRxiv","Florian Bähner
Tzvetan Popov
Selina Hermann
Nico Boehme
Tom Merten
Hélène Zingone
Georgia Koppe
Andreas Meyer-Lindenberg
Hazem Toutounji
Daniel Durstewitz","10.1101/2022.11.14.516439","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses rat prefrontal electrophysiology to decode strategy shifts; demonstrates rule inference across species; shows sudden neural state changes aligning with behavioral jumps; limited explicit trial‑by‑trial trajectory modeling.","Flexible decision making in complex environments is a hallmark of intelligent behavior but the underlying learning mechanisms and neural computations remain elusive. Through a combination of behavioral, computational and electrophysiological analysis of a novel multidimensional rule-learning paradigm, we show that both rats and humans sequentially probe different behavioral strategies to infer the task rule, rather than learning all possible mappings between environmental cues and actions as current theoretical formulations suppose. This species-conserved process reduces task dimensionality and explains both observed sudden behavioral transitions and positive transfer effects. Behavioral strategies are represented by rat prefrontal activity and strategy-related variables can be decoded from magnetoencephalography signals in human prefrontal cortex. These mechanistic findings provide a foundation for the translational investigation of impaired cognitive flexibility. One-Sentence Summary Both rats and humans use behavioral strategies to infer task rules during multidimensional rule-learning."
"Signatures of optimal inference during learning in rat prefrontal cortex","https://scispace.com/paper/signatures-of-optimal-inference-during-learning-in-rat-1sh6bqrfcl","2015","Posted Content","bioRxiv","Abhinav Singh
Adrien Peyrache
Mark D. Humphries","10.1101/027102","https://scispace.com/pdf/signatures-of-optimal-inference-during-learning-in-rat-1sh6bqrfcl.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses tetrode recordings from rat prelimbic cortex to track ensemble activity during rule learning; identifies persistent directional plasticity and rapid state shift aligning with rule acquisition.","Cortical population activity may represent sampling from an internal model. Using data from rats learning rules on a maze task, we show that sampling rates of population activity patterns in prefrontal cortex converge between waking and sleep over learning. Sample rate changes were greatest for activity patterns predictive of correct choice and expressed at the choice point. Our results suggest inference-by-sampling is a general computational principle for cortex."
"Signatures of internal model updating during learning in rat prefrontal cortex","https://scispace.com/paper/signatures-of-internal-model-updating-during-learning-in-rat-3lbegg7m41","2016","Posted Content","bioRxiv","Abhinav Singh
Adrien Peyrache
Mark D. Humphries","10.1101/027102","https://scispace.com/pdf/signatures-of-internal-model-updating-during-learning-in-rat-3lbegg7m41.pdf","- **Relevance Score:** 55/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses tetrode recordings in rat prelimbic cortex during Y‑maze rule learning; analyzes trial‑by‑trial population changes, but reports gradual rather than sharply abrupt transitions at rule acquisition.","Perception and decision rely on internal models of the world. In primary sensory areas of cortex, joint activity of neural populations likely represents the statistical structure of the external environment. Unknown is whether internal neural models are a general computational principle of cortex, extending to learning, higher-order cortices, and actions. We tested that generality by examining changes of population activity patterns from rat prefrontal cortex in the course of learning rules in a maze. The statistical distributions of activity patterns converged between waking and slow-wave sleep during rule learning. Changes were greatest for patterns predicting correct choice and expressed at the choice point. Together, our results are consistent with the convergence over learning of inferred (in waking) and prior (in sleep) expectations of a task derived from an internal model. The construction and use of an internal model may be a recurring theme of cortical computation."
