"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"How a honey bee solves an abstract conceptual problem","https://scispace.com/paper/wtcu5aBmdn0J","","","","D Minors","","https://www.researchgate.net/profile/Dorian-Minors/publication/319108816_How_a_honey_bee_solves_an_abstract_conceptual_problem/links/5991a30b0f7e9b09ffb009a1/How-a-honey-bee-solves-an-abstract-conceptual-problem.pdf","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses honeybees to learn same‑different rule, reports per‑bee transfer to novel stimuli, provides trial‑by‑trial curves, notes abrupt learning jumps, details Y‑maze visual setup.",""
"The concepts of ‘sameness’ and ‘difference’ in an insect","https://scispace.com/paper/the-concepts-of-sameness-and-difference-in-an-insect-4o9mpid56y","2001","Journal Article","Nature","Martin Giurfa
Shaowu Zhang
Arnim Jenett
Randolf Menzel
Mandyam V. Srinivasan","10.1038/35073582","","- **Relevance Score:** 92/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses delayed matching‑to‑sample tasks to show bees learn sameness/difference, transfers rules to new stimuli, reports per‑bee accuracy and learning curves; includes detailed Y‑maze setup and notes abrupt performance jumps, but lacks neural data or cross‑species comparison.","Insects process and learn information flexibly to adapt to their environment. The honeybee Apis mellifera constitutes a traditional model for studying learning and memory at behavioural, cellular and molecular levels. Earlier studies focused on elementary associative and non-associative forms of learning determined by either olfactory conditioning of the proboscis extension reflex or the learning of visual stimuli in an operant context. However, research has indicated that bees are capable of cognitive performances that were thought to occur only in some vertebrate species. For example, honeybees can interpolate visual information, exhibit associative recall, categorize visual information and learn contextual information. Here we show that honeybees can form 'sameness' and 'difference' concepts. They learn to solve 'delayed matching-to-sample' tasks, in which they are required to respond to a matching stimulus, and 'delayed non-matching-to-sample' tasks, in which they are required to respond to a different stimulus; they can also transfer the learned rules to new stimuli of the same or a different sensory modality. Thus, not only can bees learn specific objects and their physical parameters, but they can also master abstract inter-relationships, such as sameness and difference."
"The concepts of 'sameness' and 'difference'in an insect","https://scispace.com/paper/WknqBkMEXpsJ","","","","M Giurfa
S Zhang
A Jenett
R Menzel
MV Srinivasan","","https://www.academia.edu/download/69575982/3507358220210913-25535-1hpzwi.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows honeybees learning sameness/difference and transferring rules, with per‑bee performance discussed; includes some data on abrupt learning jumps and experimental setup, but lacks detailed individual trial logs, neural mechanisms, or cross‑species comparison.",""
"Small brains, smart minds: vision, perception and 'cognition' in honeybees","https://scispace.com/paper/small-brains-smart-minds-vision-perception-and-cognition-in-1oyyqmxiy4","2003","Journal Article","Iete Journal of Research","Mandyam V. Srinivasan
Shaowu Zhang","10.1080/03772063.2003.11416331","https://scispace.com/pdf/small-brains-smart-minds-vision-perception-and-cognition-in-1oyyqmxiy4.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses honeybees to learn sameness/difference, shows rule transfer to novel colors and gratings, details visual stimulus setup, but individual trial curves are not fully reported and no neural or comparative analyses are included.","Recent work is beginning to reveal that insects may not be the simple, reflexive creatures that they were once assumed to be. Honeybees, for example, can learn rather general features of flowers and landmarks, such as colour, orientation and symmetry, and apply them to distinguish between objects that they have never previously encountered. Bees exhibit ""top-down"" processing: that is, they are capable of using prior knowledge to detect poorly visible or camouflaged objects. Furthermore, bees can learn to navigate through labyrinths, to form complex associations and to acquire abstract concepts such,as ""sameness"" and ""difference"". All of these observations suggest that there is no hard dichotomy between invertebrates and vertebrates in the context of perception, learning and 'cognition'; and that brain size is not necessarily a reliable predictor of perceptual capacity."
"Visually guided decision making in foraging honeybees.","https://scispace.com/paper/visually-guided-decision-making-in-foraging-honeybees-5242bhqfkr","2012","Journal Article","Frontiers in Neuroscience","Shaowu Zhang
Aung Si
Mario Pahl","10.3389/FNINS.2012.00088","https://scispace.com/pdf/visually-guided-decision-making-in-foraging-honeybees-5242bhqfkr.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses honeybees to learn sameness/difference and transfers rules across colors and gratings; provides detailed methods; shows transfer but lacks per‑bee trial data; no abrupt step‑function, neural or cross‑species info.","Honeybees can easily be trained to perform different types of discrimination tasks under controlled laboratory conditions. This review describes a range of experiments carried out with free-flying forager honeybees under such conditions. The research done over the past thirty or so years suggests that cognitive abilities (learning and perception) in insects are more intricate and flexible than was originally imagined. It has become apparent that honeybees are capable of a variety of visually guided tasks, involving decision making that operates at a surprisingly high level. Decision making in honeybees is always flexible. The trained animals learn how to solve a task, and do so with a high accuracy, but when they are presented with a new variation of the task, they apply the learnt rules from the earlier setup to the new situation, and solve the new task as well. Honeybees therefore not only feature a rich behavioural repertoire to choose from, but also make decisions most apt to the current situation. The experiments in this review give an insight into the environmental cues and cognitive resources that are probably highly significant for a forager bee that must continually make decisions regarding patches of resources to be exploited."
"Animal Concepts","https://scispace.com/paper/animal-concepts-nsa2rd24z85n","","","","Mark Wexler","10.1016/s1364-6613(00)01693-4","","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses honeybees to demonstrate same/different concept learning and cross‑modal generalization; lacks individual trial data and neural or comparative analyses; provides limited methodological specifics.","Animals may possess much more complex concepts that previously thought, and even a form of consciousness, two recent studies report. The honeybee can perform a ‘delayed match-to-sample’ task: when exposed to the color red and later given the choice between red and green, the insect can be trained to choose red. In a recent report, Martin Giurfa and co-workers (Nature 410, 930-933) report that honeybees trained in this way can generalize correctly to previously unseen stimuli, even when in other modalities, and so can be shown to learn and use the abstract concept of ‘same’ (and ‘different’). For instance, when first trained to choose the same color, the insect generalizes and chooses the same shape, or the same smell."
"Free-flying honeybees extrapolate relational size rules to sort successively visited artificial flowers in a realistic foraging situation.","https://scispace.com/paper/free-flying-honeybees-extrapolate-relational-size-rules-to-3xkf9sn22c","2017","Journal Article","Animal Cognition","Scarlett R. Howard
Scarlett R. Howard
Aurore Avarguès-Weber
Jair E. Garcia
Adrian G. Dyer
Adrian G. Dyer","10.1007/S10071-017-1086-6","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses free‑flying honeybees to test larger/smaller size rule learning and extrapolation, reporting per‑bee performance and transfer to novel sizes; does not address same/different concepts or neural mechanisms.","Learning and applying relational concepts to solve novel tasks is considered an indicator of cognitive-like ability. It requires the abstraction of relational concepts to different objects independent to the physical nature of the individual objects. Recent research has revealed the honeybee's ability to rapidly learn and manipulate relations between visual stimuli such as 'same/different', 'above/below', or 'larger/smaller' despite having a miniature-sized brain. While honeybees can solve problems using rule-based relative size comparison, it remains unresolved as to whether bees can apply size rules when stimuli are encountered successively, which requires reliance on working memory for stimuli comparison. Additionally, the potential ability of bees to extrapolate acquired information to novel sizes beyond training sets remains to be investigated. We tested whether individual free-flying honeybees could learn 'larger/smaller' size rules when visual stimuli were presented successively, and whether such rules could then be extrapolated to novel stimulus sizes. Honeybees were individually trained to a set of four sizes such that individual elements might be correct, or incorrect, depending upon the alternative stimulus. In a learning test, bees preferred the correct size relation for their respective learning group. Bees were also able to successfully extrapolate the learnt relation during transfer tests by maintaining the correct size relationships when considering either two smaller, or two larger, novel stimulus sizes. This performance demonstrates that an insect operating in a complex environment has sufficient cognitive capacity to learn rules that can be abstracted to novel problems. We discuss the possible learning mechanisms which allow their success."
"Simultaneous mastering of two abstract concepts by the miniature brain of bees","https://scispace.com/paper/simultaneous-mastering-of-two-abstract-concepts-by-the-1t1n2l5bfr","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Aurore Avarguès-Weber
Adrian G. Dyer
Maud Combe
Martin Giurfa","10.1073/PNAS.1202576109","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses honeybees to learn spatial and difference concepts, shows transfer to novel patterns, reports per‑bee performance, details Y‑maze setup; lacks same/different focus, abrupt learning jumps, neural data, or cross‑species comparison.","Sorting objects and events into categories and concepts is a fundamental cognitive capacity that reduces the cost of learning every particular situation encountered in our daily lives. Relational concepts such as “same,” “different,” “better than,” or “larger than”—among others—are essential in human cognition because they allow highly efficient classifying of events irrespective of physical similarity. Mastering a relational concept involves encoding a relationship by the brain independently of the physical objects linked by the relation and is, therefore, consistent with abstraction capacities. Processing several concepts at a time presupposes an even higher level of cognitive sophistication that is not expected in an invertebrate. We found that the miniature brains of honey bees rapidly learn to master two abstract concepts simultaneously, one based on spatial relationships (above/below and right/left) and another based on the perception of difference. Bees that learned to classify visual targets by using this dual concept transferred their choices to unknown stimuli that offered a best match in terms of dual-concept availability: their components presented the appropriate spatial relationship and differed from one another. This study reveals a surprising facility of brains to extract abstract concepts from a set of complex pictures and to combine them in a rule for subsequent choices. This finding thus provides excellent opportunities for understanding how cognitive processing is achieved by relatively simple neural architectures."
"Imitation of honey bees’ concept learning processes using Vector Symbolic Architectures","https://scispace.com/paper/imitation-of-honey-bees-concept-learning-processes-using-4jsl6kycru","2015","Journal Article","Biologically Inspired Cognitive Architectures","Denis Kleyko
Evgeny Osipov
Ross W. Gayler
Asad I. Khan
Adrian G. Dyer","10.1016/J.BICA.2015.09.002","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses bee experimental data to benchmark a VSA model that reproduces same/different concept learning and transfer, but lacks individual trial data and neural or comparative details.","This article presents a proof-of-concept validation of the use of Vector Symbolic Architectures as central component of an online learning architectures. It is demonstrated that Vector Symbolic Architectures enable the structured combination of features/relations that have been detected by a perceptual circuitry and allow such relations to be applied to novel structures without requiring the massive training needed for classical neural networks that depend on trainable connections. The system is showcased through the functional imitation of concept learning in honey bees. Data from real-world experiments with honey bees (Avargues-Weber et al., 2012) are used for benchmarking. It is demonstrated that the proposed pipeline features a similar learning curve and accuracy of generalization to that observed for the living bees. The main claim of this article is that there is a class of simple artificial systems that reproduce the learning behaviors of certain living organisms without requiring the implementation of computationally intensive cognitive architectures. Consequently, it is possible in some cases to implement rather advanced cognitive behavior using simple techniques."
"Flying in Complex Environments: Can Insects Bind Multiple Sensory Perceptions and What Could Be the Lessons for Machine Vision?","https://scispace.com/paper/flying-in-complex-environments-can-insects-bind-multiple-xl9849d6pa","2014","Journal Article","Journal of Software Engineering and Applications","Adrian G. Dyer
Sridhar Ravi
Jair E. Garcia","10.4236/JSEA.2014.75037","https://scispace.com/pdf/flying-in-complex-environments-can-insects-bind-multiple-xl9849d6pa.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Discusses honeybee abstract rule learning and transfer, but lacks individual trial data, quantitative transfer metrics, and methodological details.","The possibility of having
flying machines in complex natural environments presents many exciting
possibilities, but also technical challenges. Insects often rely on visual cues
for flight and decision making, and recent work suggests that the perception of
wind force through tactile sensory inputs also provides important information
for flight control. However, the extent to which these respective cues might
potentially be bound together in the brain to enable accurate decisions remains
untested. Here we discuss recent evidence that the brain of insects possesses
mechanisms that may allow for the binding of complex multisensory information,
and we propose an experiment that could dissect whether insects like bees may
have such a capacity. We additionally discuss areas of the bee brain that might
facilitate decision making in order to provide a road map forward for future
work on understanding the mechanisms of flying in complex natural environments."
