"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"The concepts of ‘sameness’ and ‘difference’ in an insect","https://scispace.com/paper/the-concepts-of-sameness-and-difference-in-an-insect-4o9mpid56y","2001","Journal Article","Nature","Martin Giurfa
Shaowu Zhang
Arnim Jenett
Randolf Menzel
Mandyam V. Srinivasan","10.1038/35073582","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses delayed matching/non‑matching tasks to show bees learn same/different rules, reports per‑bee trial data, demonstrates abrupt transfer to new stimuli, links acquisition to transfer, cites Giurfa’s paradigm, tests both concepts together, describes Y‑maze/conditioning setup.","Insects process and learn information flexibly to adapt to their environment. The honeybee Apis mellifera constitutes a traditional model for studying learning and memory at behavioural, cellular and molecular levels. Earlier studies focused on elementary associative and non-associative forms of learning determined by either olfactory conditioning of the proboscis extension reflex or the learning of visual stimuli in an operant context. However, research has indicated that bees are capable of cognitive performances that were thought to occur only in some vertebrate species. For example, honeybees can interpolate visual information, exhibit associative recall, categorize visual information and learn contextual information. Here we show that honeybees can form 'sameness' and 'difference' concepts. They learn to solve 'delayed matching-to-sample' tasks, in which they are required to respond to a matching stimulus, and 'delayed non-matching-to-sample' tasks, in which they are required to respond to a different stimulus; they can also transfer the learned rules to new stimuli of the same or a different sensory modality. Thus, not only can bees learn specific objects and their physical parameters, but they can also master abstract inter-relationships, such as sameness and difference.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Unclear
N_BEES: Unclear
N_TRIALS: Unclear
PRIORITY: Low"
"How a honey bee solves an abstract conceptual problem","https://scispace.com/paper/wtcu5aBmdn0J","","","","D Minors","","https://www.researchgate.net/profile/Dorian-Minors/publication/319108816_How_a_honey_bee_solves_an_abstract_conceptual_problem/links/5991a30b0f7e9b09ffb009a1/How-a-honey-bee-solves-an-abstract-conceptual-problem.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses same/different rule tasks to show bees acquire abstract concepts, reports per‑bee trial data, demonstrates abrupt transfer to new stimuli, links acquisition to transfer, cites Giurfa paradigms, hints at dual‑concept testing, includes basic apparatus description.","","INDIVIDUAL_BEES: Yes | TRIAL_DATA: Yes | DATA_ACCESS: None | SUDDEN_TRANSFER: Yes | N_BEES: Unclear | N_TRIALS: Unclear | PRIORITY: High"
"The concepts of 'sameness' and 'difference'in an insect","https://scispace.com/paper/WknqBkMEXpsJ","","","","M Giurfa
S Zhang
A Jenett
R Menzel
MV Srinivasan","","https://www.academia.edu/download/69575982/3507358220210913-25535-1hpzwi.pdf","- **Relevance Score:** 97/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses honeybee same/different tasks to test abstract relational learning, reports individual trial data, shows transfer to new stimuli, links acquisition to sudden behavioral shifts, cites Giurfa paradigms, examines both concepts together, and details Y‑maze/olfactory methods.","","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: High"
"Same/Different Concept Learning and Category Discrimination in Honeybees.","https://scispace.com/paper/H4N5owE92BAJ","","","","NM Muszynski","","https://scholarspace.manoa.hawaii.edu/bitstreams/ecae77bf-3d34-4e59-bdac-c69e4c8fd6e1/download","- **Relevance Score:** 96/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses same/different rule training to show bees acquire abstract relational concepts, reports per‑bee trial data, demonstrates abrupt transfer to new stimuli, links acquisition to transfer; cites Giurfa‑style designs and describes olfactory Y‑maze setup, but does not test multiple concepts simultaneously.","","INDIVIDUAL_BEES: Yes
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: High"
"A comparison of concept learning ability in honeybees and bumblebees using matching-to-sample tasks","https://scispace.com/paper/mf8x-emu7BAJ","","","","R Willemet","","https://www.biorxiv.org/content/biorxiv/early/2026/02/03/2026.01.31.703063.full.pdf","- **Relevance Score:** 54/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses matching‑to‑sample to test same/different rule in honeybees, reports transfer to new stimuli, cites Giurfa paradigms, details Y‑maze olfactory setup; individual trial curves provided but not fully granular; no multi‑concept training.","","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Somewhate Relevant (individual trial curves provided but not fully granular)
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Unclear"
"Imitation of honey bees’ concept learning processes using Vector Symbolic Architectures","https://scispace.com/paper/imitation-of-honey-bees-concept-learning-processes-using-4jsl6kycru","2015","Journal Article","Biologically Inspired Cognitive Architectures","Denis Kleyko
Evgeny Osipov
Ross W. Gayler
Asad I. Khan
Adrian G. Dyer","10.1016/J.BICA.2015.09.002","","- **Relevance Score:** 49/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Vector Symbolic Architectures to replicate honey‑bee same/different learning and generalization, cites Avargues‑Weber data, but provides limited raw trial‑by‑trial or apparatus specifics and does not test multiple concepts.","This article presents a proof-of-concept validation of the use of Vector Symbolic Architectures as central component of an online learning architectures. It is demonstrated that Vector Symbolic Architectures enable the structured combination of features/relations that have been detected by a perceptual circuitry and allow such relations to be applied to novel structures without requiring the massive training needed for classical neural networks that depend on trainable connections. The system is showcased through the functional imitation of concept learning in honey bees. Data from real-world experiments with honey bees (Avargues-Weber et al., 2012) are used for benchmarking. It is demonstrated that the proposed pipeline features a similar learning curve and accuracy of generalization to that observed for the living bees. The main claim of this article is that there is a class of simple artificial systems that reproduce the learning behaviors of certain living organisms without requiring the implementation of computationally intensive cognitive architectures. Consequently, it is possible in some cases to implement rather advanced cognitive behavior using simple techniques.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Unclear
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
"Conceptualization of above and below relationships by an insect","https://scispace.com/paper/conceptualization-of-above-and-below-relationships-by-an-4d29xtzg50","2011","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Adrian G. Dyer
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2010.1891","","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses above/below spatial rule to probe abstract relational learning; provides per‑bee trial data and shows transfer to new visual stimuli; links learning and transfer but without clear abrupt transition; cites Giurfa's work; does not test multiple concepts; describes visual setup rather than Y‑maze or olfactory protocols.","Relational rules such as ‘same’ or ‘different’ are mastered by humans and non-human primates and are considered as abstract conceptual thinking as they require relational learning beyond perceptual generalization. Here, we investigated whether an insect, the honeybee (Apis mellifera), can form a conceptual representation of an above/below spatial relationship. In experiment 1, bees were trained with differential conditioning to choose a variable target located above or below a black bar that acted as constant referent throughout the experiment. In experiment 2, two visual stimuli were aligned vertically, one being the referent, which was kept constant throughout the experiment, and the other the target, which was variable. In both experiments, the distance between the target and the referent, and their location within the visual field was systematically varied. In both cases, bees succeeded in transferring the learned concept to novel stimuli, preserving the trained spatial relation, thus showing an ability to manipulate this relational concept independently of the physical nature of the stimuli. Absolute location of the referent into the visual field was not a low-level cue used by the bees to solve the task. The honeybee is thus capable of conceptual learning despite having a miniature brain, showing that such elaborated learning form is not a prerogative of vertebrates.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Unclear
N_TRIALS: Unclear
PRIORITY: Low"
"Animal Concepts","https://scispace.com/paper/animal-concepts-nsa2rd24z85n","","","","Mark Wexler","10.1016/s1364-6613(00)01693-4","","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows bees mastering same/different rule; generalizes to unseen cues, confirming transfer though without abrupt learning curves; cites Giurfa’s paradigm.","Animals may possess much more complex concepts that previously thought, and even a form of consciousness, two recent studies report. The honeybee can perform a ‘delayed match-to-sample’ task: when exposed to the color red and later given the choice between red and green, the insect can be trained to choose red. In a recent report, Martin Giurfa and co-workers (Nature 410, 930-933) report that honeybees trained in this way can generalize correctly to previously unseen stimuli, even when in other modalities, and so can be shown to learn and use the abstract concept of ‘same’ (and ‘different’). For instance, when first trained to choose the same color, the insect generalizes and chooses the same shape, or the same smell.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Low"
"Simultaneous mastering of two abstract concepts by the miniature brain of bees","https://scispace.com/paper/simultaneous-mastering-of-two-abstract-concepts-by-the-1t1n2l5bfr","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Aurore Avarguès-Weber
Adrian G. Dyer
Maud Combe
Martin Giurfa","10.1073/PNAS.1202576109","","- **Relevance Score:** 34/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows bees mastering two abstract rules and transferring them to new stimuli; cites Giurfa; lacks detailed per‑bee trial data; provides limited methodological specifics.","Sorting objects and events into categories and concepts is a fundamental cognitive capacity that reduces the cost of learning every particular situation encountered in our daily lives. Relational concepts such as “same,” “different,” “better than,” or “larger than”—among others—are essential in human cognition because they allow highly efficient classifying of events irrespective of physical similarity. Mastering a relational concept involves encoding a relationship by the brain independently of the physical objects linked by the relation and is, therefore, consistent with abstraction capacities. Processing several concepts at a time presupposes an even higher level of cognitive sophistication that is not expected in an invertebrate. We found that the miniature brains of honey bees rapidly learn to master two abstract concepts simultaneously, one based on spatial relationships (above/below and right/left) and another based on the perception of difference. Bees that learned to classify visual targets by using this dual concept transferred their choices to unknown stimuli that offered a best match in terms of dual-concept availability: their components presented the appropriate spatial relationship and differed from one another. This study reveals a surprising facility of brains to extract abstract concepts from a set of complex pictures and to combine them in a rule for subsequent choices. This finding thus provides excellent opportunities for understanding how cognitive processing is achieved by relatively simple neural architectures.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Yes
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","- **Relevance Score:** 29/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews same/different learning in bees, cites Giurfa paradigms, discusses transfer conceptually, but lacks raw trial data and individual-level integration; provides some methodological overview.","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts.","INDIVIDUAL_BEES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_TRANSFER: Unclear
N_BEES: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
