"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Consistency and Variability in Children’s Word Learning Across Languages","https://scispace.com/paper/consistency-and-variability-in-children-s-word-learning-4h1cyetpaz","2019","Journal Article","Open Mind","Mika Braginsky
Daniel Yurovsky
Virginia A. Marchman
Michael C. Frank","10.1162/OPMI_A_00026","","Why do children learn some words earlier than others? The order in which words are acquired can provide clues about the mechanisms of word learning. In a large-scale corpus analysis, we use parent-report data from over 32,000 children to estimate the acquisition trajectories of around 400 words in each of 10 languages, predicting them on the basis of independently derived properties of the words' linguistic environment (from corpora) and meaning (from adult judgments). We examine the consistency and variability of these predictors across languages, by lexical category, and over development. The patterning of predictors across languages is quite similar, suggesting similar processes in operation. In contrast, the patterning of predictors across different lexical categories is distinct, in line with theories that posit different factors at play in the acquisition of content words and function words. By leveraging data at a significantly larger scale than previous work, our analyses identify candidate generalizations about the processes underlying word learning across languages.","A large-scale corpus analysis uses parent-report data from over 32,000 children to estimate the acquisition trajectories of around 400 words in each of 10 languages, predicting them on the basis of independently derived properties of the words’ linguistic environment and meaning."
"Infants who are rarely spoken to nevertheless understand many words","https://scispace.com/paper/infants-who-are-rarely-spoken-to-nevertheless-understand-3sdci0rq6d","2023","Preprint","","Ruthe Foushee
Mahesh Srinivasan","10.31234/osf.io/g84pw","","Theories of language development---informed largely by studies of Western, middle-class infants---have highlighted the language that caregivers direct to children as a key driver of language learning. However, some have argued that language development unfolds similarly across environmental contexts, including those in which child-directed language is scarce. This raises the possibility that children adapt their learning strategies to the language available in their environments, such that some children come to rely on speech that they overhear. We explore this hypothesis with infants in an indigenous Tseltal-speaking community in Southern Mexico, who are rarely spoken to, yet overhear a great deal of other-directed language by virtue of being carried on their mothers' backs. Adapting a previously-established gaze-tracking method for detecting early word knowledge to our field setting, we find that, like Western infants, Tseltal infants exhibit implicit knowledge of high-frequency nouns (Exp. 1). Moreover, they exhibit comprehension of Tseltal honorific terms used to greet adults in the community (Exp. 2). Notably, these honorific terms represent language that could only have been acquired through overhearing, and infants' task performance demonstrates an ability to discriminate highly similar stimuli at an earlier age than has been shown among Western children. Together, these results suggest that for some infants, learning from overhearing may be an important path toward developing language. ","Infants who are rarely spoken to nevertheless understand many words. Overhearing language is a key driver of language learning for some infants."
"Ratings of age of acquisition of 299 words across 25 languages : Is there a cross-linguistic order of words?","https://scispace.com/paper/ratings-of-age-of-acquisition-of-299-words-across-25-4jgc4vic7s","2014","","","Magdalena Łuniewska
Natalia Ringblom
Özlem Ünal-Logacev","","","Ratings of age of acquisition of 299 words across 25 languages : Is there a cross-linguistic order of words?","A new set of subjective age-of-acquisition (AoA) ratings for 299 words in 25 languages from five language families, judged as being acquired early before the age of 6 years are presented."
"Cultural influences on the developing semantic lexicon.","https://scispace.com/paper/cultural-influences-on-the-developing-semantic-lexicon-2vcknm0pb5","2018","Journal Article","Journal of Child Language","Karla K. McGregor
Natalie Munro
Su Mei Chen
Elise Baker
Jacob Oleson","10.1017/S0305000918000211","","To determine whether the developing semantic lexicon varies with culture, we examined the animal and food naming of children from three communities distinguished by language, cultural heritage, and population density. The children were five- and seven-year-olds from Australia (n = 197), Taiwan (n = 456), and the US (n = 172). Naming patterns revealed hierarchical and flexible organization of the semantic lexicon. The content of the lexicon, particularly food names, varied with cultural heritage. In all three communities, wild mammals were predominant during animal naming, a likely influence of children's media. The influence of the Chinese zodiac was evident in the clustering of animal names in the Taiwanese sample. There was no apparent influence of population density and little influence of language, except that the Taiwanese children more frequently named foods at the superordinate level, a possible influence of the structure of Mandarin. Children develop their lexicons in response to culture as experienced first-hand or through media.","Examining the animal and food naming of children from three communities distinguished by language, cultural heritage, and population density revealed hierarchical and flexible organization of the semantic lexicon."
"Noun and verb knowledge in monolingual preschool children across 17 languages : data from Cross-linguistic Lexical Tasks (LITMUS-CLT)","https://scispace.com/paper/noun-and-verb-knowledge-in-monolingual-preschool-children-4x8qtb8mev","2017","Journal Article","Clinical Linguistics & Phonetics","Ewa Haman
Magdalena Łuniewska
Pernille Hansen
Hanne Gram Simonsen
Shula Chiat
Jovana Bjekić
Agnė Blažienė
Katarzyna Chyl
Ineta Dabašinskienė
Pascale Engel de Abreu
Natalia Gagarina
Anna Gavarró
Gisela Håkansson
Efrat Harel
Elisabeth Holm
Svetlana Kapalková
Sari Kunnari
Chiara Levorato
Josefin Lindgren
Karolina Mieszkowska
Laia Montes Salarich
Anneke Perold Potgieter
Ingeborg Sophie Bjønness Ribu
Natalia Ringblom
Tanja Rinker
Maja Roch
Daniela Slančová
Frenette Southwood
Roberta Tedeschi
Aylin Müge Tuncer
Özlem Ünal-Logacev
Jasmina Vuksanović
Sharon Armon-Lotem","10.1080/02699206.2017.1308553","","This article investigates the cross-linguistic comparability of the newly developed lexical assessment tool Cross-linguistic Lexical Tasks (LITMUS-CLT). LITMUS-CLT is a part the Language Impairment Testing in Multilingual Settings (LITMUS) battery (Armon-Lotem, de Jong & Meir, 2015). Here we analyse results on receptive and expressive word knowledge tasks for nouns and verbs across 17 languages from eight different language families: Baltic (Lithuanian), Bantu (isiXhosa), Finnic (Finnish), Germanic (Afrikaans, British English, South African English, German, Luxembourgish, Norwegian, Swedish), Romance (Catalan, Italian), Semitic (Hebrew), Slavic (Polish, Serbian, Slovak) and Turkic (Turkish). The participants were 639 monolingual children aged 3;0-6;11 living in 15 different countries. Differences in vocabulary size were small between 16 of the languages; but isiXhosa-speaking children knew significantly fewer words than speakers of the other languages. There was a robust effect of word class: accuracy was higher for nouns than verbs. Furthermore, comprehension was more advanced than production. Results are discussed in the context of cross-linguistic comparisons of lexical development in monolingual and bilingual populations.","There was a robust effect of word class: accuracy was higher for nouns than verbs, and comprehension was more advanced than production, in cross-linguistic comparisons of lexical development in monolingual and bilingual populations."
"Bilingual adjusted vocabulary: A developmentally-informed bilingual vocabulary measure","https://scispace.com/paper/bilingual-adjusted-vocabulary-a-developmentally-informed-q5yo2brx7je1","","","","Ana Maria Gonzalez-Barrero
Esther  Schott
Krista  Byers-Heinlein","10.31234/osf.io/x7s4u","","Vocabulary size is one of the most important early metrics of language development. Assessing vocabulary in bilingual children is complex because bilinguals learn words in two languages, which include translation equivalents (cross-language synonyms). We collected expressive vocabulary data from English and French monolinguals (n = 220), and English–French bilinguals (n = 184) aged 18–33 months, via parent report using the MacArthur-Bates Communicative Development Inventories, and quantified bilinguals’ vocabulary size using different approaches to counting translation equivalents. Our results showed that traditional approaches yield larger (word vocabulary) or smaller (concept vocabulary) quantification of bilinguals’ vocabulary knowledge relative to monolinguals. We propose a new metric, the bilingual adjusted vocabulary, that yields similar vocabulary sizes for monolinguals and bilinguals across different ages. Uniquely, this approach counts translation equivalents differently depending on the child’s age. This developmentally-informed bilingual vocabulary measure reveals differences in word learning abilities across ages, and provides a new approach to measure vocabulary in bilingual toddlers.",""
"Cross-Linguistic Comparative Approaches to Language Acquisition","https://scispace.com/paper/cross-linguistic-comparative-approaches-to-language-f13gsdu2xv","2006","Book Chapter","","D. Slobin","10.1016/B0-08-044854-2/04199-7","","Cross-linguistic studies of child language seek to compare the acquisition of comparable and contrasting languages in order to discover the mechanisms and processes that drive the course of development in general. Studies of first-language acquisition have been carried out on a great range of languages, both spoken and signed, revealing common developmental patterns. The comparative method makes it possible to determine the roles of many interacting factors in the acquisition process, such as perceptual saliency, type of linguistic construction, semantic categories, frequency of use, and communicative functions of linguistic forms.","In this paper, the authors compare the acquisition of comparable and contrasting languages in order to discover the mechanisms and processes that drive the course of development in general, including perceptual saliency, type of linguistic construction, semantic categories, frequency of use, and communicative functions of linguistic forms."
"The Heterogeneity of Word Learning Biases in Late-Talking Children.","https://scispace.com/paper/the-heterogeneity-of-word-learning-biases-in-late-talking-2noowixntk","2019","Journal Article","Journal of Speech Language and Hearing Research","Lynn K. Perry
Sarah C. Kucker","10.1044/2019_JSLHR-L-ASTM-18-0234","","Purpose The particular statistical approach researchers choose is intimately connected to the way they conceptualize their questions, which, in turn, can influence the conclusions they draw. One particularly salient area in which statistics influence our conclusions is in the context of atypical development. Traditional statistical approaches such as t tests or analysis of variance lend themselves to a focus on group differences, downplaying the heterogeneity that exists within so many atypically developing populations. Understanding such variability is important-classification of what a disorder is, an individual's diagnosis, and whether or not a child receives intervention all directly relate to an accurate classification of the disorder and individual's abilities compared to their typically developing peers. Method Here, we use word learning biases (i.e., shape and material biases) in late-talking children as a sample case and employ a variety of statistical approaches to compare the conclusions those approaches might warrant. Results We argue that advanced statistical approaches, such as mixed-effects regression, can help us make sense of heterogeneity and are more consistent with a modern dimensional view of language disorders. Conclusions Accurate characterization of late-talking children (and others at risk for delays) and their prognoses is necessary for accurate diagnosis and implementation of appropriate target interventions. It therefore requires rigorous statistical analyses that can capture and allow for interpretation of the heterogeneity inherent in populations with language delays and disorders.","Accurate characterization of late-talking children and their prognoses is necessary for accurate diagnosis and implementation of appropriate target interventions, and requires rigorous statistical analyses that can capture and allow for interpretation of the heterogeneity inherent in populations with language delays and disorders."
"Cross-Cultural Differences in the Input to Early Word Learning","https://scispace.com/paper/cross-cultural-differences-in-the-input-to-early-word-1ozl4md4a2","2003","Proceedings Article","Conference Cognitive Science","Jesse Snedeker
Peggy Li
Sylvia Yuan","","","Young English learners typically have vocabularies dominated by nouns, while their Mandarin learning counterparts have relatively more verbs. Novice language learners must initially learn words from the situational contexts in which they appear, since they have limited access to syntactic or semantic context. These studies explore whether differences in these situational contexts could account for the differences in early vocabulary composition. We assessed the potency of this word-to-world mapping procedure in each language by asking adults to identify nouns and verbs from their extralinguistic contexts in maternal speech. The full pattern is examined in English native speakers given either English or Mandarin input (Exp. 1) and Mandarin native speakers given English or Mandarin input (Exp. 2). Results indicate that adults identify more nouns than verbs in English input, but identify as many verbs as nouns in Mandarin input. Thus cross-linguistic differences in the information that is available in extralingistic contexts may account for some of the differences in early vocabulary composition.","Results indicate that adults identify more nouns than verbs in English input, but identify as many verbs as nouns in Mandarin input, suggesting cross-linguistic differences in the information that is available in extralingistic contexts may account for some of the differences in early vocabulary composition."
"The ACQDIV Database: Min(d)ing the Ambient Language","https://scispace.com/paper/the-acqdiv-database-min-d-ing-the-ambient-language-yxnxmc101w","2016","Proceedings Article","Language Resources and Evaluation","Steven Moran","10.5167/UZH-132348","","One of the most pressing questions in cognitive science remains unanswered: what cognitive mechanisms enable children to learn any of the world’s 7000 or so languages? Much discovery has been made with regard to specific learning mechanisms in specific languages, however, given the remarkable diversity of language structures (Evans and Levinson, 2009; Bickel, 2014) the burning question remains: what are the underlying processes that make language acquisition possible, despite substantial cross-linguistic variation in phonology, morphology, syntax, etc.? To investigate these questions, a comprehensive cross-linguistic database of longitudinal child language acquisition corpora from maximally diverse languages has been built.","To investigate these questions, a comprehensive cross-linguistic database of longitudinal child language acquisition corpora from maximally diverse languages has been built."
