"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Developmental changes in the early child lexicon in Mandarin Chinese","https://scispace.com/paper/developmental-changes-in-the-early-child-lexicon-in-mandarin-4dpg878tae","2015","Journal Article","Journal of Child Language","Meiling Hao
Youyi Liu
Hua Shu
Ailing Xing
Ying Jiang
Ping Li","10.1017/S030500091400018X","","In this paper we report a large-scale developmental study of early productive vocabulary acquisition by 928 Chinese-speaking children aged between 1;0 and 2;6, using the Early Vocabulary Inventory for Mandarin Chinese (Hao, Shu, Xing & Li, 2008). The results show that: (i) social words, especially words for people, are the predominant type of words in Chinese-speaking children's earliest productive vocabulary; (ii) overall, Chinese-speaking children's vocabulary contains greater proportions of nouns than other word categories, especially at the earliest vocabulary stage; and (iii) verbs tend to appear earlier for Chinese-speaking children as compared with English-speaking children at the same levels of vocabulary development. In addition, our study has identified the underlying variables that influence the age of acquisition of words, specifically, the interplay between the conceptual (imageability) and linguistic properties (word frequency, word length, and grammatical category) that jointly shape the development of Mandarin-speaking children's early vocabulary.","The study has identified the underlying variables that influence the age of acquisition of words, specifically, the interplay between the conceptual (imageability) and linguistic properties (word frequency, word length, and grammatical category) that jointly shape the development of Mandarin-speaking children's early vocabulary."
"Exploring the Linguistic, Cognitive, and Social Skills Underlying Lexical Processing Efficiency as Measured by the Looking-while-Listening Paradigm.","https://scispace.com/paper/exploring-the-linguistic-cognitive-and-social-skills-3kqibon7kx","2021","Journal Article","Journal of Child Language","Samuel Ronfard
Ran Wei
Meredith L. Rowe","10.1017/S0305000921000106","","The looking-while-listening (LWL) paradigm is frequently used to measure toddlers' lexical processing efficiency (LPE). Children's LPE is associated with vocabulary size, yet other linguistic, cognitive, or social skills contributing to LPE are not well understood. It also remains unclear whether LPE measures from two types of LWL trials (target-initial versus distractor-initial trials) are differentially associated with the abovementioned potential correlates of LPE. We tested 18- to 24-month-olds and found that children's word learning on a fast-mapping task was associated with LPE measures from all trials and distractor-initial trials but not target-initial trials. Children's vocabulary and pragmatic skills were both associated with their fast-mapping performance. Executive functions and pragmatic skills were associated with LPE measures from distractor-initial but not target-initial trials. Hence, LPE as measured by the LWL paradigm may reflect a constellation of skills important to language development. Methodological implications for future studies using the LWL paradigm are discussed.","This paper found that children's word learning on a fast-mapping task was associated with LPE measures from all trials and distractor-initial trials but not target-initial trial."
"It’s all in the interaction: early acquired words are both frequent and highly imageable","https://scispace.com/paper/its-all-in-the-interaction-early-acquired-words-are-both-4mwyjuthed","2024","Preprint","","Joseph Coffey
Jesse Snedeker","10.31234/osf.io/3mfcu","","Prior studies have found that children are more likely to learn words that are frequent in the input and highly imageable. Many theories of word learning, however, predict that these variables should interact, particularly early in development: frequency of a form is of little use if you cannot infer its meaning, and a concrete word cannot be acquired if you never hear it. The present study explores this interaction, how it changes over time and its relationship to syntactic category effects in children acquiring American English. We analyzed 1461 monolingual English-speaking children aged 1;4-2;6 from the MB-CDI norming study (Fenson et al., 1994). Word frequency was estimated from the CHILDES database, and imageability was measured using adult ratings. There was a strong over-additive interaction between frequency and imageability, such that children were more likely to learn a word if it was both highly imageable and very frequent. This interaction was larger in younger children than in older children. There were reliable differences between syntactic categories independent of frequency and imageability, which did not interact with age. These findings are consistent with theories in which children’s early words are acquired by mapping frequent word forms onto concrete, perceptually available referents, such that highly frequent items are only acquired if they are also imageable, and vice versa. ","Early-acquired words are both frequent and highly imageable, with a strong over-additive interaction between the two variables."
"FAST-TRACK REPORT Speed of word recognition and vocabulary knowledge in infancy predict cognitive and language outcomes in later childhood","https://scispace.com/paper/fast-track-report-speed-of-word-recognition-and-vocabulary-26zajqojoa","2008","","","Virginia A. Marchman
Anne Fernald","","","The nature of predictive relations between early language and later cognitive function is a fundamental question in research on human cognition. In a longitudinal study assessing speed of language processing in infancy, Fernald, Perfors and Marchman (2006) found that reaction time at 25 months was strongly related to lexical and grammatical development over the second year. In this follow-up study, children originally tested as infants were assessed at 8 years on standardized tests of language, cognition, and working memory. Speed of spoken word recognition and vocabulary size at 25 months each accounted for unique variance in linguistic and cognitive skills at 8 years, effects that were attributable to strong relations between both infancy measures and working memory. These findings suggest that processing speed and early language skills are fundamental to intellectual functioning, and that language development is guided by learning and representational principles shared across cognitive and linguistic domains.","Findings suggest that processing speed and early language skills are fundamental to intellectual functioning, and that language development is guided by learning and representational principles shared across cognitive and linguistic domains."
"The timescales of word learning in children with language delays: In-the-moment mapping, retention, and generalization","https://scispace.com/paper/the-timescales-of-word-learning-in-children-with-language-o0f0nsjl","2022","Journal Article","Journal of Child Language","Laetitia Bracco","10.1017/s0305000921000817","","Abstract Learning new words and, subsequently, a lexicon, is a time-extended process requiring encoding of word-referent pairs, retention of that information, and generalization to other exemplars of the category. Some children, however, fail in one or more of these processes resulting in language delays. The present study examines the abilities of children who vary in vocabulary size (including both children with normal language (NL) and late talking (LT) children) across multiple timescales/processes – known and novel word mapping, novel word retention, and novel noun generalization. Results indicate that children with lower language skills suffer from deficits in quick in-the-moment mapping of known words compared to their NL peers, but age and vocabulary size rather than normative vocabulary ranking or NL/LT status better predicts performance on retention and generalization processes. Implications for understanding language development as a holistic process with multiple interacting variables are discussed. ","This article examined the abilities of children who vary in vocabulary size (including both children with normal language (NL) and late talking (LT) children) across multiple timescales/processes -known and novel word mapping, novel word retention, and novel noun generalization."
"A matter of time: novel nouns mark object categories when delays are imposed","https://scispace.com/paper/a-matter-of-time-novel-nouns-mark-object-categories-when-3fep6d0mvn","1999","Journal Article","Developmental Science","Sandra R. Waxman
Murat Philippe
Amy Branning","10.1111/1467-7687.00055","","In previous work, preschool-aged children have revealed a specific expectation that novel count nouns (but not adjectives) will refer to object categories (but not to object properties or to thematic relations). However, in these tasks, children have been permitted to extend a novel word immediately after it has been introduced. The current experiments test the hypothesis that the noun-category bias is sufficiently robust to hold up even when a delay is imposed between a naming episode and the child’s opportunity for extension. To capture this phenomenon experimentally, we imposed delays of 30 s (Experiment 1) and 1 h (Experiment 2). Across both delay conditions, children in a ‘novel noun’ condition revealed a strong inclination to consistently choose other members of the same object category as the (previously named) target. Children in either a ‘novel adjective’ or ‘no word’ condition revealed no taxonomic inclination. These results establish the power of the noun-category bias in situations that more closely approximate some of the very real challenges that children face in mapping and extending novel words.","This paper found that children in a novel noun condition consistently choose other members of the same object category as the previously named target, even when a delay is imposed between a naming episode and the child's opportunity for extension."
"Chapter 6 Input and the acquisition of vocabulary: Examining the parental lexicon","https://scispace.com/paper/chapter-6-input-and-the-acquisition-of-vocabulary-examining-3146td5znd","1997","Book Chapter","Advances in psychology","Jean Berko Gleason
Richard Ely","10.1016/S0166-4115(97)80138-0","","Publisher Summary The chapter provides a sociocognitive perspective on the acquisition of vocabulary by young children. Three facets of the lexicon are under consideration. First, the chapter examines the core vocabulary, the most common words in the language, words that are provided by all parents and learned by all children. Next, it moves to two delimited domains, the lexicon of basic color words, and the lexicon of monetary terms. Two data sets are used from the Child Language Data Exchange System (CHILDES), the Gleason Corpus, and the New England Sample, to consider the relation between parents' input language and children's acquisition of a core vocabulary, as well as acquisition of specific color and monetary terms. The findings suggest that, although children universally possess cognitive propensities that predict the order of acquisition of vocabulary, adults' language to children reflects and accentuates a similar hierarchy. Examination of the input vocabulary shows that the emphasis and elaboration provided by adults within a given domain varies with the cultural importance of the domain.","The authors examined the relation between parents' input language and children's acquisition of a core vocabulary, as well as acquisition of specific color and monetary terms, and found that children universally possess cognitive propensities that predict the order of acquisition of vocabulary, adults' language to children reflects and accentuates a similar hierarchy."
"Early vocabulary development in very young French-English bilinguals: A longitudinal study","https://scispace.com/paper/early-vocabulary-development-in-very-young-french-english-2pztllbgz2","2017","Dissertation","","Jacqueline Legacy","","","The present dissertation had three main goals: 1) To examine similarities and differences in monolingual and bilingual vocabulary acquisition during a critical period of development 2) To examine how processing speed and language exposure differentially impact vocabulary development and the acquisition of translation equivalents (TEs; words in each language that mean the same thing, such as dog in English and chien in French) in bilingual children during the second year of life, and 3) To acquire a more comprehensive understanding of the stability and continuity of early bilingual vocabulary development by using a direct measure of vocabulary comprehension and processing speed (the Computerized Comprehension Task; CCT) in conjunction with parent reported vocabulary (the MacArthur Bates Communicative Development Inventory; CDI) longitudinally. In order to address these goals, data was collected on two samples of children, one monolingual and one bilingual, at three different developmental time points. Three manuscripts were then written based on this data, and are included as part of this dissertation. 
The first manuscript, published in 2016 in the Journal of Child Language, examines the receptive vocabulary development of a sample of French-English bilingual and French monolingual children at 16 months of age. This manuscript not only compares the bilingual sample’s receptive vocabulary development and word processing speed to that of their monolingual peers using data from the CCT and CDI, but it also examines the emergence of TE acquisition, and investigates within- and cross-language relations between vocabulary size and reaction time (RT). The findings from this paper suggest that bilingual receptive vocabulary development is largely on par with that of monolingual development, and that learning more than one language from birth does not hinder children’s speed of lexical access. Importantly, it also emphasizes the link between language exposure, vocabulary size, and processing speed, and shows that children with larger vocabularies tend to be faster at processing words.
The second manuscript included in this dissertation was published in Bilingualism: Language and Cognition in 2016. It follows the same samples of children from 16 to 22 months of age, and focuses on growth in vocabulary comprehension and production, as well as changes in language exposure and processing speed across waves. Importantly, this study is the first to investigate vocabulary growth in a sample of French–English bilingual toddlers using a longitudinal design in conjunction with a direct measure of vocabulary development. Although both receptive and expressive vocabulary development began slowly in the bilingual sample with learning divided across languages, over time these toddlers acquired approximately as many new words as their monolingual peers in their dominant language, and exhibited a total vocabulary size that was equivalent to, or larger than, their monolingual peers. Furthermore, children’s processing speed increased across waves, and RT on the CCT at 16 months emerged as a significant predictor of receptive vocabulary size at 22 months for the bilinguals. Importantly, both within- and cross-language relations emerged between language exposure, vocabulary size, and processing speed for the bilinguals, once again emphasizing the complex interplay between these variables early on in development. 
Finally, the third manuscript included in the present dissertation was published in the Journal of Child Language in 2017. It focuses on productive vocabulary development and the acquisition of TEs in our French-English bilingual sample across three developmental time points, at 16, 22, and 30 months. It also compares a direct measure of TE development with parent report in a separate sample of 24-month-old French-English bilinguals. This is the first study to longitudinally investigate the impact that changes in language exposure and vocabulary size have on TE development during the second and third years of life. It is also the first study to compare a direct measure of TE comprehension with parent report during the second year of life. This manuscript shows that the acquisition of TEs is a gradual process that begins early on in bilingual development. It also provides evidence for the relation between quantity of language exposure and TE development, but shows that the ratio of L1 (dominant) to L2 (non-dominant) vocabulary is a better predictor of TE development than L2 exposure alone in young bilinguals. Lastly, this manuscript emphasizes the importance of using both direct and indirect measures of early vocabulary comprehension and TE development, as it shows that parents of bilingual children may have a tendency to over-report their child’s receptive word knowledge when completing vocabulary checklists.","The authors investigated the relationship between language exposure, vocabulary size, and processing speed in young bilingual children and found that children with larger vocabularies tend to be faster at processing words, and that the ratio of L1 (dominant) to L2 (non dominant) vocabulary is a better predictor of TE development than L2 exposure alone."
"Modelling vocabulary development among multilingual children prior to and following the transition to school entry.","https://scispace.com/paper/modelling-vocabulary-development-among-multilingual-children-4df00jw56s","2019","Journal Article","International Journal of Bilingual Education and Bilingualism","Andrea A. N. MacLeod
Natalie Castellanos-Ryan
Sophie Parent
Sophie Jacques
Jean R. Séguin","10.1080/13670050.2016.1269718","","Differences between monolingual and multilingual vocabulary development have been observed but few studies provide a longitudinal perspective on vocabulary development before and following school entry. This study compares vocabulary growth profiles of 106 multilingual children to 211 monolingual peers before and after school entry to examine whether: (1) school entry coincides with different rates of vocabulary growth compared to prior to school entry, (2) compared to monolingual peers, multilingual children show different vocabulary sizes or rates of vocabulary growth, (3) the age of onset of second-language acquisition for multilingual children is associated with vocabulary size or rate of vocabulary growth, and (4) the sociolinguistic context of the languages spoken by multilingual children is associated with vocabulary size or rate of vocabulary growth. Results showed increases in vocabulary size across time for all children, with a steeper increase prior to school entry. A significant difference between monolingual and multilingual children who speak a minority language was observed with regards to vocabulary size at school entry and vocabulary growth prior to school entry, but growth rate differences were no longer present following school entry. Taken together, results suggest that which languages children speak may matter more than being multilingual per se.","Results suggest that which languages children speak may matter more than being multilingual per se, and the sociolinguistic context of the languages spoken by multilingual children is associated with vocabulary size or rate of vocabulary growth."
"Lexical Access in the Second Year: a Study of Monolingual and Bilingual Vocabulary Development.","https://scispace.com/paper/lexical-access-in-the-second-year-a-study-of-monolingual-and-3566q04a28","2017","Journal Article","Bilingualism: Language and Cognition","Stephanie DeAnda
Kristi Hendrickson
Pascal Eric Zesiger
Diane Poulin-Dubois
Margaret Friend","10.1017/S1366728917000220","","It is well established that vocabulary size is related to efficiency in auditory processing, such that children with larger vocabularies recognize words faster than children with smaller vocabularies The present study evaluates whether this relation is specific to the language being assessed, or related to general language or cognitive processes Speed of word processing was measured longitudinally in Spanish- and English-learning monolinguals and bilinguals at 16 and 22 months of age Speed of processing in bilinguals was similar to monolinguals, suggesting that the number of languages to which children are exposed does not influence word recognition Further, cross-language associations in bilinguals suggest that the dominant language supports processing in the non-dominant language These cross-language associations are consistent with general language and cognitive efficiency accounts in which the relation between word processing and knowledge relies on experience within a language as well as on general and cognitive properties of language learning","Cross-language associations in bilinguals suggest that the dominant language supports processing in the non-dominant language, consistent with general language and cognitive efficiency accounts in which the relation between word processing and knowledge relies on experience within a language as well as on general and cognitive properties of language learning."
