"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Ephemeral reward task: Why is it so difficult for pigeons to learn it?","https://scispace.com/paper/ephemeral-reward-task-why-is-it-so-difficult-for-pigeons-to-dky2ccfqpjn9","2025","Journal Article","Journal of experimental psychology. Animal learning and cognition","Daniel N. Peng
Zubair Iqbal
Thomas R. Zentall","10.1037/xan0000397","","In the Ephemeral Reward Task, a subject is presented with a choice between two stimuli, A and B. If it chooses A, it gets a reward and the trial is over. If it chooses B, it gets a reward and it can then respond to A, to obtain a second reward. Wrasse (cleaner fish) and parrots learn to choose B optimally within 100 trials, primates may also learn, whereas pigeons and rats do not. We attempted to determine why pigeons have difficulty learning their task. First, we tested the hypothesis that pigeons fail because the outcome after choice of A is similar to the outcome after a response to A given choice of B. For group AC, after the choice of B, stimulus A changed to stimulus C. For group BC, after the choice of stimulus B, stimulus B changed to stimulus C. For group BB, after the choice of stimulus B, stimulus B remained for a second reward. None of the three groups learned to choose optimally. In Experiment 2, the probability of reward for choice of stimulus A or B was reduced to 50%. Pigeons learned to choose optimally. We suggest that the difference in value between one and two rewards may not be as great as the difference in value between 0.5 and one reward. (PsycInfo Database Record (c) 2025 APA, all rights reserved). ","Pigeons struggle to learn the Ephemeral Reward Task, but learn optimally when reward probability is reduced to 50%, suggesting the value difference between one and two rewards is less significant than between 0.5 and one reward."
"Practice makes proficient: pigeons (Columba livia) learn efficient routes on full-circuit navigational traveling salesperson problems","https://scispace.com/paper/practice-makes-proficient-pigeons-columba-livia-learn-4krvpx638u","2015","Journal Article","Animal Cognition","Danielle M. Baron
Alejandro Ramirez
Vadim Bulitko
Christopher R. Madan
Ariel Greiner
Peter L. Hurd
Marcia L. Spetch","10.1007/S10071-014-0776-6","","Visiting multiple locations and returning to the start via the shortest route, referred to as the traveling salesman (or salesperson) problem (TSP), is a valuable skill for both humans and non-humans. In the current study, pigeons were trained with increasing set sizes of up to six goals, with each set size presented in three distinct configurations, until consistency in route selection emerged. After training at each set size, the pigeons were tested with two novel configurations. All pigeons acquired routes that were significantly more efficient (i.e., shorter in length) than expected by chance selection of the goals. On average, the pigeons also selected routes that were more efficient than expected based on a local nearest-neighbor strategy and were as efficient as the average route generated by a crossing-avoidance strategy. Analysis of the routes taken indicated that they conformed to both a nearest-neighbor and a crossing-avoidance strategy significantly more often than expected by chance. Both the time taken to visit all goals and the actual distance traveled decreased from the first to the last trials of training in each set size. On the first trial with novel configurations, average efficiency was higher than chance, but was not higher than expected from a nearest-neighbor or crossing-avoidance strategy. These results indicate that pigeons can learn to select efficient routes on a TSP problem.","P pigeons were trained with increasing set sizes of up to six goals, with each set size presented in three distinct configurations, until consistency in route selection emerged, indicating that pigeons can learn to select efficient routes on a TSP problem."
"Observational learning in the pigeon: Effects of model’s rate of response and percentage of reinforcement","https://scispace.com/paper/observational-learning-in-the-pigeon-effects-of-model-s-rate-40jnv28if6","1986","Journal Article","Animal Learning & Behavior","Cathie E. Alderks","10.3758/BF03200075","","Seventeen pigeons observed a model peck an illuminated key at either a high or a low rate and obtain a high or low percentage of possible reinforcement. Observers were subsequently placed on an automaintenance schedule. Although there was no difference among groups in the number of trials to the first peck, when the present data were compared with other researchers’ automaintenance-acquisition data, there was some indication that modeling reduced the number of trials to the first peck over nonmodeled birds. However, by the end of 20 sessions, the birds that had observed a model pecking at a high rate and with consistent reinforcement pecked significantly faster than those that had observed the model peck at a slow rate or obtain infrequent reinforcement. The conclusion is that two types of information are transferred via a model: first, a correlation between the stimulus and the reinforcer, and second, the specific or minute attributes of the schedule that may produce reinforcement.","In this article, the authors observed a model pecking an illuminated key at either a high or low rate and obtain a high and low percentage of possible reinforcement, respectively, and placed observers on an automaintenance schedule."
"Processing of hierarchic stimulus structures has advantages in humans and animals","https://scispace.com/paper/processing-of-hierarchic-stimulus-structures-has-advantages-4kc6nsxbmi","1994","Journal Article","Biological Cybernetics","Martina Siemann
Juan D. Delius","10.1007/BF00198471","","Carmesin and Schwegler (1994) have determined theoretically that a linear hierarchical stimulus structure can be encoded by a parallel network of minimal complexity. The experiments reported here compare the efficiency with which humans and pigeons process sets of stimulus pairs embodying different inequality structures. Groups of subjects of each species were taught to discriminate all 10 pairwise combinations of 5 stimuli with an operant conditioning method. For one group, the reward/punishment allocations within the pairs agreed with a linear hierarchy. For a second and third group, the reinforcement allocations of one or three, respectively, of the stimulus pairs deviated from such ordering. The time it took the subjects to learn the tasks as well as the final choice latencies and/or error rates increased with the number of deviating inequalities. The results agree with the assumption that both humans and pigeons encode stimulus inequality structures with parallel processing neural networks rather than with a sequentially processing algorithm.","The experiments reported here compare the efficiency with which humans and pigeons process sets of stimulus pairs embodying different inequality structures and agree with the assumption that both humans and pigeon encode stimulus inequality structures with parallel processing neural networks rather than with a sequentially processing algorithm."
"Do animals have insight, and what is insight anyway?","https://scispace.com/paper/do-animals-have-insight-and-what-is-insight-anyway-1zmu789ses","2012","Journal Article","Canadian Journal of Experimental Psychology","Sara J. Shettleworth","10.1037/A0030674","","We cannot test animals for insight's distinctive phenomenology, the ""aha"" experience, but we can study the processes underlying insightful behaviour, classically described by Kohler as sudden solution of a problem after an impasse. The central question in the study of insightful behaviour in any species is whether it is the product of a distinctive cognitive process, insight. Although some claims for insight in animals confuse it with other problem-solving processes, contemporary research on string pulling and other physical problems, primarily with birds, has uncovered new examples of insightful behaviour and shed light on the role of experience in producing it. New research suggests insightful behaviour can be captured in common laboratory tasks while brain activity is monitored, opening the way to better integration of research on animals with the cognitive neuroscience of human insight.Keywords: insight, comparative cognition, problem solving, animals, learningA chimpanzee gestures fruitlessly toward a banana lying beyond arm's reach. An elephant extends its trunk toward an apple hanging high overhead. When animals are confronted with inaccessible rewards like these, do they ever use insight to solve the problem of getting them? That is, do they seem to suddenly see a solution? This question was central to some of the earliest studies of animal problem solving (Boakes, 1984). It also motivated the seminal work of Kohler (1925/1959) and figured in Thorpe's (1956) discussion of learning in animals, but otherwise the question whether nonhuman species have insight was largely neglected by comparative psychologists for most of the 20th century. One exception was D. O. Hebb (1949), in whose honour this essay is written and whose contributions are discussed later in this article.Recently the study of animal insight has reemerged as part of the burgeoning field of comparative cognition. Contemporary research on many topics in this field such as memory, numerical and spatial cognition, and theory of mind has become seamlessly integrated with theory and data from cognitive neuroscience and human cognitive and developmental psychology (see Shettleworth, 2010a). A good example is in the study of numerical cognition. Parallel experiments with monkeys and children have uncovered common systems for precise assessment of small numbers of items and for approximate representations of large quantities (Cantlon, Piatt, & Brannon, 2009). These same systems are evident in behavioural tests with human adults and in single-cell recordings with monkeys (Nieder & Dehaene, 2009), supporting a view of human numerical competence in which it develops via uniquely human mechanisms from simple core systems shared with other species (Spelke & Lee, 2012). In contrast, with few exceptions (e.g., Call, in press), most current discussions of animal insight almost completely overlook recent literature on human problem-solving. They also tend to give short shrift to explanations of insightful behaviours in terms of basic learning mechanisms. The purpose of this article is to redress this balance and to ask whether doing so suggests new directions for comparative research.The article has three main sections. For a basis from which to compare work with nonhuman animals (henceforth simply animals), we first look at major issues and approaches in current research on human insight. We then turn to the landmarks in 20th century research on animal insight, with particular attention to the work of Kohler (1925/1959) and Epstein (1985). Finally we look at a sample of 21st century studies with diverse species and paradigms that have been claimed to reveal insight.Human Insight: A Brief ReviewLike the problem of the out-of-reach banana or the dangling apple, problems that humans may solve insightfully involve a goal that cannot be reached in the way most subjects try first. Such problems can be as simple as a paper-and-pencil test in which dots in a 3 X 3 array must be joined by four connected straight lines (the ""9 dot"" problem, see Weisberg, 2006). …","New research suggests insightful behaviour can be captured in common laboratory tasks while brain activity is monitored, opening the way to better integration of research on animals with the cognitive neuroscience of human insight."
"Rapid acquisition of a novelty versus familiarity concept by pigeons (Columba livia).","https://scispace.com/paper/rapid-acquisition-of-a-novelty-versus-familiarity-concept-by-3aassmaj5q","1989","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Euan M. Macphail
Steve Reilly","10.1037/0097-7403.15.3.242","","Pigeons performed a successive discrimination task in which responding to novel slides was rewarded, and responding to familiar slides, seen once previously, was not rewarded. In Experiment 1, naive Ss initially responded more rapidly to familiar slides, but all Ss learned to respond more rapidly to novel slides within a few sessions. In Experiment 2, Ss transferred immediately to novel trial sequences. Experiment 3 showed that both increased retention intervals and interpolated slide presentations impaired recognition. Experiment 4 showed that Ss treated duplicate slides as familiar and confirmed that Ss were using a ""novelty versus familiarity"" concept. The authors conclude that such a concept is readily available to pigeons. This article concerns recognition memory in pigeons; it reports a series of experiments in which the birds had to base the decision of whether or not to respond solely on the novelty or familiarity of the stimulus displayed at the time of the decision. The technique that was used resembles the successive matching-to-sample paradigm proposed by Konorski (1959) and implemented by Wasserman (1976), but differs in two respects: First, pigeons are rewarded for responding to the initial presentation of a stimulus (corresponding to the sample phase), and are not rewarded for responding to the second presentation of a stimulus; second, unique stimuli are used throughout, so that each stimulus appears only once as a novel stimulus (the ""sample"") and only once as a familiar stimulus. Because this task involves withholding responses to stimuli that on prior exposure were followed by reward, successful performance cannot plausibly be ascribed to reinforcement of associations involving specific stimuli and the pecking response. Previous investigations of recognition memory in pigeons suggested that pigeons may find it difficult to base their responding on novelty versus familiarity. Macphail (1980), for example, found very low levels of accuracy on a task in which pigeons made a choice between two white side keys on the basis of whether a stimulus on the center key matched or did not match any of a recently exposed list of from two to five stimuli. Greene (1983) found that although pigeons mastered a task that apparently required the recognition of stimuli, the pigeons had in fact learned to discriminate between","A series of experiments in which pigeons had to base the decision of whether or not to respond solely on the novelty or familiarity of the stimulus displayed at the time of the decision concluded that such a concept is readily available to pigeons."
"The ephemeral reward task: Pigeons and rats fail to learn unless discouraged from impulsive choice.","https://scispace.com/paper/the-ephemeral-reward-task-pigeons-and-rats-fail-to-learn-m97l6efwj9","2018","Journal Article","Animal Behavior and Cognition","Thomas R. Zentall
Jacob P. Case
Jonathon R. Berry
Jasmine Luong","10.26451/ABC.05.01.12.2018","","The failure of certain species to learn a particular task while others learn it easily can help identify the learning mechanisms involved. In the ephemeral reward task, animals are given a choice between two distinctive stimuli, A and B, each containing an identical bit of food. If they choose A they get the food on A and the trial is over. If they choose B they get the food on B and they are allowed to get the food on A before the trial is over. Thus, it is optimal to choose B. Although cleaner fish (wrasse) and parrots acquire the optimal response easily, several primate species do not. Furthermore, pigeons and rats also appear to be unable learn to choose optimally. The failure of primates, pigeons, and rats to learn this task and the ease with which cleaner fish and parrots learn it raises important questions about the learning mechanisms involved in those differences. To account for these paradoxical findings, we proposed that certain species may have difficulty with this task because they tend to respond impulsively to the initial choice which has similar immediate outcomes and they do not associate the choice and reinforcement with the second reinforcement. To test this hypothesis, we temporally separated the initial choice from the first reinforcement by imposing a 20-s delay between the choice and its outcome. Under these conditions both pigeons and rats gradually acquired the optimal choice response. We suggest that impulsive choice may make it difficult to acquire certain tasks and imposing a delay between choice and outcome may decrease impulsivity and allow for closer to optimal task performance.","It is suggested that impulsive choice may make it difficult to acquire certain tasks and imposing a delay between choice and outcome may decrease impulsivity and allow for closer to optimal task performance."
"""Insight"" in pigeons: absence of means-end processing in displacement tests.","https://scispace.com/paper/insight-in-pigeons-absence-of-means-end-processing-in-p6jmdq4r0x","2014","Journal Article","Animal Cognition","Robert G. Cook
Catherine Fowler","10.1007/S10071-013-0653-8","","The understanding of functional relations between action and consequence is a critical component of intelligence. To examine this linkage in pigeons, we investigated their understanding of the relations of the elements tested in an extension of Kohler’s box stacking task to this species. In the experiments, the pigeons had to move a spatially displaced box under an out-of-reach target. Experiment 1 successfully replicated and extended the previous finding showing that when separately trained to move a box and stand on it to peck the target, pigeons can synthesize these behaviors to solve the single-box displacement problem quickly on their first attempt. Experiment 2 tested whether pigeons, when given a simultaneous choice between two boxes with identical reinforcement histories, would selectively choose the box with the correct functional affordance (i.e., permitting standing) to solve the problem rather than a non-functional one. Their extensive, equivalent, and undirected behavior in moving both boxes during these tests suggests the pigeons did not possess a means–end understanding of the functional properties of the boxes. Instead, their results were consistent with an analysis of their earlier synthetic behavior as being due to the temporal and spatial relations of the physical elements in the task and their prior learned behaviors.","Pigeons’ results were consistent with an analysis of their earlier synthetic behavior as being due to the temporal and spatial relations of the physical elements in the task and their prior learned behaviors, which suggests they did not possess a means–end understanding of the functional properties of the boxes."
"Comportamentos novos originados a partir da interconexão de repertórios previamente treinados: uma replicação de Epstein, Kirshnit, Lanza e Rubin, 1984","https://scispace.com/paper/comportamentos-novos-originados-a-partir-da-interconexao-de-y81axblsh7","2008","Dissertation","","Juliana de Souza Ferreira","","","O presente estudo replicou a pesquisa de Epstein, Kirshnit, Lanza e Rubin (1984) no qual pombos conseguiram resolver um problema ao empurrar uma caixa ate um alvo que estava fora do alcance, subir na caixa e bicar o alvo. Foi investigado se comportamentos novos surgem por meio da interconexao de dois repertorios previamente treinados em ratos e se mudancas na ordem do treino desses dois repertorios alteram o desempenho do sujeito no teste. A pesquisa foi realizada com 3 ratos. O equipamento utilizado foi uma câmara circular de 69 cm de diâmetro, um triângulo, um led verde (luz) e uma caixa de acrilico. Foram treinadas duas habilidades, com os 3 sujeitos, separadamente. 1 sujeito aprendeu a: 1) subir na caixa e puxar o triângulo e 2) empurrar a caixa direcionadamente a uma luz. Esta ordem do treino associada as diferencas individuais implicou em um maior numero de sessoes de treino das 2 habilidades para este sujeito. Os outros 2 sujeitos aprenderam a: 1) empurrar a caixa direcionadamente a uma luz e 2) subir na caixa e puxar o triângulo. Esta ordem do treino implicou em um menor numero de sessoes de treino das 2 habilidades para os 2 sujeitos. Por fim, foi realizado um teste de insight: o triângulo foi colocado fora de alcance e a caixa foi colocada do outro lado da câmara. O sujeito deveria empurrar a caixa ate debaixo do triângulo, subir na caixa e puxa-lo. Os resultados mostraram que o sujeito que teve um treino mais longo, resolveu o problema de forma direcionada, continua e subita e satisfez os criterios para considerar a solucao um insight; um outro sujeito que passou pelo treino mais curto resolveu o problema, no entanto, entre a resposta de empurrar a caixa e as respostas de subir na caixa e puxar o triângulo transcorreu um intervalo de 2 minutos, a cadeia de respostas nao ocorreu de forma continua; e um terceiro sujeito nao resolveu o problema, apesar de ter passado por um treino parecido ao do sujeito que resolveu de forma descontinua","A pesquisa de Epstein, Kirshnit, Lanza and Rubin (1984) replicou a pesquise de Epstein et al. as discussed by the authors no qual pombos conseguiram resolver a problema ao empurrar uma caixa ate um alvo that estava fora do alcance."
"Object permanence in the pigeon (Columba livia): Insertion of a delay prior to choice facilitates visible- and invisible-displacement accuracy.","https://scispace.com/paper/object-permanence-in-the-pigeon-columba-livia-insertion-of-a-40b5rnb77h","2019","Journal Article","Journal of Comparative Psychology","Thomas R. Zentall
Olivia L Raley","10.1037/COM0000134","","Object permanence, often viewed as a measure of human cognitive development, has also been used to assess animals' cognitive abilities. Tests of object permanence have distinguished between visible displacement, in which an object may be placed into one of two (or more) containers to be retrieved, and invisible displacement, in which after the object is placed into the container, the container is moved before retrieval is attempted. We tested pigeons' accuracy on both visible and invisible displacement using a rotational beam with a container at either end. In Experiment 1, the pigeons showed some evidence of object permanence on an initial visible displacement test, but they did not maintain accurate choice. With training, their accuracy improved but only to about 70% correct. When tested on a 90° invisible displacement (rotation), accuracy transferred but once again dropped with further training. In Experiment 2, a 5-s delay was inserted between container baiting and choice. Once again, the pigeons showed some evidence of object permanence on an initial visible displacement test, although on the first test session, choice accuracy was not much better than in Experiment 1. With training, choice accuracy improved greatly. Furthermore, pigeons showed good transfer when they were tested on the 90° invisible displacement. Finally, and importantly, they also transferred well to a 180° invisible displacement, a displacement on which dogs failed. The results of these experiments suggest that under the right conditions, pigeons can show a moderate degree of object permanence. (PsycINFO Database Record (c) 2019 APA, all rights reserved).","The results of these experiments suggest that under the right conditions, pigeons can show a moderate degree of object permanence."
