"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Honeybees link sights to smells","https://scispace.com/paper/honeybees-link-sights-to-smells-3voiog310e","1998","Journal Article","Nature","Mandyam V. Srinivasan
Shaowu Zhang
H. Zhu","10.1038/25272","","It is common for a smell or a sound to trigger a vivid recollection of an associated event in the past, even if it involves a different sensory modality and the episode occurred a long time ago1,2. The human brain displays impressive cross-modal associative recall. Here we investigate whether this capacity extends to insects. We find that trained honeybees can recall a specific colour when they encounter a particular scent.","This paper found that trained honeybees can recall a specific color when they encounter a particular scent, even if it involves a different sensory modality and the episode occurred a long time ago."
"The Importance of Being Discrete (and Spatial)","https://scispace.com/paper/the-importance-of-being-discrete-and-spatial-1q7vmpyydo","1994","Journal Article","Theoretical Population Biology","Rick Durrett
Simon A. Levin","10.1006/TPBI.1994.1032","","","In this paper, the authors consider and compare four approaches to modeling the dynamics of spatially distributed systems: mean field approaches (described by ordinary differential equations) in which every individual is considered to have equal probability of interacting with every other individual, patch models that group discrete individuals into patches without additional spatial structure; reaction-diffusion equations, in which infinitesimal individuals are distributed in space; and interacting particle systems, where individuals are discrete and space is treated explicitly."
"Transfer of relational rules in matching and oddity learning by pigeons and corvids","https://scispace.com/paper/transfer-of-relational-rules-in-matching-and-oddity-learning-iphk956l3x","1985","Journal Article","Quarterly Journal of Experimental Psychology Section B-comparative and Physiological Psychology","Bundy Wilson
Bundy Wilson
N. J. Mackintosh
N. J. Mackintosh
Robert A. Boakes
Robert A. Boakes","10.1080/14640748508401173","","Three experiments compared the performance of pigeons and corvids when they were given the opportunity to transfer the relational rule underlying matching or oddity discriminations to new sets of s...","The authors compared pigeons and corvids when they were given the opportunity to transfer the relational rule underlying matching or oddity discriminations to new sets of sets of pigeons or corvid."
"Comparative studies in simple oddity learning: I. Cats, raccoons, monkeys, and chimpanzees","https://scispace.com/paper/comparative-studies-in-simple-oddity-learning-i-cats-108mz4ne76","1966","Journal Article","Psychonomic science","Paschal N. Strong
Monnie Hedges","10.3758/BF03328254","","Three cats, 3 raccoons, 3 monkeys, and 3 chimpanzees were trained in 1-trial simple oddity problems until criterion was attained or 4800 trials were administered. Identical stimuli and procedures were used with all Ss. It was found that cats and raccoons could not reach criterion while monkeys and chimpanzees did. Chimpanzees were superior to monkeys but the two groups overlapped.","It was found that cats and raccoons could not reach criterion while monkeys and chimpanzees did, and Chimpanzees were superior to monkeys but the two groups overlapped."
"Learnt sensori-motor mappings in honeybees: interpolation and its possible relevance to navigation","https://scispace.com/paper/learnt-sensori-motor-mappings-in-honeybees-interpolation-and-3fyk8lcfv9","1995","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","Thomas S. Collett
J. Baron","10.1007/BF00192418","","We investigated the ability of bees to associate a motor parameter with a sensory one. Foragers were trained to fly along a prescribed route through a large box which was partitioned into compartments. Access from one compartment to the next was through a hole in each partition. In two of the compartments, the back wall was covered with a grating of black and white stripes. Stripe orientations and the required trajectories differed in the two compartments so giving bees the opportunity to learn that one stripe orientation signalled the need to fly leftwards and the other rightwards. We videotaped the bees' trajectories through one of these compartments in tests with the grating on the back wall in one of four possible orientations. Flight trajectories to stripes in the training orientations were appropriately to the left or to the right implying that bees had linked a given flight direction to a given stripe orientation. With gratings oriented between the training values, flight directions were, under some conditions, intermediate between the training directions. This interpolation indicates that the training regime had induced a continuous mapping between stripe orientation and trajectory direction and thus suggests that trajectory direction is a motor parameter which is encoded explicitly within the brain. We describe a simple network that interpolates much like bees and we consider how interpolation may contribute to the ability of bees to navigate flexibly within a familiar environment.","A simple network that interpolates much like bees is described and how interpolation may contribute to the ability of bees to navigate flexibly within a familiar environment is considered."
"Pattern recognition in bees: orientation discrimination","https://scispace.com/paper/pattern-recognition-in-bees-orientation-discrimination-48tq2ptj5g","1990","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","van Johannes Hateren
van Johannes Hateren
Mandyam V. Srinivasan
P.B. Wait","10.1007/BF00192658","","1.

Honey bees (Apis mellifera, worker) were trained to discriminate between two random gratings oriented perpendicularly to each other. This task was quickly learned with vertical, horizontal, and oblique gratings. After being trained on perpendicularly-oriented random gratings, bees could discriminate between other perpendicularly-oriented patterns (black bars, white bars, thin lines, edges, spatial sinusoids, broken bars) as well.




2.

Several tests indicate that the stimuli were not discriminated on the basis of a literal image (eidetic template), but, rather, on the basis of orientation as a single parameter. An attempt to train bees to discriminate between two different random gratings oriented in the same direction was not successful, also indicating that the bees were not able to form a template of random gratings.




3.

Preliminary experiments with oriented ‘Kanizsa rectangles’ (analogue of Kanizsa triangle) suggest that edge detection in the bee may involve mechanisms similar to those that lead to the percept of illusory contours in humans.","In this paper, bees were trained to discriminate between two random gratings oriented perpendicularly to each other and showed that the stimuli were not discriminated on the basis of a literal image (eidetic template), but, rather, on a single parameter."
"The neural basis of associative reward learning in honeybees","https://scispace.com/paper/the-neural-basis-of-associative-reward-learning-in-honeybees-pzyxb564ss","1997","Journal Article","Trends in Neurosciences","Martin Hammer","10.1016/S0166-2236(96)01019-3","","","Appetitive learning of food-predicting stimuli, an essential part of foraging behavior in honeybees, follows the rules of associative learning and its structural properties suggest that it organizes the interaction of functionally different neural nets during learning and experience-dependent behavior."
"Transfer of matching performance in pigeons.","https://scispace.com/paper/transfer-of-matching-performance-in-pigeons-42k3dwjz8k","1979","Journal Article","Journal of the Experimental Analysis of Behavior","Paul W. Holmes","10.1901/JEAB.1979.31-103","","Three pigeons were given extensive training on three-key simultaneous matching problems using geometric-form and hue stimuli. After acquisition of matching, the birds were tested with pairs of stimuli involving one or both novel members. Matching during the test stimuli occurred less often than during the later stages of the acquisition phase, but more often than would occur if no transfer had taken place. Greater positive transfer was observed for problems that involved one, rather than two, novel stimuli. In the second phase of the experiment, previously trained birds were shifted to problems that required symbolic matching, i.e., the pigeons had to associate a particular center-key stimulus with a particular side-key stimulus. On each trial, one of two simuli was presented on the center key, and two other stimuli, different from those used on the center key, were displayed on the side keys. When the problem shift was introduced, correct responding was impaired, but remained considerably above chance level and quickly recovered in following sessions. The results were interpreted as favoring a stimulus-response-chaining account of matching behavior.","Three pigeons were given extensive training on three-key simultaneous matching problems using geometric-form and hue stimuli and previously trained birds were shifted to problems that required symbolic matching, i.e., the pigeons had to associate a particular center-key stimulus with a particular side-key stimuli."
"Same/different concept learning in the pigeon: the effect of negative instances and prior adaptation to transfer stimuli.","https://scispace.com/paper/same-different-concept-learning-in-the-pigeon-the-effect-of-3i8aog9kdr","1978","Journal Article","Journal of the Experimental Analysis of Behavior","Thomas R. Zentall
E. Hogan","10.1901/JEAB.1978.30-177","","Pigeons were trained on a matching-to-sample or oddity-from-sample task with shapes (circle and plus). Half of each group was exposed to ""negative instance"" trials i.e., for matching birds, neither comparison key matched the sample, and for oddity birds both comparison keys matched the sample. When all birds were transferred to a new task involving colors (red and green), nonshifted birds (transferred from matching to matching, or oddity to oddity) performed significantly better than shifted birds (transferred from matching to oddity, or oddity to matching), but only if they had experienced negative instances of the training concept. When all birds were exposed to negative instances of the transfer task and then transferred to a new color task (yellow and blue), dramatic transfer effects were observed. The effect of pre-exposure to the yellow and blue colors, in order to reduce transfer-stimulus novelty, had a minor effect on transfer.","When all birds were transferred to a new task involving colors, nonshifted birds performed significantly better than shifted birds (transferred from matching to oddity, or oddity to matching), but only if they had experienced negative instances of the training concept."
"Cognitive architecture of a mini-brain: the honeybee","https://scispace.com/paper/cognitive-architecture-of-a-mini-brain-the-honeybee-2m728hw8e0","2001","Journal Article","Trends in Cognitive Sciences","Randolf Menzel
Martin Giurfa","10.1016/S1364-6613(00)01601-6","","","The honeybee is used as a useful model for the study of intermediate levels of complexity in cognitive functions and the search for their neural substrates and it is shown that behavioural complexity in the honeybee cannot be explained by independent functions of vertically arranged, domain-specific processing modules, but requires horizontal integration in a central state."
