"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Simultaneous mastering of two abstract concepts by the miniature brain of bees","https://scispace.com/paper/simultaneous-mastering-of-two-abstract-concepts-by-the-1t1n2l5bfr","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Aurore Avarguès-Weber
Adrian G. Dyer
Maud Combe
Martin Giurfa","10.1073/PNAS.1202576109","","Sorting objects and events into categories and concepts is a fundamental cognitive capacity that reduces the cost of learning every particular situation encountered in our daily lives. Relational concepts such as “same,” “different,” “better than,” or “larger than”—among others—are essential in human cognition because they allow highly efficient classifying of events irrespective of physical similarity. Mastering a relational concept involves encoding a relationship by the brain independently of the physical objects linked by the relation and is, therefore, consistent with abstraction capacities. Processing several concepts at a time presupposes an even higher level of cognitive sophistication that is not expected in an invertebrate. We found that the miniature brains of honey bees rapidly learn to master two abstract concepts simultaneously, one based on spatial relationships (above/below and right/left) and another based on the perception of difference. Bees that learned to classify visual targets by using this dual concept transferred their choices to unknown stimuli that offered a best match in terms of dual-concept availability: their components presented the appropriate spatial relationship and differed from one another. This study reveals a surprising facility of brains to extract abstract concepts from a set of complex pictures and to combine them in a rule for subsequent choices. This finding thus provides excellent opportunities for understanding how cognitive processing is achieved by relatively simple neural architectures.","A surprising facility of brains to extract abstract concepts from a set of complex pictures and to combine them in a rule for subsequent choices is revealed, providing excellent opportunities for understanding how cognitive processing is achieved by relatively simple neural architectures."
"Conceptual learning by miniature brains","https://scispace.com/paper/conceptual-learning-by-miniature-brains-47bquqp0ed","2013","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2013.1907","","Concepts act as a cornerstone of human cognition. Humans and non-human primates learn conceptual relationships such as ‘same’, ‘different’, ‘larger than’, ‘better than’, among others. In all cases, the relationships have to be encoded by the brain independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high levels of cognitive sophistication and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual relationships involving visual stimuli. Concepts such as ‘same’, ‘different’, ‘above/below of’ or ‘left/right are well mastered by bees. We review here evidence about concept learning in honeybees and discuss both its potential adaptive advantage and its possible neural substrates. The results reviewed here challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts and have wide implications for understanding how brains can form conceptual relations.","Evidence about concept learning in honeybees is reviewed and its potential adaptive advantage and its possible neural substrates are discussed, challenging the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts.","Evidence about sameness/difference learning in bees is reviewed and its adaptive value within an ecological context is analyzed to challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
"Animal Concepts","https://scispace.com/paper/animal-concepts-nsa2rd24z85n","","","","Mark Wexler","10.1016/s1364-6613(00)01693-4","","Animals may possess much more complex concepts that previously thought, and even a form of consciousness, two recent studies report. The honeybee can perform a ‘delayed match-to-sample’ task: when exposed to the color red and later given the choice between red and green, the insect can be trained to choose red. In a recent report, Martin Giurfa and co-workers (Nature 410, 930-933) report that honeybees trained in this way can generalize correctly to previously unseen stimuli, even when in other modalities, and so can be shown to learn and use the abstract concept of ‘same’ (and ‘different’). For instance, when first trained to choose the same color, the insect generalizes and chooses the same shape, or the same smell.","Two studies suggest that animals, including honeybees, possess complex concepts and consciousness, demonstrating abstract thinking and learning abilities, such as generalizing ""same"" and ""different"" concepts across various modalities and stimuli."
"The concepts of ‘sameness’ and ‘difference’ in an insect","https://scispace.com/paper/the-concepts-of-sameness-and-difference-in-an-insect-4o9mpid56y","2001","Journal Article","Nature","Martin Giurfa
Shaowu Zhang
Arnim Jenett
Randolf Menzel
Mandyam V. Srinivasan","10.1038/35073582","","Insects process and learn information flexibly to adapt to their environment. The honeybee Apis mellifera constitutes a traditional model for studying learning and memory at behavioural, cellular and molecular levels. Earlier studies focused on elementary associative and non-associative forms of learning determined by either olfactory conditioning of the proboscis extension reflex or the learning of visual stimuli in an operant context. However, research has indicated that bees are capable of cognitive performances that were thought to occur only in some vertebrate species. For example, honeybees can interpolate visual information, exhibit associative recall, categorize visual information and learn contextual information. Here we show that honeybees can form 'sameness' and 'difference' concepts. They learn to solve 'delayed matching-to-sample' tasks, in which they are required to respond to a matching stimulus, and 'delayed non-matching-to-sample' tasks, in which they are required to respond to a different stimulus; they can also transfer the learned rules to new stimuli of the same or a different sensory modality. Thus, not only can bees learn specific objects and their physical parameters, but they can also master abstract inter-relationships, such as sameness and difference.","It is shown that honeybees can form ‘sameness’ and ‘difference’ concepts, and not only can bees learn specific objects and their physical parameters, but they can also master abstract inter-relationships, such as sameness and difference."
"Category difference facilitates oddity learning in honeybees (Apis mellifera).","https://scispace.com/paper/category-difference-facilitates-oddity-learning-in-honeybees-3fan63jydx","2020","Journal Article","Journal of Comparative Psychology","Nicole M. Muszynski
P. A. Couvillon","10.1037/COM0000228","","Performance of honeybees resembles that of vertebrates in a variety of associative learning experiments. Recent work has focused on relational learning phenomena not easily explained by associative principles, including same/different problems, the simplest of which is the oddity problem. Free-flying bees were trained to visit a laboratory window and were rewarded for choice of the odd stimulus among a set of stimuli. There were two stimulus categories, single-color solids and two-color patterns. The training was trial-unique, with new sets of stimuli on each trial. In Experiment 1, 4 groups were trained in a 3-stimulus oddity problem, 2 with solid odd and patterns nonodd and 2 with pattern odd and solids nonodd. For 1 group in each condition, the odd and nonodd stimuli shared a color. The performance of all groups was better than chance. The bees could solve the problem on the basis of oddity (same vs. different) or category (solid vs. pattern). These possibilities were unconfounded in Experiment 2 with 2 groups trained in a 4-stimulus oddity problem. Group 1 was trained with a category difference on each trial; the solid color was odd on half the trials and the pattern odd on the others. Group 2 was trained with no category difference; all stimuli were patterns. Both groups showed better-than-chance performance, and the irrelevant category difference facilitated oddity discrimination for Group 1. The results support previous findings of oddity learning in honeybees, the only invertebrate species for which any relational learning phenomena have been demonstrated. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","The results support previous findings of oddity learning in honeybees, the only invertebrate species for which any relational learning phenomena have been demonstrated."
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-z5xd6lhds5","2018","Posted Content","bioRxiv","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1101/268375","","The capacity to learn abstract concepts such as 9sameness9 and 9difference9 is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 9sameness9 and 9difference9 that is compatible with the insect brain, and is not dependent on top-down or executive control processing.","The model proposes a novel mechanism for learning the abstract concepts of ‘sameness’ and ‘difference’ that is compatible with the insect brain, and is not dependent on top-down or executive control processing."
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-3jc4xlxxt6","2018","Journal Article","PLOS Computational Biology","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1371/JOURNAL.PCBI.1006435","","The capacity to learn abstract concepts such as 'sameness' and 'difference' is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 'sameness' and 'difference' that is compatible with the insect brain, and is not dependent on top-down or executive control processing.","A novel mechanism for learning the abstract concepts of ‘sameness’ and ‘difference’ that is compatible with the insect brain, and is not dependent on top-down or executive control processing is proposed."
"Imitation of honey bees’ concept learning processes using Vector Symbolic Architectures","https://scispace.com/paper/imitation-of-honey-bees-concept-learning-processes-using-4jsl6kycru","2015","Journal Article","Biologically Inspired Cognitive Architectures","Denis Kleyko
Evgeny Osipov
Ross W. Gayler
Asad I. Khan
Adrian G. Dyer","10.1016/J.BICA.2015.09.002","","This article presents a proof-of-concept validation of the use of Vector Symbolic Architectures as central component of an online learning architectures. It is demonstrated that Vector Symbolic Architectures enable the structured combination of features/relations that have been detected by a perceptual circuitry and allow such relations to be applied to novel structures without requiring the massive training needed for classical neural networks that depend on trainable connections. The system is showcased through the functional imitation of concept learning in honey bees. Data from real-world experiments with honey bees (Avargues-Weber et al., 2012) are used for benchmarking. It is demonstrated that the proposed pipeline features a similar learning curve and accuracy of generalization to that observed for the living bees. The main claim of this article is that there is a class of simple artificial systems that reproduce the learning behaviors of certain living organisms without requiring the implementation of computationally intensive cognitive architectures. Consequently, it is possible in some cases to implement rather advanced cognitive behavior using simple techniques.","There is a class of simple artificial systems that reproduce the learning behaviors of certain living organisms without requiring the implementation of computationally intensive cognitive architectures, and it is possible in some cases to implement rather advanced cognitive behavior using simple techniques."
"Bees and abstract concepts","https://scispace.com/paper/bees-and-abstract-concepts-9biaz0ezab","2021","Journal Article","Current opinion in behavioral sciences","Michael F. Brown
Bridget P Austin","10.1016/J.COBEHA.2020.12.002","","Empirical work related to abstract concepts in honey bee and bumble bee discrimination performance is reviewed. Experiments showing behavioral transfer of numerosity discrimination, relational learning, and same/different discrimination are described. In each case, the attribution of such results to abstract conceptual representations is consistent with the data, but alternative explanations also exist. The complex, sophisticated discrimination abilities of bees challenge some of the explanations applied to corresponding abilities in humans and other non-human animals.","In this paper, a review of work related to abstract concepts in honey bee and bumble bee discrimination performance is presented, where experiments showing behavioral transfer of numerosity discrimination, relational learning, and same/different discrimination are described."
