"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Honeybees can discriminate between Monet and Picasso paintings","https://scispace.com/paper/honeybees-can-discriminate-between-monet-and-picasso-4rhrwwcln2","2013","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","Wen Wu
Antonio Mauricio Moreno
Antonio Mauricio Moreno
Jason M. Tangen
Judith Reinhard","10.1007/S00359-012-0767-5","","Honeybees (Apis mellifera) have remarkable visual learning and discrimination abilities that extend beyond learning simple colours, shapes or patterns. They can discriminate landscape scenes, types of flowers, and even human faces. This suggests that in spite of their small brain, honeybees have a highly developed capacity for processing complex visual information, comparable in many respects to vertebrates. Here, we investigated whether this capacity extends to complex images that humans distinguish on the basis of artistic style: Impressionist paintings by Monet and Cubist paintings by Picasso. We show that honeybees learned to simultaneously discriminate between five different Monet and Picasso paintings, and that they do not rely on luminance, colour, or spatial frequency information for discrimination. When presented with novel paintings of the same style, the bees even demonstrated some ability to generalize. This suggests that honeybees are able to discriminate Monet paintings from Picasso ones by extracting and learning the characteristic visual information inherent in each painting style. Our study further suggests that discrimination of artistic styles is not a higher cognitive function that is unique to humans, but simply due to the capacity of animals-from insects to humans-to extract and categorize the visual characteristics of complex images.","It is shown that honeybees learned to simultaneously discriminate between five different Monet and Picasso paintings, and that they do not rely on luminance, colour, or spatial frequency information for discrimination."
"Applying x-ray micro-tomography to learning and memory","https://scispace.com/paper/applying-x-ray-micro-tomography-to-learning-and-memory-4to4pwdgle","2017","Journal Article","Biomedical Physics & Engineering Express","M. Greco
Timothy Stait-Gardner","10.1088/2057-1976/AA6307","","Metabolic processes and neural pathways such as those for glucose metabolism and olfaction in insects are similar to, and in some cases identical to, those found in vertebrates. In particular, the peripheral architecture of the insect and mammalian olfactory system is surprisingly similar. Thus one insect, the western honeybee (Apis mellifera), has become a model organism for the investigation of olfactory signal processing in the brain. A. Mellifera has superior abilities to identify, classify, learn and remember odoriferous environmental chemicals. The use of x-ray MicroCT imaging for the non-invasive study of insects (termed diagnostic radioentomology 'DR') is increasing. This experiment was conducted as a 'proof of principle' study to identify whether DR scanning live insects (honeybees) can be used to non-invasively examine learning and memory with respect to brain architecture and function. A bench-top MicroCT scanner was used to scan live bees. To enhance tissue differentiation, radiographic contrast was injected directly into the haemolymph. Brain volume was measured using BeeView software. Gross brain architecture was visualised in 2D and 3D projections. Scanning of live bees enabled minimally-invasive imaging of physiological processes for the first time such as passage of contrast from gut to haemolymph as well as preliminary brain perfusion studies. In particular, the learning and memory neuropils in the antennal lobes were assessed by measuring changes in antennal lobe volumes. Future experiments will correlate neuropil volume changes with classic PER learning and memory studies. One advantage of using an insect model is that multiple experiments can be conducted without the need for lengthy ethics approvals that apply to vertebrate experiments. The advantage of using live insects is that longitudinal studies can be performed on individuals therefore reducing, to a great extent, the inherent inter-cohort errors which occur. Once proof of principles is established in the insect model, experiments such as these can easily be extended to vertebrates.","This experiment was conducted as a 'proof of principle' study to identify whether DR scanning live insects (honeybees) can be used to non-invasively examine learning and memory with respect to brain architecture and function."
"eLife assessment: Does bumblebee preference of continuous over interrupted strings in string-pulling tasks indicate means-end comprehension?","https://scispace.com/paper/elife-assessment-does-bumblebee-preference-of-continuous-2oyhccoao6","2024","Journal Article","","Rosalyn Gloag","10.7554/elife.97018.1.sa3","","Bumblebees (Bombus terrestris) have been shown to engage in string-pulling behavior to access rewards. The objective of this study was to elucidate whether bumblebees display a means-end comprehension in string-pulling task. We presented bumblebees with tasks involving choosing between two options: one where a string is connected to an artificial flower containing a reward and the other involving interrupted strings. Surprisingly, bumblebees displayed a consistent preference for pulling connected strings over interrupted ones after training with a stepwise pulling technique. Intriguingly, when exposed to novel string colors, bees continued to exhibit a bias towards pulling the connected string. This suggests that bumblebees engage in featural generalization of the visual display of the string connected to the flower in this task. When the bumblebees were confronted with coiled connected strings during the testing phase, they failed to identify and reject interrupted strings. This finding underscores the significance of visual consistency in enabling the bumblebees to perform the task successfully. Our results suggest that bumblebees to distinguish between continuous strings and interrupted strings relies on a combination of image matching and associative learning, rather than means-end understanding. These insights contribute to a deeper understanding of the cognitive processes employed by bumblebees when tackling complex spatial tasks. ","Bumblebees (Bombus terrestris) exhibit a preference for continuous over interrupted strings in string-pulling tasks, indicating featural generalization and associative learning, rather than means-end comprehension, suggesting a complex cognitive process."
"Molecular Mechanism of Associative Learning in the Bee","https://scispace.com/paper/molecular-mechanism-of-associative-learning-in-the-bee-7ygqrfsq4y","2008","Book Chapter","","U. Müller","10.1016/B978-012370509-9.00008-5","","Associative appetitive learning in the honeybee offers the opportunity to study processes of learning and memory formation across levels of behavior, neural circuits, and molecular signaling pathways. Monitoring dynamic activation of molecular signaling cascades during different aspects of learning in vivo uncovered a network of parallel and sequential acting molecular processes that contribute to distinct aspects of memory formation. These temporal molecular events occur in the antennal lobes and the mushroom bodies and are orchestrated by parameters such as number of conditioning trials and satiation that critically influence learning and memory formation.","Monitoring dynamic activation of molecular signaling cascades during different aspects of learning in vivo uncovered a network of parallel and sequential acting molecular processes that contribute to distinct aspects of memory formation."
"Global perception in small brains: Topological pattern recognition in honey bees","https://scispace.com/paper/global-perception-in-small-brains-topological-pattern-16e58ztuek","2003","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Lin Chen
Shaowu Zhang
Mandyam V. Srinivasan","10.1073/PNAS.0732090100","","A series of experiments with honey bees demonstrate that their small brains nevertheless possess the ability for topological perception. Bees rapidly learned to discriminate patterns that are topologically different, and they generalized the learned cue to other novel patterns. By contrast, discrimination of topologically equivalent patterns was learned much more slowly and not as well. Thus, although the global nature of topological properties makes their computation difficult, topology may be a fundamental component of the vocabulary by which visual systems represent and characterize objects.","Although the global nature of topological properties makes their computation difficult, topology may be a fundamental component of the vocabulary by which visual systems represent and characterize objects."
"Multiple memory traces after associative learning in the honey bee antennal lobe","https://scispace.com/paper/multiple-memory-traces-after-associative-learning-in-the-36swkb2spy","2011","Journal Article","European Journal of Neuroscience","Lisa Rath
C. Giovanni Galizia
Paul Szyszka","10.1111/J.1460-9568.2011.07753.X","","We investigated the effect of associative learning on early sensory processing, by combining classical conditioning with in vivo calcium-imaging of secondary olfactory neurons, the projection neurons (PNs) in the honey bee antennal lobe (AL). We trained bees in a differential conditioning paradigm in which one odour (A+) was paired with a reward, while another odour (B-) was presented without a reward. Two to five hours after differential conditioning, the two odour-response patterns became more different in bees that learned to discriminate between A and B, but not in bees that did not discriminate. This learning-related change in neural odour representations can be traced back to glomerulus-specific neural plasticity, which depended on the response profile of the glomerulus before training. (i) Glomeruli responding to A but not to B generally increased in response strength. (ii) Glomeruli responding to B but not to A did not change in response strength. (iii) Glomeruli responding to A and B decreased in response strength. (iv) Glomeruli not responding to A or B increased in response strength. The data are consistent with a neural network model of the AL, which we based on two plastic synapse types and two well-known learning rules: associative, reinforcer-dependent Hebbian plasticity at synapses between olfactory receptor neurons (ORNs) and PNs; and reinforcer-independent Hebbian plasticity at synapses between local interneurons and ORNs. The observed changes strengthen the idea that odour learning optimizes odour representations, and facilitates the detection and discrimination of learned odours.","The observed changes strengthen the idea that odour learning optimizes odour representations, and facilitates the detection and discrimination of learned odours."
"Information transfer beyond the waggle dance: observational learning in bees and flies","https://scispace.com/paper/information-transfer-beyond-the-waggle-dance-observational-552audl3tt","2015","Journal Article","Frontiers in Ecology and Evolution","Aurore Avarguès-Weber
Aurore Avarguès-Weber
Mathieu Lihoreau
Mathieu Lihoreau
Guillaume Isabel
Guillaume Isabel
Martin Giurfa
Martin Giurfa","10.3389/FEVO.2015.00024","","Social information transfer is part of the success of animal societies and has been documented in a variety of taxa, from slime molds to humans. In invertebrates, the historical research focus has been on the specialized signals shaped by selection to convey information, such as the honeybee waggle dance. However, growing evidence shows that invertebrates also commonly glean critical information about their environment by observing others. For instance, a bumblebee’s choice between novel flower species is influenced by the observation of the foraging choices of more experienced conspecifics. Recent studies suggest that these seemingly complex learning abilities can be explained in terms of simple associative learning, whereby individuals learn to associate social cues (conditioned stimuli) to reward cues (unconditioned stimuli). Here, we review the behavioral evidence of observational learning both in bees and Drosophila. We discuss the validity of associative accounts of observational learning and the potential neural circuits mediating visual social learning in these model species to define future research avenues for studying the neurobiology of social cognition in miniature brains.","The behavioral evidence of observational learning in bees and Drosophila is reviewed and the potential neural circuits mediating visual social learning in these model species are discussed to define future research avenues for studying the neurobiology of social cognition in miniature brains."
"Faculty Opinions Recommendation of Honeybees Can Discriminate Between Monet and Picasso Paintings.","https://scispace.com/paper/faculty-opinions-recommendation-of-honeybees-can-eovgiw9krybz","","","","Marcello Rosa
Adrian Dyer","10.3410/f.717960898.793463842","","Honeybees (Apis mellifera) have remarkable visual learning and discrimination abilities that extend beyond learning simple colours, shapes or patterns. They can discriminate landscape scenes, types of flowers, and even human faces. This suggests that in spite of their small brain, honeybees have a highly developed capacity for processing complex visual information, comparable in many respects to vertebrates. Here, we investigated whether this capacity extends to complex images that humans distinguish on the basis of artistic style: Impressionist paintings by Monet and Cubist paintings by Picasso. We show that honeybees learned to simultaneously discriminate between five different Monet and Picasso paintings, and that they do not rely on luminance, colour, or spatial frequency information for discrimination. When presented with novel paintings of the same style, the bees even demonstrated some ability to generalize. This suggests that honeybees are able to discriminate Monet paintings from Picasso ones by extracting and learning the characteristic visual information inherent in each painting style. Our study further suggests that discrimination of artistic styles is not a higher cognitive function that is unique to humans, but simply due to the capacity of animals-from insects to humans-to extract and categorize the visual characteristics of complex images. PMID: 23076444","Honeybees (Apis mellifera) can discriminate between Monet and Picasso paintings, learning to recognize characteristic visual information in each style, and even generalize to novel paintings, challenging the notion that artistic style discrimination is a uniquely human cognitive function."
"Comparative analysis of olfactory learning of Apis cerana and Apis mellifera","https://scispace.com/paper/comparative-analysis-of-olfactory-learning-of-apis-cerana-16h16bnft5","2014","Journal Article","Apidologie","Zhengwei Wang
Zhengwei Wang
Ken Tan
Ken Tan","10.1007/S13592-013-0228-3","","The Eastern honeybee, Apis cerana, is indigenous to Asia and is an important pollinator for Asian ecosystems; the Western honeybee, Apis mellifera, has been introduced to Asia because of its high honey yields. These two species are now sympatric and share a similar environment. Whether learning in A. cerana can be studied using the proboscis extension response paradigm, as developed for A. mellifera, is still unexplored. Here, we investigate A. cerana’s associative olfactory learning with three different odors (hexanal, nonanal, and geraniol) and compared it with the learning performances of A. mellifera. After an acquisition phase, the bees were tested to determine whether they discriminated between the experienced odors (an odor paired with a reward during acquisition) from non-experienced odors (an odor not paired with a reward during acquisition). During the acquisition phase, A. mellifera showed higher learning scores than A. cerana. However, there was no statistical difference between the two species in the retention phase. Both species discriminated an experienced odor from a non-experienced odor. Our results suggested that A. cerana is equally amenable to the study of learning using the proboscis extension response paradigm supporting the behavioral evidence for future olfactory learning research with A. cerana.","The results suggested that A. cerana is equally amenable to the study of learning using the proboscis extension response paradigm supporting the behavioral evidence for future olfactory learning research with A. mellifera."
"Africanized honeybees are slower learners than their European counterparts","https://scispace.com/paper/africanized-honeybees-are-slower-learners-than-their-2mcsg6zf9u","2010","Journal Article","Naturwissenschaften","Margaret J. Couvillon
Gloria DeGrandi-Hoffman
Wulfila Gronenberg","10.1007/S00114-009-0621-Y","","Does cognitive ability always correlate with a positive fitness consequence? Previous research in both vertebrates and invertebrates provides mixed results. Here, we compare the learning and memory abilities of Africanized honeybees (Apis mellifera scutellata hybrid) and European honeybees (Apis mellifera ligustica). The range of the Africanized honeybee continues to expand, superseding the European honeybee, which led us to hypothesize that they might possess greater cognitive capabilities as revealed by a classical conditioning assay. Surprisingly, we found that fewer Africanized honeybees learn to associate an odor with a reward. Additionally, fewer Africanized honeybees remembered the association a day later. While Africanized honeybees are replacing European honeybees, our results show that they do so despite displaying a relatively poorer performance on an associative learning paradigm.","Surprisingly, it is found that fewer Africanized honeybees learn to associate an odor with a reward, despite displaying a relatively poorer performance on an associative learning paradigm."
