"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Honeybees solve a multi-comparison ranking task by probability matching","https://scispace.com/paper/honeybees-solve-a-multi-comparison-ranking-task-by-q7f40j62ld","2020","Journal Article","Proceedings of The Royal Society B: Biological Sciences","HaDi MaBouDi
James A. R. Marshall
Andrew B. Barron
Andrew B. Barron","10.1098/RSPB.2020.1525","","Honeybees forage on diverse flowers which vary in the amount and type of rewards they offer, and bees are challenged with maximizing the resources they gather for their colony. That bees are effective foragers is clear, but how bees solve this type of complex multi-choice task is unknown. Here, we set bees a five-comparison choice task in which five colours differed in their probability of offering reward and punishment. The colours were ranked such that high ranked colours were more likely to offer reward, and the ranking was unambiguous. Bees' choices in unrewarded tests matched their individual experiences of reward and punishment of each colour, indicating bees solved this test not by comparing or ranking colours but by basing their colour choices on their history of reinforcement for each colour. Computational modelling suggests a structure like the honeybee mushroom body with reinforcement-related plasticity at both input and output can be sufficient for this cognitive strategy. We discuss how probability matching enables effective choices to be made without a need to compare any stimuli directly, and the use and limitations of this simple cognitive strategy for foraging animals.","Bees' choices in unrewarded tests matched their individual experiences of reward and punishment of each colour, indicating bees solved this test not by comparing or ranking colours but by basing their colour choices on their history of reinforcement for each colour."
"Numerical ordering of zero in honey bees","https://scispace.com/paper/numerical-ordering-of-zero-in-honey-bees-1feqpbgqym","2018","Journal Article","Science","Scarlett R. Howard
Aurore Avarguès-Weber
Jair E. Garcia
Andrew D. Greentree
Adrian G. Dyer
Adrian G. Dyer","10.1126/SCIENCE.AAR4975","","Some vertebrates demonstrate complex numerosity concepts—including addition, sequential ordering of numbers, or even the concept of zero—but whether an insect can develop an understanding for such concepts remains unknown. We trained individual honey bees to the numerical concepts of “greater than” or “less than” using stimuli containing one to six elemental features. Bees could subsequently extrapolate the concept of less than to order zero numerosity at the lower end of the numerical continuum. Bees demonstrated an understanding that parallels animals such as the African grey parrot, nonhuman primates, and even preschool children.","This finding suggests that an understanding of the concept of the “empty set” has evolved independently in distantly related species that deal with complexity in their environments, and that it may be more widespread than previously appreciated."
"Can sociality facilitate learning of complex tasks? Lessons from bees and flowers","https://scispace.com/paper/can-sociality-facilitate-learning-of-complex-tasks-lessons-2tlcmtie","2023","Journal Article","Philosophical Transactions of the Royal Society B","Tamar Keasar
Odile Pourtallier
Eric Wajnberg","10.1098/rstb.2021.0402","","The emergence of animal societies is a major evolutionary transition, but its implications for learning-dependent innovations are insufficiently understood. Bees, with lifestyles ranging from solitary to eusocial, are ideal models for exploring social evolution. Here, we ask how and why bees may acquire a new ‘technology’, foraging on morphologically complex flowers, and whether eusociality facilitates this technological shift. We consider ‘complex’ flowers that produce high food rewards but are difficult to access, versus ‘simple’ flowers offering easily accessible yet lower rewards. Complex flowers are less profitable than simple flowers to naive bees but become more rewarding after a learning period. We model how social bees optimally choose between simple and complex flowers over time, to maximize their colony's food balance. The model predicts no effect of colony size on the bees' flower choices. More foraging on complex flowers is predicted as colony longevity, its proportion of foragers, individual longevity and learning ability increase. Of these traits, only long-lived colonies and abundant foragers characterize eusocial bees. Thus, we predict that eusociality supports, but is not mandatory for, learning to exploit complex flowers. A re-analysis of a large published dataset of bee–flower interactions supports these conclusions. We discuss parallels between the evolution of insect sociality and other major transitions that provide scaffolds for learning innovations. This article is part of the theme issue ‘Human socio-cultural evolution in light of evolutionary transitions’.","In this paper , the authors studied how and why bees acquire a new technology, foraging on morphologically complex flowers, and whether eusociality facilitates this technological shift and found that social bees optimally choose between simple and complex flowers over time, to maximize their colony's food balance."
"Honey Bees as a Model for Vision, Perception, and Cognition","https://scispace.com/paper/honey-bees-as-a-model-for-vision-perception-and-cognition-2fza2tnqsr","2010","Journal Article","Annual Review of Entomology","Mandyam V. Srinivasan","10.1146/ANNUREV.ENTO.010908.164537","","Among the so-called simpler organisms, the honey bee is one of the few examples of an animal with a highly evolved social structure, a rich behavioral repertoire, an exquisite navigational system, an elaborate communication system, and an extraordinary ability to learn colors, shapes, fragrances, and navigational routes quickly and accurately. This review examines vision and complex visually mediated behavior in the honey bee, outlining the structure and function of the compound eyes, the perception and discrimination of colors and shapes, the learning of complex tasks, the ability to establish and exploit complex associations, and the capacity to abstract general principles from a task and apply them to tackle novel situations. All this is accomplished by a brain that weighs less than a milligram and carries fewer than a million neurons, thus making the bee a promising subject in which to study a variety of fundamental questions about behavior and brain function.","This review examines vision and complex visually mediated behavior in the honey bee, outlining the structure and function of the compound eyes, the perception and discrimination of colors and shapes, the learning of complex tasks, the ability to establish and exploit complex associations, and the capacity to abstract general principles from a task and apply them to tackle novel situations."
"A Conceptual Foundation for Generalisation in Natural and Artificial Learning Agents","https://scispace.com/paper/a-conceptual-foundation-for-generalisation-in-natural-and-2gw669u7pt","2024","Preprint","","George C. Gabriel
J. Ryan Morehead
Faisal Mushtaq","10.31234/osf.io/ydtqu","","Generalisation is ubiquitous in both natural and artificial learning agents. Since the early 20th Century, numerous models have been developed that attempt to explain how generalisation arises. While some of these models propose specialised mechanisms applicable only to specific tasks or learning agents, others use common principles which may be more broadly applicable. It remains unclear to what extent the more specialised models are necessary to explain generalisation, and to what extent a shared set of explanatory principles may suffice. To demonstrate the potential of simple principles to explain generalisation, we present a minimal conceptual framework which describes how various forms of generalisation may arise in any learning agent and for any task. Based on the idea that agent behaviours are determined by a set of agent-internal parameters, we illustrate how a wide range of classical generalisation phenomena, including positive, negative, and asymmetric transfer, can arise from the same general mechanisms. We highlight several related generalisation phenomena typically overlooked in the classical literature, and use the presented framework to clarify numerous challenges for the empirical study of generalisation. We emphasise that specialised theories of generalisation may still be required to explain specific empirical observations. The presented framework provides a minimal foundation from which empirical observations requiring more specialised explanations can be identified. ","A conceptual framework for generalisation in natural and artificial learning agents demonstrates that various forms of generalisation can arise from the same general mechanisms."
"Individual versus collective cognition in social insects","https://scispace.com/paper/individual-versus-collective-cognition-in-social-insects-r0mbjc9ulu","2017","Journal Article","arXiv: Neurons and Cognition","Ofer Feinerman
Amos Kormanë","10.1242/JEB.143891","","The concerted responses of eusocial insects to environmental stimuli are often referred to as collective cognition on the level of the this http URL achieve collective cognitiona group can draw on two different sources: individual cognitionand the connectivity between individuals.Computation in neural-networks, for example,is attributedmore tosophisticated communication schemes than to the complexity of individual neurons. The case of social insects, however, can be expected to differ. This is since individual insects are cognitively capable units that are often able to process information that is directly relevant at the level of the colony.Furthermore, involved communication patterns seem difficult to implement in a group of insects since these lack clear network structure.This review discusses links between the cognition of an individual insect and that of the colony. We provide examples for collective cognition whose sources span the full spectrum between amplification of individual insect cognition and emergent group-level processes.","This review discusses links between the cognition of an individual insect and that of the colony and provides examples for collective cognition whose sources span the full spectrum between amplification of individual insect cognition and emergent group-level processes."
"Configural processing enables discrimination and categorization of face-like stimuli in honeybees","https://scispace.com/paper/configural-processing-enables-discrimination-and-n3yx0rsskc","2010","Journal Article","The Journal of Experimental Biology","Aurore Avarguès-Weber
Aurore Avarguès-Weber
Geoffrey Portelli
Geoffrey Portelli
J. Benard
J. Benard
Adrian G. Dyer
Martin Giurfa
Martin Giurfa","10.1242/JEB.039263","","We studied whether honeybees can distinguish face-like configurations by using standardized stimuli commonly employed in primate and human visual research. Furthermore, we studied whether, irrespective of their capacity to distinguish between face-like stimuli, bees learn to classify visual stimuli built up of the same elements in face-like versus non-face-like categories. We showed that bees succeeded in discriminating both face-like and non-face-like stimuli and categorized appropriately novel stimuli in these two classes. To this end, they used configural information and not just isolated features or low-level cues. Bees looked for a specific configuration in which each feature had to be located in an appropriate spatial relationship with respect to the others, thus showing sensitivity for first-order relationships between features. Although faces are biologically irrelevant stimuli for bees, the fact that they were able to integrate visual features into complex representations suggests that face-like stimulus categorization can occur even in the absence of brain regions specialized in face processing.","The fact that bees were able to integrate visual features into complex representations suggests that face-like stimulus categorization can occur even in the absence of brain regions specialized in face processing."
"Honey bees selectively avoid difficult choices","https://scispace.com/paper/honey-bees-selectively-avoid-difficult-choices-59obkl2hkj","2013","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Clint J. Perry
Andrew B. Barron","10.1073/PNAS.1314571110","","Human decision-making strategies are strongly influenced by an awareness of certainty or uncertainty (a form of metacognition) to increase the chances of making a right choice. Humans seek more information and defer choosing when they realize they have insufficient information to make an accurate decision, but whether animals are aware of uncertainty is currently highly contentious. To explore this issue, we examined how honey bees (Apis mellifera) responded to a visual discrimination task that varied in difficulty between trials. Free-flying bees were rewarded for a correct choice, punished for an incorrect choice, or could avoid choosing by exiting the trial (opting out). Bees opted out more often on difficult trials, and opting out improved their proportion of successful trials. Bees could also transfer the concept of opting out to a novel task. Our data show that bees selectively avoid difficult tasks they lack the information to solve. This finding has been considered as evidence that nonhuman animals can assess the certainty of a predicted outcome, and bees’ performance was comparable to that of primates in a similar paradigm. We discuss whether these behavioral results prove bees react to uncertainty or whether associative mechanisms can explain such findings. To better frame metacognition as an issue for neurobiological investigation, we propose a neurobiological hypothesis of uncertainty monitoring based on the known circuitry of the honey bee brain.","It is shown that honey bees (Apis mellifera) can adaptively alter their behavior in a choice test in response to trial difficulty, and a hypothesis for how uncertainty might be processed within the known circuitry of the insect brain is proposed to frame the concept of uncertainty as a topic for neurobiological analysis."
"Memory in the Bee","https://scispace.com/paper/memory-in-the-bee-2klgae6uz8","2001","Book Chapter","","Randolf Menzel","10.1016/B978-0-08-097086-8.51012-5","","Honeybees contradict the notion that insects elicit relatively inflexible, stereotypical behaviors. Their social life, navigation skills, symboliclike communication, rich learning repertoire, and dynamic forms of memory are embodied in a brain containing only one million neurons. Elemental and nonelemental forms of associative learning allow for context-dependent forms of learning, concept formation, and rule extraction. Neural plasticity correlating with learning can be traced to single identified neurons and small neural nets. Memory is formed by five sequential and parallel phases that are linked by specific forms of consolidation.","Honeybees contradict the notion that insects elicit relatively inflexible, stereotypical behaviors because their social life, navigation skills, symboliclike communication, rich learning repertoire, and dynamic forms of memory are embodied in a brain containing only one million neurons."
"Compound-component and conditional discrimination of colors and odors by honeybees: Further tests of a continuity model","https://scispace.com/paper/compound-component-and-conditional-discrimination-of-colors-3gmegmkpc1","1988","Journal Article","Animal Learning & Behavior","P. A. Couvillon
M. E. Bitterman","10.3758/BF03209045","","In experiments previously reported, individual honeybees were trained in a variety of problems to discriminate color-odor compounds. The results could be modeled accurately on the assumption that the associative strength of each component of a compound stimulus changes independently with reinforcement or nonreinforcement of the compound (independence rule) and that the associative strength of a compound is equal to the sum of the strengths of its components (summation rule). In the present experiments, which were designed to challenge the model, honeybees were trained in compound-component problems (choosing between compounds and their separate components) and in conditional problems (choosing between colors on the basis of a common odor or between odors on the basis of a common color). The new data, together with all of the previous data, could be modeled accurately on the further assumption that interaction among the components of a compound generates a new, compound-unique component that gains and loses associative strength in the same way as other components and contributes in the same way to the strength of the compound; the independence and summation rules continue to apply.","In this article, individual honeybees were trained in a variety of problems to discriminate color-odor compounds and the results could be modeled accurately on the assumption that the associative strength of each component of a compound stimulus changes independently with reinforcement or non-reinforcement of the compound."
