"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Associative visual learning by tethered bees in a controlled visual environment.","https://scispace.com/paper/associative-visual-learning-by-tethered-bees-in-a-controlled-14oooacl4l","2017","Journal Article","Scientific Reports","Alexis Buatois
Cécile Pichot
Patrick Schultheiss
Jean-Christophe Sandoz
Claudio R. Lazzari
Lars Chittka
Aurore Avarguès-Weber
Martin Giurfa","10.1038/S41598-017-12631-W","","Free-flying honeybees exhibit remarkable cognitive capacities but the neural underpinnings of these capacities cannot be studied in flying insects. Conversely, immobilized bees are accessible to neurobiological investigation but display poor visual learning. To overcome this limitation, we aimed at establishing a controlled visual environment in which tethered bees walking on a spherical treadmill learn to discriminate visual stimuli video projected in front of them. Freely flying bees trained to walk into a miniature Y-maze displaying these stimuli in a dark environment learned the visual discrimination efficiently when one of them (CS+) was paired with sucrose and the other with quinine solution (CS−). Adapting this discrimination to the treadmill paradigm with a tethered, walking bee was successful as bees exhibited robust discrimination and preferred the CS+ to the CS− after training. As learning was better in the maze, movement freedom, active vision and behavioral context might be important for visual learning. The nature of the punishment associated with the CS− also affects learning as quinine and distilled water enhanced the proportion of learners. Thus, visual learning is amenable to a controlled environment in which tethered bees learn visual stimuli, a result that is important for future neurobiological studies in virtual reality.","Visual learning is amenable to a controlled environment in which tethered bees learn visual stimuli, a result that is important for future neurobiological studies in virtual reality."
"Does Holistic Processing Require a Large Brain? Insights From Honeybees and Wasps in Fine Visual Recognition Tasks.","https://scispace.com/paper/does-holistic-processing-require-a-large-brain-insights-from-1igbzcjowq","2018","Journal Article","Frontiers in Psychology","Aurore Avarguès-Weber
Daniele d’Amaro
Marita Metzler
Valerie Finke
David Baracchi
Adrian G. Dyer
Adrian G. Dyer","10.3389/FPSYG.2018.01313","","The expertise of humans for recognizing faces is largely based on holistic processing mechanism, a sophisticated cognitive process that develops with visual experience. The various visual features of a face are thus glued together and treated by the brain as a unique stimulus, facilitating robust recognition. Holistic processing is known to facilitate fine discrimination of highly similar visual stimuli, and involves specialized brain areas in humans and other primates. Although holistic processing is most typically employed with face stimuli, subjects can also learn to apply similar image analysis mechanisms when gaining expertise in discriminating novel visual objects, like becoming experts in recognizing birds or cars. Here, we ask if holistic processing with expertise might be a mechanism employed by the comparatively miniature brains of insects. We thus test whether honeybees (Apis mellifera) and/or wasps (Vespula vulgaris) can use holistic-like processing with experience to recognize images of human faces, or Navon-like parameterized-stimuli. These insect species are excellent visual learners and have previously shown ability to discriminate human face stimuli using configural type processing. Freely flying bees and wasps were consequently confronted with classical tests for holistic processing, the part-whole effect and the composite-face effect. Both species could learn similar faces from a standard face recognition test used for humans, and their performance in transfer tests was consistent with holistic processing as defined for studies on humans. Tests with parameterized stimuli also revealed a capacity of honeybees, but not wasps, to process complex visual information in a holistic way, suggesting that such sophisticated visual processing may be far more spread within the animal kingdom than previously thought, although may depend on ecological constraints.","Tests with parameterized stimuli revealed a capacity of honeybees, but not wasps, to process complex visual information in a holistic way, suggesting that such sophisticated visual processing may be far more spread within the animal kingdom than previously thought, although may depend on ecological constraints."
"Bumblebee visual learning: simple solutions for complex stimuli","https://scispace.com/paper/bumblebee-visual-learning-simple-solutions-for-complex-3c2d3eth3h","2024","Journal Article","bioRxiv","Marie Guiraud
Vince Gallo
Emily Quinsal-Keel
Hadi Maboudi","10.1101/2024.03.16.585132","","Natural visual stimuli are typically complex. This presents animals with the challenge of learning the most informative aspects of these stimuli while not being confused by variable elements. How animals might do this remains unclear. Here, we tested bumblebees’ ability to learn multicomponent visual stimuli composed of a simple constant bar element and a grating element that was consistent in orientation but varied in width and number of gratings. Bees rapidly and successfully learned these compound stimuli. Tests revealed learning of the single bar element was more robust than learning of the grating element. Our study highlights how even small-brained invertebrates can rapidly learn multicomponent stimuli and prioritise the most consistent elements within them. We discuss how the learning phenomena of generalisation and overshadowing may be sufficient to explain these findings, and caution that complex cognitive concepts are not necessary to explain the learning of complex stimuli. Highlights Bumblebees are highly efficient in prioritising the most consistent elements in multicomponent visual stimuli. Bees trained on horizontal and vertical cues exhibit differences in how they memorise visual cues. Two phenomena can explain how bees preferentially select, memorise and use visual cues in this experiment: generalisation and overshadowing. Bumblebees as generalist foragers are well-suited to study visual cognition.","Bumblebees efficiently learn multicomponent visual stimuli and preferentially select the most consistent elements."
"Honey bees can store and retrieve independent memory traces after complex experiences that combine appetitive and aversive associations","https://scispace.com/paper/honey-bees-can-store-and-retrieve-independent-memory-traces-16vzxpuqkh","2021","Posted Content","bioRxiv","Martín Klappenbach
Agustín E. Lara
Fernando Locatelli","10.1101/2021.10.12.464105","","Real-world experiences do often mix appetitive and aversive events. Understanding the ability of animals to extract, store and use this information is an important issue in neurobiology. We used honey bees as model to study learning and memory after a differential conditioning that combines appetitive and aversive training trials. First of all, we describe an aversive conditioning paradigm that constitutes a clear opposite of the well known appetitive olfactory conditioning of the proboscis extension response. A neutral odour is presented paired with the bitter substance quinine. Aversive memory is evidenced later as an odour-specific impairment in appetitive conditioning. Then we tested the effect of mixing appetitive and aversive conditioning trials distributed along the same training session. Differential conditioning protocols like this were used before to study the ability to discriminate odours, however they were not focused on whether appetitive and aversive memories are formed. We found that after a differential conditioning, honey bees establish independent appetitive and aversive memories that do not interfere with each other during acquisition or storage. Finally, we moved the question forward to retrieval and memory expression to evaluate what happens when appetitive and the aversive learned odours are mixed during test. Interestingly, opposite memories compete in a way that they do not cancel each other out. Honey bees showed the ability to switch from expressing appetitive to aversive memory depending on their satiation level.","The authors used honey bees as model to study learning and memory after a differential conditioning that combines appetitive and aversive training trials, and found that honey bees showed the ability to switch from expressing appetitive to aversive memory depending on their satiation level."
"Foraging task specialization in honey bees (Apis mellifera): the contribution of floral rewards on the learning performance of pollen and nectar foragers","https://scispace.com/paper/foraging-task-specialization-in-honey-bees-apis-mellifera-1dhl045hmr","2023","Journal Article","bioRxiv","Emilia Moreno
Andrés Arenas","10.1101/2023.11.06.565788","","Social insects live in communities where cooperative actions heavily rely on the individual cognitive abilities of their members. In the honey bee (Apis mellifera), the specialization in nectar or pollen collection is associated with variations in gustatory sensitivity, affecting both associative and non-associative learning. Gustatory sensitivity fluctuates as a function of changes in motivation for the specific floral resource throughout the foraging cycle, yet differences in learning abilities between nectar and pollen foragers at the onset of recollection remains unexplored. Here, we examined nectar and pollen foragers captured upon arrival at food sources. We subjected them to an olfactory PER conditioning using a 10% sucrose solution paired (S10%+P) or unpaired (S10%) with pollen as a co-reinforcement. For non-associative learning, we habituated foragers with a 10% sucrose solution paired (S10%+P) or unpaired (S10%) with pollen, followed by dishabituation tests with either S50% or S10%+P. Our results indicate that pollen foragers show lower performance than nectar foragers when conditioned with S10%. Interestingly, performance improves to levels similar to those of nectar foragers when pollen is included as rewarding stimulus (S10%+P). In non-associative learning, pollen foragers tested with S10%+P displayed a lower degree of habituation than nectar foragers and a higher degree of dishabituation when pollen was used as the dishabituating stimulus (S10%+P). Altogether, our results support the idea that pollen and nectar honey bee foragers differ in their perception of rewards, leading to inter-individual differences in learning that contribute to foraging specialization.","The results support the idea that pollen and nectar honey bee foragers differ in their perception of rewards, leading to inter-individual differences in learning that contribute to foraging specialization."
"A transferrable change in preferences of floral patterns by bumblebees through reward reversal - eScholarship","https://scispace.com/paper/a-transferrable-change-in-preferences-of-floral-patterns-by-318j94crnp","2017","Journal Article","International Journal of Comparative Psychology","Vicki Xu
C.M.S. Plowright","","","This study examines the use behavioral transfer across perceptually similar stimuli in bumblebees (Bombus impatiens) and addresses whether foraging judgments about a floral stimulus can change in a way that contradicts direct previous experience with that stimulus. Twenty bees from each of four colonies underwent discrimination training of stimuli placed in a radial maze. Bees were trained to discriminate between two corresponding object and photograph pairs of artificial flowers, where one object and its corresponding photo were rewarding, while another object and its corresponding photo were unrewarding. Following discrimination training, one stimulus from each pair (either the object or the photo) was removed. The predictive reward values of the remaining stimuli were either switched for one group or stayed the same for another. Subsequent testing on the removed stimuli revealed foraging preferences to shift based on experience with the other stimulus in the group. For instance, bees treated a previously unrewarding object as rewarding after learning that the corresponding photograph had become rewarding. Foraging decisions depend not only on previous experience with stimuli, but also category membership.","The authors examined the use behavioral transfer across perceptually similar stimuli in bumblebees (Bombus impatiens) and addressed whether foraging judgments about a floral stimulus can change in a way that contradicts direct previous experience with that stimulus."
"Eye-specific learning of routes and signposts by walking honeybees","https://scispace.com/paper/eye-specific-learning-of-routes-and-signposts-by-walking-1jtp7s7ss6","1998","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","Shaowu Zhang
M. Lehrer
Mandyam V. Srinivasan","10.1007/S003590050219","","This study investigates the honeybee's ability to learn routes based on visual stimuli presented to a single eye, and to then navigate these routes using the other (naive) eye. Bees were trained to walk through a narrow tunnel carrying visual stimuli on the two walls. At the end of the tunnel the bees had to choose between two arms, one of which led to a feeder. In a first experiment, bees had to learn to choose the left arm to get a reward when the right wall carried a yellow grating, but the right arm when the left wall carried a blue grating. The bees learned this task well, indicating that stimuli encountered by different eyes could be associated with different routes. In a second experiment, bees had to turn left when the right eye saw a blue grating, but to the right when the same eye saw a yellow grating. They also learned this task well. In subsequent tests, they chose the correct arm even when these gratings were presented to the untrained eye. These results suggest that there is interocular transfer of route-specific learning with respect to visual stimuli that function as navigational “signposts”.","It is suggested that there is interocular transfer of route-specific learning with respect to visual stimuli that function as navigational “signposts”."
"Learning in Bees and Wasps in Complicated Experimental Tasks","https://scispace.com/paper/learning-in-bees-and-wasps-in-complicated-experimental-tasks-4w95tmmxfq","2000","Book Chapter","","George A. Mazokhin-Porshnyakov
Vladimir M. Kartsev","10.1007/978-94-010-0870-9_56","","The goal of this article is to describe a number of original experiments dating from the late 1960s which remain largely unknown to English-speaking readers because they were published mainly in Russian. In general they deal with investigations of the ability of individual insects to adequately use a past experience in new situations. The experiments demonstrate complex, higher-order learning in bees (Apis mellifera L) and wasps (Paravespula spp.). They test the ability to recognise or use abstract features and to transfer experience to novel situations. The methodology, multistage learning, is based on repeated training and testing with different examples of a class of objects. The results support the conclusion that insect behaviour sometimes reflects more than simple associative learning.","A number of original experiments dating from the late 1960s which remain largely unknown to English-speaking readers because they were published mainly in Russian are described, showing complex, higher-order learning in bees and wasps."
"Functional Organization of Appetitive Learning and Memory in a Generalist Pollinator, the Honey Bee","https://scispace.com/paper/functional-organization-of-appetitive-learning-and-memory-in-2xe70fzdnf","1993","Book Chapter","","Randolf Menzel
Uwe Greggers
Martin Hammer","10.1007/978-1-4615-2814-2_4","","Individual experience with environmental stimuli leaves multiple traces of neuronal plasticities in the nervous system. Receptors adapt to prolonged stimulation; neural circuits habituate to repeated stimuli and dishabituate or sensitize to arousing stimuli; and new functional connections are formed or existing ones abolished by associative and latent learning. What are the rules of neural plasticity and how do they relate to the biological constraints under which they have evolved? The neuroethological approach taken in the study of honey bee learning and memory tries to understand the neuronal mechanisms of the multiple memory traces as adaptations to the particular demands of foraging by a generalist pollinating insect. The study of the functional dynamics of memory thus serves two goals: to unravel the informational sources which guide the sequences and time dependencies of the animal’s choice behavior, and to better understand the neural correlates of the various forms of memory.","The study of the functional dynamics of memory serves two goals: to unravel the informational sources which guide the sequences and time dependencies of the animal’s choice behavior, and to better understand the neural correlates of the various forms of memory."
"Associative Learning of Quantitative Mechanosensory Stimuli in Honeybees","https://scispace.com/paper/associative-learning-of-quantitative-mechanosensory-stimuli-351q5yy5qy","2024","Journal Article","Insects","Heather Strelevitz
Ettore Tiraboschi
Albrecht Haase","10.3390/insects15020094","","Simple Summary One major challenge when using animal models to study cognition is that we cannot ask them what they are thinking or how they are feeling; instead, we measure the animal’s behavior. For honeybees, the extension of the proboscis (their tongue-like structure) occurs when they are presented with a sucrose solution, and they can be trained to associate a neutral cue—for example, an odor—with the occurrence of this food reward, eventually extending the proboscis when presented with the neutral cue rather than the food cue. Thus, the proboscis extension response (PER) is useful for exploring honeybees’ sensory perception, learning, and memory. In this study, we tested a new stimulus, namely different speeds of air flow, to investigate whether honeybees were able to associate this cue with the reward. Additionally, we designed a new system for performing PER experiments wherein the stimulus delivery and analyses are entirely automated, rather than performed manually. Using this enhanced method, we found that honeybees succeeded when a lower air flux was rewarded, but not when a higher air flux was rewarded. These results add to our knowledge of stimulus intensity encoding, while our improved PER system will offer technical advantages for such experiments in the future. Abstract The proboscis extension response (PER) has been widely used to evaluate honeybees’ (Apis mellifera) learning and memory abilities, typically by using odors and visual cues for the conditioned stimuli. Here we asked whether honeybees could learn to distinguish between different magnitudes of the same type of stimulus, given as two speeds of air flux. By taking advantage of a novel automated system for administering PER experiments, we determined that the bees were highly successful when the lower air flux was rewarded and less successful when the higher flux was rewarded. Importantly, since our method includes AI-assisted analysis, we were able to consider subthreshold responses at a high temporal resolution; this analysis revealed patterns of rapid generalization and slowly acquired discrimination between the rewarded and unrewarded stimuli, as well as indications that the high air flux may have been mildly aversive. The learning curve for these mechanosensory stimuli, at least when the lower flux is rewarded, more closely mimics prior data from olfactory PER studies rather than visual ones, possibly in agreement with recent findings that the insect olfactory system is also sensitive to mechanosensory information. This work demonstrates a new modality to be used in PER experiments and lays the foundation for deeper exploration of honeybee cognitive processes when posed with complex learning challenges.","A novel automated system for administering PER experiments is designed wherein the stimulus delivery and analyses are entirely automated, rather than performed manually, and it is determined that the bees were highly successful when the lower air flux was rewarded and less successful when the higher flux was rewarded."
"Input-Modulation as an Alternative to Conventional Learning Strategies","https://scispace.com/paper/input-modulation-as-an-alternative-to-conventional-learning-1654e1ss17","2016","Book Chapter","International Conference on Artificial Neural Networks","Esin Yavuz
Thomas Nowotny","10.1007/978-3-319-44778-0_7","","Animals use various strategies for learning stimulus-reward associations. Computational methods that mimic animal behaviour most commonly interpret learning as a high level phenomenon, in which the pairing of stimulus and reward leads to plastic changes in the final output layers where action selection takes place. Here, we present an alternative input-modulation strategy for forming simple stimulus-response associations based on reward. Our model is motivated by experimental evidence on modulation of early brain regions by reward signalling in the honeybee. The model can successfully discriminate dissimilar odours and generalise across similar odours, like bees do. In the most simplified connectionist description, the new input-modulation learning is shown to be asymptotically equivalent to the standard perceptron.","This model is motivated by experimental evidence on modulation of early brain regions by reward signalling in the honeybee and can successfully discriminate dissimilar odours and generalise across similar odours, like bees do."
"Sun-Compass Learning in Insects Representation in a Simple Mind","https://scispace.com/paper/sun-compass-learning-in-insects-representation-in-a-simple-5gf9uzteik","1996","Journal Article","Current Directions in Psychological Science","Fred C. Dyer
Jeffrey A. Dickinson","10.1111/1467-8721.EP10772759","","Although most research in cog nitive psychology focuses primari ly on human beings?or on verte brate animals used as models for studying human behavior? insects and other invertebrates po tentially have an important role to play in the study of cognition. The behavioral capacities of such or ganisms present a rich array of phenomena that can test the gen erality of theories of information processing by biological systems. Invertebrates have long served as models for elucidating basic sen sory and neural mechanisms. More recently, some cognitive sci entists,1,2 defying conventional wisdom, have suggested that in sects may also offer insights into how nervous systems are orga nized to acquire and use complex internal representations of events or relationships in the outside world.","Invertebrates may also offer insights into how nervous systems are orga nized to acquire and use complex internal representations of events or relationships in the outside world."
"The Locale Map of Honey Bees: Do Insects Have Cognitive Maps?","https://scispace.com/paper/the-locale-map-of-honey-bees-do-insects-have-cognitive-maps-28mb47wldt","1986","Journal Article","Science","James L. Gould","10.1126/SCIENCE.232.4752.861","","Whereas higher vertebrates are able to construct a mental ""map"" of their home area and so use their knowledge of the spatial relations between landmarks to navigate along novel routes, invertebrates have been thought able to use landmarks in their navigation only as a familiar, route-specific series. Experiments with honey bees show that these insects have and use landmark maps thus invalidating this presumed invertebrate-vertebrate dichotomy.","Experiments with honey bees show that these insects have and use landmark maps thus invalidating this presumed invertebrate-vertebrate dichotomy."
"The frontiers of insect cognition","https://scispace.com/paper/the-frontiers-of-insect-cognition-5095gyqqsi","2017","Journal Article","Current opinion in behavioral sciences","Clint J. Perry
Andrew B. Barron
Lars Chittka","10.1016/J.COBEHA.2017.05.011","","Insects have often been thought to display only the simplest forms of learning, but recent experimental studies, especially in social insects, have suggested various forms of sophisticated cognition Insects display a variety of phenomena involving simple forms of tool use, attention, social learning of non-natural foraging routines, emotional states and metacognition, all phenomena that were once thought to be the exclusive domain of much larger-brained animals This will require re-evaluation of what precise computational advantages might be gained by larger brains It is not yet clear whether insects solve nominally similar tasks by fundamentally simpler mechanisms compared to vertebrates, though there might be differences in terms of the amount of parallel information processing that can be performed by various organisms","Insects display a variety of phenomena involving simple forms of tool use, attention, social learning of non-natural foraging routines, emotional states and metacognition, all phenomena that were once thought to be the exclusive domain of much larger-brained animals."
"Redefining Honeybee Foraging Cognition","https://scispace.com/paper/redefining-honeybee-foraging-cognition-57krsiy768","2009","Dissertation","","Daniel Arnulfo Najera","","","page 6 Chapter 1 – Introduction and Method – page 7 -The Beloved Honeybee -Beyond the Dance -Interpatch Foraging -Our New Method Study 1 “Redefining Honeybee Spatial Cognition: Refined Concepts and Novel Experimental Methods” Chapter 2 – Investigating Landmark Theory – page 31 -Background -Problems with Previous Experiments Study 2 “The Interpatch Path – How honeybees choose a direction” Chapter 3 – Challenging Landmark Theory – page 45 -Experimental Power -Manipulation of Experimental Design Study 3 “Knowing the path: Interpatch Decision Making in Honeybees without Terrestrial Cues” -Independence of Terrestrial Cues Chapter 4 – Investigating Route Theory – page 55 -Route Knowledge -Training Sequence Knowledge Study 4 “The Traveling Salesman meets the Traveling Consumer: Sequence Understanding and Extrapolation in Honeybees (Apis mellifera) -When the Rules Change Chapter 5 – Challenging Route Theory – page 66 -How to Challenge Route Theory -The Hive as a Hub -Secondary Hubs -Stimulus Dependent Decision Making Outside of the Hive","This book discusses Honeybee Spatial Cognition, Interpatch Decision Making in Honeybees without Terrestrial Cues, and Stimulus Dependent Decision Making Outside of the Hive."
