"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"TweetyNet: A neural network that enables high-throughput, automated annotation of birdsong","https://scispace.com/paper/tweetynet-a-neural-network-that-enables-high-throughput-1co6ycj01h","2020","Posted Content","bioRxiv","Yarden Cohen
David A. Nicholson
Timothy J. Gardner","10.1101/2020.08.28.272088","","Songbirds provide an excellent model system for understanding sensorimotor learning. Many analyses of learning require annotating song, but songbirds produce more songs than can be annotated by hand. Existing methods for automating annotation are challenged by variable song, like that of Bengalese finches. For particularly complex song like that of canaries, no methods exist, limiting the questions researchers can investigate. We developed an artificial neural network, TweetyNet, that automates annotation. First we benchmark the network on open datasets of Bengalese finch song, showing that TweetyNet achieves significantly lower error than a similar method, using less training data, and maintains low error across multiple days of song. We then show TweetyNet performs similarly on canary song. This accuracy allowed fully automated analyses of datasets an order of magnitude larger than previous studies, improved the precision of statistical models of syntax, and revealed novel details of syntax in a new canary strain. Hence TweetyNet enables automated annotation and analysis of Bengalese finch and canary song that was formerly manual.","An artificial neural network, TweetyNet, is developed that automates annotation and analysis of Bengalese finch and canary song that was formerly manual and achieves significantly lower error than a similar method, using less training data, and maintains low error across multiple days of song."
"Social inhibition of song imitation among sibling male zebra finches","https://scispace.com/paper/social-inhibition-of-song-imitation-among-sibling-male-zebra-4jh98mnyaa","1998","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Ofer Tchernichovski
Fernando Nottebohm","10.1073/PNAS.95.15.8951","","A male zebra finch, Taeniopygia guttata, kept with its father until adulthood develops an imitation of its father’s song motif. We report here that the completeness of this imitation was sensitive to the social or auditory context in which the bird grew up: the greater the number of male siblings in a clutch, the shorter the mean duration of the song motif and the fewer the mean number of song notes imitated from the father; the latter shortfall was not compensated by other, improvised notes. We call this effect fraternal inhibition. Fraternal inhibition was avoided by members of a clutch that developed the song first. To our surprise, this role commonly fell to one of the younger birds in the clutch. Early song learning may influence fitness since individuals that produced the most complete imitations also tended to induce more egg laying.","It is reported here that the completeness of this imitation was sensitive to the social or auditory context in which the bird grew up: the greater the number of male siblings in a clutch, the shorter the mean duration of the song motif and the fewer the mean number of song notes imitated from the father."
"Songbirds work around computational complexity by learning song vocabulary independently of sequence.","https://scispace.com/paper/songbirds-work-around-computational-complexity-by-learning-1v9ttrjzai","2017","Journal Article","Nature Communications","Dina Lipkind
Anja T. Zai
Anja T. Zai
Alexander Hanuschkin
Alexander Hanuschkin
Gary Marcus
Ofer Tchernichovski
Richard H. R. Hahnloser
Richard H. R. Hahnloser","10.1038/S41467-017-01436-0","","While acquiring motor skills, animals transform their plastic motor sequences to match desired targets. However, because both the structure and temporal position of individual gestures are adjustable, the number of possible motor transformations increases exponentially with sequence length. Identifying the optimal transformation towards a given target is therefore a computationally intractable problem. Here we show an evolutionary workaround for reducing the computational complexity of song learning in zebra finches. We prompt juveniles to modify syllable phonology and sequence in a learned song to match a newly introduced target song. Surprisingly, juveniles match each syllable to the most spectrally similar sound in the target, regardless of its temporal position, resulting in unnecessary sequence errors, that they later try to correct. Thus, zebra finches prioritize efficient learning of syllable vocabulary, at the cost of inefficient syntax learning. This strategy provides a non-optimal but computationally manageable solution to the task of vocal sequence learning. Efficiently imitating a complex motor sequence such as birdsong is a computationally intensive problem. Here the authors show that young zebra finches learn new songs using a non-optimal strategy that prioritizes efficient learning of syllable vocabulary over syllable sequence.","It is shown that young zebra finches learn new songs using a non-optimal strategy that prioritizes efficient learning of syllable vocabulary over syllable sequence, which provides a computationally manageable solution to the task of vocal sequence learning."
"Finding motifs in birdsong data in the presence of acoustic noise and temporal jitter.","https://scispace.com/paper/finding-motifs-in-birdsong-data-in-the-presence-of-acoustic-355ax4fkkf","2014","Journal Article","Behavioral Neuroscience","Antoniu L. Fantana
A. A. Kozhevnikov","10.1037/A0035985","","Here we present a novel approach to quickly and reliably find long (200 ms - 2 s) stereotyped sequences of sounds (""motifs"") in acoustic recordings of birdsong. Robust and time-efficient identification of such sequences is a crucial first step in many studies ranging from development to neuronal basis of motor behavior. Accurately identifying motifs is usually hindered by the presence of animal-intrinsic variability in execution and tempo, and by extrinsic acoustic noise (e.g., movement artifacts, ambient noise). The algorithm we describe in this report has been optimized to work in bird species that sing stereotyped syllable sequences (such as the zebra finch), and requires minimal user involvement (∼ 5 min for over 1,000 motifs). Importantly, it is transparent and robust to the choice of parameters.","The algorithm described in this report has been optimized to work in bird species that sing stereotyped syllable sequences, and requires minimal user involvement and is transparent and robust to the choice of parameters."
"How sleep affects the developmental learning of bird song","https://scispace.com/paper/how-sleep-affects-the-developmental-learning-of-bird-song-18wf24x4u4","2005","Journal Article","Nature","Sébastien Derégnaucourt
Partha P. Mitra
Olga Feher
Carolyn L. Pytte
Ofer Tchernichovski","10.1038/NATURE03275","","Sleep affects learning and development in humans and other animals, but the role of sleep in developmental learning has never been examined. Here we show the effects of night-sleep on song development in the zebra finch by recording and analysing the entire song ontogeny. During periods of rapid learning we observed a pronounced deterioration in song structure after night-sleep. The song regained structure after intense morning singing. Daily improvement in similarity to the tutored song occurred during the late phase of this morning recovery; little further improvement occurred thereafter. Furthermore, birds that showed stronger post-sleep deterioration during development achieved a better final imitation. The effect diminished with age. Our experiments showed that these oscillations were not a result of sleep inertia or lack of practice, indicating the possible involvement of an active process, perhaps neural song-replay during sleep. We suggest that these oscillations correspond to competing demands of plasticity and consolidation during learning, creating repeated opportunities to reshape previously learned motor skills.","It is suggested that these oscillations correspond to competing demands of plasticity and consolidation during learning, creating repeated opportunities to reshape previously learned motor skills."
"Does zebra finch (Taeniopygia guttata) preference for the (familiar) father's song generalize to the songs of unfamiliar brothers?","https://scispace.com/paper/does-zebra-finch-taeniopygia-guttata-preference-for-the-22b4ov9r5k","2003","Journal Article","Journal of Comparative Psychology","Katharina Riebel
Isabel M. Smallegange","10.1037/0735-7036.117.1.61","","Several studies have demonstrated that zebra finches (Taeniopygia guttata) prefer their fathers' songs over unfamiliar songs. Songs of tutors (i.e., fathers) and tutees (i.e., sons) resemble each other as a result of cultural transmission. Subjects (N = 18) with a previously established preference for the father's song could choose between the song of an unfamiliar brother or a random unfamiliar song in an operant task. Most subjects showed a significant preference for either category of song, but overall, the songs of unfamiliar brothers were not preferred, although they were more similar to the father's song than were the unfamiliar songs. This suggests that subjects did not generalize their learned preference for a song of a particular tutor to the songs of his tutees.","The songs of unfamiliar brothers were not preferred, although they were more similar to the father's song than were the unfamiliar songs, which suggests that subjects did not generalize their learned preference for a song of a particular tutor to the songs of his tutees."
"Quantitative Analysis of Animal Vocal Phonology: an Application to Swamp Sparrow Song","https://scispace.com/paper/quantitative-analysis-of-animal-vocal-phonology-an-1bv0l9hadm","2010","Journal Article","Ethology","Christopher Clark
Peter Marler
Kim Beeman","10.1111/J.1439-0310.1987.TB00676.X","","Sound spectrograms have been a traditional method for comparing animal vocalizations and demonstrating their similarities or differences, but quantification of the comparative process has been difficult. This lack of quantification has hindered progress in documenting the timing and degree of song development in song birds. With this in mind, computer-based methods for sound comparison and sound averaging were developed. These methods utilize a numerical representation of a sound's frequency-time structure to compute a similarity value between any two sounds and an average sound spectrogram for a set of sounds. These analytical techniques were applied to an analysis of song notes of the swamp sparrow (Melospiza georgiana). The results demonstrate the usefulness of the methods and reveal new details in the description of the swamp sparrow's set of species-universal note types and in the decrease of note variability during the course of developmental transitions from subsong, through plastic song to song crystallization.","Computer-based methods for sound comparison and sound averaging utilize a numerical representation of a sound's frequency-time structure to compute a similarity value between any two sounds and an average sound spectrogram for a set of sounds."
"Nearest neighbours reveal fast and slow components of motor learning","https://scispace.com/paper/nearest-neighbours-reveal-fast-and-slow-components-of-motor-1ke37jtoxa","2020","Journal Article","Nature","Sepp Kollmorgen
Richard H. R. Hahnloser
Valerio Mante","10.1038/S41586-019-1892-X","","Changes in behaviour resulting from environmental influences, development and learning1–5 are commonly quantified on the basis of a few hand-picked features2–4,6,7 (for example, the average pitch of acoustic vocalizations3), assuming discrete classes of behaviours (such as distinct vocal syllables)2,3,8–10. However, such methods generalize poorly across different behaviours and model systems and may miss important components of change. Here we present a more-general account of behavioural change that is based on nearest-neighbour statistics11–13, and apply it to song development in a songbird, the zebra finch3. First, we introduce the concept of ‘repertoire dating’, whereby each rendition of a behaviour (for example, each vocalization) is assigned a repertoire time, reflecting when similar renditions were typical in the behavioural repertoire. Repertoire time isolates the components of vocal variability that are congruent with long-term changes due to vocal learning and development, and stratifies the behavioural repertoire into ‘regressions’, ‘anticipations’ and ‘typical renditions’. Second, we obtain a holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation1,2,4,14,15 across the behavioral repertoire. We find that diurnal changes in regressions undergo only weak consolidation, whereas anticipations and typical renditions consolidate fully. Because of its generality, our nonparametric description of how behaviour evolves relative to itself—rather than to a potentially arbitrary, experimenter-defined goal2,3,14,16—appears well suited for comparing learning and change across behaviours and species17,18, as well as biological and artificial systems5. A new method for analysing change in high-dimensional data is based on nearest-neighbour statistics and is applied here to song dynamics during vocal learning in zebra finches, but could potentially be applied to other biological and artificial behaviours.","A holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’ is obtained, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation across the behavioral repertoire."
"Quantitative tools for examining the vocalizations of juvenile songbirds","https://scispace.com/paper/quantitative-tools-for-examining-the-vocalizations-of-57fjc5c8gn","2012","Journal Article","Computational Intelligence and Neuroscience","Cameron D. Wellock
George N. Reeke","10.1155/2012/261010","","The singing of juvenile songbirds is highly variable and not well stereotyped, a feature that makes it difficult to analyze with existing computational techniques. We present here a method suitable for analyzing such vocalizations, windowed spectral pattern recognition (WSPR). Rather than performing pairwise sample comparisons, WSPR measures the typicality of a sample against a large sample set. We also illustrate how WSPR can be used to perform a variety of tasks, such as sample classification, song ontogeny measurement, and song variability measurement. Finally, we present a novel measure, based on WSPR, for quantifying the apparent complexity of a bird's singing.","The singing of juvenile songbirds is highly variable and not well stereotyped, a feature that makes it difficult to analyze with existing computational techniques, so windowed spectral pattern recognition (WSPR) is presented, suitable for analyzing such vocalizations."
"Minimum spanning tree as a new, robust repertoire size comparison method: simulation and test on birdsong","https://scispace.com/paper/minimum-spanning-tree-as-a-new-robust-repertoire-size-47i3re4loj","2018","Journal Article","Behavioral Ecology and Sociobiology","Sándor Zsebők
Gábor Herczeg
György Blázi
Miklós Laczi
Gergely Nagy
János Török
László Zsolt Garamszegi
László Zsolt Garamszegi","10.1007/S00265-018-2467-9","","The comparison of acoustic complexity across individuals is often essential for understanding the evolution of acoustic signals. In many animal taxa, as a proxy of acoustic complexity, repertoire size is intensively studied; however, its estimation is challenging in species with large repertoires, as this process is time-consuming and may involve considerable subjectivity for the classification of signal elements. Here, we propose a novel application of the minimum spanning tree (MST) method for comparing individuals’ signal complexity, an approach that does not require classification process. We suggest that the differences in the MST length predict the differences in the repertoire sizes between individuals. To evaluate these proposals, first, we performed a simulation study investigating the effect of the practically important variables (repertoire size, number of acoustic parameters, sample size, distribution of element types and within-group variance) on the MST length. Second, we compared repertoire size estimates from the same song data from male collared flycatchers obtained using the fully manual, computer-aided manual and MST methods. In our simulation study, we found that the repertoire size strongly correlated with MST length. We also found significant effects of sample size, number of parameters and within-group variance, as well as how uniformly the samples were distributed between the groups, on the MST length. Our empirical data also revealed a strong correlation between the computer-aided manual estimation of repertoire sizes and MST length, which was comparable to the correlation between the estimations of repertoire size obtained using the two different manual methods. Therefore, we suggest using the MST method to compare the acoustic complexity among individuals in birds and other animals, with the practical restrictions suggested by our simulation results.","A novel application of the minimum spanning tree (MST) method is proposed for comparing individuals’ signal complexity, an approach that does not require classification process, and it is suggested that the differences in the MST length predict the Differences in the repertoire sizes between individuals."
