"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"AVN: A Deep Learning Approach for the Analysis of Birdsong","https://scispace.com/paper/avn-a-deep-learning-approach-for-the-analysis-of-birdsong-2t7bvw0hh24j","2024","Journal Article","","Therese MI Koch
Ethan S Marks
Todd F. Roberts","10.7554/elife.101111.1","","Deep learning tools for behavior analysis have enabled important new insights and discoveries in neuroscience. Yet, they often compromise interpretability and generalizability for performance, making it difficult to quantitively compare phenotypes across datasets and research groups. We developed a novel deep learning-based behavior analysis pipeline, Avian Vocalization Network (AVN), for the learned vocalizations of the most extensively studied vocal learning model species – the zebra finch. AVN annotates songs with high accuracy across multiple animal colonies without the need for any additional training data and generates a comprehensive set of interpretable features to describe the syntax, timing, and acoustic properties of song. We use this feature set to compare song phenotypes across multiple research groups and experiments, and to predict a bird’s stage in song development. Additionally, we have developed a novel method to measure song imitation that requires no additional training data for new comparisons or recording environments, and outperforms existing similarity scoring methods in its sensitivity and agreement with expert human judgements of song similarity. These tools are available through the open-source AVN python package and graphical application, which makes them accessible to researchers without any prior coding experience. Altogether, this behavior analysis toolkit stands to facilitate and accelerate the study of vocal behavior by enabling a standardized mapping of phenotypes and learning outcomes, thus helping scientists better link behavior to the underlying neural processes. ","Researchers developed AVN, a deep learning-based pipeline for analyzing bird vocalizations, enabling accurate annotation, interpretable features, and standardized comparisons across datasets and research groups, facilitating the study of vocal behavior and neural processes."
"AVN: A Deep Learning Approach for the Analysis of Birdsong","https://scispace.com/paper/avn-a-deep-learning-approach-for-the-analysis-of-birdsong-58cdxxrx3m","2024","Journal Article","bioRxiv","T. M. Koch
Ethan Marks
Todd F. Roberts","10.1101/2024.05.10.593561","","Deep learning tools for behavior analysis have enabled important new insights and discoveries in neuroscience. Yet, they often compromise interpretability and generalizability for performance, making it difficult to quantitively compare phenotypes across datasets and research groups. We developed a novel deep learning-based behavior analysis pipeline, Avian Vocalization Network (AVN), for the learned vocalizations of the most extensively studied vocal learning model species – the zebra finch. AVN annotates songs with high accuracy across multiple animal colonies without the need for any additional training data and generates a comprehensive set of interpretable features to describe the syntax, timing, and acoustic properties of song. We use this feature set to compare song phenotypes across multiple research groups and experiments, and to predict a bird’s stage in song development. Additionally, we have developed a novel method to measure song imitation that requires no additional training data for new comparisons or recording environments, and outperforms existing similarity scoring methods in its sensitivity and agreement with expert human judgements of song similarity. These tools are available through the open-source AVN python package and graphical application, which makes them accessible to researchers without any prior coding experience. Altogether, this behavior analysis toolkit stands to facilitate and accelerate the study of vocal behavior by enabling a standardized mapping of phenotypes and learning outcomes, thus helping scientists better link behavior to the underlying neural processes.","AVN is a deep learning-based behavior analysis pipeline for the analysis of birdsong that facilitates standardized mapping of phenotypes and learning outcomes."
"Studying the song development process rationale and methods","https://scispace.com/paper/studying-the-song-development-process-rationale-and-methods-2q0f5ocvrv","2004","Journal Article","Annals of the New York Academy of Sciences","Ofer Tchernichovski
Thierry Lints
Sébastien Derégnaucourt
Aylin Cimenser
Partha P. Mitra","10.1196/ANNALS.1298.031","","Current technology makes it possible to measure song development continuously throughout a vocal ontogeny. Here we briefly review some of the problems involved and describe experimental and analytic methods for automatic tracing of vocal changes. These techniques make it possible to characterize the specific methods the bird uses to imitate sounds: an automated song recognition procedure allows continuous song recording, followed by automated sound analysis that partition the song to syllables, extract acoustic features of each syllable, and summarize the entire song development process over time into a single database. The entire song development is then presentable in the form of images or movie clips. These Dynamic Vocal Development (DVD) maps show how each syllable type emerges, and how the bird manipulates syllable features to eventually approximate the model song. Most of the experimental and analytic methods described here have been organized into a software package, which also allows combined neural and sound recording to monitor changes in brain activity as vocal learning occurs. The software is available at http://ofer.sci.ccny.cuny.edu.","These Dynamic Vocal Development (DVD) maps show how each syllable type emerges, and how the bird manipulates syllable features to eventually approximate the model song."
"Dynamics of the Vocal Imitation Process: How a Zebra Finch Learns Its Song","https://scispace.com/paper/dynamics-of-the-vocal-imitation-process-how-a-zebra-finch-5bhvv9gh5p","2001","Journal Article","Science","Ofer Tchernichovski
Partha P. Mitra
Thierry Lints
Fernando Nottebohm","10.1126/SCIENCE.1058522","","Song imitation in birds provides good material for studying the basic biology of vocal learning. Techniques were developed for inducing the rapid onset of song imitation in young zebra finches and for tracking trajectories of vocal change over a 7-week period until a match to a model song was achieved. Exposure to a model song induced the prompt generation of repeated structured sounds (prototypes) followed by a slow transition from repetitive to serial delivery of syllables. Tracking this transition revealed two phenomena: (i) Imitations of dissimilar sounds can emerge from successive renditions of the same prototype, and (ii) developmental trajectories for some sounds followed paths of increasing acoustic mismatch until an abrupt correction occurred by period doubling. These dynamics are likely to reflect underlying neural and articulatory constraints on the production and imitation of sounds.","Techniques were developed for inducing the rapid onset of song imitation in young zebra finches and for tracking trajectories of vocal change over a 7-week period until a match to a model song was achieved."
"Low-dimensional learned feature spaces quantify individual and group differences in vocal repertoires","https://scispace.com/paper/low-dimensional-learned-feature-spaces-quantify-individual-77vb8t3wkk","2021","Posted Content","bioRxiv","Jack Goffinet
Samuel Brudner
Richard Mooney
John M. Pearson","10.1101/811661","","Increases in the scale and complexity of behavioral data pose an increasing challenge for data analysis. A common strategy involves replacing entire behaviors with small numbers of handpicked, domain-specific features, but this approach suffers from several crucial limitations. For example, handpicked features may miss important dimensions of variability, and correlations among them complicate statistical testing. Here, by contrast, we apply the variational autoencoder (VAE), an unsupervised learning method, to learn features directly from data and quantify the vocal behavior of two model species: the laboratory mouse and the zebra finch. The VAE converges on a parsimonious representation that outperforms handpicked features on a variety of common analysis tasks, enables the measurement of moment-by-moment vocal variability on the timescale of tens of milliseconds in the zebra finch, provides strong evidence that mouse ultrasonic vocalizations do not cluster as is commonly believed, and captures the similarity of tutor and pupil birdsong with qualitatively higher fidelity than previous approaches. In all, we demonstrate the utility of modern unsupervised learning approaches to the quantification of complex and high-dimensional vocal behavior.","In this paper, the authors apply the variational autoencoder (VAE) to learn features directly from data and quantify the vocal behavior of two model species: the laboratory mouse and the zebra finch."
"Nearest neighbours reveal fast and slow components of motor learning","https://scispace.com/paper/nearest-neighbours-reveal-fast-and-slow-components-of-motor-1ke37jtoxa","2020","Journal Article","Nature","Sepp Kollmorgen
Richard H. R. Hahnloser
Valerio Mante","10.1038/S41586-019-1892-X","","Changes in behaviour resulting from environmental influences, development and learning1–5 are commonly quantified on the basis of a few hand-picked features2–4,6,7 (for example, the average pitch of acoustic vocalizations3), assuming discrete classes of behaviours (such as distinct vocal syllables)2,3,8–10. However, such methods generalize poorly across different behaviours and model systems and may miss important components of change. Here we present a more-general account of behavioural change that is based on nearest-neighbour statistics11–13, and apply it to song development in a songbird, the zebra finch3. First, we introduce the concept of ‘repertoire dating’, whereby each rendition of a behaviour (for example, each vocalization) is assigned a repertoire time, reflecting when similar renditions were typical in the behavioural repertoire. Repertoire time isolates the components of vocal variability that are congruent with long-term changes due to vocal learning and development, and stratifies the behavioural repertoire into ‘regressions’, ‘anticipations’ and ‘typical renditions’. Second, we obtain a holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation1,2,4,14,15 across the behavioral repertoire. We find that diurnal changes in regressions undergo only weak consolidation, whereas anticipations and typical renditions consolidate fully. Because of its generality, our nonparametric description of how behaviour evolves relative to itself—rather than to a potentially arbitrary, experimenter-defined goal2,3,14,16—appears well suited for comparing learning and change across behaviours and species17,18, as well as biological and artificial systems5. A new method for analysing change in high-dimensional data is based on nearest-neighbour statistics and is applied here to song dynamics during vocal learning in zebra finches, but could potentially be applied to other biological and artificial behaviours.","A holistic, yet low-dimensional, description of vocal change in terms of a stratified ‘behavioural trajectory’ is obtained, revealing numerous previously unrecognized components of behavioural change on fast and slow timescales, as well as distinct patterns of overnight consolidation across the behavioral repertoire."
"Neighborhood-statistics reveal complex dynamics of song acquisition in the zebra finch","https://scispace.com/paper/neighborhood-statistics-reveal-complex-dynamics-of-song-58rhrwnq0f","2019","Posted Content","bioRxiv","Sepp Kollmorgen
Richard H. R. Hahnloser
Valerio Mante","10.1101/595512","","Motor behaviors are continually shaped by a variety of processes such as environmental influences, development, and learning. The resulting behavioral changes are commonly quantified based on hand-picked features (e.g. syllable pitch) and assuming discrete classes of behaviors (e.g. distinct syllables). Such methods may generalize poorly across behaviors and species and are necessarily biased. Here we present an account of behavioral change based on nearest-neighbor statistics that avoids such biases and apply it to song development in the juvenile zebra finch. First, we introduce the concept of repertoire dating, whereby each syllable rendition is dated with a ""pseudo"" production-day corresponding to the day when similar renditions were typical in the behavioral repertoire. Differences in pseudo production-day across renditions isolate the components of vocal variability congruent with the long-term changes due to vocal learning and development. This variability is large, as about 10% of renditions have pseudo production-days falling more than 10 days into the future (anticipations) or into the past (regressions) relative to their actual production time. Second, we obtain a holistic, yet low-dimensional, description of vocal change in terms of a behavioral trajectory, which reproduces the pairwise similarities between renditions grouped by production time and pseudo production-day. The behavioral trajectory reveals multiple, previously unrecognized components of behavioral change operating at distinct time-scales. These components interact differently across the behavioral repertoire: diurnal change in regressions undergoes only weak overnight consolidation, whereas anticipations and typical renditions consolidate fully. Our nearest-neighbor methods yield model-free descriptions of how behavior evolves relative to itself, rather than relative to a potentially arbitrary, experimenter-defined, goal. Because of their generality, our methods appear well-suited to comparing learning across behaviors and species, and between biological and artificial systems.","This work introduces the concept of repertoire dating, whereby each syllable rendition is dated with a “pseudo” production-day corresponding to the day when similar renditions were typical in the behavioral repertoire, and obtains a holistic, yet low-dimensional, description of vocal change in terms of a behavioral trajectory."
"Generative models of birdsong learning link circadian fluctuations in song variability to changes in performance","https://scispace.com/paper/generative-models-of-birdsong-learning-link-circadian-d0ktcn53","2023","Journal Article","PLOS Computational Biology","Samuel Brudner
John M. Pearson
Richard Mooney","10.1371/journal.pcbi.1011051","","Learning skilled behaviors requires intensive practice over days, months, or years. Behavioral hallmarks of practice include exploratory variation and long-term improvements, both of which can be impacted by circadian processes. During weeks of vocal practice, the juvenile male zebra finch transforms highly variable and simple song into a stable and precise copy of an adult tutor’s complex song. Song variability and performance in juvenile finches also exhibit circadian structure that could influence this long-term learning process. In fact, one influential study reported juvenile song regresses towards immature performance overnight, while another suggested a more complex pattern of overnight change. However, neither of these studies thoroughly examined how circadian patterns of variability may structure the production of more or less mature songs. Here we relate the circadian dynamics of song maturation to circadian patterns of song variation, leveraging a combination of data-driven approaches. In particular we analyze juvenile singing in learned feature space that supports both data-driven measures of song maturity and generative developmental models of song production. These models reveal that circadian fluctuations in variability lead to especially regressive morning variants even without overall overnight regression, and highlight the utility of data-driven generative models for untangling these contributions.","In this article , a combination of data-driven and generative approaches was used to analyze the behavior of a male zebra finch singing in a learned feature space, and the results showed that circadian fluctuations in variability lead to especially regressive morning variants even without overall overnight regression."
"Learning the sound inventory of a complex vocal skill via an intrinsic reward","https://scispace.com/paper/learning-the-sound-inventory-of-a-complex-vocal-skill-via-an-1oa9bkzg","2023","Posted Content","bioRxiv","Hazem Toutounji
Anja T. Zai
Ofer Tchernichovski
Richard H. R. Hahnloser
Dina Lipkind","10.1101/2022.09.27.509691","","Reinforcement learning (RL) is thought to underlie the acquisition of vocal skills like birdsong and speech, where sounding like one’s “tutor” is rewarding. Yet, we find that the standard actor-critic RL model of birdsong learning fails to account for juvenile zebra finches’ efficient learning of an inventory of multiple syllables. But when we replace a single actor with multiple independent actors that jointly maximize a common intrinsic reward, then birds’ empirical learning trajectories are accurately reproduced. Importantly, the influence of each actor (syllable) on the magnitude of global reward is competitively determined by its acoustic similarity to target syllables. This leads to each actor matching the target it is closest to, and occasionally, to the competitive exclusion of an actor from the learning process (i.e., the learned song). We propose that a competitive-cooperative multi-actor (MARL) algorithm is key for the efficient learning of the action inventory of a complex skill.","It is hypothesized that birdsong syllable inventory learning is a similarity-based intrinsic reward formed by a hierarchical competition between partial rewards attributed to individual syllables and calls, and a zero partial reward is inferred for vocalizations that are at a large acoustic distance from a target."
"Balanced imitation sustains song culture in zebra finches.","https://scispace.com/paper/balanced-imitation-sustains-song-culture-in-zebra-finches-q19dv35vhz","2021","Journal Article","Nature Communications","Ofer Tchernichovski
Sophie Eisenberg-Edidin
Sophie Eisenberg-Edidin
Erich D. Jarvis","10.1038/S41467-021-22852-3","","Songbirds acquire songs by imitation, as humans do speech. Although imitation should drive convergence within a group and divergence through drift between groups, zebra finch songs sustain high diversity within a colony, but mild variation across colonies. We investigated this phenomenon by analyzing vocal learning statistics in 160 tutor-pupil pairs from a large breeding colony. Song imitation is persistently accurate in some families, but poor in others. This is not attributed to genetic differences, as fostered pupils copied their tutors' songs as accurately or poorly as biological pupils. Rather, pupils of tutors with low song diversity make more improvisations compared to pupils of tutors with high song diversity. We suggest that a frequency dependent balanced imitation prevents extinction of rare song elements and overabundance of common ones, promoting repertoire diversity within groups, while constraining drift across groups, which together prevents the collapse of vocal culture into either complete uniformity or chaos.","In this article, the authors investigate the effect of frequency dependent balanced imitation on the performance of tutors and pupils in a large breeding colony of zebra finch song imitation and find that tutors with low song diversity make more improvisations compared to pupils with high song diversity."
