"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Insight versus analysis: Evidence for diverse methods in problem solving","https://scispace.com/paper/insight-versus-analysis-evidence-for-diverse-methods-in-2b7mtybr4u","2013","Journal Article","Journal of cognitive psychology","Jessica I. Fleck
Robert W. Weisberg","10.1080/20445911.2013.779248","","Since the Gestalt psychologists made the distinction approximately 100 years ago, psychologists have differentiated between solving problems through analysis versus insight. The present paper presents evidence to support the idea that, rather than conceptualising insight versus analysis as distinct modes of solving problems, it is more useful to conceive of insight and analysis as two approaches within a set of possible solving methods. In the present research, 60 participants solved insight problems while thinking aloud, which provided evidence concerning the processes underlying problem solution. Comparison with performance of a nonverbalisation control group (n = 35) indicated no negative effects of thinking aloud on insight in problem solving. The results supported the idea that various methods are utilised in solving insight problems. The “classic” impasse–restructuring–insight sequence occurred in only a small minority of solutions. A number of other solution methods were found, ranging from relativ...","In this paper, 60 participants solved insight problems while thinking aloud, which provided evidence concerning the processes underlying problem solution, and the results supported the idea that various methods are utilised in solving insight problems."
"Feelings-of-Warmth Increase More Abruptly for Verbal Riddles Solved With in Contrast to Without Aha! Experience.","https://scispace.com/paper/feelings-of-warmth-increase-more-abruptly-for-verbal-riddles-1nwg60zxxd","2018","Journal Article","Frontiers in Psychology","Jasmin M. Kizilirmak
Violetta Serger
Judith Kehl
Michael Öllinger
Kristian Folta-Schoofs
Alan Richardson-Klavehn","10.3389/FPSYG.2018.01404","","When we are confronted with a new problem, we typically try to apply strategies that have worked in the past and which usually lead closer to the solution incrementally. However, sometimes, either during a problem-solving attempt that does not seem to lead closer to the solution, or when we have given up on problem-solving for the moment, the solution seems to appear out of nowhere. This is often called a moment of insight. Whereas the cognitive processes of getting closer to the solution are still unknown for insight problem-solving, there are two diverging theories on the subjective feeling of getting closer to the solution: (1) One that states that an intuitive feeling of closeness to the solution increases slowly, but incrementally, before it surpasses the threshold to consciousness and becomes verbalizable (= insight) (continuous approach), and (2) another that proposes that the feeling of closeness to the solution does not increase before it exceeds the threshold to consciousness (discontinuous approach). Here, we investigated the subjective feeling of closeness to the solution, assessed as feeling-of-warmth (FoW), its relationship to solving the problem versus being presented with it and whether a feeling of Aha! was experienced. Additionally, we tested whether Aha! experiences are more likely when the problem is solved actively by the participant or presented to the participant after an unsuccessful problem-solving attempt, and whether the frequency of Aha! experiences correlates with problem difficulty. To our knowledge, this is the first study combining the CRAT with FoW assessments for the named conditions (solved/unsolved, three difficulty levels, Aha!/no Aha!). We used a verbal problem-solving task, the Compound Remote Associates Task (CRAT). Our data revealed that Aha! experiences were more often reported for solutions generated by the participant compared to solutions presented after unsuccessful problem-solving. Moreover, FoW curves showed a steeper increase for the last two FoW ratings when problems were solved with Aha! in contrast to without Aha!. Based on this observation, we provide a preliminary explanation for the underlying cognitive process of solving CRA problems via insight.","The subjective feeling of closeness to the solution, assessed as feeling-of-warmth (FoW), its relationship to solving the problem versus being presented with it and whether a feeling of Aha! was experienced are investigated to provide a preliminary explanation for the underlying cognitive process of solving CRA problems via insight."
"Assessing metacognitive knowledge in subjective decisions: The <i>knowledge of weights</i> paradigm","https://scispace.com/paper/assessing-metacognitive-knowledge-in-subjective-decisions-4wieg770bv0n","2024","Journal Article","Thinking & Reasoning","Trent N. Cash
Daniel M. Oppenheimer","10.1080/13546783.2024.2426543","","Subjective, multi-attribute choice decisions – such as whom to marry or which college to attend – play a substantial role in decision makers' long-term well-being. However, the metacognition literature lacks tools for assessing metacognitive capacities in subjective decisions. We present three studies in which we propose and validate the Knowledge of Weights (KoW) paradigm, a novel method for assessing metacognitive knowledge of attribute weights in subjective, multi-attribute choice decisions. In Study 1, we demonstrate the test-retest reliability of metrics generated by the KoW paradigm. In Study 2, we apply the KoW paradigm in four domains and show that it generates consistent results. In Study 3, we demonstrate that participants who perform better on the KoW paradigm make choices with which they are more satisfied, providing suggestive evidence of predictive validity. Use cases in cognitive psychology and beyond are discussed. ","Researchers introduce the ""Knowledge of Weights"" paradigm to assess metacognitive knowledge in subjective decisions, demonstrating reliability, consistency, and predictive validity in three studies, with potential applications in cognitive psychology and beyond."
"Multiple paths to transfer and constraint relaxation in insight problem solving","https://scispace.com/paper/multiple-paths-to-transfer-and-constraint-relaxation-in-3zvzrbfkjx","2013","Journal Article","Thinking & Reasoning","Trina C. Kershaw
Christopher K. Flynn
Leamarie T. Gordon","10.1080/13546783.2012.742852","","In two experiments participants received various training methods designed to relax constraints present in the Four-Tree problem (deBono, 1967), a difficult insight problem. Geometry misconceptions were corrected via direct instruction. Participants’ difficulty with developing three-dimensional representations was addressed via spontaneous analogical transfer (Experiment 1) or via cued analogical transfer (Experiment 2). We found that, while both training methods were effective, alleviating multiple constraints was more effective than the alleviation of single constraints via training programmes (c.f. Kershaw & Ohlsson, 2004). Providing single difficulty hints was ineffective in promoting solution. Implications for multiple paths to transfer (Nokes, 2009; Nokes & Ohlsson, 2005) and multiple constraints are discussed.","This paper found that alleviating multiple constraints was more effective than the alleviation of single constraints via training programmes, while providing single difficulty hints was ineffective in promoting solution. But, while both training methods were effective, the alleviating of multiple constraints in the Four-Tree problem was more helpful than alleviating single constraints."
"Learning planning strategies without feedback","https://scispace.com/paper/learning-planning-strategies-without-feedback-2d8157ir","2023","Posted Content","","","10.31219/osf.io/fyx4g","","How do humans get better at planning? Previous work postulated that the improvement of cognitive strategies occurs through feedback-based metacognitive reinforcement learning (MCRL). However, it is not clear whether and, if so, how people can learn planning strategies without reinforcement. To answer these questions, we experimentally investigated the effect of frequency of feedback on people's ability to learn adaptive planning strategies. We found that participants receiving feedback only 25\% of the time nonetheless learned about as well as participants receiving constant feedback. Quantitative modelling of the data revealed that state-of-the-art MCRL models cannot explain this finding. However, extending these models by a mechanism generating an additional learning signal through self-evaluation of plan quality can account for people's ability to learn planning strategies without feedback. The findings of this research have implications for the design of learning environments and enabling people and machines to self-sufficiently improve their strategies in naturalistic settings. ","This paper investigated the effect of frequency of feedback on people's ability to learn adaptive planning strategies and found that participants receiving feedback only 25% of the time nonetheless learned about as well as participants receiving constant feedback."
"Metacognition and insight during problem solving : comment on metcalfe","https://scispace.com/paper/metacognition-and-insight-during-problem-solving-comment-on-53ahywcs2k","1992","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Robert W. Weisberg","10.1037//0278-7393.18.2.426","","Metcalfe (1986a, 1986b; Metcalfe & Weibe, 1987) used two types of metacognitive judgments, prediction of solution and rating of warmth, to support the claim that there is a nonincremental process corresponding to the Gestalt notion of insight that occurs in the solution of certain sorts of problems. However, there are logical and empirical issues that can be raised about Metcalfe's analysis and conclusions : a) Metcalfe's finding that Ss cannot predict their performance on «insight» problems does not not logically necessitate that solutions to such problems occur in sudden bursts of insight, b) Metcalfe's feeling-of-warmth data for insight problems are problematic as support for her hypothesis, and c) Metcalfe's definition of insight is circular and does not further our understanding of problem solving","Metcalfe as discussed by the authors used two types of metacognitive judgments, prediction of solution and rating of warmth, to support the claim that there is a non-incremental process corresponding to the Gestalt notion of insight that occurs in the solution of certain sorts of problems."
"Decompose, Deduce, and Dispose: A Memory-Limited, Metacognitive Model of Human Problem Solving","https://scispace.com/paper/decompose-deduce-and-dispose-a-memory-limited-metacognitive-0s38wq7tr3gh","2025","Journal Article","","Samuel Cheyette
Tony Chen
Matthias Hofer
Frederick Callaway
Neil R Bramley
Joshua B. Tenenbaum","10.31234/osf.io/576wm_v1","","Many real-world problems are defined by complex systems of interlocking constraints. How people are able to solve these problems with such limited working memory capacity remains poorly understood.We propose a formal model of human problem-solving that uses metacognitive knowledge of its own memory limits and imperfect reasoning to guide subproblem choice. We compare our model to human gameplay in two experiments using a variant of the classic game Minesweeper. In Experiment 1, we find that participants' accuracy was influenced both by the order of subproblems and their ability to externalize intermediate results, indicative of a memory bottleneck in reasoning. In Experiment 2, we used a mouse-tracking paradigm to assess participants' subproblem choice and time allocation. The model captures key patterns of subproblem ordering, error, and time allocation. Our results point toward memory limits and strategies for navigating those limits --- including the careful choice of subproblems and memory-offloading --- as central elements of human problem-solving. ","Researchers propose a metacognitive model of human problem-solving that accounts for memory limits and imperfect reasoning, demonstrating its effectiveness in simulating human gameplay in Minesweeper and highlighting the importance of memory management in problem-solving."
"Cognitive Bias and Learning from Experience: Reflective Processes for Reducing Bias","https://scispace.com/paper/cognitive-bias-and-learning-from-experience-reflective-jk7c8nz6tgqp","","","","Dina Acklin
Robert Mathews
Sean Michael Lane","10.1037/e528942014-511","","While heuristic processing is often useful for quickly ascertaining information in everyday situations, it can lead to inaccuracies when task demands become complex and more systematic processing is required. These inaccuracies are often the result of confirmation bias, in which information that is consistent with our beliefs is noted at the expense of disconfirming evidence. The current decision making literature suggests that highlighting disconfirming evidence – termed negative feedback - might work to engage deliberate, systematic cognitive processes that lead to more accurate information acquisition. Using a probabilistic learning task where feedback is not consistently accurate (Matchmaker), the first experiment in this study will attempt to overcome confirmation bias by encouraging initial hypotheses to be considered from confirming and disconfirming vantages. It is proposed that errors resulting from bias will thus be made more salient and the testing of alternative solutions will be encouraged, resulting in greater accuracy. A second experiment will explore the cognitive processes involved in bias strengthening and determine if warnings of feedback error alter the way in which information is interpreted.","This study investigates how highlighting disconfirming evidence (negative feedback) can reduce cognitive bias in decision-making, using a probabilistic learning task to encourage systematic processing and improve accuracy by making errors more salient."
"“aha!” and “oh yes!”: how emotions affect insight experience","https://scispace.com/paper/aha-and-oh-yes-how-emotions-affect-insight-experience-acmsbeef19","2023","Journal Article","Psychology. Journal of the Higher School of Economics","Ekaterina А. Valueva
Nadezhda M. Lapteva","10.17323/1813-8918-2023-3-428-444","","Besides classical “Aha!” moments after successful solutions, researchers have recently examined the “Oh yes!” phenomenon, which occurs when participants are presented with ready-made answers. We investigated the influence of emotional state on insight ratings in these two situations. We propose two alternative models to predict the impact of emotional state on the likelihood of experiencing “Aha!” and “Oh yes!” moments. The first model is based on the feelings-as-information framework and predicts that a generally more positive mood can be attributed by participants to positive emotions from insight. Participants, interpreting their positive state, believe that it is due to insight and will be more likely to experience both “Aha!” and “Oh yes!” insights. The second hypothesis is based on the attribution theory and connects the evaluation of insight with causal attribution. The causes of failure are attributed to external circumstances, while the causes of success are attributed to internal factors. The prediction aligns with the first hypothesis in the case of correct solutions (success situations). However, in the case of unsuccessful solutions (failure situations), the prediction is opposite. We conducted a study using anagrams as the problem-solving task and employed mood-inducing videos to manipulate the participants' emotional state. Question naires assessing participants' states revealed that our interventions improved the participants' mood, reduced anxiety and fatigue. The results of the analysis supported the second hypothesis. We discuss that the mechanisms through which emotional state influences insight ratings may vary depending on the type of insight and may be related to different attentional focuses, decision-making strategies, or emotional congruence effects.","The influence of emotional state on insight experience is investigated. The study examined the ""Aha!"" and ""Oh yes!"" phenomena and proposed two models to predict the impact of emotional state on insight ratings. The results support the second model based on attribution theory."
"Interactivity and Embodied Cues in Problem Solving, Learning and Insight: Further Contributions to a “Theory of Hints”","https://scispace.com/paper/interactivity-and-embodied-cues-in-problem-solving-learning-1njv91opdj","2013","Book Chapter","","Linden J. Ball
Damien Litchfield","10.1007/978-3-319-49115-8_6","","This chapter addresses the situated, embodied and interactive characteristics of problem solving by focusing on the cues that arise within a solver’s external environment. In examining the influence of external cues on problem solving we have been heavily influenced by Kirsh’s (The Cambridge handbook of situated cognition, Cambridge University Press, Cambridge, 2009) “theory of hints”. We extend this theory to include hints that derive from the communicative properties of other people’s eye movements, focusing on the role of eye gaze in directing attention and conveying information that can be beneficial for problem solving. A particularly interesting aspect of eye gaze is its capacity to facilitate the perceptual priming of motor simulations in an observer. This gives rise to the potential for an expert problem solver’s eye movements to cue imitative perceptual and attentional processing in less expert observers that can promote effective problem solving. We review studies that support the hypothesised role of gaze cues in scaffolding problem solving, focusing on examples from insight tasks and diagnostic radiography. Findings reveal that eye gaze can support a variety of decisions and judgements in problem solving contexts. In sum, knowing where another person looks provides hints that can act both implicitly and explicitly to cue attention and to shape thoughts and decisions.","In this article, the authors examined the role of eye gaze in directing attention and conveying information that can be beneficial for problem solving and found that eye gaze can support a variety of decisions and judgements in problem solving contexts."
