"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Does latent learning produce instantaneous transfer of place navigation","https://scispace.com/paper/does-latent-learning-produce-instantaneous-transfer-of-place-3nwf83i6vm","1989","Journal Article","Psychobiology","Julian R. Keith","10.3758/BF03337839","","Commentaire sur les apports d'information effectues par Chew, Sutherland et Wishaw (1989) concernant l'article de Keith et Mc Vety (1988): precision concernant certains termes se rapportent au probleme de l'apprentissage latent et a celui de l'orientation","In this article, a commentaire sur les apports d'information effectues par Chew, Sutherland et Wishaw (1989) concernant l'article de Keith et Mc Vety (1988): precision concernant certains termes se rapportent au probleme de l'apprentissage latent et a celui de lorientation"
"Multiple systems for spatial learning: dead reckoning and beacon homing in rats.","https://scispace.com/paper/multiple-systems-for-spatial-learning-dead-reckoning-and-2sk52d8yjj","2005","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Sara J. Shettleworth
Jennifer E. Sutton","10.1037/0097-7403.31.2.125","","Rats homed with food in a large lighted arena. Without visual cues, they used dead reckoning. When a beacon indicated the home, rats could also use the beacon. Homing did not differ in 2 groups of rats, 1 provided with the beacon and 1 without it; tests without the beacon gave no evidence that beacon learning overshadowed dead reckoning (Experiment 1). When the beacon was at the home for 1 group and in random locations for another, there was again no evidence of cue competition (Experiment 2). Dead reckoning experience did not block acquisition of beacon homing (Experiment 3). Beacon learning and dead reckoning do not compete for predictive value but acquire information in parallel and are used hierarchically.","Beacon learning and dead reckoning do not compete for predictive value but acquire information in parallel and are used hierarchically."
"Spatial problem solving in a dual runway task by normal and septal rats.","https://scispace.com/paper/spatial-problem-solving-in-a-dual-runway-task-by-normal-and-1j49md2v0n","1985","Journal Article","Behavioral Neuroscience","Thom Herrmann
Bruno Poucet
Paul Ellen","10.1037//0735-7044.99.4.631","","Thom Herrmann Bruno Poucet University of Guelph University of Guelph Guelph, Ontario, Canada Guelph, Ontario, Canada and Georgia State University Paul Ellen Georgia State University The addition of a dual runway configuration did not disrupt the successful performance of normal animals, nor did it improve the deficit of septal rats on the Maier three-table spatial integration task. Both groups of animals displayed a preference for the outside runway configuration during exploration. During testing, however, septal animals retained this preference, whereas normal subjects attempted solution by using the inside runway configuration. This fact, in addition to the apparent lack of a habituation pattern during exploration, suggests that septal animals do not acquire a spatial representa- tion of the test situation. It is suggested that the inability of septal rats in spatial situations is due to an inability to form rather than an inability to use spatial maps. In a previous study (Ellen, Parko, Wages, Herrmann, & Doherty, 1982), it was shown that rats could perform successfully on the Maier spatial integration task despite the fact that the route configuration connect- ing the three tables differed on the test trial from the one that had been experienced during the preceding 15-min exploratory period. It will be recalled that on the three- table task, animals are first exposed for 15 min to the unbaited tables and runway configuration. They are then given a 1-min feeding experience on one of the tables, followed by a test trial during which they are required to return to the baited table in the most direct manner possible. Successful performance on this task requires that the animals integrate the information concern- ing the daily locus of food with their knowl- Funding for this project was provided by a National Sciences and Engineering Research Council of Canada grant (NSERC 838-17} to T. Herrmann and a special grant from the Foundation pour la Recherche Medi- cale et Fondation Fyssen to B. Poucet. B. Poucet was a visiting research fellow from the National Center for Scientific Research, Marseille, France. Requests for reprints should be sent to Thom Herrmann, Department of Psychology, University of Guelph, Guelph, Ontario, Canada N1G 2Wl. edge of the spatial relations existing among the tables which had been acquired during the exploratory experience. The fact that in the Ellen et al. study animals eventually returned directly to the baited table despite alterations in the runway configuration from the exploratory phase to the test phase indicated that animals gradually identify the invariant relations existing among the tables despite the particular pat- tern of runways connecting the tables. This kind of information provides quite strong evidence for the existence of a cognitive representation of the spatial relations among the tables that is independent of the momentary position of the animal. In both the Ellen et al. (1982) study and the traditional use of the three-table task (Maier, 1929), the runway configurations connecting the three tables are generally quite simple; that is, the tables are con- nected either with a Y-shaped configuration of runways or with a triangular configura- tion of runways. In either instance, the tables are quite salient, and it is not sur- prising that animals do not have a great deal of difficulty identifying the invariant relations among tables. The question can then be asked as to the extent to which this ability to identify the invariant spatial re- 631","The addition of a dual runway configuration did not disrupt the successful performance of normal animals, nor did it improve the deficit of septal rats on the Maier three-table spatial integration task, which suggests that the inability of sePTal rats in spatial situations is due to an inability to form rather than an unable to use spatial maps."
"Performance of goldfish trained in allocentric and egocentric maze procedures suggests the presence of a cognitive mapping system in fishes","https://scispace.com/paper/performance-of-goldfish-trained-in-allocentric-and-h5987hvk1o","1994","Journal Article","Animal Learning & Behavior","Fernando Rodríguez
Emilio Durán
Juan Pedro Vargas
B. Torres
Cosme Salas","10.3758/BF03209160","","Goldfish were trained to obtain food in a four-arm maze placed in a room with relevant spatial cues. Four experimental conditions were run: allocentric, egocentric, egocentric + allocentric, and control. Relative to controls, all groups were able to solve the different tasks with high accuracy after 1 week of training. Subsequent transfer tests revealed place and response strategies for allocentric and egocentric groups, respectively, and both types of strategies for the ego-allocentric group. Moreover, the allocentric group showed the capacity to choose the appropriate trajectory toward the goal, even from novel starting points, presumably by using the distal cues as a whole. The results suggest that, in addition to using egocentric strategies, goldfish are able to solve spatial tasks on the basis of allocentric frames of reference and to build complex spatial cognitive representations of their environment.","The results suggest that, in addition to using egocentric strategies, goldfish are able to solve spatial tasks on the basis of allocentric frames of reference and to build complex spatial cognitive representations of their environment."
"Spatial learning and representation in animats","https://scispace.com/paper/spatial-learning-and-representation-in-animats-3o8sjxbwpi","1994","Proceedings Article","Simulation of Adaptive Behavior","Tony J. Prescott","","","Animat AI has generally emphasised learning of a dispositional, or task-specific nature over that of a representational or task-independent kind. However, many animals are capable of both forms of learning, and, in particular, exploit representational learning to construct spatial knowledge that allows efficient and flexible navigation behaviour. The focus on building versatile mobile robots may therefore force the development of representational learning systems in animat AI. This paper considers the navigation problem and argues against the view that qualitative spatial representations, encoding principally topological relations, may necessarily be simpler to construct, store, or use than more quantitative models. It further argues against constructing a unified or global representations of space suggesting instead that knowledge should be distributed between multiple, partial, local models encoding complimentary constraints which can be combined at run-time to address a specific navigation task.","The navigation problem is considered and it is argued against the view that qualitative spatial representations, encoding principally topological relations, may necessarily be simpler to construct, store, or use than more quantitative models."
"Performance","https://scispace.com/paper/performance-4f90850i49","2002","Book Chapter","","Yadin Dudai","10.1093/oso/9780198502678.003.0099","","Abstract In behaving animals, the process or the outcome of learning are measured by monitoring changes in performance. But learning and performance are not equivalent. Learned information may remain latent until the appropriate conditions emerge for its expression as a change in performance (‘latent learning’; Tolman 1932). Earlier in the twentieth century, orthodox *behaviourists attempted to shy away from this common knowledge. They claimed that only overt behavioural acts (definition 3) are legitimate psychological data, whereas inferred implicit changes in the potential to behave are not. ","Performance is measured by changes in performance, but learning and performance are not equivalent. Latent learning and the exclusion of inferred implicit changes in the potential to behave from legitimate psychological data are key points."
"Heading in the rat: determination by environmental shape","https://scispace.com/paper/heading-in-the-rat-determination-by-environmental-shape-2r62u4oykw","1988","Journal Article","Animal Learning & Behavior","Joan Margules
Charles R. Gallistel","10.3758/BF03209379","","After a 75-sec intratrial delay, rats that had been shown the location of hidden food within a rectangular box correctly dug at that location in a second identical box, which had been moved into the same position within the room. For some rats, the opposing ends of the boxes were differentiated by distinctive corner panels; for others, there were no panels. When, during the delay interval, the turntable supporting both boxes was rotated by more than 180°, so that the second box no longer took the place of the first box within the room, the rats showed performance decrements. Nevertheless, 4 subjects selected the correct location significantly more often than the rotationally equivalent location, which corresponds to the correct location when the ends of the box are confused. The amount of rotation had no significant effect for any rat. In a final phase, the rats were denied perceptual access to cues outside the test box, which now had differentiating corner panels for all rats. Despite the distinctive panels, no rat showed a significant difference between correct digs and rotational errors; that is, no rat reliably distinguished one end of the box from the other. Results confirm previous findings that rats rely primarily on environmental shape to establish their heading. They ignore distinctive features of the surfaces that define environmental shape, even when the shape by itself is insufficient to establish a unique orientation.","Results confirm previous findings that rats rely primarily on environmental shape to establish their heading, and ignore distinctive features of the surfaces that define environmental shape, even when the shape by itself is insufficient to establish a unique orientation."
"Role of the Spatial Structure in Multiple Choice Problem-Solving by Golden Hamsters","https://scispace.com/paper/role-of-the-spatial-structure-in-multiple-choice-problem-1ad2cmybuz","1987","Book Chapter","","Marie-Christine Buhot
Hélène Poucet","10.1007/978-94-009-3531-0_10","","Among the studies which have been devoted to spatial organization in animals, many have used spatial problem solving, especially the multiple-choice food elimination problem, to elucidate diverse questions. With this paradigm, behaviour can be analysed not only in terms of performance, but also in terms of strategy, which could depend in varying degrees on the maze configuration, and on the availability of extra-maze cues.","In this article, the authors have used spatial problem solving, especially the multiple-choice food elimination problem, to elucidate diverse questions, and have shown that behavior can be analyzed not only in terms of performance, but also in the terms of strategy, which could depend in varying degrees on the maze configuration, and on the availability of extra-maze cues."
"The role of exploratory experience in a shortcut task by golden hamsters (Mesocricetus auratus)","https://scispace.com/paper/the-role-of-exploratory-experience-in-a-shortcut-task-by-2fof096mue","1987","Journal Article","Animal Learning & Behavior","Nicole Chapuis
M. Durup
Catherine Thinus-Blanc","10.3758/BF03204960","","The aim of this experiment was to examine the role of exploratory experience on the ability to take a shortcut. In the first phase, two subspaces, X and Y, each consisting of two baited tables related by a runway, were separately explored by hamsters. In the second phase, the experimental group explored a connecting pathway between X and Y. The animals were finally submitted to a shortcut test during 2 days: in this test, in order to go from X to Y, they could choose between the longer familiar pathway and two shorter new pathways. In comparison with a control group, which did not undergo the second phase, the experimental group displayed a significant preference for the shortcut that did not cross the linking path with which they had had experience or either of the two distant portions whose linkage the animals had experienced. These results suggest that, in this simple situation, additional experience of a linking element between two separated subspaces has a beneficial effect on the setting up of spatial relationships between them, and perhaps on the representation of the whole situation.","The role of exploratory experience on the ability to take a shortcut was examined in this article, where two subspaces, X and Y, each consisting of two baited tables related by a runway, were separately explored by hamsters."
"The formation of cognitive maps of adjacent environments: evidence from the head direction cell system.","https://scispace.com/paper/the-formation-of-cognitive-maps-of-adjacent-environments-4ydywxt8ac","2005","Journal Article","Behavioral Neuroscience","Paul A. Dudchenko
Larissa E. Zinyuk","10.1037/0735-7044.119.6.1511","","In 2 experiments the authors tested whether the head direction (HD) cell system underlies a sense of direction maintained across environments. In Experiment 1, HD neurons failed to maintain their firing directions across T mazes in adjacent environments but rather reoriented to the T maze within each environment. Such reorientation suggests that familiar landmarks override an internal directional sense, so in Experiment 2 the authors recorded HD neurons as rats walked between novel and familiar ""rooms"" of a 4-chamber apparatus. In novel rooms, HD neurons maintained the firing direction of the preceding environment. However, in familiar rooms, HD neuron firing directions shifted to agree with the landmarks therein. With repeated experience, a homogeneous representation of all rooms developed in a subset of the rats.","In 2 experiments the authors tested whether the head direction (HD) cell system underlies a sense of direction maintained across environments, and found that with repeated experience, a homogeneous representation of all rooms developed in a subset of the rats."
