"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Articulation Rate, Naming Speed, Verbal Short-Term Memory, and Phonological Awareness: Longitudinal Predictors of Early Reading Development?","https://scispace.com/paper/articulation-rate-naming-speed-verbal-short-term-memory-and-45vvu2ahkn","2004","Journal Article","Scientific Studies of Reading","Rauno Parrila
John R. Kirby
Lynn McQuarrie","10.1207/S1532799XSSR0801_2","","This study examines how measures of articulation rate, verbal short-term memory (STM), naming speed, and phonological awareness tasks administered in kindergarten and again in Grade 1 jointly and uniquely predict word reading and passage comprehension variance in Grades 1, 2, and 3. Results from regression and commonality analyses indicated that (a) when measured in Grade 1, phonological processing tasks were better, but not significantly better, predictors of later reading than when measured in kindergarten; (b) articulation rate and verbal STM did not uniquely predict reading if phonological awareness and naming speed were controlled; (c) when measured in kindergarten, both phonological awareness and naming speed accounted for unique variance in reading measures, and (d) when measured in Grade 1, phonological awareness was the strongest predictor of reading. Commonality analyses indicated that kindergarten letter recognition shares large parts of its predictive variance with phonological awareness and n...","This article examined how measures of articulation rate, verbal short-term memory (STM), naming speed, and phonological awareness tasks administered in kindergarten and again in Grade 1 jointly and uniquely predict word reading and passage comprehension variance in Grades 1, 2, and 3."
"Exploring the Co-Development of Reading Fluency and Reading Comprehension: A Twin Study","https://scispace.com/paper/exploring-the-co-development-of-reading-fluency-and-reading-h0e9qseiae","2017","Journal Article","Child Development","Callie W. Little
Sara A. Hart
Jamie M. Quinn
Elliot M. Tucker-Drob
Jeanette Taylor
Christopher Schatschneider","10.1111/CDEV.12670","","This study explores the co-development of two related but separate reading skills, reading fluency and reading comprehension, across Grades 1–4. A bivariate biometric dual change score model was applied to longitudinal data collected from 1,784 twin pairs between the ages of 6 and 10 years. Grade 1 skills were influenced by highly overlapping genetic and environmental factors. Growth in both skills was influenced by highly overlapping shared environmental factors. Cross-lagged parameters indicated bidirectional effects, with stronger effects from fluency to comprehension change than from comprehension to fluency change.","This study explores the co-development of two related but separate reading skills, reading fluency and reading comprehension, across Grades 1-4, across twin pairs between the ages of 6 and 10 years."
"Toward Modeling Reading Comprehension and Reading Fluency in English Language Learners.","https://scispace.com/paper/toward-modeling-reading-comprehension-and-reading-fluency-in-oo60e5auqq","2012","Journal Article","Reading and Writing","Zohreh Yaghoub Zadeh
Fataneh Farnia
Esther Geva","10.1007/S11145-010-9252-0","","This study investigated the adequacy of an expanded simple view of reading (SVR) framework for English language learners (ELLs), using mediation modeling approach. The proposed expanded SVR included reading fluency as an outcome and phonological awareness and naming speed as predictors. To test the fit of the proposed mediation model, longitudinal data from 308 ELLs from different linguistic backgrounds were analyzed using structural equation modeling. We examined the mediating role of Grade 2 word-level reading skills in the association between Grade 1 phonological awareness, naming speed, and listening comprehension and Grade 3 reading comprehension and reading fluency. The results indicated that word-level reading skills fully mediated the association between phonological awareness, reading comprehension and reading fluency. Word-level reading skills partially mediated the association between naming speed and reading fluency. Listening comprehension contributed directly to reading comprehension and reading fluency. It appears that reading development in ELLs is better understood when reading fluency is added to the SVR framework as an outcome and naming speed as a building block of SVR. Theoretical aspects of the mediation model in relation to ELL reading development are also addressed.","The authors investigated the adequacy of an expanded simple view of reading (SVR) framework for English language learners (ELLs), using mediation modeling approach, and found that reading development in ELLs is better understood when reading fluency is added to the SVR framework as an outcome and naming speed as a building block of SVR."
"The Relationships Among Rapid Automatized Naming (RAN), Processing Speed and Reading Fluency in Clinic Referred Children","https://scispace.com/paper/the-relationships-among-rapid-automatized-naming-ran-4ojgc9uegd","2011","","","John DeMann","","","......................................................................................................................... iv Dedication ...................................................................................................................... vi Acknowledgement ......................................................................................................... vii List of Tables ................................................................................................................. xi List of Figures ............................................................................................................... xii Chapter I: Introduction .................................................................................................... 1 Significance of the Problem ........................................................................................ 7 Problem Statement...................................................................................................... 8 Research Questions and Hypotheses ........................................................................... 9 Chapter II: Literature Review ........................................................................................ 11 Developmental Dyslexia ........................................................................................... 11 Theories and Background .................................................................................... 12 Reading Fluency .................................................................................................. 13 Cognitive Components of Dyslexia and Fluency .................................................. 18 Brief Summary .................................................................................................... 22 Rapid Automatized Naming...................................................................................... 23 Early Studies ....................................................................................................... 24 Measurement and Format Issues .......................................................................... 26 Cross-sectional, Longitudinal and Cross-linguistic Support .................................. 27 RAN and Reading Fluency .................................................................................. 31 Summary of RAN Research ................................................................................. 37","RAN and reading fluency: A review of the literature on dyslexia as mentioned in this paper, including a review of literature reviews, is a good starting point for this work. But it is not a complete review of all the literature."
"Modeling Oral Reading Fluency Development in Latino Students : A Longitudinal Study Across Second and Third Grade","https://scispace.com/paper/modeling-oral-reading-fluency-development-in-latino-students-1dnkp73o7i","2009","Journal Article","Journal of Educational Psychology","Stephanie Al Otaiba
Yaacov Petscher
N. Eleni Pappamihiel
Rihana S. Williams
Allison K. Dyrlund
Carol McDonald Connor","10.1037/A0014698","","This study examines growth in oral reading fluency across 2nd and 3rd grade for Latino students grouped in 3 English proficiency levels: students receiving English as a second language (ESL) services (n = 2,182), students exited from ESL services (n = 965), and students never designated as needing services (n = 1,857). An important focus was to learn whether, within these 3 groups, proficiency levels and growth were reliably related to special education status. Using hierarchical linear modeling, the authors compared proficiency levels and growth in oral reading fluency in English between and within groups and then to state reading benchmarks. Findings indicate that oral reading fluency scores reliably distinguished between students with learning disabilities and typically developing students within each group (effect sizes ranging from 0.96 to 1.51). The growth trajectory included a significant quadratic trend (generally slowing over time). These findings support the effectiveness of using oral reading fluency in English to screen and monitor reading progress under Response to Intervention models, but also suggest caution in interpreting oral reading fluency data as part of the process in identifying students with learning disabilities.","The findings support the effectiveness of using oral reading fluency in English to screen and monitor reading progress under Response to Intervention models, but also suggest caution in interpreting oralReading fluency data as part of the process in identifying students with learning disabilities."
"Post-treatment reading development in children with dyslexia: the challenge remains.","https://scispace.com/paper/post-treatment-reading-development-in-children-with-dyslexia-2p4zojihlv","2019","Journal Article","Annals of Dyslexia","S. W. van der Kleij
Eliane Segers
Margriet A. Groen
Ludo Verhoeven","10.1007/S11881-019-00186-6","","The goal of this study was to examine the post-treatment development of word and pseudoword accuracy and fluency and its cognitive and linguistic predictors in Dutch children with dyslexia compared with typical readers in the upper primary grades. Word and pseudoword reading accuracy and fluency were assessed at the start and end of grade 5 and at the end of grade 6. Phonological awareness, rapid naming, verbal short-term memory, vocabulary, and visual attention span were assessed at the start of grade 5. Repeated measures ANOVAs revealed that children with dyslexia were less accurate than typical readers and showed very little improvements in accuracy over time. They were also less fluent and showed less growth in reading fluency than typical readers. The children with dyslexia did improve more in word reading fluency than in pseudoword reading fluency over time. Visual attention span and phonological awareness predicted reading accuracy development in typical readers, while rapid naming predicted individual differences in reading fluency in children with dyslexia. It can be concluded that in the upper grades, children with dyslexia not only struggled with fluent reading, but they also still struggled with accurate reading in a relatively transparent orthography like Dutch, even after they had received a reading intervention to remediate their reading difficulties.","In the upper grades, children with dyslexia not only struggled with fluent reading, but they also still struggled with accurate reading in a relatively transparent orthography like Dutch, even after they had received a reading intervention to remediate their reading difficulties."
"A Longitudinal Study of Reading Development of Canadian Children from Diverse Linguistic Backgrounds","https://scispace.com/paper/a-longitudinal-study-of-reading-development-of-canadian-37nbx0757j","2006","Journal Article","Elementary School Journal","Penny Chiappe
Linda S. Siegel","10.1086/510652","","This study examined the development of reading and reading‐related skills for native and nonnative speakers of English through the first and second grades. Tasks assessing reading, phonological, and language processing were administered to 36 native English speakers (NS) and 38 children who spoke English as a second language (ELL). Both ELL and NS children showed similar patterns of growth and achievement on measures of word recognition and phonological processing. Error analyses revealed that children from both language groups used similar strategies in reading unfamiliar words. Furthermore, the same first‐grade variables—pseudoword reading and phonological awareness—were important contributors to reading skill for children from both language groups. Therefore, the findings from this sample suggested that word recognition in English develops in a similar way for NS and ELL children from middle‐class backgrounds.","This article examined the development of reading and reading-related skills for native and nonnative speakers of English through the first and second grades and found that children from both language groups used similar strategies in reading unfamiliar words."
"The component skills underlying reading fluency in adolescent readers: a latent variable analysis","https://scispace.com/paper/the-component-skills-underlying-reading-fluency-in-11glclheh8","2009","Journal Article","Reading and Writing","Amy E. Barth
Hugh W. Catts
Jason L. Anthony","10.1007/S11145-008-9125-Y","","This study investigated the component skills underlying reading fluency in a heterogeneous sample of 527 eighth grade students. Based on a hypothetical measurement model and successive testing of nested models, structural equation modeling revealed that naming speed, decoding, and language were uniquely associated with reading fluency. These findings suggest that the ability to access and retrieve phonological information from long-term storage is the most important factor in explaining individual differences in reading fluency among adolescent readers. The ability to process meaning and decode novel words was smaller but reliable contributors to reading fluency in adolescent readers.","The authors investigated the component skills underlying reading fluency in a heterogeneous sample of 527 eighth grade students and found that naming speed, decoding, and language were uniquely associated with read fluency."
"Children's Lexical and Sublexical Development While Learning to Read","https://scispace.com/paper/children-s-lexical-and-sublexical-development-while-learning-1up5c6z6yv","1995","Journal Article","Journal of Experimental Education","May Awaida
John R. Beech","10.1080/00220973.1995.9943815","","A sample of 236 4- to 6-year-olds was tested on reading, spelling, vocabulary, short-term memory, visual discrimination, nonverbal intelligence, phonological processing, and fluency. The children were retested 1 year later. The 5-year-olds' reading quotients were predicted by their phonological processing and visual discrimination scores 1 year earlier. The 6-year-olds' reading quotients were predicted by their previous year's reading quotients, socioeconomic status, phonological processing, and nonword reading scores. The 7-year-olds' reading quotients were predicted by their previous year's reading quotients and nonword reading scores. Factors influencing the development of lexical and sublexical processes also were examined. At the initial stage, phonemic and pattern-recognition skills were influential for the lexical route, but, when formal teaching of reading began, there was a strong Matthew effect: Children already good at reading tended to do even better the following year. Similar factor...","In this paper, a sample of 236 4- to 6-year-olds was tested on reading, spelling, vocabulary, short-term memory, visual discrimination, nonverbal intelligence, phonological processing, and fluency."
"Reading Performance Is Predicted by More Than Phonological Processing","https://scispace.com/paper/reading-performance-is-predicted-by-more-than-phonological-5diw1egvym","2014","Journal Article","Frontiers in Psychology","Michelle Y. Kibby
Sylvia E. Lee
Sarah M. Dyer","10.3389/FPSYG.2014.00960","","We compared three phonological processing components (phonological awareness, rapid automatized naming and phonological memory), verbal working memory, and attention control in terms of how well they predict the various aspects of reading: word recognition, pseudoword decoding, fluency and comprehension, in a mixed sample of 182 children ages 8–12 years. Participants displayed a wide range of reading ability and attention control. Multiple regression was used to determine how well the phonological processing components, verbal working memory, and attention control predict reading performance. All equations were highly significant. Phonological memory predicted word identification and decoding. In addition, phonological awareness and rapid automatized naming predicted every aspect of reading assessed, supporting the notion that phonological processing is a core contributor to reading ability. Nonetheless, phonological processing was not the only predictor of reading performance. Verbal working memory predicted fluency, decoding and comprehension, and attention control predicted fluency. Based upon our results, when using Baddeley’s model of working memory it appears that the phonological loop contributes to basic reading ability, whereas the central executive contributes to fluency and comprehension, along with decoding. Attention control was of interest as some children with ADHD have poor reading ability even if it is not sufficiently impaired to warrant diagnosis. Our finding that attention control predicts reading fluency is consistent with prior research which showed sustained attention plays a role in fluency. Taken together, our results suggest that reading is a highly complex skill that entails more than phonological processing to perform well.","The finding that attention control predicts reading fluency is consistent with prior research which showed sustained attention plays a role in fluency, and suggests that reading is a highly complex skill that entails more than phonological processing to perform well."
