"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Identifying Neural Correlates of Insightful Problem Solving with EEG Evidence","https://scispace.com/paper/identifying-neural-correlates-of-insightful-problem-solving-1wet6otcyx","2021","Book Chapter","","Raman Kumar
C. M. Markan","10.1007/978-981-15-8025-3_2","","Insight means solving a trivial unknown problem through a sudden spark which gives an experience of enthusiasm or ‘Aha!’ feeling. This study involves identification of neural correlates during performance of cognitive task, during an insightful experiment such as remote associates test and rebus puzzle on E-Prime 3.0. The data is recorded using 32 channels EEG and Brain Vision recorder, and the analysis is done using Brainstorm software. The experiment is performed on 25 healthy right-handed subjects of age group 19–22 years. Temporal analysis of recorded EEG data indicates there is a positive correlation of activation in right parietal occipital region corresponding to ‘Aha’ and non-Aha! feelings; there is a negative correlation of activation of temporal region in the right hemisphere, clearly indicating that T8 and FC6 is activated when the problem is solved through insight. Spectral analysis of EEG indicates that there is a sudden increase in gamma activity/gamma burst in right superior temporal region (0.35 s prior to button press) just after the activation of alpha at right parietal occipital region (0.75 s prior to button press).","In this article, the authors identify neural correlates during performance of cognitive task, during an insightful experiment such as remote associates test and rebus puzzle on E-Prime 3.0."
"Theory-driven Hints in the Cheap Necklace Problem: A Preliminary Investigation","https://scispace.com/paper/theory-driven-hints-in-the-cheap-necklace-problem-a-2oxqt52gwm","2007","Journal Article","","Yun Chu
Andrew D. Dewald
Edward P. Chronicle","10.7771/1932-6246.1010","","In this paper we conducted three experiments using the cheap necklace problem, which is regarded as an insight problem. The effects of two hints derived from two contemporary theoretical accounts of insight—Criterion for Satisfactory Progress theory (CSP) and Representational Change Theory (RCT)—were investigated. In Experiment 1, 78 participants made a single attempt at the problem, and significantly fewer participants given the CSP hint used an incorrect (maximizing) first move than participants given the RCT hint or control participants given no hint, Fisher’s exact test for 2x3 table, p = .029, with an approximation in χ² effect size, phi = .340. Experiment 2 explored the performance of 60 participants in the same hint conditions over ten problem-solving trials. The number of trials to solution was significantly fewer in the CSP hint condition than in the control condition, t(30) = 2.23, p = .033, η² = .14; this was not so for the RCT hint condition, t(30) = .44, p = .666, η² = .006. Furthermore, there were significantly fewer incorrect (maximizing) first moves in the CSP hint condition than in the other two conditions, F(2, 59) = 15.31, p < .001, η² = .35. The CSP hint here appears to promote the exploration of the problem space, such that the correct move may be found. The lack of effect of the RCT hint suggests in preliminary fashion that representational change may not be the primary cognitive process required to solve the cheap necklace problem. However, in Experiment 3 with 110 participants, the CSP and RCT hints were combined yielding a 75% solution rate over a 34.88% solution rate in the control condition, χ²(1) = 16.03, p < .001, phi = .402. This result indicates that perhaps aspects from both theories are employed during the problem solving process.","The lack of effect of the RCT hint suggests in preliminary fashion that representational change may not be the primary cognitive process required to solve the cheap necklace problem."
"Metacognition and verbal arithmetic problem solving: theory and pedagogical implications","https://scispace.com/paper/metacognition-and-verbal-arithmetic-problem-solving-theory-1ijn7odlxy","2006","Journal Article","Revista Do Departamento De Psicologia. Uff","Marcelo Chahon","10.1590/S0104-80232006000200012","","The present work proposes a review of the psychological metacognition construct, specially as a skill used in problem solving activities, and specifically in relation to verbal arithmetic problems. It is here attempted to evidence the complexity of the development models regarding the competence in representing and solving different problems involving the four mathematical operations, emphasizing the pedagogical implications suggested by literature. In accordance to the ideas of Professor Franco Seminerio, metacognition is seen as a fundamental psychopedagogical resource to the acquisition of cognitive autonomy by the young apprentice, which effectiveness was observed in experimental interventions conducted by UFRJ Metacognition Laboratory.","In this paper, a review of the psychological metacognition construct, specially as a skill used in problem solving activities, and specifically in relation to verbal arithmetic problems, is presented."
"Quantifying insightful problem solving: a modified compound remote associates paradigm using lexical priming to parametrically modulate different sources of task difficulty.","https://scispace.com/paper/quantifying-insightful-problem-solving-a-modified-compound-rmi8adr41s","2020","Journal Article","Psychological Research-psychologische Forschung","Maxi Becker
Gregor Wiedemann
Simone Kühn","10.1007/S00426-018-1042-3","","Insight problem solving has been conceptualized as a dynamic search through a constrained search space, where a non-obvious solution needs to be found. Multiple sources of task difficulty have been defined that can keep the problem solver from finding the right solution such as an overly large search space or knowledge constraints requiring a change of the problem representation. Up to now, there are very few accounts that focus on different aspects of difficulty within an insight problem-solving context and how they affect task performance as well as the probability of finding a solution that is accompanied by an Aha! experience. In addition, we are not aware of any approaches investigating how knowledge constraints parametrically modulate task performance and the Aha! experience in compound remote associates (CRA) when controlling for other sources of task difficulty. Therefore, we first developed, tested, and externally validated a modified CRA paradigm in combination with lexical priming that is more likely to elicit representational change than the classical CRA tasks. Second, we parametrically estimated the effect of the knowledge constraint together with other sources of difficulty (size of the problem and search space, word length and frequency) using general linear mixed models. The knowledge constraint (and the size of the search space) was operationalized as lexical distance (measured as cosine distances) between different word pairs within this task. Our results indicate that the experimentally induced knowledge constraint still affects task performance and is negatively related to the Aha! experience when controlling for various other types of task difficulties. Finally, we will present the complete stimulus set in German language together with their statistical (i.e., item difficulty and mean solution time) and lexical properties.","The results indicate that the experimentally induced knowledge constraint still affects task performance and is negatively related to the Aha! experience when controlling for various other types of task difficulties."
"“Now I Get It!”: Eureka Experiences During the Acquisition of Mathematical Concepts","https://scispace.com/paper/now-i-get-it-eureka-experiences-during-the-acquisition-of-3tqh4pbj3j","2024","Journal Article","Open Mind","Charlotte Barot
Louise Chevalier
Lucie Martin
Véronique Izard","10.1162/opmi_a_00116","","Abstract Many famous scientists have reported anecdotes where a new understanding occurred to them suddenly, in an unexpected flash. Do people generally experience such “Eureka” moments when learning science concepts? And if so, do these episodes truly vehicle sudden insights, or is this impression illusory? To address these questions, we developed a paradigm where participants were taught the mathematical concept of geodesic, which generalizes the common notion of straight line to straight trajectories drawn on curved surfaces. After studying lessons introducing this concept on the sphere, participants (N = 56) were tested on their understanding of geodesics on the sphere and on other surfaces. Our findings indicate that Eureka experiences are common when learning mathematics, with reports by 34 (61%) participants. Moreover, Eureka experiences proved an accurate description of participants’ learning, in two respects. First, Eureka experiences were associated with learning and generalization: the participants who reported experiencing Eurekas performed better at identifying counterintuitive geodesics on new surfaces. Second, and in line with the firstperson experience of a sudden insight, our findings suggest that the learning mechanisms responsible for Eureka experiences are inaccessible to reflective introspection. Specifically, reports of Eureka experiences and of participants’ confidence in their own understanding were associated with different profiles of performance, indicating that the mechanisms bringing about Eureka experiences and those informing reflective confidence were at least partially dissociated. Learning mathematical concepts thus appears to involve mechanisms that operate unconsciously, except when a key computational step is reached and a sudden insight breaks into consciousness. ","Eureka experiences are common when learning mathematics and are associated with learning and generalization. They are also inaccessible to reflective introspection."
"Young children’s understanding and experience of insight.","https://scispace.com/paper/young-childrens-understanding-and-experience-of-insight-7i0gzro0d0rn","2024","Journal Article","Developmental Psychology","Mathilde Hallingstad Prenevost
Ida Bekke Rønneberg Nilsen
Evalill Bølstad
Francisco Pons
Paul L. Harris
Rolf Reber","10.1037/dev0001807","","An insight is a moment of sudden understanding followed by characteristic feelings of suddenness, positive affect, certainty, and ease, commonly known as an aha experience. Despite evidence from studies with adults that aha experiences benefit learning, little systematic research on children's aha experiences exists. The present study asks how children understand and experience insight. We presented a community sample of 160 children (age: 4-8 years, 47% girls, 51% boys, 2% nonbinary) with an illustrated clues task inspired by the Remote Associate Test, a task commonly used to study insight in adults. In this task, children saw three clues and were asked to find a solution word that was associated with the three clues. Self-reported and observed aha experiences were recorded, along with children's solution accuracy and confidence. Children also answered a set of questions to assess their understanding of aha experiences. We found that although the number of aha experiences remained stable across age, there was a clear developmental increase in the understanding of aha experiences. Children's ability to recognize their own aha experiences as well as their general understanding of the aha concept increased with age. This suggests a lag between the occurrence of children's aha experiences and their understanding of such experiences; children first have aha experiences and later develop an understanding of those experiences. Aha experiences were associated with higher accuracy, but not with higher confidence ratings. Observed aha experiences, but not self-reported aha experiences, predicted increased motivation. Our findings are in line with the literature on metacognitive development and the distinction between the experience and the understanding of emotion. (PsycInfo Database Record (c) 2024 APA, all rights reserved). ","This study explores young children's (4-8 years) understanding and experience of insight, finding that while aha experiences occur across ages, understanding of them increases with age, and is associated with higher accuracy and motivation, but not confidence."
"Controlled discovery: The executive functions in insight problem solving","https://scispace.com/paper/controlled-discovery-the-executive-functions-in-insight-cfvfu20hkf","2019","Journal Article","Psychology. Journal of the Higher School of Economics","A. D. Savinova
S. Y.U. Korovkin","10.17323/1813-8918-2019-1-164-180","","Executive functions could play an important role in insight problem solving, however their character, content, and pattern of dynamics may significantly differ from the role of executive functions in non-insight problems. We employed a dual-task paradigm with probe-tasks to track the dynamics of executive functions load in working memory. Two experiments in which we investigated the dynamics of executive functions load in insight and non-insight problems with simultaneous implementation of the Eriksen flanker test are described. Differences in the dynamics of various executive functions in insight problem solving were not revealed. But we found that the dynamics of reaction time in the probe-tasks differs between insight and non-insight problem solving. The results reveal that insight problem solving demands fewer executive resources, but the executive functions load is significantly greater than the baseline. Also, we found that various phases of insight problems require different amount of executive resources. The non-insight problems featured a significant executive functions load after the phase of reading the problem. In insight problem solving we observed an improvement of probe-tasks performance after the phase of reading the problem in the middle of the problem solving process. We speculate that this result reveals an impasse phase that is related to an executive functions load decrease. Surprisingly, we observed a significant increase in the executive functions activity immediately prior to the awareness of a solution. It might be due to controlled solution processing after noticing new elements of a problem that lead to the final solution.","The results reveal that insight problem solving demands fewer executive resources, but the executive functions load is significantly greater than the baseline, and it is found that various phases of insight problems require different amount of executive resources."
"Long-distance exploration in insightful problem-solving","https://scispace.com/paper/long-distance-exploration-in-insightful-problem-solving-g0x4f9gb7fjg","2025","Journal Article","Communications psychology","Zenas C. Chao
Feng-Yang Hsieh
Chien‐Te Wu","10.1038/s44271-025-00235-4","","Insight represents a sudden and profound understanding, offering a new perspective that can offer the solution to a previously intractable problem. Insight is tightly associated with an ""Aha"" experience. Although various theories have attempted to explain how insight emerges, the dynamic search process leading to insight remains poorly understood, primarily due to the complex nature of creative problem-solving. In this study, we employ two versions of the Japanese remote associates test (RAT) (n = 349 and n = 105 participants, respectively), alongside a simulation model. This allows us to quantitatively manipulate the constraints imposed on the problem and to track the search process within the solution space. Our findings indicate that the insight and the accompanying ""Aha"" moment are characterized by exploration that spans greater distances within the solution space, thereby increasing the number of potential solutions available for evaluation. Combining human data and a simulation, this study shows that problem-solving relies on a dynamic interplay between de-fixation and exploration, where broader exploration marks more insightful searches. ","This study explores the dynamic search process leading to insight in creative problem-solving, using a simulation model and human data, and finds that broader exploration is associated with more insightful searches, characterized by an ""Aha"" moment and increased solution options."
"Solving Classical Insight Problems without Aha! Experience: 9 Dot, 8 Coin, and Matchstick Arithmetic Problems.","https://scispace.com/paper/solving-classical-insight-problems-without-aha-experience-9-1m74033gbf","2016","Journal Article","","Amory H. Danek
Jennifer Wiley
Michael Öllinger","10.7771/1932-6246.1183","","Insightful problem solving is a vital part of human thinking, yet very difficult to grasp. Traditionally, insight has been investigated by using a set of established ""insight tasks,"" assuming that insight has taken place if these problems are solved. Instead of assuming that insight takes place during every solution of the 9 Dot, 8 Coin, and Matchstick Arithmetic Problems, this study explored the likelihood that solutions evoked the ""Aha! experience,"" which is often regarded as the defining characteristic of insight. It was predicted that the rates of self-reported Aha! experiences might vary based on the necessary degree of constraint relaxation. The main assumption was that the likelihood of experiencing an Aha! would decrease with increasing numbers of constraints that must be relaxed, because several steps are needed to achieve a representational change and solve the problem, and thus, the main feature of suddenness of a solution might be lacking. The results supported this prediction, and demonstrated that in many cases participants do solve these classical insight problems without any Aha! experience. These results show the importance of obtaining insight ratings from participants to determine whether any given problem is solved with insight or not.","It is demonstrated that in many cases participants do solve these classical insight problems without any Aha! experience, and the importance of obtaining insight ratings from participants to determine whether any given problem is solved with insight or not."
"Insight problem solving and unconscious analytic thought. New lines of research","https://scispace.com/paper/insight-problem-solving-and-unconscious-analytic-thought-new-1bg1tdv9rk","2018","Book Chapter","","Laura Macchi
Veronica Cucchiarini
Laura Caravona
M Bagassi","10.1007/978-3-030-32722-4_8","","Several studies have been interested in explaining which processes underlie the solution of insight problems. Our contribution analyses and compares the main theories on this topic, focusing on two contrasting perspectives: the business-as-usual view (conscious and analytical processes) and the special process view (unconscious automatic associations). Both of these approaches have critical aspects that reveal the complexity of the issue on hand. In our view, the insight problem solution derives from an unconscious analytic thought, where the unconscious process is not merely associative (by chance), but is achieved by a covert thinking process, which includes a relevant, analytic, goal-oriented search.","In this paper, the authors compare the main theories on this topic, focusing on two contrasting perspectives: the business-as-usual view (conscious and analytical processes) and the special process view (unconscious automatic associations)."
