"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A psychophysical evaluation of techniques for Mooney image generation","https://scispace.com/paper/a-psychophysical-evaluation-of-techniques-for-mooney-image-4hf3fih203n6","2024","Journal Article","PeerJ","Lars C. Reining
Thomas S. A. Wallis","10.7717/peerj.18059","","Mooney images can contribute to our understanding of the processes involved in visual perception, because they allow a dissociation between image content and image understanding. Mooney images are generated by first smoothing and subsequently thresholding an image. In most previous studies this was performed manually, using subjective criteria for generation. This manual process could eventually be avoided by using automatic generation techniques. The field of computer image processing offers numerous techniques for image thresholding, but these are only rarely used to create Mooney images. Furthermore, there is little research on the perceptual effects of smoothing and thresholding. Therefore, in this study we investigated how the choice of different thresholding techniques and amount of smoothing affects the interpretability of Mooney images for human participants. We generated Mooney images using four different thresholding techniques, selected to represent various global thresholding methods, and, in a second experiment, parametrically varied the level of smoothing. Participants identified the concepts shown in Mooney images and rated their interpretability. Although the techniques generate physically-different Mooney images, identification performance and subjective ratings were similar across the different techniques. This indicates that finding the perfect threshold in the process of generating Mooney images is not critical for Mooney image interpretability, at least for globally-applied thresholds. The degree of smoothing applied before thresholding, on the other hand, requires more tuning depending on the noise of the original image and the desired interpretability of the resulting Mooney image. Future work in automatic Mooney image generation should pursue local thresholding techniques, where different thresholds are applied to image regions depending on the local image content. ","This study evaluates the effect of thresholding techniques and smoothing on Mooney image interpretability, finding that global thresholding methods yield similar results, but smoothing level significantly impacts image interpretability, requiring more nuanced tuning."
"Emergence of perceptual reorganisation from prior knowledge in human development and Convolutional Neural Networks","https://scispace.com/paper/emergence-of-perceptual-reorganisation-from-prior-knowledge-1dx2p5dn","2022","Posted Content","bioRxiv","G. A. Milne
M. Lisi
Aisha McLean
R. Zheng
Iris I. A. Groen
Tessa M. Dekker","10.1101/2022.11.21.517321","","The use of prior knowledge to guide perception is fundamental to human vision, especially under challenging viewing circumstances. Underpinning current theories of predictive coding, prior knowledge delivered to early sensory areas via cortical feedback connections can reshape perception of ambiguous stimuli, such as ‘two-tone’ images. Despite extensive interest and ongoing research into this process of perceptual reorganisation in the adult brain, it is not yet fully understood how or when the efficient use of prior knowledge for visual perception develops. Here we show for the first time that adult-like levels of perceptual reorganisation do not emerge until late childhood. We used a behavioural two-tone paradigm to isolate the effects of prior knowledge on visual perception in children aged 4 - 12 years and adults, and found a clear developmental progression in the perceptual benefit gained from informative cues. Whilst photo cueing reliably triggered perceptual reorganisation of two-tones for adults, 4- to 9-year-olds’ performed significantly poorer immediately after cueing than within-subject benchmarks of recognition. Young childens’ behaviour revealed perceptual biases towards local image features, as has been seen in image classification neural networks. We tested three such models (AlexNet, CorNet and NASNet) on two-tone classification, and while we found that network depth and recurrence may improve recognition, the best-performing network behaved similarly to young children. Our results reveal a prolonged development of prior-knowledge-guided vision throughout childhood, a process which may be central to other perceptual abilities that continue developing throughout childhood. This highlights the importance of effective reconciliation of signal and prediction for robust perception in both human and computational vision systems.","This article used a behavioural two-tone paradigm to isolate the effects of prior knowledge on visual perception in children aged 4 - 12 years and adults, and found a clear developmental progression in the perceptual benefit gained from informative cues."
"Mooney Face Image Processing in Deep Convolutional Neural Networks Compared to Humans","https://scispace.com/paper/mooney-face-image-processing-in-deep-convolutional-neural-3d7vmzqi","2022","Posted Content","bioRxiv","Astrid Zeman
Tim Leers
Hans Op de Beeck","10.1101/2022.03.21.485240","","Deep Convolutional Neural Networks (CNNs) are criticised for their reliance on local shape features and texture rather than global shape. We test whether CNNs are able to process global shape information in the absence of local shape cues and texture by testing their performance on Mooney stimuli, which are face images thresholded to binary values. More specifically, we assess whether CNNs classify these abstract stimuli as face-like, and whether they exhibit the face inversion effect (FIE), where upright stimuli are classified positively at a higher rate compared to inverted. We tested two standard networks, one (CaffeNet) trained for general object recognition and another trained specifically for facial recognition (DeepFace). We found that both networks perform perceptual completion and exhibit the FIE, which is present over all levels of specificity. By matching the false positive rate of CNNs to humans, we found that both networks performed closer to the human average (85.73% for upright, 57.25% for inverted) for both conditions (61.31% and 62.70% for upright, 48.61% and 42.26% for inverted, for CaffeNet and DeepFace respectively). Rank order correlation between CNNs and humans across individual stimuli shows a significant correlation in upright and inverted conditions, indicating a relationship in image difficulty between observers and the model. We conclude that in spite of the texture and local shape bias of CNNs, which makes their performance distinct from humans, they are still able to process object images holistically.","In this article , the authors test whether CNNs are able to process global shape information in the absence of local shape cues and texture by testing their performance on Mooney stimuli, which are face images thresholded to binary values."
"Holistic Processing of Faces: Learning Effects with Mooney Faces","https://scispace.com/paper/holistic-processing-of-faces-learning-effects-with-mooney-13ueuut9sp","2005","Journal Article","Journal of Cognitive Neuroscience","Marianne Latinus
Margot J. Taylor","10.1162/0898929055002490","","The specialness of faces is seen in the face inversion effect, which disrupts the configural, but not the analytic, processing of faces. Mooney faces, which are processed holistically, allowed us to determine the contribution of holistic processing to the face inversion effect. As inverted Mooney faces are difficult to recognize as faces, we also included an intermediary training period for Mooney face recognition for half of the subjects. Early face-sensitive ERPs (N170 and P1) and P2 were measured.Behavioral data showed an increase in correct responses to inverted and upright Mooney faces after the learning phase for the experimental group. No effects were seen on P1. N170 latency did not vary with stimulus type before the intermediary phase, however, N170 amplitude was consistently larger for upright than inverted Mooney faces. After the intermediary exercise, N170 was delayed for inverted compared to upright Mooney faces. In contrast, for both groups of subjects P2 amplitude was larger for nonface stimuli, and P2 amplitude decreased after the intermediate task only for the subjects trained to recognize Mooney faces.As the usual inversion effect seen with photographic faces (delayed and larger N170) was not seen with Mooney faces, these data suggest that this effect on N170 is due to the recruitment of analytic processing. P2 reflected learning and a deeper processing of the stimuli that were not identifiable as faces.","In this paper, the authors measured early face-sensitive ERPs (N170 and P1) and P2 were measured and found that N170 amplitude was consistently larger for upright than inverted Mooney faces."
"A Link between Visual Disambiguation and Visual Memory","https://scispace.com/paper/a-link-between-visual-disambiguation-and-visual-memory-3ldicxqozq","2010","Journal Article","The Journal of Neuroscience","Jay Hegdé
Daniel Kersten","10.1523/JNEUROSCI.4415-09.2010","","Sensory information in the retinal image is typically too ambiguous to support visual object recognition by itself. Theories of visual disambiguation posit that to disambiguate, and thus interpret, the incoming images, the visual system must integrate the sensory information with previous knowledge of the visual world. However, the underlying neural mechanisms remain unclear. Using functional magnetic resonance imaging (fMRI) of human subjects, we have found evidence for functional specialization for storing disambiguating information in memory versus interpreting incoming ambiguous images. Subjects viewed two-tone, “Mooney” images, which are typically ambiguous when seen for the first time but are quickly disambiguated after viewing the corresponding unambiguous color images. Activity in one set of regions, including a region in the medial parietal cortex previously reported to play a key role in Mooney image disambiguation, closely reflected memory for previously seen color images but not the subsequent disambiguation of Mooney images. A second set of regions, including the superior temporal sulcus, showed the opposite pattern, in that their responses closely reflected the subjects' percepts of the disambiguated Mooney images on a stimulus-to-stimulus basis but not the memory of the corresponding color images. Functional connectivity between the two sets of regions was stronger during those trials in which the disambiguated percept was stronger. This functional interaction between brain regions that specialize in storing disambiguating information in memory versus interpreting incoming ambiguous images may represent a general mechanism by which previous knowledge disambiguates visual sensory information.","Using functional magnetic resonance imaging (fMRI) of human subjects, evidence is found for functional specialization for storing disambiguating information in memory versus interpreting incoming ambiguous images."
"Stochastic process underlying emergent recognition of visual objects hidden in degraded images.","https://scispace.com/paper/stochastic-process-underlying-emergent-recognition-of-visual-184bkc2fhi","2014","Journal Article","PLOS ONE","Tsutomu Murata
Takashi Hamada
Tetsuya Shimokawa
Manabu Tanifuji
Toshio Yanagida","10.1371/JOURNAL.PONE.0115658","","When a degraded two-tone image such as a ""Mooney"" image is seen for the first time, it is unrecognizable in the initial seconds. The recognition of such an image is facilitated by giving prior information on the object, which is known as top-down facilitation and has been intensively studied. Even in the absence of any prior information, however, we experience sudden perception of the emergence of a salient object after continued observation of the image, whose processes remain poorly understood. This emergent recognition is characterized by a comparatively long reaction time ranging from seconds to tens of seconds. In this study, to explore this time-consuming process of emergent recognition, we investigated the properties of the reaction times for recognition of degraded images of various objects. The results show that the time-consuming component of the reaction times follows a specific exponential function related to levels of image degradation and subject's capability. Because generally an exponential time is required for multiple stochastic events to co-occur, we constructed a descriptive mathematical model inspired by the neurophysiological idea of combination coding of visual objects. Our model assumed that the coincidence of stochastic events complement the information loss of a degraded image leading to the recognition of its hidden object, which could successfully explain the experimental results. Furthermore, to see whether the present results are specific to the task of emergent recognition, we also conducted a comparison experiment with the task of perceptual decision making of degraded images, which is well known to be modeled by the stochastic diffusion process. The results indicate that the exponential dependence on the level of image degradation is specific to emergent recognition. The present study suggests that emergent recognition is caused by the underlying stochastic process which is based on the coincidence of multiple stochastic events.","The present study investigates the properties of the reaction times for recognition of degraded images of various objects and suggests that emergent recognition is caused by the underlying stochastic process which is based on the coincidence of multiple Stochastic events."
"Object recognition can drive motion perception","https://scispace.com/paper/object-recognition-can-drive-motion-perception-5e8v46mjjw","1998","Journal Article","Nature","Vilayanur S. Ramachandran
K. Carrie Armel
Christopher N. Foster
R. Stoddard","10.1038/27573","","When two spatially separated spots of light are flashed in rapid succession, apparent motion is seen between them1,2,3. We extended this phenomenon by photographing a face and producing from it a fragmented ‘puzzle picture’ or ‘Mooney face’ in which the face is not initially visible (Fig. 1, left; frame 1) but is seen after 15 to 60 seconds4. Another photograph of the same face seen in profile was used to produce a second Mooney face (Fig. 1, right; frame 2). When the two images were alternated, naive subjects at first saw random, incoherent, two-dimensional (2D) motion between the fragments. But once the face was recognized, it was perceived to rotate unambiguously in three dimensions. We conclude that complex image tokens set up by perceptual learning can drive perception of apparent motion.","It is concluded that complex image tokens set up by perceptual learning can drive perception of apparent motion in a fragmented ‘puzzle picture’ or ‘Mooney face’."
"Mooney face stimuli for visual perception research.","https://scispace.com/paper/mooney-face-stimuli-for-visual-perception-research-1ngwpg42ub","2018","Journal Article","PLOS ONE","Caspar M. Schwiedrzik
Lucia Melloni
Lucia Melloni
Aaron Schurger
Aaron Schurger","10.1371/JOURNAL.PONE.0200106","","In 1957, Craig Mooney published a set of human face stimuli to study perceptual closure: the formation of a coherent percept on the basis of minimal visual information. Images of this type, now known as ""Mooney faces"", are widely used in cognitive psychology and neuroscience because they offer a means of inducing variable perception with constant visuo-spatial characteristics (they are often not perceived as faces if viewed upside down). Mooney's original set of 40 stimuli has been employed in several studies. However, it is often necessary to use a much larger stimulus set. We created a new set of over 500 Mooney faces and tested them on a cohort of human observers. We present the results of our tests here, and make the stimuli freely available via the internet. Our test results can be used to select subsets of the stimuli that are most suited for a given experimental purpose.","A new set of over 500 Mooney faces is created and tested on a cohort of human observers to select subsets of the stimuli that are most suited for a given experimental purpose."
"A psychophysical evaluation of techniques for Mooney image generation","https://scispace.com/paper/a-psychophysical-evaluation-of-techniques-for-mooney-image-dh0gxrxg34","2024","Preprint","","Lars C. Reining
Thomas S. A. Wallis","10.48550/arxiv.2403.11867","","Mooney images can contribute to our understanding of the processes involved in visual perception, because they allow a dissociation between image content and image understanding. Mooney images are generated by first smoothing and subsequently thresholding an image. In most previous studies this was performed manually, using subjective criteria for generation. This manual process could eventually be avoided by using automatic generation techniques. The field of computer image processing offers numerous techniques for image thresholding, but these are only rarely used to create Mooney images. Furthermore, there is little research on the perceptual effects of smoothing and thresholding. Therefore, in this study we investigated how the choice of different thresholding techniques and amount of smoothing affects the interpretability of Mooney images for human participants. We generated Mooney images using four different thresholding techniques and, in a second experiment, parametrically varied the level of smoothing. Participants identified the concepts shown in Mooney images and rated their interpretability. Although the techniques generate physically-different Mooney images, identification performance and subjective ratings were similar across the different techniques. This indicates that finding the perfect threshold in the process of generating Mooney images is not critical for Mooney image interpretability, at least for globally-applied thresholds. The degree of smoothing applied before thresholding, on the other hand, requires more tuning depending on the noise of the original image and the desired interpretability of the resulting Mooney image. Future work in automatic Mooney image generation should pursue local thresholding techniques, where different thresholds are applied to image regions depending on the local image content. ","The perceptual effects of smoothing and thresholding on Mooney image interpretability are similar across different techniques, but the degree of smoothing requires more tuning."
"Gain neuromodulation mediates perceptual switches: evidence from pupillometry, fMRI, and RNN Modelling","https://scispace.com/paper/gain-neuromodulation-mediates-perceptual-switches-evidence-4y3dmyyh7o","2024","Preprint","","Gabriel Wainstein
Christopher J. Whyte
Kaylena A. Ehgoetz Martens
Eli J. Müller
Brandon R. Munn
Vicente Medel
Britt Anderson
Elisabeth Stöttinger
James Danckert
James M. Shine","10.7554/elife.93191.1","","Perceptual updating has been proposed to rely upon evolving activity within a recurrent, distributed thalamocortical network whose interconnections are modulated by bursts of ascending neuromodulatory neurotransmitters, such as noradrenaline. To test this hypothesis mechanistically, we leveraged a combination of pupillometry, fMRI and recurrent neural network modelling of an ambiguous figures task. Qualitative shifts in the perceptual interpretation of an ambiguous image were associated with peaks in pupil diameter, an indirect readout of phasic bursts in neuromodulatory tone. We hypothesized that increases in neuromodulatory tone led to neural gain alteration so as to causally mediate perceptual switches. To test this hypothesis, we trained a recurrent neural network to perform an analogous perceptual categorisation task, and then manipulated the gain of the RNN to mimic the effect of neuromodulatory tone. As predicted, we observed an earlier perceptual shift as a function of heightened gain. Leveraging a low-dimensional readout of the RNN dynamics, we developed two novel predictions: perceptual switches should co-occur with peaks in low-dimensional brain state velocity and with flattened energy landscape dynamics. We used dimensionality-reduced summaries of whole-brain fMRI dynamics to independently confirm each of these predictions. These results support the role of the neuromodulatory system in the large-scale network reconfigurations that mediate abrupt changes in perception. ","Neuromodulation mediates perceptual switches as evidenced by pupillometry, fMRI, and RNN modelling. Perceptual switches are associated with peaks in pupil diameter and changes in neural gain."
