"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Measuring Resistance to Change at the Within-Session Level","https://scispace.com/paper/measuring-resistance-to-change-at-the-within-session-level-3zydb6h7h4","2006","Journal Article","Journal of the Experimental Analysis of Behavior","François Tonneau
Américo Ríos
Felipe Cabrera","10.1901/JEAB.2006.74-05","","Resistance to change is often studied by measuring response rate in various components of a multiple schedule. Response rate in each component is normalized (that is, divided by its baseline level) and then log-transformed. Differential resistance to change is demonstrated if the normalized, log-transformed response rate in one component decreases more slowly than in another component. A problem with normalization, however, is that it can produce artifactual results if the relation between baseline level and disruption is not multiplicative. One way to address this issue is to fit specific models of disruption to untransformed response rates and evaluate whether or not a multiplicative model accounts for the data. Here we present such a test of resistance to change, using within-session response patterns in rats as a data base for fitting models of disruption. By analyzing response rate at a within-session level, we were able to confirm a central prediction of the resistance-to-change framework while discarding normalization artifacts as a plausible explanation of our results.","By analyzing response rate at a within-session level, this work was able to confirm a central prediction of the resistance-to-change framework while discarding normalization artifacts as a plausible explanation of the results."
"Mixture of Learning Strategies Underlies Rodent Behavior in Dynamic Foraging","https://scispace.com/paper/mixture-of-learning-strategies-underlies-rodent-behavior-in-3hy77c0v","2022","Posted Content","bioRxiv","Nhat M. Le
Murat Yildirim
Yizhi Wang
Hiroki Sugihara
Mehrdad Jazayeri
Mriganka Sekhar Sur","10.1101/2022.03.14.484338","","In volatile foraging environments, animals need to adapt their learning in accordance with the uncertainty of the environment and knowledge of the hidden structure of the world. In these contexts, previous studies have distinguished between two types of strategies, model-free learning, where reward values are updated locally based on external feedback signals, and inference-based learning, where an internal model of the world is used to make optimal inferences about the current state of the environment. Distinguishing between these strategies during the dynamic foraging behavioral paradigm has been a challenging problem for studies of reward-guided decisions, due to the diversity in behavior of model-free and inference-based agents, as well as the complexities that arise when animals mix between these types of strategies. Here, we developed two solutions that jointly tackle these problems. First, we identified four key behavioral features that together benchmark the switching dynamics of agents in response to a change in reward contingency. We performed computational simulations to systematically measure these features for a large ensemble of model-free and inference-based agents, uncovering an organized structure of behavioral choices where observed behavior can be reliably classified into one of six distinct regimes in the two respective parameter spaces. Second, to address the challenge that arises when animals use multiple strategies within single sessions, we developed a novel state-space method, block Hidden Markov Model (blockHMM), to infer switches in discrete latent states that govern the choice sequences across blocks of trials. Our results revealed a remarkable degree of mixing between different strategies even in expert animals, such that model-free and inference-based learning modes often co-existed within single sessions. Together, these results invite a re-evaluation of the stationarity of behavior during dynamic foraging, provide a comprehensive set of tools to characterize the evolution of learning strategies, and form the basis of understanding neural circuits involved in different modes of behavior within this domain.","A remarkable degree of mixing between different strategies even in expert animals is revealed, such that model-free and inference-based learning modes often co-existed within single sessions, and a comprehensive set of tools to characterize the evolution of learning strategies are developed."
"Learning In Spike Trains: Estimating Within-Session Changes In Firing Rate Using Weighted Interpolation","https://scispace.com/paper/learning-in-spike-trains-estimating-within-session-changes-8jphbo93rp","2016","Posted Content","bioRxiv","Greg Jensen
Fabian Munoz
Vincent P. Ferrera","10.1101/041301","","The electrophysiological study of learning is hampered by modern procedures for estimating firing rates: Such procedures usually require large datasets, and also require that included trials be functionally identical. Unless a method can track the real-time dynamics of how firing rates evolve, learning can only be examined in the past tense. We propose a quantitative procedure, called ARRIS, that can uncover trial-by-trial firing dynamics. ARRIS provides reliable estimates of firing rates based on small samples using the reversible-jump Markov chain Monte Carlo algorithm. Using weighted interpolation, ARRIS can also provide estimates that evolve over time. As a result, both real-time estimates of changing activity, and of task-dependent tuning, can be obtained during the initial stages of learning.","A quantitative procedure, called ARRIS, is proposed that can uncover trial-by-trial firing dynamics and provide reliable estimates of firing rates based on small samples using the reversible-jump Markov chain Monte Carlo algorithm."
"Psychophysical detection and learning in freely behaving rats: a probabilistic dynamical model for operant conditioning","https://scispace.com/paper/psychophysical-detection-and-learning-in-freely-behaving-3n3re4zhtw","2020","Journal Article","Journal of Computational Neuroscience","İsmail Devecioğlu
Burak Güçlü","10.1007/S10827-020-00751-8","","We present a stochastic learning model that combines the essential elements of Hebbian and Rescorla-Wagner theories for operant conditioning. The model was used to predict the behavioral data of rats performing a vibrotactile yes/no detection task. Probabilistic nature of learning was implemented by trial-by-trial variability in the random distributions of associative strengths between the sensory and the response representations. By using measures derived from log-likelihoods (corrected Akaike and Bayesian information criteria), the proposed model and its subtypes were compared with each other, and with previous models in the literature, including reinforcement learning model with softmax rule and drift diffusion model. The main difference between these models was the level of stochasticity which was implemented as associative variation or response selection. The proposed model with subject-dependent variance coefficient (SVC) and with trial-dependent variance coefficient (TVC) resulted in better trial-by-trial fits to experimental data than the other tested models based on information criteria. Additionally, surrogate data were simulated with estimated parameters and the performance of the models were compared based on psychophysical measures (A': non-parametric sensitivity index, hits and false alarms on receiver operating characteristics). Especially the TVC model could produce psychophysical measures closer to those of the experimental data than the alternative models. The presented approach is novel for linking psychophysical response measures with learning in a yes/no detection task, and may be used in neural engineering applications.","The model was used to predict the behavioral data of rats performing a vibrotactile yes/no detection task and resulted in better trial-by-trial fits to experimental data than the other tested models based on information criteria."
"Semi-supervised Change Point Detection Using Active Learning","https://scispace.com/paper/semi-supervised-change-point-detection-using-active-learning-c9cwcdi0","2022","Book Chapter","Lecture Notes in Computer Science","Arne De Brabandere
Zhenxiang Cao
Maarten De Vos
Alexander Bertrand
Jesse H. Davis","10.1007/978-3-031-18840-4_6","","The goal of change point detection (CPD) is to find abrupt changes in the underlying state of a time series. Currently, CPD is typically tackled using fully supervised or completely unsupervised approaches. Supervised methods exploit labels to find change points that are as accurate as possible with respect to these labels, but have the drawback that annotating the data is a time-consuming task. In contrast, unsupervised methods avoid the need for labels by making assumptions about how changes in the underlying statistics of the data correlate with changes in a time series’ state. However, these assumptions may be incorrect and hence lead to identifying different change points than a user would annotate. In this paper, we propose an approach in between these two extremes and present AL-CPD, an algorithm that combines active and semi-supervised learning to tackle CPD. AL-CPD asks directed queries to obtain labels from the user and uses them to eliminate incorrectly detected change points and to search for new change points. Using an empirical evaluation on both synthetic and real-world datasets, we show that our algorithm finds more accurate change points compared to existing change point detection methods. ","In this article , an algorithm that combines active and semi-supervised learning to tackle change point detection (CPD) is proposed. But it is not shown to find more accurate change points compared to existing methods."
"The rat approximates an ideal detector of changes in rates of reward: implications for the law of effect.","https://scispace.com/paper/the-rat-approximates-an-ideal-detector-of-changes-in-rates-2m2ay222bu","2001","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Charles R. Gallistel
Terence A. Mark
Adam Philip King
Peter E. Latham","10.1037//0097-7403.27.4.354","","Rats responded on two levers delivering brain stimulation reward on concurrent variable interval schedules. Following many successive sessions with unchanging relative rates of reward, subjects adjusted to an eventual change slowly and showed spontaneous reversions at the beginning of following sessions. When changes in rates of reward occurred between and within every session, subjects adjusted to them about as rapidly as they could in principle do so, as shown by comparison to a Bayesian model of an ideal detector. This and other features of the adjustments to frequent changes imply that the behavioral effect of reinforcement depends on the subject's perception of incomes and changes in incomes rather than on the strengthening and weakening of behaviors in accord with their past effects or expected results. Models for the process by which perceived incomes determine stay durations and for the process that detects changes in rates are developed.","The authors showed that the behavioral effect of reinforcement depends on the subject's perception of incomes and changes in incomes rather than on the strengthening and weakening of behaviors in accord with their past effects or expected results."
"Within-session transitions in choice: a structural and quantitative analysis.","https://scispace.com/paper/within-session-transitions-in-choice-a-structural-and-1dhi0h8zpa","2009","Journal Article","Journal of the Experimental Analysis of Behavior","Kelly M. Banna
M. Christopher Newland","10.1901/JEAB.2009.91-319","","The present study used within-session transitions between two concurrent schedules to evaluate choice in transition. Eight female Long-Evans rats were trained to respond under concurrent schedules of reinforcement during experimental sessions that lasted 22 hr. The generalized matching equation was used to model steady-state behavior at the end of each session, while transitional behavior that emerged following the change in reinforcement schedules was modeled using a logistic equation. The generalized matching and logistic equations were appropriate models for behavior generated during single-session transitions. A local analysis of behavior on the two response alternatives during acquisition was used to determine the source of preference as revealed in response ratios. The number of “low-response” visits, those containing three to five responses, remained stable. Preference ratios largely reflected a sharp increase in the number of visits with long response bouts on the rich alternative and a decrease in the number of such visits to the leaner alternative.","The present study used within-session transitions between two concurrent schedules to evaluate choice in transition and found that preference ratios largely reflected a sharp increase in the number of visits with long response bouts on the rich alternative and a decrease in theNumber of such visits to the leaner alternative."
"Bayesian unknown change-point models to investigate immediacy in single case designs.","https://scispace.com/paper/bayesian-unknown-change-point-models-to-investigate-4us7wawdzq","2017","Journal Article","Psychological Methods","Prathiba Natesan
Larry V. Hedges","10.1037/MET0000134","","Although immediacy is one of the necessary criteria to show strong evidence of a causal relation in single case designs (SCDs), no inferential statistical tool is currently used to demonstrate it. We propose a Bayesian unknown change-point model to investigate and quantify immediacy in SCD analysis. Unlike visual analysis that considers only 3-5 observations in consecutive phases to investigate immediacy, this model considers all data points. Immediacy is indicated when the posterior distribution of the unknown change-point is narrow around the true value of the change-point. This model can accommodate delayed effects. Monte Carlo simulation for a 2-phase design shows that the posterior standard deviations of the change-points decrease with increase in standardized mean difference between phases and decrease in test length. This method is illustrated with real data. (PsycINFO Database Record","A Bayesian unknown change-point model is proposed to investigate and quantify immediacy in SCD analysis and it is shown that the posterior standard deviations of the change-points decrease with increase in standardized mean difference between phases and decrease in test length."
"Unique features of stimulus-based probabilistic reversal learning","https://scispace.com/paper/unique-features-of-stimulus-based-probabilistic-reversal-51c1ilqel1","2020","Posted Content","bioRxiv","Carl Harris
Claudia G. Aguirre
Saisriya Kolli
Kanak Das
Alicia Izquierdo
Alireza Soltani","10.1101/2020.09.24.310771","","Reversal learning paradigms are widely-used assays of behavioral flexibility with their probabilistic versions being more amenable to studying integration of reward outcomes over time. Prior research suggests differences between initial learning and learning following reversals including higher learning rates, a greater need for inhibitory control, and more perseveration after reversals. However, it is not well-understood what aspects of stimulus-based reversal learning are unique to reversals, and whether and how differences between initial and post-reversal learning depend on reward probability. Here, we used a visual probabilistic discrimination and reversal learning paradigm during which male and female rats selected between a pair of stimuli associated with different reward probabilities. We compared various measures of accuracy, rewards collected, omissions, latencies, win-stay/lose-shift strategies, and indices of perseveration between two different reward probability schedules. We found that discrimination (pre-reversal) and reversal learning are behaviorally more unique than similar: longer choice latencies following incorrect trials, lesser win-stay and lose-shift strategies employed, and more perseveration in early reversal learning. Additionally, fit of choice behavior using reinforcement learning models revealed a lower sensitivity to the difference in subjective reward values (greater exploration) and higher learning rates for the reversal phase. Interestingly, a consistent reward probability group difference emerged with a richer environment associated with longer reward collection latencies than a leaner environment. We also replicated previous reports on sex differences in reversal learning. Future studies should systematically compare the neural correlates of fine-grained behavioral measures to reveal possible dissociations in how the circuitry is recruited in each phase.","It is found that discrimination and reversal learning are behaviorally more unique than similar: latencies to select the better option, win-stay strategies, and perseveration were of a different pattern in reversal learning compared to discrimination learning."
"Conserved reward-mediated, reinforcement-learning mechanisms in Pavlovian and instrumental tasks","https://scispace.com/paper/conserved-reward-mediated-reinforcement-learning-mechanisms-1cp22tys","2022","Posted Content","bioRxiv","Neema Moin Afshar
François Cinotti
David A Martin
Mehdi Khamassi
Donna J. Calu
Jane R. Taylor
Stephanie M. Groman","10.1101/2022.06.12.495805","","Model-free and model-based computations are argued to distinctly update action values that guide decision-making processes. It is not known, however, if these model-free and model-based reinforcement learning mechanisms recruited in operationally based, instrumental tasks parallel those engaged by Pavlovian based behavioral procedures. Recently, computational work has suggested that individual differences in the attribution of incentive salience to reward predictive cues, i.e., sign- and goal-tracking behaviors, are also governed by variations in model-free and model-based value representations that guide behavior. Moreover, it is not appreciated if these systems that are characterized computationally using model-free and model-based algorithms are conserved across tasks for individual animals. In the current study, we used a within- subject design to assess sign-tracking and goal-tracking behaviors using a Pavlovian conditioned approach task, and, then characterized behavior using an instrumental multi-stage decision-making (MSDM) task in rats. We hypothesized that both Pavlovian and instrumental learning processes may be driven by common reinforcement-learning mechanisms. Our data confirm that sign-tracking behavior was associated with greater reward-mediated, model-free reinforcement learning and that it was also linked to model-free reinforcement learning in the MSDM task. Computational analyses revealed that Pavlovian model-free updating was correlated with model-free reinforcement learning in the MSDM task. These data provide key insights into the computational mechanisms mediating associative learning that could have important implications for normal and abnormal states. Significance Statement Model-free and model-based computations that guide instrumental, decision-making processes may also be recruited in Pavlovian based behavioral procedures. Here, we used a within-subject design to test the hypothesis that both Pavlovian and instrumental learning processes were driven by common reinforcement-learning mechanisms. Sign- tracking and goal-tracking behaviors were assessed in rats using a Pavlovian conditioned approach task, and, then instrumental behavior characterized using a multi- stage decision-making (MSDM) task. We report that sign-tracking behavior was associated with greater model-free, but not model-based, learning in the MSDM task. These data suggest that Pavlovian and instrumental behaviors are driven by conserved reinforcement-learning mechanisms.","It is reported that sign-tracking behavior was associated with greater model-free, but not model-based, learning in the MSDM task, which suggests that Pavlovian and instrumental behaviors are driven by conserved reinforcement-learning mechanisms."
