"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The phylogeny and ontogeny of intelligence","https://scispace.com/paper/the-phylogeny-and-ontogeny-of-intelligence-26bdfivqzx","1971","Journal Article","Perspectives in Biology and Medicine","Arthur R. Jensen","10.1353/PBM.1971.0056","","Phylogeny of Adaptive Behavior Are there qualitative as well as quantitative differences in the behavior-adaptive capabilities of animals at different levels of the phyletic evolutionary sequence? That is to say, are there differences not only in the speed of learning but also in the complexity of what the organism can learn at all, given any amount of time and training? Are there discontinuities as well as continuities in capacities to perceive, to learn, and to manipulate the environment as we ascend the phyletic scale? The answer to these questions is now empirically quite clear. There are indeed discontinuities and qualitative differences in learning (i.e., behaviorally adaptive) capabilities as we go from one phyletic level to another. Behaviorally, the phylogenetic hierarchy is best characterized in terms of an increasing complexity of adaptive capabilities and an increasing breadth of transfer and generalization of learning, as we move from lower to higher phyla. It is a fact that every animal, at least above the level of worms, has the capacity to learn, that is, to form stimulus-response associations or conditioned responses. But the degree of complexity and abstractness of what can be learned shows distinct \""quantum jumps\"" going from lower to higher phyla. Simpler capacities, and their neural substrate, persist as we move from lower to higher levels, but new adaptive capacities emerge in hierarchical layers as we ascend the phyletic scale. Each phyletic level possesses all the learning capacities (although not necessarily the same sensory and motor capacities) of the levels below itself in addition to new emergent abilities, which can be broadly conceived as an increase in the complexity of information processing. For example, studies by Bitterman [1] of animals at various levels of","There are indeed discontinuities and qualitative differences in learning capabilities as the authors go from one phyletic level to another, and the phylogenetic hierarchy is best characterized in terms of an increasing complexity of adaptive capabilities and an increasing breadth of transfer and generalization of learning, as they move from lower to higher phyla."
"Flexible Behavior or Flexible Methods? A Cross-Taxon Review of Experimental Designs in Reversal Learning","https://scispace.com/paper/flexible-behavior-or-flexible-methods-a-cross-taxon-review-e2bp9k8d0och","2025","Journal Article","","Nicolás Alessandroni
Rachael Miller
Drew Altschul
Lisa P. Barrett
Marina Bazhydai
Mahmoud Medhat Elsherif
Julia Espinosa
Biljana Gjoneska
Yseult Héjja‐Brichard
Valeria Mazza
Annika Paukner
Ekaterina Pronizius
Michael J. Proulx
Muhammad A. J. Qadri
Olivia T. Reilly
Raoul Schwing
Carla Sebastián‐Enesco
Vedrana Šlipogor
Alexandra A. de Sousa
Ingmar Visser
Justin Yeager
Martin Zettersten
Krista Byers‐Heinlein
Josep Call
Ludwig Huber
Lars Chittka
Laurent Prétôt","10.31234/osf.io/mvche_v2","","Behavioral flexibility—the ability to adapt behavior in response to changing conditions—is widely recognized as a key feature of animal cognition. It is often measured using reversal learning tasks, where individuals must inhibit a previously rewarded response and adopt a new one after contingencies shift. Despite its widespread use, the comparability of these tasks across species remains unclear. We conducted a systematic review of 206 empirical studies (2014–2023) spanning eight major taxonomic groups: invertebrates, fishes, amphibians and reptiles, birds, rodents, other mammals, non-human primates, and humans. For each study, we extracted variables related to taxon coverage, sampling, learning and reversal criteria, cue types, and outcome measures. Analyses included nonparametric tests to assess group-level differences, linear discriminant analyses to explore multivariate structure, and model-based robustness checks. Our findings reveal three fundamental obstacles to reliable cross-species inference. First, research effort is highly imbalanced: birds, rodents, and humans accounted for over half of all study cells, while most animal diversity—especially invertebrates and amphibians and reptiles—remains virtually untested, with less than 1% of described species included per taxon. Second, research is taxonomically siloed: 99% of studies focus on a single group, limiting opportunities for direct comparison. Third, and most critically, methodological standards diverge dramatically across taxa. Humans were consistently held to the strictest learning criteria (median threshold 90%), while birds, invertebrates, and fishes most often used lower thresholds (80–84%). Overtraining was implemented in two-thirds of amphibian and reptile studies but was rare (less than 30%) elsewhere. The number of reversal phases differed more than threefold among groups. Nearly all studies of amphibians, reptiles, fishes, and invertebrates used single-reversal designs, whereas multi-reversal protocols were much more common in humans and non-human primates. Sample sizes—both per cell and per study—, evaluation window lengths, cue types, and outcome metrics also displayed taxon-specific patterns. These systematic differences in experimental design introduce structural asymmetries that complicate cross-taxon comparisons, blurring the line between true cognitive variation and methodological artifacts. Although research to date has advanced our understanding, further progress will depend on greater methodological coordination and broader taxonomic coverage. Emerging large-scale collaborations are beginning to address these gaps, offering a promising path toward a more robust and equitable science of behavioral flexibility. ","A systematic review of 206 reversal learning studies across 8 taxonomic groups reveals methodological inconsistencies and taxonomic biases, hindering cross-species comparisons, and emphasizing the need for greater coordination and broader taxonomic coverage to advance the science of behavioral flexibility."
"Application of piecewise hierarchical linear growth modeling to the study of continuity in behavioral development of baboons (Papio hamadryas).","https://scispace.com/paper/application-of-piecewise-hierarchical-linear-growth-modeling-4v26pssmxb","2004","Journal Article","Journal of Comparative Psychology","María Victoria Hernández-Lloreda
Fernando Colmenares
Rosario Martínez-Arias","10.1037/0735-7036.118.3.316","","In behavioral science, developmental discontinuities are thought to arise when the association between an outcome measure and the underlying process changes over time. Sudden changes in behavior across time are often taken to indicate that a reorganization in the outcome-process relationship may have occurred. The authors proposed in this article the use of piecewise hierarchical linear growth modeling as a statistical methodology to search for discontinuities in behavioral development and illustrated its possibilities by applying 2-piece hierarchical linear models to the study of developmental trajectories of baboon (Papio hamadryas) mothers' behavior during their infants' 1st year of life. The authors provided empirical evidence that piecewise growth modeling can be used to determine whether abrupt changes in development trajectories are tied to changes in the underlying process.","The authors provided empirical evidence that piecewise growth modeling can be used to determine whether abrupt changes in development trajectories are tied to changes in the underlying process."
"Distinct developmental trajectories of autonomous behaviors and agency in rodents","https://scispace.com/paper/distinct-developmental-trajectories-of-autonomous-behaviors-17zmy0wm2q","2023","Journal Article","bioRxiv","Catalin Mitelut
M. Diez Castro
RE Peterson
M. Gonçalves
MM Gamer
Sro Nilsson
TD Pereira
D. Sanes","10.1101/2023.11.10.566632","","Behavioral interactions within the nuclear family may play a pivotal role in the emergence of autonomy and agency in mammals. While the emergence of a behavior may arise over weeks in line with nervous system maturation, individual events occur on sub-second time scales. This makes it uniquely challenging to track development in the lab where observations are made over minutes to hours or in ecological studies which lack individual specificity and sub-second precision. Here we study families of gerbils, a highly social rodent, raised in enlarged home-cage environments over weeks of development, using continuous video recordings to capture tens of millions of time points per family. Focusing on postnatal day 15 (when pups leave the nest) to day 30 (around the time when pups would disperse) we identify distinct developmental trajectories for both autonomous behaviors (exploration, food and water foraging), and social behaviors (huddling, approach, time spent together). Most of these behaviors emerge in concert with clear diurnal and crepuscular patterns and we find sex differences in both autonomous and social behaviors. Our work supports the emergence of distinct autonomous and social behavior phenotypes as the behavioral correlates of critical developmental periods of maturation of the rodent brain and can form the basis of future research on development from both neuroscience and behavioral biology perspectives.","Focusing on postnatal day 15 (when pups leave the nest) to day 30 (around the time when pups would disperse), this work identifies distinct developmental trajectories for both autonomous behaviors (exploration, food and water foraging), and social behaviors (huddling, approach, time spent together)."
"Systematic mapping of developmental milestones in wild chimpanzees.","https://scispace.com/paper/systematic-mapping-of-developmental-milestones-in-wild-2f6zxw8ml9","2021","Journal Article","Developmental Science","Aisha C. Bründl
Patrick J. Tkaczynski
Grégoire Nohon Kohou
Christophe Boesch
Roman M. Wittig
Catherine Crockford","10.1111/DESC.12988","","Postnatal development is protracted relative to lifespan in many primates, including modern humans (Homo sapiens), facilitating the acquisition of key motor, communication and social skills that can maximize fitness later in life. Nevertheless, it remains unclear what evolutionary drivers led to extended immature periods. While the developmental milestone literature is well established in humans, insight we can gain from one-species models is limited. By comparing the timing of relatable developmental milestones in a closely related species, the chimpanzee (Pan troglodytes), we can gain further understanding of the evolution of such an extended developmental phase. To date, few studies have specifically attempted to estimate developmental milestones in a manner comparable to the human literature, and existing studies lack sufficient sample sizes to estimate which milestones are more plastic with higher inter-individual variation in the timing of their emergence. Here, we describe the emergence of gross motor, fine motor, social interaction and communication traits from a longitudinal sample of 19 wild chimpanzee infants (8 females and 11 males), Tai National Park, Cote d'Ivoire. Gross motor traits emerged at a mean of 4 months, communication traits at 12 months, social interaction traits at 14 months and fine motor traits at 15 months, with later emerging milestones demonstrating greater inter-individual variation in the timing of the emergence. This pattern of milestone emergence is broadly comparable to observations in humans, suggesting selection for a prolonged infantile phase and that sustained skills development has a deep evolutionary history, with implications for theories on primate brain development.","This pattern of milestone emergence is broadly comparable to observations in humans, suggesting selection for a prolonged infantile phase and that sustained skills development has a deep evolutionary history, with implications for theories on primate brain development."
"Parallel development of object recognition in newborn chicks and deep neural networks","https://scispace.com/paper/parallel-development-of-object-recognition-in-newborn-chicks-7de096tw5ssb","2024","Journal Article","PLOS Computational Biology","Lalit Pandey
Donsuk Lee
Samantha M. W. Wood
Justin N. Wood","10.1371/journal.pcbi.1012600","","How do newborns learn to see? We propose that visual systems are space-time fitters, meaning visual development can be understood as a blind fitting process (akin to evolution) in which visual systems gradually adapt to the spatiotemporal data distributions in the newborn’s environment. To test whether space-time fitting is a viable theory for learning how to see, we performed parallel controlled-rearing experiments on newborn chicks and deep neural networks (DNNs), including CNNs and transformers. First, we raised newborn chicks in impoverished environments containing a single object, then simulated those environments in a video game engine. Second, we recorded first-person images from agents moving through the virtual animal chambers and used those images to train DNNs. Third, we compared the viewpoint-invariant object recognition performance of the chicks and DNNs. When DNNs received the same visual diet (training data) as chicks, the models developed common object recognition skills as chicks. DNNs that used time as a teaching signal—space-time fitters—also showed common patterns of successes and failures across the test viewpoints as chicks. Thus, DNNs can learn object recognition in the same impoverished environments as newborn animals. We argue that space-time fitters can serve as formal scientific models of newborn visual systems, providing image-computable models for studying how newborns learn to see from raw visual experiences. ","Researchers parallelly trained deep neural networks and newborn chicks in impoverished environments, finding that both developed viewpoint-invariant object recognition skills, supporting the ""space-time fitter"" theory of visual development."
"Modeling developmental transitions in adaptive resonance theory","https://scispace.com/paper/modeling-developmental-transitions-in-adaptive-resonance-513rtaavgz","2004","Journal Article","Developmental Science","Maartje E. J. Raijmakers
Peter C. M. Molenaar","10.1111/J.1467-7687.2004.00332.X","","Neural networks are applied to a theoretical subject in developmental psychology: modeling developmental transitions. Two issues that are involved will be discussed: discontinuities and acquiring qualitatively new knowledge. We will argue that by the appearance of a bifurcation, a neural network can show discontinuities and may acquire qualitatively new knowledge. First, it is shown that biological principles of neurite outgrowth result in self-organization in a neural network, which is strongly dependent on a bifurcation in the activity dynamics. Second, the effect of a bifurcation due to morphological change is investigated in an Adaptive Resonance Theory (ART) network. Exact ART networks with quantitative differences in network structure at the category level show qualitatively different dynamical regimes, which are separated by bifurcations. These qualitative differences in dynamics affect the cognitive function of Exact ART: Representations of learned categories are local or distributed.","It is argued that by the appearance of a bifurcation, a neural network can show discontinuities and may acquire qualitatively new knowledge."
"The natural history of intelligent systems: toward understanding major transitions in cognitive evolution","https://scispace.com/paper/the-natural-history-of-intelligent-systems-toward-eu45cajnkakz","2025","Journal Article","","Victoria Klimaj
Adam Safron","10.31234/osf.io/vhz56_v2","","In this first set of explorations/meditations (of three), we examine major transitions in cognitive evolution and provides a framework for understanding different types of intelligence in naturally evolved systems. Drawing on synthetic perspectives from multiple theorists, we review several key taxonomies of cognitive sophistication, including Dennett's hierarchy of creatures (Darwinian, Skinnerian, Popperian, and Gregorian), Pearl's ladder of causation (association, intervention, and counterfactuals), and Tomasello's evolution of agency (goal-directed, intentional, rational, and socially normative). We place particular emphasis on Tomasello's account, which traces the development of increasingly sophisticated forms of agency from early vertebrates to modern humans. The paper also examines how ""unlimited associative learning"" may mark critical transitions in cognitive evolution. This review provides groundwork for two subsequent papers exploring social intelligence, human uniqueness, and artificial intelligence. We suggest that understanding these natural histories of intelligence may be crucial for developing artificial systems that can robustly engage in causal reasoning and social interaction. This theoretical synthesis offers insights into both the evolution of natural intelligence and potential pathways for developing artificial agents with sophisticated cognitive capabilities. ","This paper explores major transitions in cognitive evolution, synthesizing theories from Dennett, Pearl, and Tomasello to understand the development of increasingly sophisticated forms of agency, with implications for artificial intelligence and social interaction."
"A Critique of Pure Learning: What Artificial Neural Networks can Learn from Animal Brains","https://scispace.com/paper/a-critique-of-pure-learning-what-artificial-neural-networks-3c274zxt91","2019","Posted Content","bioRxiv","Anthony M. Zador","10.1101/582643","","Over the last decade, artificial neural networks (ANNs), have undergone a revolution, catalyzed in large part by better tools for supervised learning. However, training such networks requires enormous data sets of labeled examples, whereas young animals (including humans) typically learn with few or no labeled examples. This stark contrast with biological learning has led many in the ANN community posit that instead of supervised paradigms, animals must rely instead primarily on unsupervised learning, leading the search for better unsupervised algorithms. Here we argue that much of an animal’s behavioral repertoire is not the result of clever learning algorithms—supervised or unsupervised—but arises instead from behavior programs already present at birth. These programs arise through evolution, are encoded in the genome, and emerge as a consequence of wiring up the brain. Specifically, animals are born with highly structured brain connectivity, which enables them learn very rapidly. Recognizing the importance of the highly structured connectivity suggests a path toward building ANNs capable of rapid learning.","It is argued that much of an animal’s behavioral repertoire is not the result of clever learning algorithms—supervised or unsupervised—but arises instead from behavior programs already present at birth, which arise through evolution, are encoded in the genome, and emerge as a consequence of wiring up the brain."
"A two-year longitudinal study of deferred imitation of object manipulation in a juvenile chimpanzee (Pan troglodytes) and orangutan (Pongo pygmaeus).","https://scispace.com/paper/a-two-year-longitudinal-study-of-deferred-imitation-of-4u0t49zckp","2000","Journal Article","Developmental Psychobiology","David F. Bjorklund
Jesse M. Bering
Patricia Ragan","10.1002/1098-2302(2000)37:4<229::AID-DEV3>3.0.CO;2-K","","Changes in deferred imitation of novel actions on objects were assessed over a 2-year period in two enculturated, juvenile great apes (one chimpanzee, Pan troglodytes, and one orangutan, Pongo pygmaeus). Both apes displayed deferred imitation, and both displayed improve- ments in deferred imitation over the 2-year period, although the magnitude of improvement was greater for the chimpanzee. This is, to our knowledge, the first experimental demonstration of longitudinal improvements of deferred imitation in great apes. The results were interpreted as reflecting maturationally paced cognitive differences consistent with other cognitive accomplish- ments in these species, and as demonstrating the influence that a species-atypical rearing environment can have on cognitive abilities in juvenile great apes. fl 2000 John Wiley & Sons, Inc. Dev Psychobiol 37: 229-237, 2000","The results were interpreted as reflecting maturationally paced cognitive differences consistent with other cognitive accomplishments in these species, and as demonstrating the influence that a species-atypical rearing environment can have on cognitive abilities in juvenile great apes."
