"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Getting a grip on insight: An embodied measure of Aha! and metacognition during problem solving","https://scispace.com/paper/getting-a-grip-on-insight-an-embodied-measure-of-aha-and-axnb8y6hlym1","","","","Ruben Laukkonen
Daniel Ingledew
Jason Marcus Tangen","10.31234/osf.io/fyhwb","","A challenge unique to psychology is objectively capturing ephemeral subjective states during controlled experiments. Large bodies of literature use metacognitive probes and self-reports in order to measure states of knowing, perceived progress, as well as the onset of phenomenologies such as surprise or insight. Here we evaluate the usefulness of a visceral measure—the dynamometer—in a problem solving context to detect feelings of progress and insight experiences. The continuous measure of hand grip strength provides multiple data points per second and effectively captures the onset of insight experiences in real-time, and maps onto other measures showing convergent validity. Our results highlight the importance of viewing metacognitions during problem solving and insight moments as dissociable events that show different behavioural outcomes. We also found evidence that the participants were embodying the intensity of the insight experience, despite not being instructed to do so. The dynamometer may be a useful tool in any context where metacognitions are monitored continuously, and is particularly well suited for research in problem solving and insight.","Researchers used a dynamometer to measure hand grip strength in real-time, capturing insight experiences and metacognition during problem solving, showing convergent validity and highlighting the importance of dissociable events in metacognitive processes."
"Latent learning, cognitive maps, and curiosity","https://scispace.com/paper/latent-learning-cognitive-maps-and-curiosity-1svo3qdmt6","2021","Journal Article","Current opinion in behavioral sciences","Maya Zhe Wang
Benjamin Y. Hayden","10.1016/J.COBEHA.2020.06.003","","Curiosity is a desire for information that is not motivated by strategic concerns. Latent learning is not driven by standard reinforcement processes. We propose that curiosity serves the purpose of motivating latent learning. While latent learning is often treated as a passive or incidental process, it normally reflects a strong evolved pressure to actively seek large amounts of information. That information in turn allows curious decision makers to represent the structure of their environment, that is, to form cognitive maps. These cognitive maps then drive adaptive flexible behavior. Based on recent data, we propose that orbitofrontal cortex (OFC) and dorsal anterior cingulate cortex (dACC) play complementary roles in curiosity-driven learning. Specifically, we propose that (1) OFC tracks intrinsic value of information and incorporates new information into a cognitive map; and (2) dACC tracks the environmental demands and information availability to then use the cognitive map from OFC to guide behavior.","It is proposed that orbitofrontal cortex (OFC) and dorsal anterior cingulate cortex (dACC) play complementary roles in curiosity-driven learning and that dACC tracks the environmental demands and information availability to then use the cognitive map from OFC to guide behavior."
"Regularised neural networks mimic human insight","https://scispace.com/paper/regularised-neural-networks-mimic-human-insight-3s0qot5z","2023","Posted Content","","","10.48550/arxiv.2302.11351","","Humans sometimes show sudden improvements in task performance that have been linked to moments of insight. Such insight-related performance improvements appear special because they are preceded by an extended period of impasse, are unusually abrupt, and occur only in some, but not all, learners. Here, we ask whether insight-like behaviour also occurs in artificial neural networks trained with gradient descent algorithms. We compared learning dynamics in humans and regularised neural networks in a perceptual decision task that provided a hidden opportunity which allowed to solve the task more efficiently. We show that humans tend to discover this regularity through insight, rather than gradually. Notably, neural networks with regularised gate modulation closely mimicked behavioural characteristics of human insights, exhibiting delay of insight, suddenness and selective occurrence. Analyses of network learning dynamics revealed that insight-like behaviour crucially depended on noise added to gradient updates, and was preceded by ``silent knowledge'' that is initially suppressed by regularised (attentional) gating. This suggests that insights can arise naturally from gradual learning, where they reflect the combined influences of noise, attentional gating and regularisation. ","In this article , the authors compared human and regularised neural networks in a perceptual decision task and found that neural networks with regularised gate modulation closely mimicked behavioral characteristics of human insights, exhibiting delay of insight, suddenness and selective occurrence."
"“Now I Get It!”: Eureka Experiences During the Acquisition of Mathematical Concepts","https://scispace.com/paper/now-i-get-it-eureka-experiences-during-the-acquisition-of-3tqh4pbj3j","2024","Journal Article","Open Mind","Charlotte Barot
Louise Chevalier
Lucie Martin
Véronique Izard","10.1162/opmi_a_00116","","Abstract Many famous scientists have reported anecdotes where a new understanding occurred to them suddenly, in an unexpected flash. Do people generally experience such “Eureka” moments when learning science concepts? And if so, do these episodes truly vehicle sudden insights, or is this impression illusory? To address these questions, we developed a paradigm where participants were taught the mathematical concept of geodesic, which generalizes the common notion of straight line to straight trajectories drawn on curved surfaces. After studying lessons introducing this concept on the sphere, participants (N = 56) were tested on their understanding of geodesics on the sphere and on other surfaces. Our findings indicate that Eureka experiences are common when learning mathematics, with reports by 34 (61%) participants. Moreover, Eureka experiences proved an accurate description of participants’ learning, in two respects. First, Eureka experiences were associated with learning and generalization: the participants who reported experiencing Eurekas performed better at identifying counterintuitive geodesics on new surfaces. Second, and in line with the firstperson experience of a sudden insight, our findings suggest that the learning mechanisms responsible for Eureka experiences are inaccessible to reflective introspection. Specifically, reports of Eureka experiences and of participants’ confidence in their own understanding were associated with different profiles of performance, indicating that the mechanisms bringing about Eureka experiences and those informing reflective confidence were at least partially dissociated. Learning mathematical concepts thus appears to involve mechanisms that operate unconsciously, except when a key computational step is reached and a sudden insight breaks into consciousness. ","Eureka experiences are common when learning mathematics and are associated with learning and generalization. They are also inaccessible to reflective introspection."
"Young children’s understanding and experience of insight.","https://scispace.com/paper/young-childrens-understanding-and-experience-of-insight-7i0gzro0d0rn","2024","Journal Article","Developmental Psychology","Mathilde Hallingstad Prenevost
Ida Bekke Rønneberg Nilsen
Evalill Bølstad
Francisco Pons
Paul L. Harris
Rolf Reber","10.1037/dev0001807","","An insight is a moment of sudden understanding followed by characteristic feelings of suddenness, positive affect, certainty, and ease, commonly known as an aha experience. Despite evidence from studies with adults that aha experiences benefit learning, little systematic research on children's aha experiences exists. The present study asks how children understand and experience insight. We presented a community sample of 160 children (age: 4-8 years, 47% girls, 51% boys, 2% nonbinary) with an illustrated clues task inspired by the Remote Associate Test, a task commonly used to study insight in adults. In this task, children saw three clues and were asked to find a solution word that was associated with the three clues. Self-reported and observed aha experiences were recorded, along with children's solution accuracy and confidence. Children also answered a set of questions to assess their understanding of aha experiences. We found that although the number of aha experiences remained stable across age, there was a clear developmental increase in the understanding of aha experiences. Children's ability to recognize their own aha experiences as well as their general understanding of the aha concept increased with age. This suggests a lag between the occurrence of children's aha experiences and their understanding of such experiences; children first have aha experiences and later develop an understanding of those experiences. Aha experiences were associated with higher accuracy, but not with higher confidence ratings. Observed aha experiences, but not self-reported aha experiences, predicted increased motivation. Our findings are in line with the literature on metacognitive development and the distinction between the experience and the understanding of emotion. (PsycInfo Database Record (c) 2024 APA, all rights reserved). ","This study explores young children's (4-8 years) understanding and experience of insight, finding that while aha experiences occur across ages, understanding of them increases with age, and is associated with higher accuracy and motivation, but not confidence."
"Long-distance exploration in insightful problem-solving","https://scispace.com/paper/long-distance-exploration-in-insightful-problem-solving-g0x4f9gb7fjg","2025","Journal Article","Communications psychology","Zenas C. Chao
Feng-Yang Hsieh
Chien‐Te Wu","10.1038/s44271-025-00235-4","","Insight represents a sudden and profound understanding, offering a new perspective that can offer the solution to a previously intractable problem. Insight is tightly associated with an ""Aha"" experience. Although various theories have attempted to explain how insight emerges, the dynamic search process leading to insight remains poorly understood, primarily due to the complex nature of creative problem-solving. In this study, we employ two versions of the Japanese remote associates test (RAT) (n = 349 and n = 105 participants, respectively), alongside a simulation model. This allows us to quantitatively manipulate the constraints imposed on the problem and to track the search process within the solution space. Our findings indicate that the insight and the accompanying ""Aha"" moment are characterized by exploration that spans greater distances within the solution space, thereby increasing the number of potential solutions available for evaluation. Combining human data and a simulation, this study shows that problem-solving relies on a dynamic interplay between de-fixation and exploration, where broader exploration marks more insightful searches. ","This study explores the dynamic search process leading to insight in creative problem-solving, using a simulation model and human data, and finds that broader exploration is associated with more insightful searches, characterized by an ""Aha"" moment and increased solution options."
"Dissociating task acquisition from expression during learning reveals latent knowledge","https://scispace.com/paper/dissociating-task-acquisition-from-expression-during-48n8a2o8fv","2019","Journal Article","Nature Communications","Kishore V. Kuchibhotla
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Tom Hindmarsh Sten
Eleni S. Papadoyannis
Eleni S. Papadoyannis
Sarah Elnozahy
Kelly Fogelson
Rupesh Kumar
Yves Boubenec
Peter C. Holland
Srdjan Ostojic
Robert C. Froemke
Robert C. Froemke
Robert C. Froemke","10.1038/S41467-019-10089-0","","Performance on cognitive tasks during learning is used to measure knowledge, yet it remains controversial since such testing is susceptible to contextual factors. To what extent does performance during learning depend on the testing context, rather than underlying knowledge? We trained mice, rats and ferrets on a range of tasks to examine how testing context impacts the acquisition of knowledge versus its expression. We interleaved reinforced trials with probe trials in which we omitted reinforcement. Across tasks, each animal species performed remarkably better in probe trials during learning and inter-animal variability was strikingly reduced. Reinforcement feedback is thus critical for learning-related behavioral improvements but, paradoxically masks the expression of underlying knowledge. We capture these results with a network model in which learning occurs during reinforced trials while context modulates only the read-out parameters. Probing learning by omitting reinforcement thus uncovers latent knowledge and identifies context- not ""smartness""- as the major source of individual variability.","It is demonstrated that in the context of probe trials without the possibility of reward, animals perform the correct instrumental response suggesting a latent knowledge of the task much before it is manifest in their performance."
"On the development of knowledge during problem solving.","https://scispace.com/paper/on-the-development-of-knowledge-during-problem-solving-1mwnanimeg","2000","Journal Article","European Journal of Cognitive Psychology","Ronald Hamel
Jan J. Elshout","10.1080/09541440050114534","","A person might solve a problem progressing very quickly after an initial period of very little progress, as if new insight was suddenly gained, without that person possessing anything that merits being called insight. This is demonstrated in a series of studies as an extension of the experiments of Kotovsky and Simon (1990). A total of 68 undergraduate students solved an isomorph of the Chinese Ring Puzzle. The first study showed that the verbal protocols of participants thinking aloud contained accumulating explicit knowledge. In the second study, the participants' move records were analysed in a novel way, and it was shown that the choices of moves gradually improved. In the third study the knowledge about the puzzle was tested after the puzzle was solved. The participants demonstrated that they knew, although imperfectly, which move was possible in a given situation. The fourth study showed that verbalising did not alter problem solving profoundly. Together, the four studies demonstrated that solving the puzzle took place after a gradual development of knowledge, instead of a flash of insight.","In this article, a series of studies as an extension of the experiments of Kotovsky and Simon (1990) showed that solving the Chinese ring puzzle took place after a gradual development of knowledge, instead of a flash of insight."
"Eye Movements and Problem Solving Guiding Attention Guides Thought","https://scispace.com/paper/eye-movements-and-problem-solving-guiding-attention-guides-43lf7x0ifn","2003","Journal Article","Psychological Science","Elizabeth R. Grant
Michael J. Spivey","10.1111/1467-9280.02454","","Overt visual attention during diagram-based problem solving, as measured by eye movements, has been used in numerous studies to reveal critical aspects of the problem-solving process that traditional measures like solution time and accuracy cannot address. In Experiment 1, we used this methodology to show that particular fixation patterns correlate with success in solving the tumor-and-lasers radiation problem. Given this correlation between attention to a particular diagram feature and problem-solving insight, we investigated participants' cognitive sensitivity to perceptual changes in that diagram feature. In Experiment 2, we found that perceptually highlighting the critical diagram component, identified in Experiment 1, significantly increased the frequency of correct solutions. Taking a situated perspective on cognition, we suggest that environmentally controlled perceptual properties can guide attention and eye movements in ways that assist in developing problem-solving insights that dramatically improve reasoning.","Taking a situated perspective on cognition, it is suggested that environmentally controlled perceptual properties can guide attention and eye movements in ways that assist in developing problem-solving insights that dramatically improve reasoning."
"Learning to learn about uncertain feedback","https://scispace.com/paper/learning-to-learn-about-uncertain-feedback-3k033afj0b","2016","Journal Article","Learning & Memory","Maïlys C. M. Faraut
Emmanuel Procyk
Charles R.E. Wilson
Charles R.E. Wilson","10.1101/LM.039768.115","","Unexpected outcomes can reflect noise in the environment or a change in the current rules. We should ignore noise but shift strategy after rule changes. How we learn to do this is unclear, but one possibility is that it relies on learning to learn in uncertain environments. We propose that acquisition of latent task structure during learning to learn, even when not necessary, is crucial. We report results consistent with this hypothesis. Macaque monkeys acquired adaptive responses to feedback while learning to learn serial stimulus-response associations with probabilistic feedback. Monkeys learned well, decreasing their errors to criterion, but they also developed an apparently nonadaptive reactivity to unexpected stochastic feedback, even though that unexpected feedback never predicted problem switch. This surprising learning trajectory permitted the same monkeys, naive to relearning about previously learned stimuli, to transfer to a task of stimulus-response remapping at immediately asymptotic levels. Our results suggest that learning new problems in a stochastic environment promotes the acquisition of performance rules from latent task structure, providing behavioral flexibility. Learning to learn in a probabilistic and volatile environment thus appears to induce latent learning that may be beneficial to flexible cognition.","It is proposed that acquisition of latent task structure during learning to learn, even when not necessary, is crucial, and results consistent with this hypothesis suggest that learning new problems in a stochastic environment promotes the acquisition of performance rules from latenttask structure, providing behavioral flexibility."
