"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Diagnostic Models for Procedural Bugs in Basic Mathematical Skills","https://scispace.com/paper/diagnostic-models-for-procedural-bugs-in-basic-mathematical-23flngmplo","1978","Journal Article","Cognitive Science","John Seely Brown
Richard R. Burton","10.1207/S15516709COG0202_4","","","A new diagnostic modeling system for automatically synthesizing a deep-structure model of a student's misconceptions or bugs in his basic mathematical skills provides a mechanism for explaining why a student is making a mistake as opposed to simply identifying the mistake."
"Induction and Analogy in Mathematics","https://scispace.com/paper/induction-and-analogy-in-mathematics-1ynr9cdw81","1954","Book","","George Pólya","","","A guide to the practical art of plausible reasoning, this book has relevance in every field of intellectual activity. Professor Polya, a world-famous mathematician from Stanford University, uses mathematics to show how hunches and guesses play an important part in even the most rigorously deductive science. He explains how solutions to problems can be guessed at; good guessing is often more important than rigorous deduction in finding correct solutions. Vol. I, on ""Induction and Analogy in Mathematics,"" covers a wide variety of mathematical problems, revealing the trains of thought that lead to solutions, pointing out false bypaths, discussing techniques of searching for proofs. Problems and examples challenge curiosity, judgment, and power of invention.","Professor Polya uses mathematics to show how hunches and guesses play an important part in even the most rigorously deductive science, explaining how solutions to problems can be guessed at; good guessing is often more important than rigorous deduction in finding correct solutions."
"The Role of Metacognition in Mathematical Problem Solving: A Study of Two Grade Seven Classes. Final Report.","https://scispace.com/paper/the-role-of-metacognition-in-mathematical-problem-solving-a-4fk2um15iw","1989","","","Frank K. Lester","","","DOC WENT RESUME","In this paper, the authors propose a new resume, called ""DOC WENT RESUME"", which is based on the work of this paper : http://www.docwentresume.com/"
"Information-processing models of cognition","https://scispace.com/paper/information-processing-models-of-cognition-3xr2fx9mx2","1981","Journal Article","Journal of the Association for Information Science and Technology","Herbert A. Simon","10.1002/ASI.4630320517","","This article reviews recent progress in modeling human cognitive processes. Particular attention is paid to the use of computer programming languages as a formalism for modeling, and to computer simulation of the behavior of the systems modeled. Theories of human cognitive processes can be attempted at several levels: at the level of neural processes, at the level of elementary information processes (e.g., retrieval from memory, scanning down lists in memory, comparing simple symbols, etc.), or at the level of higher mental processes (e.g., problem solving, concept attainment). This article will not deal at all with neural models; it focuses mainly upon higher mental processes, but not without some attention to modeling the elementary processes and especially to the relationships between elementary and complex processes.","This article reviews recent progress in modeling human cognitive processes, and pays particular attention to the use of computer programming languages as a formalism for modeling, and to computer simulation of the behavior of the systems modeled."
"Teachers' Pedagogical Content Beliefs in Mathematics","https://scispace.com/paper/teachers-pedagogical-content-beliefs-in-mathematics-3dq5soovd9","1989","Journal Article","Cognition and Instruction","Penelope L. Peterson
Elizabeth Fennema
Thomas P. Carpenter
Megan Loef","10.1207/S1532690XCI0601_1","","This study examined relationships among first-grade teachers' pedagogical content beliefs, teachers' pedagogical content knowledge, and students' achievement in mathematics. Teachers (N = 39) completed structured questionnaires and interviews on their beliefs and knowledge about instruction, children's learning, and the mathematics content in addition and subtraction. Results indicated significant positive relationships among teachers' beliefs, teachers' knowledge, and students' problem-solving achievement. Compared to teachers with a less cognitively based perspective (LCB teachers), teachers with a more cognitively based perspective (CB teachers) made extensive use of word problems in introducing and teaching addition and subtraction. They also spent time developing children's counting strategies before teaching number facts. CB teachers had greater knowledge of word problem types and greater knowledge of their children's problem-solving strategies than did LCB teachers. Furthermore, CB teachers obtaine...","This paper examined relationships among first-grade teachers' pedagogical content beliefs, teachers' content knowledge, and students' achievement in mathematics, and found significant positive relationships among teachers' beliefs and knowledge about instruction, children's learning and mathematics content in addition and subtraction."
"Critical variables in mathematics education","https://scispace.com/paper/critical-variables-in-mathematics-education-3oi9pvi5on","1979","Book","","E. G. Begle","","","Throughout the book it is shown how fundamentally simple ideas are capable of extension to become more difficult topics, e.g. the study of symmetry, so it is logical that the book ends with a look at ""the way ahead"". Links are suggested for the 9-11 year olds and for extending these links into the secondary schools for a modern geometry programme in which the primary children will have received a solid foundation. The book is presented as ""a compendium of fully worked out suggestions for the use of schools..."" and to my mind there is no doubt that these practical suggestions have been tried and proved. There is in this book an exciting originality, comprising quite fresh ideas as well as unexpected twists to more familiar ones, which, while serving as a refresher to the mathematics specialist in the primary school, must take its place as a refreshing and invaluable source book for the rest of us. There should be a copy in every primary classroom.",""
"The Mathematical Experience.","https://scispace.com/paper/the-mathematical-experience-s812xuzjm9","1982","Journal Article","American Mathematical Monthly","William McGowen Priestley
Philip J. Davis
Reuben Hersh","10.2307/2321410","","Winner of the 1983 National Book Award! \""...a perfectly marvelous book about the Queen of Sciences, from which one will get a real feeling for what mathematicians do and who they are. The exposition is clear and full of wit and humor...\"" - The New Yorker (1983 National Book Award edition) Mathematics has been a human activity for thousands of years. Yet only a few people from the vast population of users are professional mathematicians, who create, teach, foster, and apply it in a variety of situations. The authors of this book believe that it should be possible for these professional mathematicians to explain to non-professionals what they do, what they say they are doing, and why the world should support them at it. They also believe that mathematics should be taught to non-mathematics majors in such a way as to instill an appreciation of the power and beauty of mathematics. Many people from around the world have told the authors that they have done precisely that with the first edition and they have encouraged publication of this revised edition complete with exercises for helping students to demonstrate their understanding. This edition of the book should find a new generation of general readers and students who would like to know what mathematics is all about. It will prove invaluable as a course text for a general mathematics appreciation course, one in which the student can combine an appreciation for the esthetics with some satisfying and revealing applications. The text is ideal for 1) a GE course for Liberal Arts students 2) a Capstone course for perspective teachers 3) a writing course for mathematics teachers. A wealth of customizable online course materials for the book can be obtained from Elena Anne Marchisotto (elena.marchisotto@csun.edu) upon request.","This edition of the book should find a new generation of general readers and students who would like to know what mathematics is all about and will prove invaluable as a course text for a general mathematics appreciation course, one in which the student can combine an appreciation for the esthetics with some satisfying and revealing applications."
"Situated Cognition and the Culture of Learning","https://scispace.com/paper/situated-cognition-and-the-culture-of-learning-3pg6ch1r4f","1989","Journal Article","Educational Researcher","John Seely Brown
Allan Collins
Paul Duguid","10.3102/0013189X018001032","","Many teaching practices implicitly assume that conceptual knowledge can be abstracted from the situations in which it is learned and used. This article argues that this assumption inevitably limits the effectiveness of such practices. Drawing on recent research into cognition as it is manifest in everyday activity, the authors argue that knowledge is situated, being in part a product of the activity, context, and culture in which it is developed and used. They discuss how this view of knowledge affects our understanding of learning, and they note that conventional schooling too often ignores the influence of school culture on what is learned in school. As an alternative to conventional practices, they propose cognitive apprenticeship (Collins, Brown, & Newman, in press), which honors the situated nature of knowledge. They examine two examples of mathematics instruction that exhibit certain key features of this approach to teaching.","Collins, Brown, and Newman as mentioned in this paper argue that knowledge is situated, being in part a product of the activity, context, and culture in which it is developed and used, and propose cognitive apprenticeship as an alternative to conventional practices."
"A Beginning Teacher's View of Problem Solving.","https://scispace.com/paper/a-beginning-teacher-s-view-of-problem-solving-2g9ab6x889","1985","Journal Article","Journal for Research in Mathematics Education","Thomas J. Cooney","10.5951/JRESEMATHEDUC.16.5.0324","","This study focused on a mathematics teacher and examined his beliefs about problem solving while he was finishing his preservice training and during his first 3 months of teaching. His beliefs were revealed through interviews in which he responded to various types of open-ended situations, through his reaction to a report written about his beliefs, and through observations of his teaching and subsequent interviews. Analyses revealed conflicts between his idealism and the reality of classroom practice, as his students were not always receptive to his problem-solving teaching strategy.","In this paper, a mathematics teacher examined his beliefs about problem solving while he was finishing his preservice training and during his first 3 months of teaching, revealing conflicts between his idealism and the reality of classroom practice, as students were not always receptive to his problem-solving teaching strategy."
"Cognitive Psychology and Its Implications","https://scispace.com/paper/cognitive-psychology-and-its-implications-1flebnvvnk","2014","Book","","John R. Anderson","","","A fully updated, systematic introduction to the theoretical and experimental foundations of higher mental processes. Avoiding technical jargon, John R. Anderson constructs a coherent picture of human cognition, relating neural functions to mental processes, perception to abstraction, representation to meaning, knowledge to skill, language to thought, and adult cognition to child development.","Anderson as mentioned in this paper constructs a coherent picture of human cognition, relating neural functions to mental processes, perception to abstraction, representation to meaning, knowledge to skill, language to thought, and adult cognition to child development."
