"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"In search of competition between lexical and grammatical growth.","https://scispace.com/paper/in-search-of-competition-between-lexical-and-grammatical-244l1mz7j5","2009","Journal Article","Psychological Reports","Harrie Boelens
Jeroen Mollers","10.2466/PR0.104.2.407-417","","Relations between lexical and grammatical growth were examined in a Dutch boy from age 1:0 to 2:6. The overall shape of lexical growth was a pronounced increase in rate until age 2:2 approximately and a slight decrease in rate thereafter. Two measures of early grammatical growth (the percentage of obligatory plural contexts in which plurals were used and mean length of utterances) reached high levels well before the age of 2:2. Further, there was no evidence for a relation between the change from one week to the next in the number of new words and the change from one week to the next on the two grammatical measures. Thus, no evidence for competition between lexical and grammatical growth was found on both a larger and a smaller time scale. Patterns of lexical and grammatical growth suggestive of competition may be especially likely when the productive lexicon grows very fast initially.","Patterns of lexical and grammatical growth suggestive of competition may be especially likely when the productive lexicon grows very fast initially."
"Developmental and Stylistic Variation in the Composition of Early Vocabulary.","https://scispace.com/paper/developmental-and-stylistic-variation-in-the-composition-of-380radnt2o","1994","Journal Article","Journal of Child Language","Elizabeth Bates
Virginia A. Marchman
Donna J. Thal
Larry Fenson
Philip S. Dale
J. Steven Reznick
Judy Reilly
Jeff Hartung","10.1017/S0305000900008680","","Results are reported for stylistic and developmental aspects of vocabulary composition for 1,803 children and families who participated in the tri-city norming of a new parental report instrument, the MacArthur Communicative Development Inventories. We replicate previous studies with small samples showing extensive variation in use of common nouns between age 0; 8 and 1;4 (i.e. 'referential style'), and in the proportion of vocabulary made up of closed-class words between 1;4 and 2;6 (i.e. 'analytic' vs. 'holistic' style). However, both style dimensions are confounded with developmental changes in the composition of the lexicon, including three 'waves' of reorganization: (I) an initial increase in percentage of common nouns from 0 to 100 words, followed by a proportional decrease; (2) a slow linear increase in verbs and other predicates, with the greatest gains taking place between 100 and 400 words; (3) no proportional development at all in the use of closed-class vocabulary between 0 and 400 words, followed by a sharp increase from 400 to 680 words. When developmental changes in noun use are controlled, referential-style measures do not show the association with developmental precocity reported in previous studies, although these scores are related to maternal education. By contrast, when developmental changes in grammatical function word use are controlled, high closed-class scores are associated with a slower rate of development. We suggest that younger children may have less perceptual acuity and/or shorter memory spans than older children with the same vocabulary size. As a result, the younger children may ignore unstressed function words until a later point in development while the older children tend to reproduce perceptual details that they do not yet understand. Longitudinal data show that early use of function words (under 400 words) is not related to grammatical levels after the 400-word point, confirming our 'stylistic' interpretation of early closed-class usage. We close with recommendations for the unconfounding of stylistic and developmental variance in research on individual differences in language development, and provide look-up tables that will permit other investigators to pull these aspects apart.","Longitudinal data show that early use of function words (under 400 words) is not related to grammatical levels after the 400-word point, confirming the 'stylistic' interpretation of early closed-class usage."
"Toward a “standard Model” of Early Language Learning","https://scispace.com/paper/toward-a-standard-model-of-early-language-learning-7xppetuhhvp3","","","","George Kachergis
Virginia A. Marchman
Michael C. Frank","10.1177/09637214211057836","","A standard model is a theoretical framework that synthesizes observables into a quantitative consensus. Have researchers made progress toward this kind of synthesis for children’s early language learning? Many computational models of early vocabulary learning assume that individual words are learned through an accumulation of environmental input. This assumption is also implicit in empirical work that emphasizes links between language input and learning outcomes. However, models have typically focused on average performance, whereas empirical work has focused on variability. To model individual variability, we relate the tradition of research on accumulator models to item response theory models from psychometrics. This formal connection reveals that currently available data sets do not allow researchers to test the resulting models fully, illustrating a critical need for theory to contribute to shaping new data collection and creating and testing an eventual standard model.","Researchers have made progress toward a standard model of early language learning, but current data limitations hinder full testing, highlighting a need for theory-driven data collection to create and validate a quantitative consensus framework."
"Vocabulary and automatic attention: The relation between novel words and gaze dynamics in noun generalization","https://scispace.com/paper/vocabulary-and-automatic-attention-the-relation-between-t242l8tn","2023","Journal Article","Developmental Science","Larissa K. Samuelson","10.1111/desc.13399","","Words direct visual attention in infants, children, and adults, presumably by activating representations of referents that then direct attention to matching stimuli in the visual scene. Novel, unknown, words have also been shown to direct attention, likely via the activation of more general representations of naming events. To examine the critical issue of how novel words and visual attention interact to support word learning we coded frame-by-frame the gaze of 17- to 31-month-old children (n = 66, 38 females) while generalizing novel nouns. We replicate prior findings of more attention to shape when generalizing novel nouns, and a relation to vocabulary development. However, we also find that following a naming event, children who produce fewer nouns take longer to look at the objects they eventually select and make more transitions between objects before making a generalization decision. Children who produce more nouns look to the objects they eventually select more quickly following the naming event and make fewer looking transitions. We discuss these findings in the context of prior proposals regarding children's few-shot category learning, and a developmental cascade of multiple perceptual, cognitive, and word-learning processes that may operate in cases of both typical development and language delay. RESEARCH HIGHLIGHTS: Examined how novel words guide visual attention by coding frame-by-frame where children look when asked to generalize novel names. Gaze patterns differed with vocabulary size: children with smaller vocabularies attended to generalization targets more slowly and did more comparison than those with larger vocabularies. Demonstrates a relationship between vocabulary size and attention to object properties during naming. This work has implications for looking-based tests of early cognition, and our understanding of children's few-shot category learning. ","This paper found that children who produce fewer nouns look at the objects they eventually select and make more transitions between objects before making a generalization decision, while those who produce more nouns focus more on the objects to eventually select more quickly following a naming event and make fewer looking transitions."
"Estimating the latent number of types in growing corpora with reduced cost-accuracy trade-off.","https://scispace.com/paper/estimating-the-latent-number-of-types-in-growing-corpora-1quiqa939u","2016","Journal Article","Journal of Child Language","Shohei Hidaka","10.1017/S0305000915000094","","The number of unique words in children's speech is one of most basic statistics indicating their language development. We may, however, face difficulties when trying to accurately evaluate the number of unique words in a child's growing corpus over time with a limited sample size. This study proposes a novel technique to estimate the latent number of words from a series of words uttered by children. This technique utilizes statistical properties of the number of types as a function of the number of sampled tokens. We tested the practical effectiveness of the proposed method in the empirical data analysis of the cross-sectional and longitudinal samples. The converging empirical evidence indicates that the proposed estimator improves the accuracy of vocabulary size estimation over a set of existing estimators. Utilizing this efficient estimator, we propose a new sampling scheme for vocabulary assessment that has lower cost and higher accuracy compared to existing methods.","This study proposes a novel technique to estimate the latent number of words from a series of words uttered by children, and proposes a new sampling scheme for vocabulary assessment that has lower cost and higher accuracy compared to existing methods."
"Do early noun and verb production predict later verb and noun production? Theoretical implications.","https://scispace.com/paper/do-early-noun-and-verb-production-predict-later-verb-and-4tgqoei7lx","2017","Journal Article","Journal of Child Language","Emiddia Longobardi
Pietro Spataro
Diane L. Putnick
Marc H. Bornstein","10.1017/S0305000916000064","","Many studies have addressed the question of the relative dominance of nouns over verbs in the productive vocabularies of children in the second year of life. Surprisingly, cross-class (noun-to-verb and verb-to-noun) relations between these two lexical categories have seldom been investigated. The present longitudinal study employed observational and parent-report data obtained from thirty mother-child dyads at 1;4, 1;8, and 2;0 to examine this issue. Both the Natural Partitions/Relational Relativity (NP/RR) hypothesis and the Emergentist Coalition Model (ECM) predict that having an initial repertoire of common nouns should facilitate the acquisition of novel verbs, whereas only the ECM suggests that children exploit the syntactic and semantic constraints of known verbs to infer the meaning of novel nouns. In line with the ECM, hierarchical regression analyses indicated that the percentages of nouns produced by children at 1;4 predicted later verbs at 1;8, whereas the percentages of verbs produced at 1;8 predicted later nouns at 2;0.","Observational and parent-report data obtained from thirty mother–child dyads at 1;4, 1;8, and 2;0 to examine cross-class relations between nouns and verbs indicated the relative dominance of nouns over verbs in the productive vocabularies of children in the second year of life."
"The CDI in two longitudinal datasets: Methods and differences across decades","https://scispace.com/paper/the-cdi-in-two-longitudinal-datasets-methods-and-differences-10k34rxghf","2024","Preprint","","Trevor K. M. Day
Arielle Borovsky
Donna Thal
Jed T. Elison","10.31234/osf.io/rwhcy","","The MacArthur-Bates Communicative Development Inventories (CDI) are widely used, parent-report instruments of language acquisition. Here, we focus on the word-inventory sections of the instruments, and show two different approaches to modeling CDI data, based on real-world need. First, we show that Words &amp;amp; Gestures data collected out-of-range can be robustly adjusted to Words &amp;amp; Sentences Scores. Second, we demonstrate a novel application of Gompertz growth curves to longitudinal CDI data, especially when the same timepoints were not collected between individuals (i.e., an accelerated longitudinal design). Gompertz curves provide a “growth rate” parameter that can be used to summarize vocabulary development. We compare these parameters between healthy developing children in two longitudinal cohorts, as well as a cohort of children with developmental diagnoses, who we show to have lower growth rates. We hope these analyses and results inform future work. ","The CDI word-inventory sections can be robustly adjusted for out-of-range data and modeled using Gompertz growth curves. Growth rate parameters from these curves can be used to compare vocabulary development between individuals and groups."
"Automatic detection and quantification of growth spurts.","https://scispace.com/paper/automatic-detection-and-quantification-of-growth-spurts-1tu5jiy7hw","2010","Journal Article","Behavior Research Methods","Frédéric Dandurand
Thomas R. Shultz","10.3758/BRM.42.3.809","","Growth phenomena are often nonlinear and may contain spurts, characterized by a local increase in the rate of growth. Because measurement error and noise may produce apparent spurts, it is important to identify systematic and reliable spurts. We describe a system, automatic maxima detection (AMD), for statistically identifying significant spurts and computing (1) point of maximal velocity, when the spurt was most intense; (2) start, when the spurt started; (3) amplitude, the intensity of the spurt; and (4) duration, the length of the spurt. We also introduce a software implementation of AMD in MATLAB. In growth of height data, AMD showed a reliable pubertal growth spurt for most children and a reliable prepubertal spurt for some children. In simulated growth of vocabulary, AMD showed a large global spurt and several minispurts. In real vocabulary growth, AMD showed a few spurts. Advantages of AMD include improvements in objectivity, automaticity, quantification, and comprehensiveness.","A system, automatic maxima detection (AMD), for statistically identifying significant spurts and computing a point of maximal velocity, when the spurt was most intense, and duration, the length of theSpurt is described, which shows improvements in objectivity, automaticity, quantification, and comprehensiveness."
"The Influence of Adult Input on Children's Early Word Learning:A Case Study of A Mandarin-Speaking Child","https://scispace.com/paper/the-influence-of-adult-input-on-children-s-early-word-2fofv5zfcq","2009","Journal Article","Acta Psychologica Sinica","Jie Chen
Pei-pei Setoh
Xiangzhi Meng
Twila Tardif","10.3724/SP.J.1041.2009.00715","","Children's early vocabulary development is not linear.At the outset,word learning is very slow.However,by approximately 19 months of age,children's vocabulary rapidly expands,entering the phase of the ""word spurt"".The phenomenon of breaking word learning's bottleneck can be interpreted by several theories,such as constraint theories which emphasize innate cognitive biases,socialpragmatic theories emphasizing the role of social and linguistic environments,and associationistic views involving computations of the co-occurrence between words and their referents in naturalistic speech.However,these theories cannot account by themselves for cross-linguistic differences or similarities across children,despite differences in input-didn't really understand this parenthesis.Although the updated theory of Emergentist Coalition Model(ECM) combines early use of attentional cues with later use of social inputs and linguistic cues,it cannot account for the consistent cross-linguistic differences appearing at the very beginning of children's vocabulary which correspond to linguistic features and social inputs.Such differences,particularly the composition of verbs and nouns in children's early vocabularies,challenge the theory of ""Noun bias"" supported by many researchers.Thus,whether children can use social and linguistic cues in the beginning of word development,noun and verb acquisition in particular,is of interest for this paper.Although there are many studies investigating the relationship between adult's speech input and children's early language development,they do not reveal the regularity and developmental changes both in caregivers' input and infants' word acquisition.Furthermore,none of these studies focused on Chinese,a language with vastly different linguistic properties from English.A longitudinal case method with a Chinese female infant was used.Tracking the infant from 6-to 20-months of age,the researcher visited the family monthly for one-hour recordings of naturalistic interaction.The naturalistic data on caregiver-to-child input were transcribed into CHAT format and analyzed with the CLAN program,counting the frequency of nouns and verbs and word position in caregivers' utterances.Then,the development of child's comprehension and production vocabulary was assessed by both observed data and the Putonghua version of the MacArthur Communicative Development Inventory(PCDI).Seven spontaneous speech samples(6,10,11,13,15,17 and 19 months) were analyzed.In addition,the study also focused on the roles of specific contexts of caregivers' input,selecting three contexts in the naturalistic data(booking reading,feeding and playing).The caregivers were found to produce more verb than noun in tokens and types in most samples,although the difference was significant only for tokens.The position in caregivers' utterances was favorable for verbs,but not nouns,with many verbs dropping subjects and objects.However,the ratio of verbs and nouns varied with specific context.The frequency of nouns was higher relative to verbs in the booking reading context,but verbs were more frequent in both the feeding and playing contexts.In addition,more verbs than nouns were found in the child's early vocabulary,regardless of how they were measured and this corresponded to the caregivers' speech input.Specifically,the child could both comprehend and produce higher ratios of verbs than nouns with the CDI measure,and produced a larger cumulative number of verbs than nouns up to the 15 month.Children can use linguistic input in their vocabulary acquisition even at the very beginning of language development.The dominance of verbs in Chinese adults' speech influences children's early word composition,with more verbs than nouns in both comprehension and production.This result again supports the view of cross-linguistic differences but not the ""noun bias"" in children's early vocabularies.In addition,the frequency of verbs and nouns varies with specific context.","In this article, a longitudinal case method with a Chinese female infant was used to track the development of child's comprehension and production vocabulary was assessed by both observed data and the Putonghua version of the MacArthur Communicative Development Inventory (PCDI)."
"The Comprehension Boost in Early Word Learning: Older Infants Are Better Learners","https://scispace.com/paper/the-comprehension-boost-in-early-word-learning-older-infants-zplugq10qr","2020","Journal Article","Child Development Perspectives","Elika Bergelson","10.1111/CDEP.12373","","Recent research has revealed that infants begin understanding words at around 6 months. After that, infants' comprehension vocabulary increases gradually in a linear way over 8-18 months, according to data from parental checklists. In contrast, infants' word comprehension improves robustly, qualitatively, and in a nonlinear way just after their first birthday, according to data from studies on spoken word comprehension. In this review, I integrate observational and experimental data to explain these divergent results. I argue that infants' comprehension boost is not well-explained by changes in their language input for common words, but rather by proposing that they learn to take better advantage of relatively stable input data. Next, I propose potentially complementary theoretical accounts of what makes older infants better learners. Finally, I suggest how the research community can expand our empirical base in this understudied area, and why doing so will inform our knowledge about child development.","It is argued that infants' comprehension boost is not well-explained by changes in their language input for common words, but rather by proposing that they learn to take better advantage of relatively stable input data."
