"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Testing theories of the vocabulary spurt with monolingual and bilingual infants.","https://scispace.com/paper/testing-theories-of-the-vocabulary-spurt-with-monolingual-39usdbq9c3","2024","Journal Article","Developmental Psychology","Miranda Gómez Díaz
NULL AUTHOR_ID
Rachel Ka Ying Tsui
NULL AUTHOR_ID","10.1037/dev0001777","","Sometime before their second birthday, many children have a period of rapid expressive vocabulary growth called the vocabulary spurt. Theories of the underlying mechanisms differ: Accumulator models emphasize the accumulation of experience with words over time to yield a spurtlike pattern, while cognitive models attribute the spurt to cognitive changes. To test these theories, English-French monolingual and bilingual children with different exposure to each language were studied. Dense, longitudinal data were analyzed from 45 infants aged 16-30 months, whose expressive vocabulary was measured on a total of 617 occasions in English and/or French. Single-language (English and/or French), concept (number of concepts lexicalized across both languages), and word (sum of both languages) vocabulary scores were computed. Infants' exposure to each language and their exposure balance were measured using a language exposure questionnaire. Logistic curves were fitted to each infant's data to estimate the timing (midpoint) and steepness (slope) of the vocabulary spurt in single-language, concept, and word vocabularies. Seventy-six percent of infants showed a spurt in at least one vocabulary type, and bilinguals were less likely to show one in their nondominant than their dominant language. For single-language vocabulary, infants with more exposure to a language had earlier spurts. For combined vocabularies (concept and word), monolinguals and unbalanced bilinguals had earlier and steeper spurts than balanced bilinguals. Results better support the predictions of accumulator models than cognitive theories and show that infants follow different vocabulary acquisition trajectories based on their language background. (PsycInfo Database Record (c) 2024 APA, all rights reserved). ","This study examines the vocabulary spurt in monolingual and bilingual infants, finding that accumulator models better explain the phenomenon, with exposure to language and language balance influencing the timing and steepness of vocabulary growth."
"Early, typical, and late talkers: an exploratory study on predictors of language development in the first two years of life","https://scispace.com/paper/early-typical-and-late-talkers-an-exploratory-study-on-473ffjnqrx","2024","Journal Article","F1000Research","Maria Grazia Logrieco
Ilaria Nicolì
Maria Spinelli
Francesca Lionetti
Giulio D’Urso
Giulia Carlotta Guerra
Valeria D'Aloia
Giusi Antonia Toto
Mirco Fasolo","10.12688/f1000research.145763.1","","<ns3:p>Background The consensus in scientific literature is that each child undergoes a unique linguistic development path, albeit with shared developmental stages. Some children excel or lag behind their peers in language skills. Consequently, a key challenge in language acquisition research is pinpointing factors influencing individual differences in language development. Methods We observed children longitudinally from 3 to 24 months of life to explore early predictors of vocabulary size. Based on the productive vocabulary size of children at 24 months, 30 children met our sample selection criteria: 10 late talkers and 10 early talkers, and we compared them with 10 typical talkers. We evaluated interactive behaviors at 3, 6, 9 and 12 months, considering vocal production, gaze at mother’s face, and gestural production during mother-child interactions, and we considered mothers’ report of children’s actions and gestures and receptive-vocabulary size at 15 and 18 months. Results Results indicated early precursors of language outcome at 24 months identifiable as early as 3 months in vocal productions, 6 months for gaze at mother’s face and 12 months for gestural productions. Conclusions Our research highlights both theoretical and practical implications. Theoretically, identifying the early indicators of belonging to the group of late or early talkers underscores the significant role of this developmental period for future studies. On a practical note, our findings emphasize the crucial need for early investigations to identify predictors of vocabulary development before the typical age at which lexical delay is identified.</ns3:p> ","This study explores predictors of language development in the first two years of life, identifying early precursors of vocabulary size at 3, 6, and 12 months, highlighting the significance of early investigation for late or early talkers."
"The development of early phonological networks: An analysis of individual longitudinal vocabulary growth","https://scispace.com/paper/the-development-of-early-phonological-networks-an-analysis-3o6xqtsl1u","2024","Preprint","","Judith Kalinowski
Laura Hansel
Michaela Vystrčilová
Alexander S. Ecker
Nivedita Mani","10.31234/osf.io/xd5j3","","While much work has emphasized the role of the environment in language learning, research equally reports consistent effects of the child’s knowledge, in particular, the words known to individual children, in steering further lexical development. Much of this work is based on cross-sectional data, assuming that the words typically known to children at n months predict the words typically known to children at n+x months. Given acknowledged variability in the number of words known to individual children at different ages, a more conclusive analysis of this issue requires examination of individual differences in the words learned by individual children across development, i.e., using longitudinal data. In the current study, using longitudinal vocabulary data from children learning Norwegian, we ask whether the phonological connectivity of a word to words that the child already knows or words in the child’s environment predicts the likelihood of the child learning that word across development. We compare three different measures of phonological connectivity that have been used in the literature to-date. The results suggest that the early vocabulary grows predominantly in a rich-get-richer manner, where word learning is predicted by the connectivity of a word to already known words. However, word learning is, to a lesser extent, also influenced by the connectivity of a word to words in the child’s linguistic environment. Our results highlight the promise of using longitudinal data to better understand the factors that influence vocabulary development and the insights to be gained from analyzing different measures of the same construct. ","The development of early phonological networks is predominantly driven by the connectivity of a word to already known words."
"The Development of Early Phonological Networks: An Analysis of Individual Longitudinal Vocabulary Growth","https://scispace.com/paper/the-development-of-early-phonological-networks-an-analysis-i7f1r697d52x","2025","Journal Article","Cognitive Science","Judith Kalinowski
Laura Hansel
Michaela Vystrčilová
Alexander S. Ecker
Nivedita Mani","10.1111/cogs.70109","","Abstract While much work has emphasized the role of the environment in language learning, research equally reports consistent effects of the child's knowledge, in particular, the words known to individual children, in steering further lexical development. Much of this work is based on cross‐sectional data, assuming that the words typically known to children at n months predict the words typically known to children at n +x months. Given acknowledged variability in the number of words known to individual children at different ages, a more conclusive analysis of this issue requires examination of individual differences in the words learned by individual children across development, that is, using longitudinal data. In the current study, using longitudinal vocabulary data from children learning Norwegian, we ask whether the phonological connectivity of a word to words that the child already knows or words in the child's environment predicts the likelihood of the child learning that word across development. The results suggest that the early vocabulary grows predominantly in a rich‐get‐richer manner, where word learning is predicted by the connectivity of a word to already known words. However, word learning is, to a lesser extent, also influenced by the connectivity of a word to words in the child's linguistic environment. Our results highlight the promise of using longitudinal data to better understand the factors that influence vocabulary development. ","This study examines individual longitudinal vocabulary growth in Norwegian children, finding that early vocabulary development is primarily driven by phonological connectivity to already known words, with environmental influences playing a secondary role."
"Examining Early Vocabulary Growth Trajectories in Late Talkers in a Low‐Income Longitudinal Sample","https://scispace.com/paper/examining-early-vocabulary-growth-trajectories-in-late-desa74sta3o8","2025","Journal Article","Infancy","Britt Singletary
Hui Jiang
Winifred Graham Wilberforce
Daniela Avelar
Kristina Strother‐Garcia
Laura M. Justice","10.1111/infa.70036","","Studies show children in low-income households have heightened risk of developing as late talkers (LTs). Scholars have attributed the cause of these differences to variability in child-directed and observed language input, parenting quality, attendance at childcare facilities, or some combination therein, as briefly reviewed. However, this study focuses on a sample entirely of families experiencing low income to explore differences within this group. This study explores growth trajectories for child vocabulary production from age 8-30 months in a racially-diverse low-income longitudinal sample in the U.S. (n = 199). Using multi-level multiple group models, we explore differences in growth trajectories for LTs and non-LT peers (identified: age 22-30 months) and identify the age at which vocabulary sizes begin to significantly differ, controlling for the effects of child age-at-test, sex, primary home language, and mother's education. Results show distinctly different trajectories, such that: (1) LTs experience relatively flat growth resulting in significantly smaller vocabulary sizes over time and (2) divergence occurs at ∼11 months. Future research is needed to fully understand how and why LT trajectories begin to differ so significantly at this age, and how we can better intervene earlier to reduce the likelihood of LT. ","This study examines vocabulary growth in 199 low-income US children from 8-30 months, finding late talkers experience flat growth and significantly smaller vocabulary sizes, diverging from non-LT peers at approximately 11 months."
"Testing Theories of the Vocabulary Spurt with Monolingual and Bilingual Infants","https://scispace.com/paper/testing-theories-of-the-vocabulary-spurt-with-monolingual-tq5sccyq8z","2023","Preprint","","Miranda Gómez Díaz
Laia Fibla
Rachel Ka Ying Tsui
Krista Byers‐Heinlein","10.31234/osf.io/dhpm3","","Sometime before their second birthday, many children have a period of rapid expressive vocabulary growth called the vocabulary spurt. Theories of the underlying mechanisms differ: accumulator models emphasize the accumulation of experience with words over time to yield a spurt-like pattern, while cognitive models attribute the spurt to cognitive changes. To test these theories, English–French monolingual and bilingual children with different exposure to each language were studied. Dense, longitudinal data was analyzed from 45 infants aged 16-30 months, whose expressive vocabulary was measured on a total of 617 occasions in English and/or French. Single-language (English and/or French), concept (number of concepts lexicalized across both languages), and word (sum of both languages) vocabulary scores were computed. Infants’ exposure to each language and their exposure balance were measured using a language exposure questionnaire. Logistic curves were fitted to each infant’s data to estimate the timing (midpoint) and steepness (slope) of the vocabulary spurt in single-language, concept, and word vocabularies. 76% of infants showed a spurt in at least one vocabulary type, and bilinguals were less likely to show one in their non-dominant than their dominant language. For single-language vocabulary, infants with more exposure to a language had earlier spurts. For combined vocabularies (concept and word), monolinguals and unbalanced bilinguals had earlier and steeper spurts than balanced bilinguals. Results better support the predictions of accumulator models than cognitive theories, and show that infants follow different vocabulary acquisition trajectories based on their language background. ","The vocabulary spurt is primarily driven by the accumulation of experience with words, and bilingual infants show a delay in the spurt in their non-dominant language."
"Vocabulary Development in Italian Children: A Longitudinal Evaluation of Quantitative and Qualitative Aspects.","https://scispace.com/paper/vocabulary-development-in-italian-children-a-longitudinal-4bpab56hys","2001","Journal Article","Journal of Child Language","Laura D'Odorico
Stefania Carubbi
Nicoletta Salerni
Vincenzo Calvo","10.1017/S0305000901004676","","In this study vocabulary development of a sample of 42 Italian children was evaluated through monthly administration of the Italian version of the CDI. Data collection started at 1;0-1;1 for 32 children and at 1;3-1;4 for the remaining subjects and continued until children's vocabulary reached 200 words. At fixed stages of vocabulary size (50, 100 and 200 words), individual differences in percentile scores and vocabulary composition were examined. Individual growth curves were analysed in order to verify the presence of a vocabulary spurt and the type of lexical items which contributed most to rapid acceleration in vocabulary growth. Stylistic differences in vocabulary composition were examined regarding the 'referential-expressive' distinction, controlling vocabulary size. Data have shown that general trends in vocabulary development are quite similar to those obtained for other languages using CDI adaptations. Moreover, all children in this sample eventually exhibited a vocabulary spurt, even if some can be defined as 'late spurters'. The type of lexical items which are learned during the spurt depend on both infant vocabulary size and referential score. About 28% of infants in this sample were defined 'referential' when their vocabulary size was about 50 words, but the stylistic differences disappeared at the 100- and 200-word stages. Composition of vocabulary did not differ in relation to precocity in reaching different stages of vocabulary development. The only exception was that infants who reached the 50-word stage first also had a vocabulary with a lower proportion of function words.","Data have shown that general trends in vocabulary development are quite similar to those obtained for other languages using CDI adaptations and all children in this sample eventually exhibited a vocabulary spurt, even if some can be defined as ‘late spurters’."
"Early lexical development in German: a study on vocabulary growth and vocabulary composition during the second and third year of life","https://scispace.com/paper/early-lexical-development-in-german-a-study-on-vocabulary-365h9wnrin","2002","Journal Article","Journal of Child Language","Christina Kauschke
C. Hofmeister","10.1017/S0305000902005330","","This paper focuses on aspects of early lexical acquisition in German. There have been conflicting results in the literature concerning both the pattern of vocabulary growth and the composition of the early lexicon. Our study describes the development of various categories of words and questions the preponderance of nouns in spontaneous speech. 32 children were studied longitudinally through recordings made at age 1;1, 1;3, 1;9 and 3;0. The following properties of the data were investigated: vocabulary size in relation to age, frequency of word use, and distribution of word categories. The results show that use of both types and tokens increases with time. A trend analysis indicates an exponential increase in vocabulary production in the second year, followed by a further expansion. This vocabulary spurt-like pattern can be observed in the use of word types and tokens. The findings in regard to vocabulary composition illustrate the dynamics present in the development of word categories. In the beginning, children use mostly relational words, personal-social words and some onomatopoeic terms. These categories are gradually complemented with nouns, verbs, function words and other words so that we see a balanced lexicon by 3;0. Trend analyses clarify characteristic developmental patterns in regard to certain word categories. Our spontaneous speech data does not support a strong noun-bias hypothesis.","The study describes the development of various categories of words and questions the preponderance of nouns in spontaneous speech, and trend analyses clarify characteristic developmental patterns in regard to certain word categories."
"Vocabulary growth in late talkers: lexical development from 2;0 to 3;0","https://scispace.com/paper/vocabulary-growth-in-late-talkers-lexical-development-from-2-kq21l3ej87","2000","Journal Article","Journal of Child Language","Leslie Rescorla
Jennifer Mirak
Leher Singh","10.1017/S030500090000413X","","Vocabulary growth from 2;0 to 3;0 was studied in 28 late talkers using expressive vocabulary inventories reported bimonthly on the Language Development Survey (LDS). Group milestones were 18 words at 2;0, 89 words at 2;6, and 195 words at 3;0. A sub-group of 11 children (Group 1) showed a rapid vocabulary spurt between 2;2 and 2;8, reached the 150-180 word mark by 2;6, and attained the LDS ceiling of about 300 words by 2;10. In contrast, the 17 children in Group 2 still had a mean vocabulary of fewer than 30 words at 2;6, had less of a vocabulary spurt when they did start acquiring words, and attained the 150-180 vocabulary mark at 3;0. All 3;0 language outcome measures were significantly predicted by LDS vocabulary size from 2;2 to 2;4.","All 3;0 language outcome measures were significantly predicted by LDS vocabulary size from 2;2 to 2;4."
"Individual Differences in Lexical Processing at 18 Months Predict Vocabulary Growth in Typically Developing and Late-Talking Toddlers.","https://scispace.com/paper/individual-differences-in-lexical-processing-at-18-months-2yt6dh5m01","2012","Journal Article","Child Development","Anne Fernald
Virginia A. Marchman","10.1111/J.1467-8624.2011.01692.X","","Using online measures of familiar word recognition in the looking-while-listening procedure, this prospective longitudinal study revealed robust links between processing efficiency and vocabulary growth from 18 to 30 months in children classified as typically developing (n = 46) and as ""late talkers"" (n = 36) at 18 months. Those late talkers who were more efficient in word recognition at 18 months were also more likely to ""bloom,"" showing more accelerated vocabulary growth over the following year, compared with late talkers less efficient in early speech processing. Such findings support the emerging view that early differences in processing efficiency evident in infancy have cascading consequences for later learning and may be continuous with individual differences in language proficiency observed in older children and adults.","Findings support the emerging view that early differences in processing efficiency evident in infancy have cascading consequences for later learning and may be continuous with individual differences in language proficiency observed in older children and adults."
