"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"In search of competition between lexical and grammatical growth.","https://scispace.com/paper/in-search-of-competition-between-lexical-and-grammatical-244l1mz7j5","2009","Journal Article","Psychological Reports","Harrie Boelens
Jeroen Mollers","10.2466/PR0.104.2.407-417","","Relations between lexical and grammatical growth were examined in a Dutch boy from age 1:0 to 2:6. The overall shape of lexical growth was a pronounced increase in rate until age 2:2 approximately and a slight decrease in rate thereafter. Two measures of early grammatical growth (the percentage of obligatory plural contexts in which plurals were used and mean length of utterances) reached high levels well before the age of 2:2. Further, there was no evidence for a relation between the change from one week to the next in the number of new words and the change from one week to the next on the two grammatical measures. Thus, no evidence for competition between lexical and grammatical growth was found on both a larger and a smaller time scale. Patterns of lexical and grammatical growth suggestive of competition may be especially likely when the productive lexicon grows very fast initially.","Patterns of lexical and grammatical growth suggestive of competition may be especially likely when the productive lexicon grows very fast initially."
"Longitudinal Analysis of Early Semantic Networks Preferential Attachment or Preferential Acquisition","https://scispace.com/paper/longitudinal-analysis-of-early-semantic-networks-2zahtd0ytl","2009","Journal Article","Psychological Science","Thomas T. Hills
Mounir Maouene
Josita Maouene
Adam Sheya
Linda B. Smith","10.1111/J.1467-9280.2009.02365.X","","Analyses of adult semantic networks suggest a learning mechanism involving preferential attachment: A word is more likely to enter the lexicon the more connected the known words to which it is related. We introduce and test two alternative growth principles: preferential acquisition—words enter the lexicon not because they are related to well-connected words, but because they connect well to other words in the learning environment—and the lure of the associates—new words are favored in proportion to their connections with known words. We tested these alternative principles using longitudinal analyses of developing networks of 130 nouns children learn prior to the age of 30 months. We tested both networks with links between words represented by features and networks with links represented by associations. The feature networks did not predict age of acquisition using any growth model. The associative networks grew by preferential acquisition, with the best model incorporating word frequency, number of phonological neighbors, and connectedness of the new word to words in the learning environment, as operationalized by connectedness to words typically acquired by the age of 30 months.","For instance, this article showed that a word is more likely to enter the lexicon the more connected the known words to which it is related, and the lure of the associates is favored in proportion to their connections with known words."
"Developmental and Stylistic Variation in the Composition of Early Vocabulary.","https://scispace.com/paper/developmental-and-stylistic-variation-in-the-composition-of-380radnt2o","1994","Journal Article","Journal of Child Language","Elizabeth Bates
Virginia A. Marchman
Donna J. Thal
Larry Fenson
Philip S. Dale
J. Steven Reznick
Judy Reilly
Jeff Hartung","10.1017/S0305000900008680","","Results are reported for stylistic and developmental aspects of vocabulary composition for 1,803 children and families who participated in the tri-city norming of a new parental report instrument, the MacArthur Communicative Development Inventories. We replicate previous studies with small samples showing extensive variation in use of common nouns between age 0; 8 and 1;4 (i.e. 'referential style'), and in the proportion of vocabulary made up of closed-class words between 1;4 and 2;6 (i.e. 'analytic' vs. 'holistic' style). However, both style dimensions are confounded with developmental changes in the composition of the lexicon, including three 'waves' of reorganization: (I) an initial increase in percentage of common nouns from 0 to 100 words, followed by a proportional decrease; (2) a slow linear increase in verbs and other predicates, with the greatest gains taking place between 100 and 400 words; (3) no proportional development at all in the use of closed-class vocabulary between 0 and 400 words, followed by a sharp increase from 400 to 680 words. When developmental changes in noun use are controlled, referential-style measures do not show the association with developmental precocity reported in previous studies, although these scores are related to maternal education. By contrast, when developmental changes in grammatical function word use are controlled, high closed-class scores are associated with a slower rate of development. We suggest that younger children may have less perceptual acuity and/or shorter memory spans than older children with the same vocabulary size. As a result, the younger children may ignore unstressed function words until a later point in development while the older children tend to reproduce perceptual details that they do not yet understand. Longitudinal data show that early use of function words (under 400 words) is not related to grammatical levels after the 400-word point, confirming our 'stylistic' interpretation of early closed-class usage. We close with recommendations for the unconfounding of stylistic and developmental variance in research on individual differences in language development, and provide look-up tables that will permit other investigators to pull these aspects apart.","Longitudinal data show that early use of function words (under 400 words) is not related to grammatical levels after the 400-word point, confirming the 'stylistic' interpretation of early closed-class usage."
"Does input influence uptake? Links between maternal talk, processing speed and vocabulary size in Spanish‐learning children","https://scispace.com/paper/does-input-influence-uptake-links-between-maternal-talk-26yyfcdmr7","2008","Journal Article","Developmental Science","Nereyda Hurtado
Virginia A. Marchman
Anne Fernald","10.1111/J.1467-7687.2008.00768.X","","It is well established that variation in caregivers' speech is associated with language outcomes, yet little is known about the learning principles that mediate these effects. This longitudinal study (n = 27) explores whether Spanish-learning children's early experiences with language predict efficiency in real-time comprehension and vocabulary learning. Measures of mothers' speech at 18 months were examined in relation to children's speech processing efficiency and reported vocabulary at 18 and 24 months. Children of mothers who provided more input at 18 months knew more words and were faster in word recognition at 24 months. Moreover, multiple regression analyses indicated that the influences of caregiver speech on speed of word recognition and vocabulary were largely overlapping. This study provides the first evidence that input shapes children's lexical processing efficiency and that vocabulary growth and increasing facility in spoken word comprehension work together to support the uptake of the information that rich input affords the young language learner.","This paper explored whether Spanish-learning children's early experiences with language predict efficiency in real-time comprehension and vocabulary learning and found that the influences of caregiver speech on speed of word recognition and vocabulary were largely overlapping."
"Different Classes of Words Are Learned in Different Ways","https://scispace.com/paper/different-classes-of-words-are-learned-in-different-ways-4n0ppyc1xr","2009","","","Shohei Hidaka","","","Different Classes of Words Are Learned in Different Ways Shohei Hidaka (shhidaka@indiana.edu) Department of Psychology and Brain Sciences 1101 E. Tenth Street, Bloomington, IN 47405-7007 USA Abstract What determines vocabulary growth patterns? The research presented here examines the growth pattern of words listed in the McArthur-Bates Communicative Development Inventory using a computational model. Our model characterizes vocabulary growth curves based on the sampling of learning relevant events and a threshold (the number of such events needed) for acquisition of the word. Using this general class of models, fits of vocabulary growth curves suggests a transition from one in which acquisition is primarily limited by the threshold for acquisition to one in which acquisition is primarily limited by sampling speed. Further analyses suggest that these parameters of the learning model link to meaningful psychological factors: specifically the acquisition of threshold limited (and earlier learned) words are correlated with frequency whereas sampling-speed-limited words are correlated with imageability of the word in the input. Keywords: Vocabulary Growth; Age of Acquisition; Statistical Analysis. What predicts vocabulary growth patterns? In the first years of life, children begin to comprehend and produce words. Between 8 and 16 months of age, children’s receptive vocabularies nearly double in size every two months (Dale & Fenson, 1996). From 12 to 24 months, their expressive vocabularies follow a similar path of productive growth. It has been estimated that between 18-months and 18-years of age children acquire approximately ten new words per day, or one new word every hour and a half the child is awake (Bloom, 2000). The words a child learns in this time period include nouns, verbs, determiners, preposition, however, nouns are acquired at a faster rate than other word classes. What processes underlie this efficient learning pattern? Traditionally the growth pattern was described in terms of a sudden acceleration proposed to occur when children are 18-month-old or their number of acquired words reaches 50 words. This idea of a vocabulary spurt suggests a unitary change the sudden realization that things have names (Reznick & Goldfield, 1992), the onset of categorization abilities (Gopnik &Meltzoff, 1987), or the acquisition of word learning constraints (Mervis & Bertrand, 1994). More recent accounts conceptualize the process in terms of a single or set of self-accelerating processes (van Geert, 1998). This view recognizes the fact that the age of acquisition (AoA) of any word will depend on a variety of factors: frequency, word length, phonological similarity, semantic similarity, lexical density, familiarity, imageability, and etc. Moreover, these variables tend to be correlated to each other. For example, more frequent words tend to be more familiar in general and to appear in more diverse contexts. All this makes the prediction of the age of acquisition of any single word complicated indeed. Also patterns of acquisition are subject to show considerable individual differences, which makes sense in many factors that are characteristic of individual experiences matter (see Bates, Dale, & Thal, 1995). One way to get a handle on all this is to consider vocabulary growth from a population perspective – populations of words with various properties in the learning environment and populations of children learning those words. This is the approach taken here. We examine the growth patterns of the proportion of children in large normative studies reported to “know” a word as an index of the properties of words and learners that make for earlier and later acquisition. Our approach is based on the following ideas: (1) many complexly related psychological variables relevant to age of acquisition (2) generalization of growth patterns from individual children to population level patterns and vice versa requires an integration of these relevant factors via a learning process to outcome (AoA). Considering only the correlation between relevant factors in the input (e.g., frequency, diversity, concreteness) and output (AoA) is not enough to describe a coherent picture of word learning. Thus, the larger goal of this work is to specify the triplet, not a dyad, the relation among the properties of words, the learning process, and AoA. Here we present initial results that build on recent findings by Goodman et al. (2008) of nonlinear effects of frequency on AoA, a result which clearly suggests the complexity of the processes that determine the AoA of any word. It’s Complicated There is general agreement that no simple psychological variable can account for the entire range of vocabulary growth. Although several studies show the some part of vocabulary growth seems strongly related to the input frequency of the words, the effect of frequency on vocabulary growth itself is also not simple. Goodman et al. (2008) analyzed the frequency effect on vocabulary growth in different classes of words and found that the AoA of words in the MCDI have a complicated correlational structure to frequency of words. Across the entire corpus of early learned words, there is a very small correlation between AoA and the frequency of the word in child directed speech. However, their analyses also suggest that","Hidaka et al. as discussed by the authors examined the growth pattern of words listed in the McArthur-Bates Communicative Development Inventory using a computational model and found that the acquisition of threshold limited (and earlier learned) words is correlated with frequency whereas sampling-speed limited words are correlated with imageability of the word in the input."
"Vocabulary and automatic attention: The relation between novel words and gaze dynamics in noun generalization","https://scispace.com/paper/vocabulary-and-automatic-attention-the-relation-between-t242l8tn","2023","Journal Article","Developmental Science","Larissa K. Samuelson","10.1111/desc.13399","","Words direct visual attention in infants, children, and adults, presumably by activating representations of referents that then direct attention to matching stimuli in the visual scene. Novel, unknown, words have also been shown to direct attention, likely via the activation of more general representations of naming events. To examine the critical issue of how novel words and visual attention interact to support word learning we coded frame-by-frame the gaze of 17- to 31-month-old children (n = 66, 38 females) while generalizing novel nouns. We replicate prior findings of more attention to shape when generalizing novel nouns, and a relation to vocabulary development. However, we also find that following a naming event, children who produce fewer nouns take longer to look at the objects they eventually select and make more transitions between objects before making a generalization decision. Children who produce more nouns look to the objects they eventually select more quickly following the naming event and make fewer looking transitions. We discuss these findings in the context of prior proposals regarding children's few-shot category learning, and a developmental cascade of multiple perceptual, cognitive, and word-learning processes that may operate in cases of both typical development and language delay. RESEARCH HIGHLIGHTS: Examined how novel words guide visual attention by coding frame-by-frame where children look when asked to generalize novel names. Gaze patterns differed with vocabulary size: children with smaller vocabularies attended to generalization targets more slowly and did more comparison than those with larger vocabularies. Demonstrates a relationship between vocabulary size and attention to object properties during naming. This work has implications for looking-based tests of early cognition, and our understanding of children's few-shot category learning. ","This paper found that children who produce fewer nouns look at the objects they eventually select and make more transitions between objects before making a generalization decision, while those who produce more nouns focus more on the objects to eventually select more quickly following a naming event and make fewer looking transitions."
"Estimating the latent number of types in growing corpora with reduced cost-accuracy trade-off.","https://scispace.com/paper/estimating-the-latent-number-of-types-in-growing-corpora-1quiqa939u","2016","Journal Article","Journal of Child Language","Shohei Hidaka","10.1017/S0305000915000094","","The number of unique words in children's speech is one of most basic statistics indicating their language development. We may, however, face difficulties when trying to accurately evaluate the number of unique words in a child's growing corpus over time with a limited sample size. This study proposes a novel technique to estimate the latent number of words from a series of words uttered by children. This technique utilizes statistical properties of the number of types as a function of the number of sampled tokens. We tested the practical effectiveness of the proposed method in the empirical data analysis of the cross-sectional and longitudinal samples. The converging empirical evidence indicates that the proposed estimator improves the accuracy of vocabulary size estimation over a set of existing estimators. Utilizing this efficient estimator, we propose a new sampling scheme for vocabulary assessment that has lower cost and higher accuracy compared to existing methods.","This study proposes a novel technique to estimate the latent number of words from a series of words uttered by children, and proposes a new sampling scheme for vocabulary assessment that has lower cost and higher accuracy compared to existing methods."
"Do early noun and verb production predict later verb and noun production? Theoretical implications.","https://scispace.com/paper/do-early-noun-and-verb-production-predict-later-verb-and-4tgqoei7lx","2017","Journal Article","Journal of Child Language","Emiddia Longobardi
Pietro Spataro
Diane L. Putnick
Marc H. Bornstein","10.1017/S0305000916000064","","Many studies have addressed the question of the relative dominance of nouns over verbs in the productive vocabularies of children in the second year of life. Surprisingly, cross-class (noun-to-verb and verb-to-noun) relations between these two lexical categories have seldom been investigated. The present longitudinal study employed observational and parent-report data obtained from thirty mother-child dyads at 1;4, 1;8, and 2;0 to examine this issue. Both the Natural Partitions/Relational Relativity (NP/RR) hypothesis and the Emergentist Coalition Model (ECM) predict that having an initial repertoire of common nouns should facilitate the acquisition of novel verbs, whereas only the ECM suggests that children exploit the syntactic and semantic constraints of known verbs to infer the meaning of novel nouns. In line with the ECM, hierarchical regression analyses indicated that the percentages of nouns produced by children at 1;4 predicted later verbs at 1;8, whereas the percentages of verbs produced at 1;8 predicted later nouns at 2;0.","Observational and parent-report data obtained from thirty mother–child dyads at 1;4, 1;8, and 2;0 to examine cross-class relations between nouns and verbs indicated the relative dominance of nouns over verbs in the productive vocabularies of children in the second year of life."
"The Comprehension Boost in Early Word Learning: Older Infants Are Better Learners","https://scispace.com/paper/the-comprehension-boost-in-early-word-learning-older-infants-zplugq10qr","2020","Journal Article","Child Development Perspectives","Elika Bergelson","10.1111/CDEP.12373","","Recent research has revealed that infants begin understanding words at around 6 months. After that, infants' comprehension vocabulary increases gradually in a linear way over 8-18 months, according to data from parental checklists. In contrast, infants' word comprehension improves robustly, qualitatively, and in a nonlinear way just after their first birthday, according to data from studies on spoken word comprehension. In this review, I integrate observational and experimental data to explain these divergent results. I argue that infants' comprehension boost is not well-explained by changes in their language input for common words, but rather by proposing that they learn to take better advantage of relatively stable input data. Next, I propose potentially complementary theoretical accounts of what makes older infants better learners. Finally, I suggest how the research community can expand our empirical base in this understudied area, and why doing so will inform our knowledge about child development.","It is argued that infants' comprehension boost is not well-explained by changes in their language input for common words, but rather by proposing that they learn to take better advantage of relatively stable input data."
"Automatic detection and quantification of growth spurts.","https://scispace.com/paper/automatic-detection-and-quantification-of-growth-spurts-1tu5jiy7hw","2010","Journal Article","Behavior Research Methods","Frédéric Dandurand
Thomas R. Shultz","10.3758/BRM.42.3.809","","Growth phenomena are often nonlinear and may contain spurts, characterized by a local increase in the rate of growth. Because measurement error and noise may produce apparent spurts, it is important to identify systematic and reliable spurts. We describe a system, automatic maxima detection (AMD), for statistically identifying significant spurts and computing (1) point of maximal velocity, when the spurt was most intense; (2) start, when the spurt started; (3) amplitude, the intensity of the spurt; and (4) duration, the length of the spurt. We also introduce a software implementation of AMD in MATLAB. In growth of height data, AMD showed a reliable pubertal growth spurt for most children and a reliable prepubertal spurt for some children. In simulated growth of vocabulary, AMD showed a large global spurt and several minispurts. In real vocabulary growth, AMD showed a few spurts. Advantages of AMD include improvements in objectivity, automaticity, quantification, and comprehensiveness.","A system, automatic maxima detection (AMD), for statistically identifying significant spurts and computing a point of maximal velocity, when the spurt was most intense, and duration, the length of theSpurt is described, which shows improvements in objectivity, automaticity, quantification, and comprehensiveness."
