"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"IKDP: Implicit Knowledge Enhanced Disease Prediction via heterogeneous admission sequence graphs.","https://scispace.com/paper/41604873","2026","Journal Article","Artificial intelligence in medicine","Yang
Lin
He
Hu
Wang
Zhang
Dong","10.1016/j.artmed.2026.103365","","Despite significant advances in deep learning for electronic health record (EHR) modeling, accurately representing complex disease relationships and admission trajectories remains challenging. Current approaches that leverage external knowledge graphs to learn patient representations are often limited by incomplete knowledge coverage. Furthermore, these methods frequently overlook implicit information within patient data, such as inter-patient similarities and latent disease correlations, and often discard patients with only a single admission, thereby losing valuable clinical insights. To address these limitations, we introduce the Implicit Knowledge Enhanced Disease Prediction model (IKDP) via heterogeneous admission sequence graphs (SeqGs), which harnesses implicit knowledge from comprehensive patient admission data. IKDP integrates an auxiliary pre-training strategy with end-to-end optimization to effectively process multi-dimensional patient data and compute inter-patient similarities as complementary knowledge. Specifically, the model constructs SeqGs for each patient, which capture complex disease dependencies and the dynamic evolution of health status. Moreover, critical paths extracted from the SeqGs, combined with similar patient analysis and historical admission records, are utilized to elucidate the reasoning behind predictions. The code is available at https://github.com/SCUT-CCNL/IKDP."
"Repetitions trigger illusory awareness in implicit statistical learning.","https://scispace.com/paper/41779790","2026","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Jurchiș
Preda","10.1073/pnas.2526432123","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12974475/pdf","The present study examined the accuracy of conscious representations that emerge from implicit statistical learning (ISL), a fundamental cognitive process through which we extract regularities in the environment. While ISL has several characteristics of unconscious processing (e.g., it operates unintentionally, produces subjectively unconscious knowledge), participants in ISL experiments always report some fragmentary conscious knowledge. Thus, the notion that ISL is truly an unconscious process has been the subject of perpetual debates. In the present study, we challenge the assumption that these conscious reports reflect direct access to the acquired knowledge. Combining previously collected and novel data, we tested the hypothesis that participants' conscious reports in ISL reflect a post hoc conscious model of their nonconscious knowledge. Across two experiments, participants were exposed to sequences of stimuli (letters, faces, or body movements in VR) generated by different regularities (artificial grammars and grammar-like bigram regularities). In a subsequent test, they decided whether novel strings were grammatical or not and reported their subjective awareness trial-by-trial. In both experiments, we found extreme Bayesian evidence that repetitions embedded in the testing strings made participants more aware of the knowledge driving their grammaticality decisions, above and beyond their influence on responses or accuracy. This suggests that, lacking access to the true basis of their decisions, participants attributed their responses to the most salient feature available: the repetitions. Thus, we find evidence that our conscious experience can misrepresent not only the external world but also our own unconsciously learned representations."
"The Effects of Cognitive Fatigue and Articulatory Suppression on Statistical Language Learning Depend on the Strength of Cognitive Resources.","https://scispace.com/paper/41730120","2026","Journal Article","Cognitive science","Smalle
Karantinou
Möttönen","10.1111/cogs.70178","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12928678/pdf","In adults, cognitive fatigue enhances statistical language learning-the ability to detect repeating hidden patterns in continuous speech, and a core component of implicit language acquisition. This supports the cognitive cost hypothesis, which proposes that the adult cognitive architecture, especially executive functions (EFs), constrains effortless language learning. In contrast, articulatory suppression impairs statistical language learning, suggesting the involvement of lower-level auditory-motor mechanisms in acquiring new linguistic knowledge from speech streams. This study examined whether the effects of cognitive fatigue and articulatory suppression on statistical language learning depend on individuals' cognitive resources (CRs). Specifically, we tested whether individual differences in late-developing EFs (1) are associated with statistical language learning ability and (2) modulate the effects of cognitive fatigue and articulatory suppression. Fifty Dutch-speaking first-year university students participated in a multisession statistical-learning experiment. EFs were assessed using three tasks measuring working memory, inhibitory control, and cognitive flexibility. Cognitive fatigue was induced using a time-loaded dual N-back task at participants' maximum speed prior to speech exposure. Articulatory suppression was induced by instructing participants to whisper continuously while listening to the speech stream. Learning was assessed using a post-exposure two-alternative forced-choice recognition task, where participants selected between a pseudoword from the stream and a foil. Based on a factor and cluster analysis of EF scores, participants were grouped into high and low CR groups. In line with the cognitive cost hypothesis, the high CR group performed less well in statistical language learning than the low CR group but benefited from cognitive fatigue. Articulatory suppression impaired statistical learning in the low CR group only, suggesting they rely more on auditory-motor mechanisms. These findings demonstrate that cognitive functioning impacts statistical language learning, suggesting that the ability to acquire new linguistic knowledge from speech streams depends on the interaction between higher-level cognitive and lower-level auditory-motor mechanisms."
"Revisiting Age-Related Changes in Statistical Learning: The Importance of Longitudinal Evidence.","https://scispace.com/paper/41569146","2026","Journal Article","Cognitive science","Németh
Tóth-Fáber
Farkas
Janacsek","10.1111/cogs.70174","","In a recent article in Cognitive Science, Rogachev et al. (2025) presented a cross-sectional investigation of visual statistical learning (SL) in children aged 3-9 years and concluded that implicit SL remains stable across early childhood. They cited our longitudinal study (Tóth-Fáber et al., 2024) as supporting this conclusion. Here, we clarify that this interpretation is incorrect. Using a longitudinal design tracking the same individuals from ages 7 to 14, we demonstrated a reliable developmental decline in implicit SL, along with substantial interindividual variability. We further showed that executive functions measured at age 14 predict individual developmental trajectories of SL, indicating a dynamic reorganization of learning systems with maturation. Importantly, tasks used to measure SL inevitably recruit multiple cognitive processes, and differences in these task demands can substantially influence observed developmental trajectories. We argue that longitudinal and cross-sectional designs yield qualitatively different evidence about developmental change. Longitudinal evidence and relatively process-pure measures are, therefore, essential for accurately characterizing developmental dynamics in SL."
"The developmental trajectories of implicit and explicit metacognitive monitoring and control in cued recall.","https://scispace.com/paper/41061342","2026","Journal Article","Journal of experimental child psychology","Hayre
Ingham
Smith
Findel
Sargent
Beck
Colloff","10.1016/j.jecp.2025.106367","","Adults are adept at metacognitively monitoring their memory accuracy-both explicitly and implicitly-and at using metacognitive control to maintain high memory accuracy. However, the development of monitoring and control is less well understood. We administered an episodic cued recall task with children aged five to 11 years (N = 106). Participants watched two video clips of everyday episodic events before answering cued recall memory questions. For each memory question, participants provided a confidence rating (explicit monitoring), sorted their answer into show/hide boxes (control), and chose to volunteer/withhold their response (control). Multiple behavioural gestures of cognitive effort (implicit monitoring; e.g., looking to carer, non-word fillers) were recorded and later coded by blind raters. Children were less accurate and less able to assign confidence to reflect their memory accuracy when they were forced to generate a response after previously saying ""I don't know"". But on volunteered trials, explicit, implicit monitoring and control measures predicted memory accuracy. There were age-related improvements in explicit monitoring for predicting memory accuracy, but there were no age differences in implicit monitoring or control processes. We found evidence for both a direct and an indirect link between confidence and memory accuracy. Our findings suggest that explicit and implicit monitoring have different developmental trajectories in cued recall and that children can be adaptive to control their memory accuracy to a similar extent from early- to mid-childhood."
"Statistical learning and individual differences in language abilities: A structural equation modelling study on the mediating roles of perceptual speed, working memory, and cognitive control.","https://scispace.com/paper/41270595","2026","Journal Article","Cognition","Lukács
Ugrin
Lukics","10.1016/j.cognition.2025.106356","","Language acquisition and processing rely on a dynamic network of cognitive abilities, where various mechanisms interact to support the recognition, integration, and application of linguistic patterns. Previous research has largely focused on the dual relationships between statistical learning and language abilities, or between core cognitive functions (perceptual speed, working memory, cognitive control) and linguistic abilities, leaving their combined interaction underexplored. To address this gap, this study investigates how statistical learning-a process that enables individuals to detect patterns in language-relates to linguistic abilities and the extent to which core cognitive functions contribute to this relationship. We assessed a large sample of 608 Hungarian speakers (ages 14 to 92) on multiple tasks measuring statistical learning (speech segmentation, artificial grammar learning), linguistic performance (grammatical sensitivity, pragmatic comprehension, semantic prediction, violation processing, and reading efficiency), and core cognitive abilities (perceptual speed, working memory, cognitive control). Structural equation modelling revealed significant small to moderate relationships between statistical learning and language abilities, with offline statistical learning tasks predicting linguistic performance better than online measures (which assess statistical learning in real time). Importantly, core cognitive abilities, especially perceptual speed and working memory, consistently mediated the relationship between statistical learning and language processing, revealing the interconnected dynamics between these functions. These results support the notion that while statistical learning contributes to individual differences in language abilities, its effect is partially explained by core cognitive mechanisms implicated in both statistical learning and language processing. The findings highlight the complexity of language acquisition and processing, and underscore the need for further investigation into the mediating role of other cognitive factors."
"Explicit and implicit representation of reward value in cocaine use disorder (CUD): A mouse kinematic study on intertemporal decision-making.","https://scispace.com/paper/40875357","2025","Journal Article","Neuropsychology","Calluso
Grande
Tosoni
Di Carlo
Lucidi
Padula
Rosa
Pettorruso
Martinotti
Committeri","10.1037/neu0001025","","Cocaine use disorder (CUD) is a chronic condition with implications on cognitive functions such as decision-making and impulse control. Intertemporal choice paradigms, measuring temporal discounting, offer insight into decision-making of addictive behaviors. When coupled with mouse kinematics, they also provide implicit measures of decision dynamics. Here, we employed mouse kinematics to investigate the profile of both explicit and implicit intertemporal decision-making in CUD patients versus healthy controls, and the degree of association with clinical, psychiatric, and neuropsychological measures."
"Feasibility and acceptability of hazard prediction training for potential hazard prevention at Champasak Provincial Hospital, Lao PDR: a case study.","https://scispace.com/paper/40796866","2025","Journal Article","BMC health services research","Maekawa
Murai
Souvankham
Phengsackmoung","10.1186/s12913-025-13153-2","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12344867/pdf","Learning from failure is recommended for the prevention of incidence recurrence. However, a punitive climate hindered organizational learning from past failures, especially in the early stages of patient safety initiatives. Little is known about how to initiate patient safety in a punitive climate. Hazard prediction training (HPT), which focuses on healthcare professionals’ discussion of potential hazards without referencing past failures, was introduced at Champasak Provincial Hospital in Lao PDR. This study examined the feasibility and acceptability of HPTs as a potential patient safety approach under a punitive climate."
"Evaluating Individual Differences in Implicit Perceptual-Motor Learning: A Parallel Assessments Approach.","https://scispace.com/paper/41003255","2025","Journal Article","Journal of Intelligence","Han
Thompson
Reber","10.3390/jintelligence13090115","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12470835/pdf","Implicit learning describes learning from experience that is not available to conscious awareness. The question of whether some individuals are better implicit learners than others has suggested and may contribute to difference in performance among experts. Across four experiments, adult participants completed the Serial Interception Sequence Learning (SISL) task across multiple parallel learning assessment forms. Previously, SISL sequence-specific performance has been shown to resist explicit knowledge influence, allowing for repeated reassessments of implicit learning with novel statistical structure. Our findings indicate that group-level sequence-specific performance occurred robustly in each reassessment; however, participants who exhibited more sequence-specific performance on one assessment did not exhibit better performance on parallel assessments, indicating no rank-order stability in learning. In all four experiments, with two to twelve reassessments of learning, no participants exhibited consistently better sequence learning rates than the other participants, indicating no evidence for a better ability in implicit learning. Measurements of other cognitive constructs, such as processing speed collected in parallel, exhibited robust individual differences. In Experiment 4, a general battery of cognitive measurements showed typical individual differences in measures of working memory, processing speed, and personality, but none correlated with implicit learning ability. We hypothesize that implicit learning arises from a general process of neuroplasticity reorganizing functions during practice and that our findings suggest that this process occurs at a basically similar rate across all people. Everybody learns from practice implicitly, but results suggest that the learning rate does not vary substantially across this sample."
"Difficulties in Nonadjacent Dependency Learning in French-Learning Toddlers.","https://scispace.com/paper/40728878","2025","Journal Article","Journal of speech, language, and hearing research : JSLHR","Bodard
Nazzi
Jean-Charles
Pedrotti
Skoruppa","10.1044/2025_JSLHR-23-00608","","In the past three decades, statistical learning, that is, the capacity to detect patterns and regularities in the environment, has been shown to have an important role in language development. In particular, the ability to detect nonadjacent dependencies (NADs) between linguistic elements that are separated by intervening material seems to be linked to morphosyntactic development. However, there are few studies with French-speaking children, and none using artificial language learning methodologies."
