"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Assessing processing-based measures of implicit statistical learning: three serial reaction time experiments do not reveal artificial grammar learning","https://scispace.com/paper/assessing-processing-based-measures-of-implicit-statistical-3s8pvchnfwcf","2024","Journal Article","PLOS ONE","Holly E. Jenkins
Phyllis Leung
F. Smith
Nick Riches
Benjamin Wilson","10.1371/journal.pone.0308653","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0308653&type=printable","… the future to assess individual differences in implicit statistical learning in individuals with language … These blocks gave the participants the opportunity to implicitly learn the nonadjacent …","Implicit statistical learning, whereby predictable relationships between stimuli are detected without conscious awareness, is important for language acquisition. However, while this process is putatively implicit, it is often assessed using measures that require explicit reflection and conscious decision making. Here, we conducted three experiments combining an artificial grammar learning paradigm with a serial reaction time (SRT-AGL) task, to measure statistical learning of adjacent and nonadjacent dependencies implicitly, without conscious decision making. Participants viewed an array of six visual stimuli and were presented with a sequence of three auditory (nonsense words, Expt. 1; names of familiar objects, Expt. 2) or visual (abstract shapes, Expt. 3) cues and were asked to click on the corresponding visual stimulus as quickly as possible. In each experiment, the final stimulus in the sequence was predictable based on items earlier in the sequence. Faster responses to this predictable final stimulus compared to unpredictable stimuli would provide evidence of implicit statistical learning, without requiring explicit decision making or conscious reflection. Despite previous positive results (Christiansen et al. 2009 and Misyak et al. 2010) we saw little evidence of implicit statistical learning in any of the experiments, suggesting that in this case, these SRT-AGL tasks were not an effective measure implicit statistical learning."
"36. Implicit learning in developmental dyslexia as demonstrated by the Serial Reaction Time (SRT) and the Artificial Grammar Learning (AGL) tasks","https://scispace.com/paper/DtLX2-HJxIMJ","","","","R Schiff
E Vakil
Y Gabay
S Kahta","","https://ygabay.haifa.ac.il/wp-content/uploads/2024/07/book-chapter.pdf","… takes place in the absence of any further rehearsal or experience. … differences in the processes involved in sequence learning. These processes include the “reaction-time-task learning”…",""
"Implicit learning is intact in adult developmental dyslexic readers: Evidence from the serial reaction time task and artificial grammar learning","https://scispace.com/paper/implicit-learning-is-intact-in-adult-developmental-dyslexic-56c6109gz6","2006","Journal Article","Journal of Clinical and Experimental Neuropsychology","Jascha Rüsseler
Ivonne Gerth
Thomas F. Münte","10.1080/13803390591001007","https://www.researchgate.net/profile/Thomas-Muente/publication/7060155_Implicit_Learning_is_Intact_in_Adult_Developmental_Dyslexic_Readers_Evidence_from_the_Serial_Reaction_Time_Task_and_Artificial_Grammar_Learning/links/56d6774d08aebe4638ac749c/Implicit-Learning-is-Intact-in-Adult-Developmental-Dyslexic-Readers-Evidence-from-the-Serial-Reaction-Time-Task-and-Artificial-Grammar-Learning.pdf","… knowledge of the underlying grammatical system. We conclude that implicit learning of artificial grammars is … Research on individual differences in implicit learning in normal adults and …","Previous research yielded equivocal results concerning implicit learning abilities of developmental dyslexic readers. These studies employed a sequence learning task that requires a motor response to each stimulus. However, implicit learning has been often studied using non-motor tasks. Thus, we investigated implicit learning capabilities of adult developmental dyslexic readers in two standard implicit learning paradigms differing in the involvement of the motor system, namely the serial response time task (SRTT) and artificial grammar learning (AGL).Twelve adult developmental dyslexic and twelve age- and sex- matched normal readers were tested. In the serial response time task (SRTT), participants are exposed to a structured display. Learning is measured by comparing response time (RT) to the structured sequence with RT to a random display. In the artificial grammar learning task (AGL), letter strings following a markovian finite state grammar are presented. In a subsequent test phase subjects have to judge new letter strings according to their grammaticality. Learning of the stimulus regularities was found in both tasks and for both groups of subjects. Furthermore, participants were unaware of the underlying stimulus construction principles. Dyslexic readers were unimpaired in SRTT as well as artificial grammar learning relative to normal readers. These findings show that implicit learning is intact in dyslexia. Intact implicit learning capabilities should be taken into account when designing training programs for developmental dyslexic readers."
"Extrapolating from reaction times of acceptability judgments to implicit and explicit learning in artificial grammar learning experiments","https://scispace.com/paper/FrONpn6wFd4J","","","","TY Chen","","https://lngproc.hss.nthu.edu.tw/www/files/2024_Chen_Festschrift.pdf","… uncontrollable and automatized implicit knowledge. Altogether, … the reaction time (RT) of acceptability judgments in AGL … The differences between the two learning conditions lay in how …",""
"Preserved implicit learning on both the serial reaction time task and artificial grammar in patients with Parkinson's disease","https://scispace.com/paper/preserved-implicit-learning-on-both-the-serial-reaction-time-3m4mnjvjcv","2001","Journal Article","Brain and Cognition","Jared G. Smith
Richard J. Siegert
John McDowall
David Abernethy","10.1006/BRCG.2001.1286","https://escholarship.org/content/qt57r0j980/qt57r0j980.pdf","… of the Serial Reaction Time (SRT) task was used to assess sequence learning and an artificial grammar (… , there is perhaps a question over its power to detect group differences. To our …",""
"Measuring strategic control in implicit learning: how and why?","https://scispace.com/paper/measuring-strategic-control-in-implicit-learning-how-and-why-i1pp7ol5ru","2015","Journal Article","Frontiers in Psychology","Elisabeth Norman","10.3389/FPSYG.2015.01455","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2015.01455/pdf","… be measured on a trial-by-trial basis. Theoretical questions … Learning is measured in terms of reaction time differences … SRT stimulus-response mapping or the AGL target grammar …","Several methods have been developed for measuring the extent to which implicitly learned knowledge can be applied in a strategic, flexible manner. Examples include generation exclusion tasks in Serial Reaction Time (SRT) learning (Goschke, 1998; Destrebecqz and Cleeremans, 2001) and 2-grammar classification tasks in Artificial Grammar Learning (AGL; Dienes et al., 1995; Norman et al., 2011). Strategic control has traditionally been used as a criterion for determining whether acquired knowledge is conscious or unconscious, or which properties of knowledge are consciously available. In this paper I first summarize existing methods that have been developed for measuring strategic control in the SRT and AGL tasks. I then address some methodological and theoretical questions. Methodological questions concern choice of task, whether the measurement reflects inhibitory control or task switching, and whether or not strategic control should be measured on a trial-by-trial basis. Theoretical questions concern the rationale for including measurement of strategic control, what form of knowledge is strategically controlled, and how strategic control can be combined with subjective awareness measures."
"Individual differences in implicit motor learning: task specificity in sensorimotor adaptation and sequence learning","https://scispace.com/paper/individual-differences-in-implicit-motor-learning-task-3lkbgf8n9j","2017","Journal Article","Journal of Neurophysiology","Alit Stark-Inbar
Meher Raza
Jordan A. Taylor
Richard B. Ivry
Richard B. Ivry","10.1152/JN.01141.2015","https://journals.physiology.org/doi/prev/20161102-aop/pdf/10.1152/jn.01141.2015","… alternating reaction time task but not in the serial reaction time … As noted above, the same grammar was used for all … task is not based on a trial-by-trial measure but rather involves a …","We investigated individual differences in the ability to implicitly learn motor skills. As a prerequisite, we assessed whether individual differences were reliable across test sessions. We found th..."
"Implicit Learning: Development, individual differences, and educational implications","https://scispace.com/paper/implicit-learning-development-individual-differences-and-3xlsm81iik","2015","Dissertation","","Priya Kalra","","https://dash.harvard.edu/bitstreams/7312037d-84bc-6bd4-e053-0100007fdf3b/download","… their developmental trajectories and degree of inter-individual … very much like an artificial grammar learning (AGL) study: … ), Serial Response Task/Serial Reaction Time Task (SRT/…","iii Chapter One: Overview 1 Chapter Two: Introduction to Implicit Learning 3 What is Implicit Learning? 4 Operationalizing Implicit Learning: The Tasks 17 Chapter Three: Implicit Learning and Education 24 The Representation of Procedural Memory 24 Procedural Knowledge and Conceptual Knowledge in Education Research 26 Relevance to Education 32 Chapter Four: Developmental Differences in Implicit Llearning 40 Background 40 Methods 47 Results 54 Discussion 56 Chapter Five: Individual Differences in Implicit Learning 62 Background 63 Methods 69 Results 78 Discussion 90 Chapter Six: Conclusion and Directions for Future Study 97 Appendix 1: Tables and Figures 104 Tables 104 Figures 127 References 132 Vita 150"
"Implicit learning.","https://scispace.com/paper/implicit-learning-1iozqi9v","2022","Book Chapter","","Ángela Lara García","10.1093/oso/9780197501573.003.0001","https://scholar.archive.org/work/red3kywezfhfxafs7aamdgudnm/access/wayback/http://www.wjh.harvard.edu/~pal/pdfs/pdfs/seger94.pdf","… ); that it shows lower individual differences than tests of … implicit knowledge. Thus, in many of the tasks presented here (eg, serial reaction time and, to a lesser extent, artificial grammars)…","Abstract This chapter presents a broad-based overview of the history of implicit learning and related functions. It focuses on the work of Arthur S. Reber, who carried out the first experiments in the middle 1960s (hence the subtitle of the volume) examining the process by which knowledge of a complexly structured domain, in this case an artificial grammar, comes to be acquired without awareness of either the process or the products of learning. In addition, it outlines how these studies slowly became highly cited ones and how they link up with a variety of other domains in the social sciences. Importantly, it delves into how the study of the cognitive unconscious fits within classic models of evolutionary biology and blends easily with the cellular basis of consciousness, a recently proposed theory by Reber that ties together implicit functions with the origins of minds, arguing that feelings, awareness, and sentience are an inherent feature of all life. "
"Individual Differences in Implicit Learning: Initial Exploration of Clinical Utility","https://scispace.com/paper/DK8AM4953lEJ","","","","DG Smith","","https://researchdiscovery.drexel.edu/view/pdfCoverPage?instCode=01DRXU_INST&filePid=13321547570004721&download=true","… I must acknowledge the crucial role Cory Czuczman has played in putting the 1s and 0s together to make our cognitive learning tasks fun. I am additionally appreciative of the end-‐…",""
