"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"How a honey bee solves an abstract conceptual problem","https://scispace.com/paper/wtcu5aBmdn0J","","","","D Minors","","https://www.researchgate.net/profile/Dorian-Minors/publication/319108816_How_a_honey_bee_solves_an_abstract_conceptual_problem/links/5991a30b0f7e9b09ffb009a1/How-a-honey-bee-solves-an-abstract-conceptual-problem.pdf","… been used to demonstrate abstract concept learning in the invertebrate honey bee. With no … In this analysis for each individual bee we had multiple measures for each colour. Variation …",""
"Learning of abstract concepts and rules by the honeybee","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://escholarship.org/content/qt3nr4d3r6/qt3nr4d3r6.pdf","… use of a symbolic matching rule by honeybees, which we will describe later in this chapter. … honeybees exhibited the same response to novel stimuli that differed greatly in their individual…","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is be- ginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and ""cognitive"" capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee's ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific infor- mation while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee's remarkable behaviors. The worker honeybee possesses a tiny brain that occupies a volume of about one cubic millimeter, weighs about one milligram and contains not more than a million neurons. Nevertheless, this creature, by virtue of its lifestyle, is a spectacu- larly suitable organism for studying the principles of pattern recognition and navi- gation, as well as of learning in a more general sense (von Frisch, 1971, 1993; Menzel, 1990). Gathering nectar and pollen is the raison d'etre of a forager's exis- tence. Since the species of flowers that are in bloom, say, this week are likely to be replaced by a different species at a different location next week, the bee needs, and has indeed evolved, an impressive ability to learn colors, odors, shapes and routes quickly and accurately (Chittka, Vorobyev, Shmida, & Menzel 1993; Lehrer, Hor- ridge, Zhang, & Gadagkar, 1995; Vorobyev & Menzel, 1999; Wehner, 1981). A bee can learn a new odor in just a few visits, a new color in about half an hour (af- ter it has made about five visits to collect a food reward), a new pattern in about half a day (after 20-30 rewarded visits), and a new route to a food source in about 3-4 visits (provided the route is not through a complex labyrinth). The underlying navigational skills that make this learning possible require extensive, perceptual, information processing, and storage mechanisms which, in turn, allow bees to dis- play perceptual and ""cognitive"" abilities that are surprisingly rich, complex and flexible (Collett & Collett, 2002; Giurfa, 2003; Menzel & Muller, 1996; Srinivasan & Zhang, 1998, Zhang & Srinivasan, 2004a, 2004b). The present article reviews recent studies that have challenged the percep- tual capacities of honeybees by asking if bees can, for instance, learn abstract rules by which to navigate mazes, learn and generalize abstract concepts, categorize complex visual objects, or acquire and memorize task-specific information when faced with a complex problem. This review discusses some key examples of recent"
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-z5xd6lhds5","2018","Posted Content","bioRxiv","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1101/268375","https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006435&type=printable","… how an animal like a honey bee might be able to solve an abstract concept learning task. To … For positive patterning we do not reward individual odors A and B, but reward the …","The capacity to learn abstract concepts such as 9sameness9 and 9difference9 is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 9sameness9 and 9difference9 that is compatible with the insect brain, and is not dependent on top-down or executive control processing."
"A comparison of concept learning ability in honeybees and bumblebees using matching-to-sample tasks","https://scispace.com/paper/mf8x-emu7BAJ","","","","R Willemet","","https://www.biorxiv.org/content/biorxiv/early/2026/02/03/2026.01.31.703063.full.pdf","… Abstract concept formation—the ability to generalize beyond … to avoid negative impact on individual bees and their colonies. … On each experimental day, individual honeybees that had …",""
"Working memory and concept learning in honeybees","https://scispace.com/paper/working-memory-and-concept-learning-in-honeybees-3xny95083c","2013","Dissertation","","Gentaro Shishimi","","","… initial learning experiments, recent research with honeybees has explored more complex learning … has produced in honeybees nearly all of the basic Pavlovian learning phenomena. …",""
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","… -concept learning in honey bees focusing on sameness/difference learning. Furthermore, we … Learning being an individual tm)s property, its recording and analysis should be performed …","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
"Same/Different Concept Learning and Category Discrimination in Honeybees.","https://scispace.com/paper/H4N5owE92BAJ","","","","NM Muszynski","","https://scholarspace.manoa.hawaii.edu/bitstreams/ecae77bf-3d34-4e59-bdac-c69e4c8fd6e1/download","… This interval is the amount of time it takes an individual honeybee to leave the experimental … that an abstract concept of oddity is not necessary to explain the successful performance. …",""
"Honeybee cognition: From numbers to extraction of regularities","https://scispace.com/paper/RHsS-_ohDLkJ","","","","M Bortot","","https://iris.unitn.it/bitstream/11572/397533/1/Thesis_MariaBortot.pdf","… a species to form an abstract concept of numbers should be … FIGURE 4: a) In the number learning test, honeybees trained to … Honeybees were marked to allow individual recognition and …",""
"An Investigation of Same/Different Concept Learning in Bumblebees (Bombus impatiens)","https://scispace.com/paper/hLD6YbCfHagJ","","","","JM Sayde","","https://search.proquest.com/openview/0bcd7c60e44d05b040555e99e46d9fdc/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y","… compelling evidence for abstract concept learning in pigeons. … As evidenced by a number of studies, honeybees possess … If we had tracked the performance of individual bees within a …",""
"Paper wasps form abstract concept of 'same and different'","https://scispace.com/paper/paper-wasps-form-abstract-concept-of-same-and-different-5udcspxg","2022","Journal Article","","Chloe Weise
Christian Cely Ortiz
Elizabeth A. Tibbetts","10.1098/rspb.2022.1156","","… , honeybees are the only non-vertebrate that has been tested for same-different learning [6,… For example, individual face recognition is an important aspect of the social life of humans …","Concept formation requires animals to learn and use abstract rules that transcend the characteristics of specific stimuli. Abstract concepts are often associated with high levels of cognitive sophistication, so there has been much interest in which species can form and use concepts. A key abstract concept is that of sameness and difference, where stimuli are classified as either the same as or different than an original stimulus. Here, we used a simultaneous two-item same-different task to test whether paper wasps (Polistes fuscatus) can learn and apply a same-different concept. We trained wasps by simultaneously presenting pairs of same or different stimuli (e.g. colours). Then, we tested whether wasps could apply the concept to new stimuli of the same type (e.g. new colours) and to new stimulus types (e.g. odours). We show that wasps learned a general concept of sameness or difference and applied it to new samples and types of stimuli. Notably, wasps were able to transfer the learned rules to new stimuli in a different sensory modality. Therefore, P. fuscatus can classify stimuli based on their relationships and apply abstract concepts to novel stimulus types. These results indicate that abstract concept learning may be more widespread than previously thought."
