"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A comparison of concept learning ability in honeybees and bumblebees using matching-to-sample tasks","https://scispace.com/paper/mf8x-emu7BAJ","","","","R Willemet","","https://www.biorxiv.org/content/biorxiv/early/2026/02/03/2026.01.31.703063.full.pdf","… bumblebee and honeybee performance on matching-to-… performance in both species after extensive training, transfer … the bee’s performance during each training block was different …",""
"Learning of abstract concepts and rules by the honeybee","https://scispace.com/paper/learning-of-abstract-concepts-and-rules-by-the-honeybee-4m27zjfo7r","2006","Journal Article","International Journal of Comparative Psychology","Shaowu Zhang","","https://escholarship.org/content/qt3nr4d3r6/qt3nr4d3r6.pdf","… In some tests, we evaluated a bee’s performance by … rule by honeybees, which we will describe later in this chapter. … Then we tested the trained bees in transfer tests under novel …","Despite the tiny brain of the honeybee, some remarkable higher cognitive functions have emerged from this assembly of about one million neurons. Work on the honeybee over the past decade is be- ginning to suggest that insects may not be the simple, reflexive creatures that they were once believed to be. Bees display perceptual and ""cognitive"" capacities that are surprisingly rich, complex and flexible. This article reviews the recent progress on the honeybee's ability to learn and use abstract rules and concepts, to categorize visual objects in various ways, and to memorize task-specific infor- mation while navigating through their environment. This review is not intended to be exhaustive. Rather, it highlights important advances in our understanding of the processes underlying the bee's remarkable behaviors. The worker honeybee possesses a tiny brain that occupies a volume of about one cubic millimeter, weighs about one milligram and contains not more than a million neurons. Nevertheless, this creature, by virtue of its lifestyle, is a spectacu- larly suitable organism for studying the principles of pattern recognition and navi- gation, as well as of learning in a more general sense (von Frisch, 1971, 1993; Menzel, 1990). Gathering nectar and pollen is the raison d'etre of a forager's exis- tence. Since the species of flowers that are in bloom, say, this week are likely to be replaced by a different species at a different location next week, the bee needs, and has indeed evolved, an impressive ability to learn colors, odors, shapes and routes quickly and accurately (Chittka, Vorobyev, Shmida, & Menzel 1993; Lehrer, Hor- ridge, Zhang, & Gadagkar, 1995; Vorobyev & Menzel, 1999; Wehner, 1981). A bee can learn a new odor in just a few visits, a new color in about half an hour (af- ter it has made about five visits to collect a food reward), a new pattern in about half a day (after 20-30 rewarded visits), and a new route to a food source in about 3-4 visits (provided the route is not through a complex labyrinth). The underlying navigational skills that make this learning possible require extensive, perceptual, information processing, and storage mechanisms which, in turn, allow bees to dis- play perceptual and ""cognitive"" abilities that are surprisingly rich, complex and flexible (Collett & Collett, 2002; Giurfa, 2003; Menzel & Muller, 1996; Srinivasan & Zhang, 1998, Zhang & Srinivasan, 2004a, 2004b). The present article reviews recent studies that have challenged the percep- tual capacities of honeybees by asking if bees can, for instance, learn abstract rules by which to navigate mazes, learn and generalize abstract concepts, categorize complex visual objects, or acquire and memorize task-specific information when faced with a complex problem. This review discusses some key examples of recent"
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","… Furthermore, we discuss the meaning of 'concept learning tm) in bees and its adaptive … bees fail to explain performance in transfer tests, in particular if they involved stimuli form different …","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
"Abstract concept learning in a simple neural network inspired by the insect brain","https://scispace.com/paper/abstract-concept-learning-in-a-simple-neural-network-z5xd6lhds5","2018","Posted Content","bioRxiv","Alex Cope
Eleni Vasilaki
Dorian Minors
Chelsea Sabo
James A. R. Marshall
Andrew B. Barron","10.1101/268375","https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006435&type=printable","… able to replicate bees’ performance in concept learning and a … The bees were not given any reward with the transfer stimuli in … Initially the postsynaptic learning rule appears a plausible …","The capacity to learn abstract concepts such as 9sameness9 and 9difference9 is considered a higher-order cognitive function, typically thought to be dependent on top-down neocortical processing. It is therefore surprising that honey bees apparantly have this capacity. Here we report a model of the structures of the honey bee brain that can learn sameness and difference, as well as a range of complex and simple associative learning tasks. Our model is constrained by the known connections and properties of the mushroom body, including the protocerebral tract, and provides a good fit to the learning rates and performances of real bees in all tasks, including learning sameness and difference. The model proposes a novel mechanism for learning the abstract concepts of 9sameness9 and 9difference9 that is compatible with the insect brain, and is not dependent on top-down or executive control processing."
"Conceptual learning by miniature brains","https://scispace.com/paper/conceptual-learning-by-miniature-brains-47bquqp0ed","2013","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2013.1907","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2013.1907","… evidence about concept learning in honeybees and discuss … mediated the bees' choice, then performance should collapse. … In transfer test 1, bees transferred their choice to unknown …","Concepts act as a cornerstone of human cognition. Humans and non-human primates learn conceptual relationships such as ‘same’, ‘different’, ‘larger than’, ‘better than’, among others. In all cases, the relationships have to be encoded by the brain independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high levels of cognitive sophistication and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual relationships involving visual stimuli. Concepts such as ‘same’, ‘different’, ‘above/below of’ or ‘left/right are well mastered by bees. We review here evidence about concept learning in honeybees and discuss both its potential adaptive advantage and its possible neural substrates. The results reviewed here challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts and have wide implications for understanding how brains can form conceptual relations."
"Imitation of honey bees' concept learning processes using vector symbolic architectures","https://scispace.com/paper/imitation-of-honey-bees-concept-learning-processes-using-4jsl6kycru","2015","Journal Article","Biologically Inspired Cognitive Architectures","Denis Kleyko
Evgeny Osipov
Ross W. Gayler
Asad I. Khan
Adrian G. Dyer","10.1016/J.BICA.2015.09.002","https://www.researchgate.net/profile/Denis-Kleyko-2/publication/282670579_Imitation_of_honey_bees%27_concept_learning_processes_using_Vector_Symbolic_Architectures/links/60ac57a6299bf1031fc85a2d/Imitation-of-honey-bees-concept-learning-processes-using-Vector-Symbolic-Architectures.pdf","… imitation of concept learning in honey bees. Data from real-world experiments with honey bees (… of generalization to that observed for the living bees. The main claim of this article is that …","This article presents a proof-of-concept validation of the use of Vector Symbolic Architectures as central component of an online learning architectures. It is demonstrated that Vector Symbolic Architectures enable the structured combination of features/relations that have been detected by a perceptual circuitry and allow such relations to be applied to novel structures without requiring the massive training needed for classical neural networks that depend on trainable connections. The system is showcased through the functional imitation of concept learning in honey bees. Data from real-world experiments with honey bees (Avargues-Weber et al., 2012) are used for benchmarking. It is demonstrated that the proposed pipeline features a similar learning curve and accuracy of generalization to that observed for the living bees. The main claim of this article is that there is a class of simple artificial systems that reproduce the learning behaviors of certain living organisms without requiring the implementation of computationally intensive cognitive architectures. Consequently, it is possible in some cases to implement rather advanced cognitive behavior using simple techniques."
"Working memory and concept learning in honeybees","https://scispace.com/paper/working-memory-and-concept-learning-in-honeybees-3xny95083c","2013","Dissertation","","Gentaro Shishimi","","","… 3 also focus on same-different concept learning but now … Transfer along a continuum Ambiguous cue discrimination … honeybees are highly-motivated for every trial in this method, …",""
"Fly-the-Bee: A game imitating concept learning in bees","https://scispace.com/paper/fly-the-bee-a-game-imitating-concept-learning-in-bees-2f3odzb6re","2015","Journal Article","Biologically Inspired Cognitive Architectures","Denis Kleyko
Evgeny Osipov
Magnus Björk
Henrik Toresson
Anton Öberg","10.1016/J.PROCS.2015.12.183","https://www.sciencedirect.com/science/article/pii/S1877050915036443/pdf?md5=a8725452c1bae089b4c75145fc7e1ce5&pid=1-s2.0-S1877050915036443-main.pdf&_valck=1","… and able to apply learned relation in transfer tests. [1] presents the … the performance of the virtual bee learning curve and the reasoning accuracy the game was played with four different …","This article presents a web-based game functionally imitating a part of the cognitive behavior of a living organism. This game is a prototype implementation of an artificial online cognitive architecture based on the usage of distributed data representations and Vector Symbolic Architectures. The game demonstrates the feasibility of creating a lightweight cognitive architecture, which is capable of performing rather complex cognitive tasks. The cognitive functionality is implemented in about 100 lines of code and requires few tens of kilobytes of memory for its operation, which make the concept suitable for implementing in low-end devices such as minirobots and wireless sensors."
"Same/Different Concept Learning and Category Discrimination in Honeybees.","https://scispace.com/paper/H4N5owE92BAJ","","","","NM Muszynski","","https://scholarspace.manoa.hawaii.edu/bitstreams/ecae77bf-3d34-4e59-bdac-c69e4c8fd6e1/download","… There could be a performance decrement on the transfer trial simply due to the change in stimuli. To avoid this problem, there is another procedure that can be used to assess …",""
"An Investigation of Same/Different Concept Learning in Bumblebees (Bombus impatiens)","https://scispace.com/paper/hLD6YbCfHagJ","","","","JM Sayde","","https://search.proquest.com/openview/0bcd7c60e44d05b040555e99e46d9fdc/1.pdf?pq-origsite=gscholar&cbl=18750&diss=y","… , yet bees from both colonies showed immediate transfer to the … If we had tracked the performance of individual bees within a … that bees possess a cognitive capacity of concept …",""
