"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Tool-related cognition in New Caledonian crows.","https://scispace.com/paper/tool-related-cognition-in-new-caledonian-crows-43gzbxo7vi","2006","Journal Article","Comparative Cognition & Behavior Reviews","Lucas A. Bluff
Alex A. S. Weir
Christian Rutz
Joanna H. Wimpenny
Alex Kacelnik","10.3819/CCBR.2008.20001","https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=6332&context=kip_articles","… for tasks; and one crow, at least, can bend and unbend novel … and diversity of New Caledonian crow TOB was described by … latency decreased with diameter of the manufactured tool (…","The extent to which non-humans understand their physical world is controversial, due to conceptual and empirical difficul - ties. We examine the evidence for physical understanding in the remarkable tool-oriented behaviour of New Caledonian crows, which make several types of tool in the wild and show prolific tool-related behaviour in captivity. We summarize our own research into the cognitive processes involved in tool behaviour in this species, and review comparable studies in other birds and primates. Our main laboratory findings are: tool-related behaviour emerges in juvenile crows that had no opportunity to learn from others; adult crows can make or select tools of the appropriate length or diameter for tasks; and one crow, at least, can bend and unbend novel material to match task requirements. Although these observations are striking, they do not prove that this species is capable of understanding physical causality, as one cannot exclude explanations based on inherited proclivities, associative learning, and generalisation. Despite this, we argue that the conventional mechanisms become less likely as such observations accumulate. We conclude that while no adequate, non-verbal test for understanding exists, continued work with New Caledonian crows will help us to ask the right questions."
"Cognitive processes associated with sequential tool use in New Caledonian crows","https://scispace.com/paper/cognitive-processes-associated-with-sequential-tool-use-in-1y2625ck48","2009","Journal Article","PLOS ONE","Joanna H. Wimpenny
Alex A. S. Weir
Lisa Clayton
Christian Rutz
Alex Kacelnik","10.1371/JOURNAL.PONE.0006471","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0006471&type=printable","… one bird, the New Caledonian crow (Corvus moneduloides). … tool use, using tools to extract other tools from their first trial. … be as important to forming conclusions about cognition as …","Background: Using tools to act on non-food objects—for example, to make other tools—is considered to be a hallmark of human intelligence, and may have been a crucial step in our evolution. One form of this behaviour, ‘sequential tool use’, has been observed in a number of non-human primates and even in one bird, the New Caledonian crow (Corvus moneduloides). While sequential tool use has often been interpreted as evidence for advanced cognitive abilities, such as planning and analogical reasoning, the behaviour itself can be underpinned by a range of different cognitive mechanisms, which have never been explicitly examined. Here, we present experiments that not only demonstrate new tool-using capabilities in New Caledonian crows, but allow examination of the extent to which crows understand the physical interactions involved. Methodology/Principal Findings: In two experiments, we tested seven captive New Caledonian crows in six tasks requiring the use of up to three different tools in a sequence to retrieve food. Our study incorporated several novel features: (i) we tested crows on a three-tool problem (subjects were required to use a tool to retrieve a second tool, then use the second tool to retrieve a third one, and finally use the third one to reach for food); (ii) we presented tasks of different complexity in random rather than progressive order; (iii) we included a number of control conditions to test whether tool retrieval was goal-directed; and (iv) we manipulated the subjects’ pre-testing experience. Five subjects successfully used tools in a sequence (four from their first trial), and four subjects repeatedly solved the three-tool condition. Sequential tool use did not require, but was enhanced by, pre-training on each element in the sequence (‘chaining’), an explanation that could not be ruled out in earlier studies. By analyzing tool choice, tool swapping and improvement over time, we show that successful subjects did not use a random probing strategy. However, we find no firm evidence to support previous claims that sequential tool use demonstrates analogical reasoning or human-like planning. Conclusions/Significance: While the ability of subjects to use three tools in sequence reveals a competence beyond that observed in any other species, our study also emphasises the importance of parsimony in comparative cognitive science: seemingly intelligent behaviour can be achieved without the involvement of high-level mental faculties, and detailed analyses are necessary before accepting claims for complex cognitive abilities."
"Cognitive adaptations for tool-related behaviour in New Caledonian crows","https://scispace.com/paper/cognitive-adaptations-for-tool-related-behaviour-in-new-716chz8avr","2004","","","Alex Kacelnik
Jackie Chappell
Ben Kenward
Alex A. S. Weir","","https://www.academia.edu/download/69615148/c9acf3a54a43c91498a3e6cca983dbfd98e8.pdf","… section that New Caledonian crow tool behaviour may be … tool choice was determined by the food distance in each trial; … and three locations to bend the wire (and has subsequently …","The New Caledonian crow in the wild ................................................................................................................ 4 Natural history................................................................................................................................................ 4 Tool use.......................................................................................................................................................... 4"
"Complex cognition and behavioural innovation in New Caledonian crows","https://scispace.com/paper/complex-cognition-and-behavioural-innovation-in-new-38l6k1qumm","2010","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Alex H. Taylor
Douglas Elliffe
Gavin R. Hunt
Russell D. Gray","10.1098/RSPB.2010.0285","https://scispace.com/pdf/complex-cognition-and-behavioural-innovation-in-new-38l6k1qumm.pdf","… derived from the transfer of tool manufacturing or nest-building … ability of Betty, a New Caledonian crow, to bend a wire (a novel … the problem on her third trial and Djinn on the fourth …","Apes, corvids and parrots all show high rates of behavioural innovation in the wild. However, it is unclear whether this innovative behaviour is underpinned by cognition more complex than simple learning mechanisms. To investigate this question we presented New Caledonian crows with a novel three-stage metatool problem. The task involved three distinct stages: (i) obtaining a short stick by pulling up a string, (ii) using the short stick as a metatool to extract a long stick from a toolbox, and finally (iii) using the long stick to extract food from a hole. Crows with previous experience of the behaviours in stages 1–3 linked them into a novel sequence to solve the problem on the first trial. Crows with experience of only using string and tools to access food also successfully solved the problem. This innovative use of established behaviours in novel contexts was not based on resurgence, chaining and conditional reinforcement. Instead, the performance was consistent with the transfer of an abstract, causal rule: ‘out-of-reach objects can be accessed using a tool’. This suggests that high innovation rates in the wild may reflect complex cognitive abilities that supplement basic learning mechanisms."
"Tool Use by New Caledonian Crows Can Inform Cognitive Archaeology","https://scispace.com/paper/tool-use-by-new-caledonian-crows-can-inform-cognitive-1r18ozq0","2023","Book Chapter","","A Coding","10.1093/oxfordhb/9780192895950.013.26","","… in terms of their problem-solving skills and their ability to … A juvenile New Caledonian crow probing with a tool inside … use tools was taken occurred over two separate visits to New …","Abstract This chapter discusses the fruitfulness of interchange between the discipline of cognitive archaeology and research on corvid birds. To illustrate the valuable two-way exchanges that can be made, the chapter presents published work on corvid cognition and the authors’ ongoing work on New Caledonian crows’ tool-use and social behaviors. The chapter highlights important gaps. In particular, parallels for early hominins have tended to focus heavily on primates but have ignored other taxa. Similarly, animal cognition research and especially corvid studies have underutilized the potential to put their findings in the context of current data from cognitive archaeology. The authors argue that greater attention should be given to birds in general, and corvids in particular, when reconstructing human cognitive evolution, as these species are in some ways more relevant to human evolution than the primate models that have always been the focus. Likewise, findings from other domains of cognitive archaeology should be better incorporated into corvid research. The authors advocate for stronger communication between researchers who work on human cognition, human evolution, and animal cognition. To achieve a truly complete understanding of human cognitive evolution, an interdisciplinary approach that brings together multiple lines of evidence is required, no matter how different the perspectives. Cognitive archaeology and corvids can greatly benefit from listening to each other. Each also offers their own unique contributions to wider fields. "
"Insightful problem solving and creative tool modification by captive nontool-using rooks","https://scispace.com/paper/insightful-problem-solving-and-creative-tool-modification-by-2752kuh0v9","2009","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Christopher D. Bird
Nathan J. Emery","10.1073/PNAS.0901008106","https://www.pnas.org/doi/pdf/10.1073/pnas.0901008106","… New Caledonian crow made hooks out of straight pieces of … worm using a piece of wire she had just bent. This photo was taken … Due to ths delay, usage data will not appear immediately …","The ability to use tools has been suggested to indicate advanced physical cognition in animals. Here we show that rooks, a member of the corvid family that do not appear to use tools in the wild are capable of insightful problem solving related to sophisticated tool use, including spontaneously modifying and using a variety of tools, shaping hooks out of wire, and using a series of tools in a sequence to gain a reward. It is remarkable that a species that does not use tools in the wild appears to possess an understanding of tools rivaling habitual tool users such as New Caledonian crows and chimpanzees. Our findings suggest that the ability to represent tools may be a domain-general cognitive capacity rather than an adaptive specialization and questions the relationship between physical intelligence and wild tool use."
"Tool selectivity in a non-primate, the New Caledonian crow (Corvus moneduloides)","https://scispace.com/paper/tool-selectivity-in-a-non-primate-the-new-caledonian-crow-219n3o6h1r","2002","Journal Article","Animal Cognition","Jackie Chappell
Alex Kacelnik","10.1007/S10071-002-0130-2","https://www.researchgate.net/profile/Jackie-Chappell/publication/11232790_Tool_selectivity_in_a_non-primate_the_New_Caledonian_crow_Corvus_moneduloides/links/0fcfd508a69fa15384000000/Tool-selectivity-in-a-non-primate-the-New-Caledonian-crow-Corvus-moneduloides.pdf","… of the appropriate size for a novel task, without trial-and-error … during spontaneous tool manufacture by both individuals in … shot task, even a small delay may have a strong psychological …","We present an experiment showing that New Caledonian crows are able to choose tools of the appropriate size for a novel task, without trial-and-error learning. This species is almost unique amongst all animal species (together with a few primates) in the degree of use and manufacture of polymorphic tools in the wild. However, until now, the flexibility of their tool use has not been tested. Flexibility, including the ability to select an appropriate tool for a task, is considered to be a hallmark of complex cognitive adaptations for tool use. In experiment 1, we tested the ability of two captive birds (one male, one female), to select a stick (from a range of lengths provided) matching the distance to food placed in a horizontal transparent pipe. Both birds chose tools matching the distance to their target significantly more often than would be expected by chance. In experiment 2, we used a similar task, but with the tools placed out of sight of the food pipe, such that the birds had to remember the distance of the food before selecting a tool. The task was completed only by the male, who chose a tool of sufficient length significantly more often than chance but did not show a preference for a matching length."
"Reasoning, Physical & Social Cognition in New Caledonian crows","https://scispace.com/paper/reasoning-physical-social-cognition-in-new-caledonian-crows-pd7c044qvk","2016","Dissertation","","Sarah Jelbert","","https://www.researchgate.net/profile/Sarah-Jelbert-2/publication/320020786_Reasoning_Physical_Social_Cognition_in_New_Caledonian_crows/links/59c90904458515548f3da110/Reasoning-Physical-Social-Cognition-in-New-Caledonian-crows.pdf","… of New Caledonian crow cognition, spanning the fields of causal reasoning, reasoning by exclusion, cooperation, self-control, and the cultural transmission of tool … problem solving, this …",""
"Flexibility in problem solving and tool use of kea and New Caledonian crows in a multi access box paradigm","https://scispace.com/paper/flexibility-in-problem-solving-and-tool-use-of-kea-and-new-38uhamkztw","2011","Journal Article","PLOS ONE","Alice M. I. Auersperg
Auguste Marie Philippa von Bayern
Gyula K. Gajdon
Ludwig Huber
Alex Kacelnik","10.1371/JOURNAL.PONE.0020231","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0020231&type=printable","… for tool use and that this will affect the “zone of latent solutions… to a transparent tube bending towards the central pole. When … depicts a New Caledonian crow inserting a ball tool into the …","Parrots and corvids show outstanding innovative and flexible behaviour. In particular, kea and New Caledonian crows are often singled out as being exceptionally sophisticated in physical cognition, so that comparing them in this respect is particularly interesting. However, comparing cognitive mechanisms among species requires consideration of non-cognitive behavioural propensities and morphological characteristics evolved from different ancestry and adapted to fit different ecological niches. We used a novel experimental approach based on a Multi-Access-Box (MAB). Food could be extracted by four different techniques, two of them involving tools. Initially all four options were available to the subjects. Once they reached criterion for mastering one option, this task was blocked, until the subjects became proficient in another solution. The exploratory behaviour differed considerably. Only one (of six) kea and one (of five) NCC mastered all four options, including a first report of innovative stick tool use in kea. The crows were more efficient in using the stick tool, the kea the ball tool. The kea were haptically more explorative than the NCC, discovered two or three solutions within the first ten trials (against a mean of 0.75 discoveries by the crows) and switched more quickly to new solutions when the previous one was blocked. Differences in exploration technique, neophobia and object manipulation are likely to explain differential performance across the set of tasks. Our study further underlines the need to use a diversity of tasks when comparing cognitive traits between members of different species. Extension of a similar method to other taxa could help developing a comparative cognition research program."
"Comparative Avian Cognition: Physical and Social Problem Solving in Corvids and Parrots","https://scispace.com/paper/comparative-avian-cognition-physical-and-social-problem-3kkl67msou","2016","Dissertation","","Megan L. Lambert","","https://etheses.whiterose.ac.uk/id/eprint/15247/1/Megan%20Lambert%20Thesis.pdf","… data provide new evidence for a novel form of tool use … with kea (Nestor notabilis) and New Caledonian crows (Corvus … may aid in problem solving, although individuals do not change …","Within the last few decades, investigations of problem solving in avian species such as corvids have challenged the few that complex cognitive abilities are unique to the primate lineage, and provide a compelling case for the convergent evolution of cognition in a range of large-brained, socially complex species. Despite these advances, there is still much that is unknown about how corvids acquire and use information to solve problems in both their social and physical environments, and comparably little research has focused on other large-brained avian taxa such as parrots. The research presented in this thesis investigates both physical and social cognition in two parrot and two corvid species by examining how individuals interact with and acquire information about their physical world, and whether birds will use physical information to benefit conspecifics. Observational data provide new evidence for a novel form of tool use among a highly explorative species, the greater vasa parrot (Coracopsis vasa), and empirical data show that exploration may provide these birds with information about how novel objects (including potential tools) behave. An additional experiment with kea (Nestor notabilis) and New Caledonian crows (Corvus moneduloides) suggests that information acquired during exploration may aid in problem solving, although individuals do not change their exploratory behaviour in order to acquire functional information about objects that is relevant to a specific task. An investigation of social cognition in ravens (Corvus corax) shows that subjects can attend to multiple dynamic stimuli in order to obtain a food reward, but do not use this ability to provide food to an affiliate or non-affiliate partner. Taken together, the results of these studies suggest that both parrots and corvids are adept at attending to and learning about different types of physical information which can aid problem solving, but do not intentionally seek this information or use it to benefit others."
