"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Stages and individual differences in cognitive development","https://scispace.com/paper/stages-and-individual-differences-in-cognitive-development-12g9ffiktl","1985","Journal Article","Annual Review of Psychology","Kurt W. Fischer
Louise Silvern","10.1146/ANNUREV.PS.36.020185.003145","https://www.academia.edu/download/32510345/fischer.pdf","… Cognitive development shows evidence of stage-like change and … of affecting cognition at a particular point in development. … Only such comparative research can reveal the full range of …","ions, hypothetical ideas, solution of easiest Piagetian formal operations tasks, concepts of personality traits Coordination of abstractions, solution of most Piagetian fonnal operations tasks, concepts of personality dynamics Modal age of emergencea"
"Learning and development: The problems of compatibility, access and induction","https://scispace.com/paper/learning-and-development-the-problems-of-compatibility-3djah1xssp","1982","Journal Article","Human Development","Ann L. Brown","10.1159/000272791","","… about early cognition, other than language development, is … from achieving insights into qualitative growth mechanisms. … under this heading comparative human cognition as repre …","This paper represents a call for the rehabilitation and liberalizing of the term learning. The demise of the term in developmental psychology, together with the lack of attention to transition mechani"
"Variability of practice as an interface between motor and cognitive development","https://scispace.com/paper/variability-of-practice-as-an-interface-between-motor-and-3tmc5urvvs","2016","Journal Article","International journal of sport and exercise psychology","Caterina Pesce
Ronald V. Croce
Tal Dotan Ben-Soussan
Spyridoula Vazou
Bryan A. McCullick
Phillip D. Tomporowski
Michael Horvat","10.1080/1612197X.2016.1223421","","… as of cognitive development on positive trajectories of health … from the motor learning and exercise and cognition literature, … While they also conceived of motor learning as a stage-like …","In this commentary, we highlight intriguing commonalities between the research areas of exercise and cognition and motor skill development and learning. While these two research domains have developed on separate tracks, the focus on variability of practice is central to both. We adopt a joint sport science and neuroscience approach to identify the characteristics of designed motor learning experiences that can impact brain plasticity and cognitive development. Novelty, diversity, effort, and successfulness seem essential ingredients to render learning experiences meaningful to this aim. All these characteristics belong to the construct of variability as it is conceived in the informational and ecological approaches to motor skill learning. To transition theory into practice, we discuss how variability of practice can impact cognitive and particularly executive function development. In this context, we address the role of flexibility training to support key transitions in the development of cognitive cont..."
"Intrinsic motivation systems for autonomous mental development","https://scispace.com/paper/intrinsic-motivation-systems-for-autonomous-mental-a9mds7ef42","2007","Journal Article","IEEE Transactions on Evolutionary Computation","Pierre-Yves Oudeyer
Frédéric Kaplan
Verena V. Hafner","10.1109/TEVC.2006.890271","https://scispace.com/pdf/intrinsic-motivation-systems-for-autonomous-mental-a9mds7ef42.pdf","… Two experiments are presented illustrating the stage-like … that developmental approaches to cognition have to face [57]… (analysis of development in terms of qualitative sequences of dif…","Exploratory activities seem to be intrinsically rewarding for children and crucial for their cognitive development. Can a machine be endowed with such an intrinsic motivation system? This is the question we study in this paper, presenting a number of computational systems that try to capture this drive towards novel or curious situations. After discussing related research coming from developmental psychology, neuroscience, developmental robotics, and active learning, this paper presents the mechanism of Intelligent Adaptive Curiosity, an intrinsic motivation system which pushes a robot towards situations in which it maximizes its learning progress. This drive makes the robot focus on situations which are neither too predictable nor too unpredictable, thus permitting autonomous mental development. The complexity of the robot's activities autonomously increases and complex developmental sequences self-organize without being constructed in a supervised manner. Two experiments are presented illustrating the stage-like organization emerging with this mechanism. In one of them, a physical robot is placed on a baby play mat with objects that it can learn to manipulate. Experimental results show that the robot first spends time in situations which are easy to learn, then shifts its attention progressively to situations of increasing difficulty, avoiding situations in which nothing can be learned. Finally, these various results are discussed in relation to more complex forms of behavioral organization and data coming from developmental psychology"
"Exercise, sports, and performance arts benefit cognition via a common process.","https://scispace.com/paper/exercise-sports-and-performance-arts-benefit-cognition-via-a-3ut0althzp","2019","Journal Article","Psychological Bulletin","Phillip D. Tomporowski
Caterina Pesce","10.1037/BUL0000200","https://www.biggerbetterbrains.com.au/s/Tomporowski_Exercise-Sports-and-Performance-Arts-Benefit-Cognition-Via-a-Common-Process.pdf","… The quantitative approach to exercise effects on cognition parallels … that change in learning proceeds via a stage-like process along a … Cognitive enhancement: A comparative review of …","Exercise training is widely promoted as a method to enhance both physical health and cognitive function. Although routine exercise engenders physiological adaptations to the body and brain, its effects on mental processing are uncertain. Our review of the experimental evidence reveals that acknowledging the role of skill acquisition may help clarify the exercise-cognition relation. Instructional methods that optimize physical and mental challenge provide the conditions necessary to produce long-term changes in the way individuals process information, make decisions, select movements, and experience the consequences of actions. Main conclusions drawn by intersecting theory-based research on the linkages between chronic exercise and cognitive function and research on the associations of both sport and performance arts with cognitive function are as follows: (1) Exercise may be but one of many types of movement activities that can benefit cognition; (2) the process of skill acquisition provides a parsimonious explanation for outcomes across exercise, sport, and performing art studies; (3) the allocation of mental resources required during skill acquisition, independently from or interactively with the level of physical energy expenditure, is essential for reaping the largest cognitive benefits; and (4) cognitive benefits obtained via skill-acquisition interventions are enduring. This review also highlights issues that call for future research to provide convergent evidence for the relation between skill training and cognition; the inclusion of outcome measures other than executive functions; and a naturalistic translational approach to complement controlled experiments in chronic exercise and cognition and skill learning research. (PsycINFO Database Record (c) 2019 APA, all rights reserved)."
"Microgenetic analyses of learning","https://scispace.com/paper/microgenetic-analyses-of-learning-12p0u7imeq","2007","Reference Entry","","Robert S. Siegler","10.1002/9780470147658.CHPSY0211","https://scholar.archive.org/work/2t5fk6fckfcfhgagzbtiqonoau/access/wayback/http://www.cogsci.ucsd.edu/~deak/classes/COGS200Fall04/SieglerHandbk97.pdf","… of innovative methods for studying infant cognition added to this … of integrating qualitative and quantitative aspects of learning … interval, the more stagelike that development appeared. …","This chapter is based on three propositions: (1) learning is central to child development, (2) microgenetic analyses yield unique information about learning, and (3) the information yielded by microgenetic analysis is helping to create a vibrant new field of children's learning. In addition to providing arguments and evidence for these propositions, the chapter describes conclusions from microgenetic studies regarding the path, rate, breadth, variability, and sources of children's learning. Among the main conclusions are that: within-child variability is substantial at all ages from infancy to older adulthood, initial within-child variability tends to be positively related to subsequent learning, learning tends to progress through a regular sequence of knowledge states that parallel untutored development, the path of learning is usually similar for learners of different ages and different intellectual levels, new approaches are generated following success as well as failure of existing approaches, and requests to explain observations often promote learning above and beyond the effects of feedback and practice.


Keywords:

cognitive variability;
developmental sequences;
learning;
learning and development;
microgenetic;
self-explanation;
transfer"
"Walking on the borders: A measure of epistemic cognition in history","https://scispace.com/paper/walking-on-the-borders-a-measure-of-epistemic-cognition-in-olzf6gcfr6","2009","Journal Article","Journal of Experimental Education","Liliana Maggioni
Bruce VanSledright
Patricia A. Alexander","10.3200/JEXE.77.3.187-214","","… Although such descriptions mainly come from qualitative … epistemic cognition in history, the Beliefs about Learning and Teaching … path, even if it was far more complex than the stage-like …","The authors build on literature related to the development of epistemic cognition, research on historical thinking, and studies of individuals' epistemic beliefs. They designed this study to explore, develop, and test a measure of epistemic cognition in history. They administered the Beliefs about Learning and Teaching History Questionnaire to elementary teachers and college history professors, which represents an effort to construct a reliable and valid measure that could effectively monitor changes in epistemic cognition across large samples. Results from a confirmatory factor analysis suggested a good fit of a 2-factor model underlying the questionnaire. Responses from experts in the domain of history served as an initial attempt to validate the instrument."
"Associative Learning in Insects: Evolutionary Models, Mushroom Bodies, and a Neuroscientific Conundrum.","https://scispace.com/paper/associative-learning-in-insects-evolutionary-models-mushroom-1cjq28u6pn","2011","Journal Article","Comparative Cognition & Behavior Reviews","Karen L. Hollis
Lauren M. Guillette","10.3819/CCBR.2011.60004","https://www.researchgate.net/profile/Lauren-Guillette/publication/275940653_Associative_Learning_in_Insects_Evolutionary_Models_Mushroom_Bodies_and_a_Neuroscientific_Conundrum/links/5696259208aeab58a9a581ba/Associative-Learning-in-Insects-Evolutionary-Models-Mushroom-Bodies-and-a-Neuroscientific-Conundrum.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","… analysis involving a quantitative and qualitative survey of brain … between insects in their cognitive capacities is not likely to … value of learning, per se, but to demonstrate learning in a …","Environmental predictability has for many years been posited to be a key variable in whether learning is expected to evolve in particular species, a claim revisited in two recent papers. However, amongst many researchers, especially neuroscientists, consensus is building for a very different view, namely that learning ability may be an emergent property of nervous systems and, thus, all animals with nervous systems should be able to learn. Here we explore these differing views, sample research on associative learning in insects, and review our own work demonstrating learning in larval antlions (Neuroptera: Myrmeleontidae), a highly unlikely insect candidate. We conclude by asserting that the capacity for associative learning is the default condition favored by neuroscientists: Whenever selection pressures favor evolution of nervous systems, the capacity for associative learning follows ipso facto. Nonetheless, to reconcile these disparate views, we suggest that (a) models for the evolution of learning may instead be models for conditions overriding behavioral plasticity; and, (b) costs of learning in insects may be, in fact, costs associated with more complex cognitive skills, skills that are just beginning to be discovered, rather than simple associative learning."
"Development between the ages","https://scispace.com/paper/OrAnLa82aP8J","","","","A Wigfield
P Pintrich
J Eccles","","","… levels, involving not just quantitatively more of some function … the development of adolescents' and young adults' cognition … reflects global stage-like changes in cognitive skills as …",""
"Language acquisition and conceptual development","https://scispace.com/paper/language-acquisition-and-conceptual-development-4b8hkmbpmm","2001","Book","","Melissa Bowerman
Stephen C. Levinson","","https://www.researchgate.net/profile/Stephen-Levinson-2/publication/266497531_Language_Acquisition_and_Conceptual_Development/links/544768610cf22b3c14e0d660/Language-Acquisition-and-Conceptual-Development.pdf","… of a stage-like progression across all domains, we are offered a … kinds we desperately need comparative perspectives: we … the cognitive side, the more we learn about infant cognition, …","Preface Introduction Part I. Foundational Issues: 1. The mosaic evolution of cognitive and linguistic ontogeny Jonas Langer 2. Theories, language, and culture: Whorf without wincing Alison Gopnik 3. Initial knowledge and conceptual change: space and number Elizabeth S. Spelke and Sanna Tsivkin Part II. Constraints on Word Learning?: 4. How domain-general processes may create domain-specific biases Linda B. Smith 5. Perceiving intentions and learning words in the second year of life Michael Tomasello 6. Roots of word learning Paul Bloom Part III. Entities, Individuation, and Quantification: 7. Whorf versus continuity theorists: bringing data to bear on the debate Susan Carey 8. Individuation, relativity, and early word learning Dedre Gentner and Lera Boroditsky 9. Grammatical categories and the development of classification preferences: a comparative approach John A. Lucy and Suzanne Gaskins 10. Person in the language of singletons, siblings, and twins Werner Deutsch, Angela Wagner, Renate Buchardt, Nina Schultz and Jorg Nakath 11. Early representation for all, each, and their counterparts in Mandarin Chinese and Portuguese Patricia J. Brooks, Martin D. S. Braine, Gisele Jia and Maria da Graca Dias 12. Children's weak interpretations of universally quantified questions Kenneth F. Drozd Part IV. Relational Concepts in Form-Function Mapping: 13. Emergent categories in first language acquisition Eve V. Clark 14. Form-function relations: how do children find out what they are? Dan J. Slobin 15. Cognitive-conceptual development and the acquisition of grammatical morphemes: the development of time concepts and verb tense Heike Behrens 16. Shaping meanings for language: universal and language-specific in the acquisition of spatial semantic categories Melissa Bowerman and Soonja Choi 17. Learning to talk about motion UP and DOWN in Tzeltal: is there a language-specific bias for verb learning? Penelope Brown 18. Finding the richest path: language and cognition in the acquisition of verticality in Tzotzil (Mayan) Lourdes de Leon 19. Covariation between spatial language and cognition, and its implications for language learning Stephen C. Levinson Indexes."
