"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The learning curve: implications of a quantitative analysis","https://scispace.com/paper/the-learning-curve-implications-of-a-quantitative-analysis-37k1dtufsq","2004","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Charles R. Gallistel
Stephen Fairhurst
Peter D. Balsam","10.1073/PNAS.0404965101","https://www.pnas.org/doi/pdf/10.1073/pnas.0404965101","… the first change point and the change point after which the slope exceeded 80% of the asymptotic slope) was –0.69. In words, the later the first appearance of conditioned behavior, the …","The negatively accelerated, gradually increasing learning curve is an artifact of group averaging in several commonly used basic learning paradigms (pigeon autoshaping, delay- and trace-eye-blink conditioning in the rabbit and rat, autoshaped hopper entry in the rat, plus maze performance in the rat, and water maze performance in the mouse) The learning curves for individual subjects show an abrupt, often step-like increase from the untrained level of responding to the level seen in the well trained subject The rise is at least as abrupt as that commonly seen in psychometric functions in stimulus detection experiments It may indicate that the appearance of conditioned behavior is mediated by an evidence-based decision process, as in stimulus detection experiments If the appearance of conditioned behavior is taken instead to reflect the increase in an underlying associative strength, then a negligible portion of the function relating associative strength to amount of experience is behaviorally visible Consequently, rate of learning cannot be estimated from the group-average curve; the best measure is latency to the onset of responding, determined for each subject individually"
"The learning curve: Implications of a quantitative analysis","https://scispace.com/paper/the-learning-curve-implications-of-a-quantitative-analysis-37k1dtufsq","2004","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Charles R. Gallistel
Stephen Fairhurst
Peter D. Balsam","10.1073/PNAS.0404965101","https://scispace.com/pdf/the-learning-curve-implications-of-a-quantitative-analysis-37k1dtufsq.pdf","… the first upward change point and the change point at which … autoshaping studies and a study on aversive conditioning in … function rises), or by trial by trial the cumulative (running) sum. …","The negatively accelerated, gradually increasing learning curve is an artifact of group averaging in several commonly used basic learning paradigms (pigeon autoshaping, delay- and trace-eye-blink conditioning in the rabbit and rat, autoshaped hopper entry in the rat, plus maze performance in the rat, and water maze performance in the mouse) The learning curves for individual subjects show an abrupt, often step-like increase from the untrained level of responding to the level seen in the well trained subject The rise is at least as abrupt as that commonly seen in psychometric functions in stimulus detection experiments It may indicate that the appearance of conditioned behavior is mediated by an evidence-based decision process, as in stimulus detection experiments If the appearance of conditioned behavior is taken instead to reflect the increase in an underlying associative strength, then a negligible portion of the function relating associative strength to amount of experience is behaviorally visible Consequently, rate of learning cannot be estimated from the group-average curve; the best measure is latency to the onset of responding, determined for each subject individually"
"The learning curve, revisited.","https://scispace.com/paper/the-learning-curve-revisited-p3kloufg","2022","Journal Article","Journal of experimental psychology. Animal learning and cognition","Justin A. Harris","10.1037/xan0000331","","… the conditioning and extinction data from a large sample of rats, … That abrupt transition in responding was not reflected in … informativeness (Balsam & Gallistel, 2009; Gallistel & Latham, …","The nature of the operations that support learning should be evident in the form or shape of the learning curve. For example, models that describe learning as an iterative error-correction process expect that the amount learned on each trial follows a decelerating (negatively inflected) function. That prediction is broadly consistent with the shape of the acquisition and extinction curves derived from mean measures of response strength. However, such evidence can be flawed because group means may not accurately portray the response curves of individual subjects in a conditioning experiment. Moreover, such evidence relies on strong assumptions about the way that what has been learned is expressed in responding. The current work presents a new analytical approach to reveal the rate of change in responding across the course of conditioning in individual animals. When applied to the conditioning and extinction data from a large sample of rats, this analysis confirms that responses are acquired and extinguish gradually and, in both cases, follow a decelerating learning curve. That is, changes in responding are largest at the start of conditioning or extinction and get progressively smaller as responding approaches an asymptote. However, rather than conforming to the specific shape predicted by an error-correction process, the results suggest that the amount learned increases according to a logarithmic function such that responding during conditioning and extinction is proportional to the log of the number of trials. The implications of these findings for models of associative learning are discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)."
"Information, certainty, and learning","https://scispace.com/paper/information-certainty-and-learning-5r4k34o5d1ob","2024","Journal Article","bioRxiv","Justin A Harris
C. R. Gallistel","10.1101/2024.07.31.606111","https://elifesciences.org/articles/102155.pdf","… Harris and Gallistel trained rats to associate food with a light stimulus using various timing … The trial-by-trial values of the nD KL for every rat are plotted in the figures for individual rats in …","More than four decades ago, Gibbon and Balsam (1981) showed that the acquisition of Pavlovian conditioning in pigeons is directly related to the informativeness of the conditioning stimulus (CS) about the unconditioned stimulus (US), where informativeness is defined as the ratio of the US-US interval (C) to the CS-US interval (T). However, the evidence for this relationship in other species has been equivocal. Here, we describe an experiment that measured the acquisition of appetitive Pavlovian conditioning in 14 groups of rats trained with different C/T ratios (ranging from 1.5 to 300) to establish how learning is related to informativeness. We show that the number of trials required for rats to start responding to the CS is determined by the C/T ratio, and the specific scalar relationship between the rate of learning and informativeness is similar to that previously obtained with pigeons. We also found that the response rate after extended conditioning is strongly related to T, with the terminal CS response rate being a scalar function of the CS reinforcement rate (1/T). Moreover, this same scalar relationship extended to the rats’ overall response rates (during the CS and inter-trial interval) which was directly proportional to the overall rate of reinforcement in the context (1/C). The findings establish that animals encode rates of reinforcement, and that conditioning is directly related to how much information the CS provides about the US. The consistency of these observations across species, captured by a simple regression function, suggests a universal model of conditioning."
"Screening for learning and memory mutations: A new approach","https://scispace.com/paper/screening-for-learning-and-memory-mutations-a-new-approach-y8m7iy57zb","2010","Journal Article","Acta Psychologica Sinica","Charles R. Gallistel
A. P. King
Alan M. Daniel
David Freestone
E. B. Papachristos
Fuat Balcı
Aaron Kheifets
J. Zhang
X. Su
G. Schiff
H. Kourtev","10.3724/SP.J.1041.2010.00138","https://pmc.ncbi.nlm.nih.gov/articles/PMC2844986/pdf/nihms175556.pdf","… conditioned stimulus, because, as we will see, it elicits a … trial-by-trial or block-by-block average of a behavioral measure, for example, average time to reach the platform in a water maze …","We describe a fully automated, live-in 24/7 test environment, with experimental protocols that measure the accuracy and precision with which mice match the ratio of their expected visit durations to the ratio of the incomes obtained from two hoppers, the progress of instrumental and classical conditioning (trials-to-acquisition), the accuracy and precision of interval timing, the effect of relative probability on the choice of a timed departure target, and the accuracy and precision of memory for the times of day at which food is available. The system is compact; it obviates the handling of the mice during testing; it requires negligible amounts of experimenter/technician time; and it delivers clear and extensive results from 3 protocols within a total of 7–9 days after the mice are placed in the test environment. Only a single 24-hour period is required for the completion of first protocol (the matching protocol), which is strong test of temporal and spatial estimation and memory mechanisms. Thus, the system permits the extensive screening of many mice in a short period of time and in limited space. The software is publicly available."
"Autoshaped head poking in the mouse: a quantitative analysis of the learning curve","https://scispace.com/paper/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm","2006","Journal Article","Journal of the Experimental Analysis of Behavior","E. B. Papachristos
Charles R. Gallistel","10.1901/JEAB.2006.71-05","https://onlinelibrary.wiley.com/doi/pdf/10.1901/jeab.2006.71-05","… When a change point that meets the criterion has been identified, the algorithm begins anew… the just-identified change point and steps through the data vector after the change point. …","In autoshaping experiments, we quantified the acquisition of anticipatory head poking in individual mice, using an algorithm that finds changes in the slope of a cumulative record. In most mice, upward changes in the amount of anticipatory poking per trial were abrupt, and tended to occur at session boundaries, suggesting that the session is as significant a unit of experience as the trial. There were large individual differences in the latency to the onset of vigorous responding. “Asymptotic” performance was unstable; large, bidirectional, and relatively enduring changes were common. Given the characteristics of the individual learning curves, it is unlikely that physiologically meaningful estimates of rate of learning can be extracted from group-average learning curves."
"The rat approximates an ideal detector of changes in rates of reward: implications for the law of effect.","https://scispace.com/paper/the-rat-approximates-an-ideal-detector-of-changes-in-rates-2m2ay222bu","2001","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Charles R. Gallistel
Terence A. Mark
Adam Philip King
Peter E. Latham","10.1037//0097-7403.27.4.354","https://home.cs.colorado.edu/~mozer/Teaching/syllabi/CognitiveModeling/readings/Gallisteletal2001.pdf","Rats responded on 2 levers delivering brain stimulation reward on concurrent variable interval schedules. Following many successive sessions with unchanging relative rates of reward, …","Rats responded on two levers delivering brain stimulation reward on concurrent variable interval schedules. Following many successive sessions with unchanging relative rates of reward, subjects adjusted to an eventual change slowly and showed spontaneous reversions at the beginning of following sessions. When changes in rates of reward occurred between and within every session, subjects adjusted to them about as rapidly as they could in principle do so, as shown by comparison to a Bayesian model of an ideal detector. This and other features of the adjustments to frequent changes imply that the behavioral effect of reinforcement depends on the subject's perception of incomes and changes in incomes rather than on the strengthening and weakening of behaviors in accord with their past effects or expected results. Models for the process by which perceived incomes determine stay durations and for the process that detects changes in rates are developed."
"What is learned during simultaneous temporal acquisition? An individual-trials analysis","https://scispace.com/paper/what-is-learned-during-simultaneous-temporal-acquisition-an-4hal6gw06x","2014","Journal Article","Behavioural Processes","Marcelo Bussotti Reyes
Catalin V. Buhusi
Catalin V. Buhusi","10.1016/J.BEPROC.2013.09.008","https://pmc.ncbi.nlm.nih.gov/articles/PMC7119331/pdf/nihms-1552169.pdf","… identify changes in timing behavior when rats simultaneously acquire two criterion durations… used a change-point algorithm to identify changes in rats’ wait time. For each individual rat, …",""
"Theoretical implications of quantitative properties of interval timing and probability estimation in mouse and rat","https://scispace.com/paper/theoretical-implications-of-quantitative-properties-of-44ypd4ky66","2017","Journal Article","Journal of the Experimental Analysis of Behavior","Aaron Kheifets
David Freestone
Charles R. Gallistel","10.1002/JEAB.261","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jeab.261","… The second experiment asks whether large trial-by-trial variation in the intervals being timed … In most theories, the trial-by-trial variability in the attained state—the end result of the timing …","In three experiments with mice ( Mus musculus ) and rats (Rattus norvigicus), we used a switch paradigm to measure quantitative properties of the interval-timing mechanism. We found that: 1) Rodents adjusted the precision of their timed switches in response to changes in the interval between the short and long feed latencies (the temporal goalposts). 2) The variability in the timing of the switch response was reduced or unchanged in the face of large trial-to-trial random variability in the short and long feed latencies. 3) The adjustment in the distribution of switch latencies in response to changes in the relative frequency of short and long trials was sensitive to the asymmetry in the Kullback-Leibler divergence. The three results suggest that durations are represented with adjustable precision, that they are timed by multiple timers, and that there is a trial-by-trial (episodic) record of feed latencies in memory."
"Reconceptualized associative learning","https://scispace.com/paper/reconceptualized-associative-learning-utl0cf4775zd","2025","Journal Article","Perspectives on behavior science","C. R. Gallistel","10.1007/s40614-025-00442-8","https://link.springer.com/content/pdf/10.1007/s40614-025-00442-8.pdf","… than is required for ordinary conditioning in pigeon and rat. Further research can determine … from the pigeon and rat data to these data and to rabbit eyeblink data (Gallistel & Gibbon, …",""
