"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Learning of sameness/difference relationships by honey bees: performance, strategies and ecological context","https://scispace.com/paper/learning-of-sameness-difference-relationships-by-honey-bees-56rwbegz47","2021","Journal Article","Current opinion in behavioral sciences","Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1016/J.COBEHA.2020.05.008","","… Performance in this test reveals whether they have … concept learning in honey bees focusing on sameness/difference learning. Furthermore, we discuss the meaning of 'concept learning …","Humans and non-human primates learn conceptual relationships such as ‘same’ and ‘different, which have to be encoded independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high-level cognition and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honey bees also learns the conceptual relationships of sameness and difference and transfers these relationships to novel stimuli. We review evidence about sameness/difference learning in bees and analyze its adaptive value within an ecological context. The experiments reviewed cannot be accounted for by low-level strategies and challenge, therefore, the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts."
"Conceptual learning by miniature brains","https://scispace.com/paper/conceptual-learning-by-miniature-brains-47bquqp0ed","2013","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2013.1907","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2013.1907","… Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual … We review here evidence about concept learning in honeybees and discuss both its …","Concepts act as a cornerstone of human cognition. Humans and non-human primates learn conceptual relationships such as ‘same’, ‘different’, ‘larger than’, ‘better than’, among others. In all cases, the relationships have to be encoded by the brain independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high levels of cognitive sophistication and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual relationships involving visual stimuli. Concepts such as ‘same’, ‘different’, ‘above/below of’ or ‘left/right are well mastered by bees. We review here evidence about concept learning in honeybees and discuss both its potential adaptive advantage and its possible neural substrates. The results reviewed here challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts and have wide implications for understanding how brains can form conceptual relations."
"Conceptualization of relative size by honeybees","https://scispace.com/paper/conceptualization-of-relative-size-by-honeybees-1fzzl8txtt","2014","Journal Article","Frontiers in Behavioral Neuroscience","Aurore Avarguès-Weber
Daniele d’Amaro
Marita Metzler
Adrian G. Dyer","10.3389/FNBEH.2014.00080","https://www.frontiersin.org/journals/behavioral-neuroscience/articles/10.3389/fnbeh.2014.00080/pdf","… concept learning. Once training was completed, the bees were subjected to non-rewarded transfer … Martin Giurfa on previous versions of the manuscript. Adrian G. Dyer was supported …","The ability to process visual information using relational rules allows for decisions independent of the specific physical attributes of individual stimuli. Until recently, the manipulation of relational concepts was considered as a prerogative of large mammalian brains. Here we show that individual free flying honeybees can learn to use size relationship rules to choose either the larger or smaller stimulus as the correct solution in a given context, and subsequently apply the learnt rule to novel colors and shapes providing that there is sufficient input to the long wavelength (green) photoreceptor channel. Our results add a novel, size-based conceptual rule to the set of relational concepts that honeybees have been shown to master and underline the value of bees as an animal model for studying the emergence of conceptualization abilities."
"Individual consistency in the learning abilities of honey bees: cognitive specialization within sensory and reinforcement modalities","https://scispace.com/paper/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc","2023","Journal Article","Animal Cognition","Valerie Finke
Ricarda Scheiner
Martin Giurfa
Aurore Avarguès-Weber","10.1007/s10071-022-01741-2","https://link.springer.com/content/pdf/10.1007/s10071-022-01741-2.pdf","… The honey bee (Apis mellifera) is an appropriate model to … studied if the ability of honey bees to learn a simple discrimination … Across all experiments, an individual’s proficiency to learn …","The question of whether individuals perform consistently across a variety of cognitive tasks is relevant for studies of comparative cognition. The honey bee (Apis mellifera) is an appropriate model to study cognitive consistency as its learning can be studied in multiple elemental and non-elemental learning tasks. We took advantage of this possibility and studied if the ability of honey bees to learn a simple discrimination correlates with their ability to solve two tasks of higher complexity, reversal learning and negative patterning. We performed four experiments in which we varied the sensory modality of the stimuli (visual or olfactory) and the type (Pavlovian or operant) and complexity (elemental or non-elemental) of conditioning to examine if stable correlated performances could be observed across experiments. Across all experiments, an individual's proficiency to learn the simple discrimination task was positively and significantly correlated with performance in both reversal learning and negative patterning, while the performances in reversal learning and negative patterning were positively, yet not significantly correlated. These results suggest that correlated performances across learning paradigms represent a distinct cognitive characteristic of bees. Further research is necessary to examine if individual cognitive consistency can be found in other insect species as a common characteristic of insect brains. "
"Simultaneous mastering of two abstract concepts by the miniature brain of bees","https://scispace.com/paper/simultaneous-mastering-of-two-abstract-concepts-by-the-1t1n2l5bfr","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Aurore Avarguès-Weber
Adrian G. Dyer
Maud Combe
Martin Giurfa","10.1073/PNAS.1202576109","https://www.pnas.org/doi/pdf/10.1073/pnas.1202576109","… We found that the miniature brains of honey bees rapidly learn to … Notably, honey bees extracted the concept of difference … processing steps to resolve concept learning tasks (22). …","Sorting objects and events into categories and concepts is a fundamental cognitive capacity that reduces the cost of learning every particular situation encountered in our daily lives. Relational concepts such as “same,” “different,” “better than,” or “larger than”—among others—are essential in human cognition because they allow highly efficient classifying of events irrespective of physical similarity. Mastering a relational concept involves encoding a relationship by the brain independently of the physical objects linked by the relation and is, therefore, consistent with abstraction capacities. Processing several concepts at a time presupposes an even higher level of cognitive sophistication that is not expected in an invertebrate. We found that the miniature brains of honey bees rapidly learn to master two abstract concepts simultaneously, one based on spatial relationships (above/below and right/left) and another based on the perception of difference. Bees that learned to classify visual targets by using this dual concept transferred their choices to unknown stimuli that offered a best match in terms of dual-concept availability: their components presented the appropriate spatial relationship and differed from one another. This study reveals a surprising facility of brains to extract abstract concepts from a set of complex pictures and to combine them in a rule for subsequent choices. This finding thus provides excellent opportunities for understanding how cognitive processing is achieved by relatively simple neural architectures."
"Learning and cognition in insects","https://scispace.com/paper/learning-and-cognition-in-insects-32r6wbfg77","2015","Journal Article","Wiley Interdisciplinary Reviews: Cognitive Science","Martin Giurfa","10.1002/WCS.1348","https://www.researchgate.net/profile/Martin-Giurfa/publication/273836345_Learning_and_cognition_in_insects_Learning_and_insect_cognition/links/5a263533a6fdcc8e866bb984/Learning-and-cognition-in-insects-Learning-and-insect-cognition.pdf","… attention, social learning, individual recognition, concept learning, and metacognition, and … whether honey bees learn an above/below relationship between visual stimuli and transfer it …","Insects possess small brains but exhibit sophisticated behavioral performances. Recent works have reported the existence of unsuspected cognitive capabilities in various insect species, which go beyond the traditional studied framework of simple associative learning. In this study, I focus on capabilities such as attention, social learning, individual recognition, concept learning, and metacognition, and discuss their presence and mechanistic bases in insects. I analyze whether these behaviors can be explained on the basis of elemental associative learning or, on the contrary, require higher-order explanations. In doing this, I highlight experimental challenges and suggest future directions for investigating the neurobiology of higher-order learning in insects, with the goal of uncovering l architectures underlying cognitive processing. © 2015 John Wiley & Sons, Ltd."
"A comparison of concept learning ability in honeybees and bumblebees using matching-to-sample tasks","https://scispace.com/paper/mf8x-emu7BAJ","","","","R Willemet","","https://www.biorxiv.org/content/biorxiv/early/2026/02/03/2026.01.31.703063.full.pdf","… expanded the scope of concept learning in honeybee cognition, yet most … honeybees demonstrating success, remains unexplained. This study compared the performance of honeybees …",""
"The conceptual mind: New directions in the study of concepts","https://scispace.com/paper/the-conceptual-mind-new-directions-in-the-study-of-concepts-2oanv0acso","2015","Book","","Eric Margolis
Stephen Laurence","","","… (Giurfa 2007; Giurfa and Sandoz 2012). Here we will focus on visual learning protocols in which free-flying honeybees are … Experiments on concept learning in bees have all used this …","The study of concepts has advanced dramatically in recent years, with exciting new findings and theoretical developments. Core concepts have been investigated in greater depth and new lines of inquiry have blossomed, with researchers from an ever broader range of disciplines making important contributions. In this volume, leading philosophers and cognitive scientists offer original essays that present the state-of-the-art in the study of concepts. These essays, all commissioned for this book, do not merely present the usual surveys and overviews; rather, they offer the latest work on concepts by a diverse group of theorists as well as discussions of the ideas that should guide research over the next decade. The book is an essential companion volume to the earlier Concepts: Core Readings, the definitive source for classic texts on the nature of concepts. The essays cover concepts as they relate to animal cognition, the brain, evolution, perception, and language, concepts across cultures, concept acquisition and conceptual change, concepts and normativity, concepts in context, and conceptual individuation. The contributors include such prominent scholars as Susan Carey, Nicola Clayton, Jerry Fodor, Douglas Medin, Joshua Tenenbaum, and Anna Wierzbicka. ContributorsAurore Avargues-Weber, Eef Ameel, Megan Bang, H. Clark Barrett, Pascal Boyer, Elisabeth Camp, Susan Carey, Daniel Casasanto, Nicola S. Clayton, Dorothy L. Cheney, Vyvyan Evans, Jerry A. Fodor, Silvia Gennari, Tobias Gerstenberg, Martin Giurfa, Noah D. Goodman, J. Kiley Hamlin, James A. Hampton, Mutsumi Imai, Charles W. Kalish, Frank Keil, Jonathan Kominsky, Stephen Laurence, Gary Lupyan, Edouard Machery, Bradford Z. Mahon, Asifa Majid, Barbara C. Malt, Eric Margolis, Douglas Medin, Nancy J. Nersessian, bethany ojalehto, Anna Papafragou, Joshua M. Plotnik, Noburo Saji, Robert M. Seyfarth, Joshua B. Tenenbaum, Sandra Waxman, Daniel A. Weiskopf, Anna Wierzbicka"
"Conceptual learning by miniature brains","https://scispace.com/paper/conceptual-learning-by-miniature-brains-47bquqp0ed","2013","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa","10.1098/RSPB.2013.1907","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2013.1907","… ( Giurfa 2007 ; Giurfa and Sandoz 2012 ). Here we will focus on visual learning protocols in which free-flying honeybees are … Experiments on concept learning in bees have all used this …","Concepts act as a cornerstone of human cognition. Humans and non-human primates learn conceptual relationships such as ‘same’, ‘different’, ‘larger than’, ‘better than’, among others. In all cases, the relationships have to be encoded by the brain independently of the physical nature of objects linked by the relation. Consequently, concepts are associated with high levels of cognitive sophistication and are not expected in an insect brain. Yet, various works have shown that the miniature brain of honeybees rapidly learns conceptual relationships involving visual stimuli. Concepts such as ‘same’, ‘different’, ‘above/below of’ or ‘left/right are well mastered by bees. We review here evidence about concept learning in honeybees and discuss both its potential adaptive advantage and its possible neural substrates. The results reviewed here challenge the traditional view attributing supremacy to larger brains when it comes to the elaboration of concepts and have wide implications for understanding how brains can form conceptual relations."
"Cognitive neuroscience and miniature brains—Dissecting higher-order learning in the brain of honey bees","https://scispace.com/paper/0D-nV6xm5x8J","","","","M Giurfa","","","Despite having a miniature brain—smaller than one cubic millimeter and comprising roughly one million neurons—honey bees display a rich behavioral repertoire in which learning …",""
