"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Cognitive maps in rats and men.","https://scispace.com/paper/cognitive-maps-in-rats-and-men-14ekzg34cs","1948","Journal Article","Psychological Review","Edward Chace Tolman","10.1037/H0061626","http://www.colinallen.dnsalias.org/Readings/1948-Tolman.pdf","… In other words, I feel that this experiment reinforces the notion of the largely active selective character in the rat's building up of his cognitive map. He often has to look actively for the …","I shall devote the body of this paper to a description of experiments with rats. But I shall also attempt in a few words at the close to indicate the significance of these findings on rats for the clinical behavior of men. Most of the rat investigations, which I shall report, were carried out in the Berkeley laboratory. But I shall also include, occasionally, accounts of the behavior of non-Berkeley rats who obviously have misspent their lives in out-of-State laboratories. Furthermore, in reporting our Berkeley experiments I shall have to omit a very great many. The ones I shall talk about were carried out by graduate students (or underpaid research assistants) who, supposedly, got some of their ideas from me. And a few, though a very few, were even carried out by me myself. Let me begin by presenting diagrams for a couple of typical mazes, an alley maze and an elevated maze. In the typical experiment a hungry rat is put at the entrance of the maze (alley or elevated), and wanders about through the various true path segments and blind alleys until he finally comes to the food box and eats. This is repeated (again in the typical experiment) one trial every 24 hours and the animal tends to make fewer and fewer errors (that is, blindalley entrances) and to take less and less time between start and goal-box until finally he is entering no blinds at all and running in a very few seconds from start to goal. The results are usually presented in the form of average curves of blind-entrances, or of seconds from start to finish, for groups of rats. All students agree as to the facts. They disagree, however, on theory and explanation. (1) First, there is a school of animal psychologists which believes that the maze behavior of rats is a matter of mere simple stimulus-response connections. Learning, according to them, consists in the strengthening of some of these connections and in the weakening of others. According to this ‘stimulus-response’ school the rat in progressing down the maze is helplessly responding to a succession of external stimulisights, sounds, smells, pressures, etc. impinging upon his external sense organs-plus internal stimuli coming from the viscera and from the skeletal muscles. Figure 1: Plan of maze 14-Unit T-Alley Maze. (From M.H. Elliot, The effect of change of reward on the maze performance of rats. University of California Publications in Psychology, 1928, 4, 20.)"
"Cognitive Maps in Rats","https://scispace.com/paper/kLAU6pm3GCcJ","","","","EC Tolman","","","… Further, in a study of individual differences by myself, Geier, and Levin (actually done by … the largely active selective character in the rat's building up of his cognitive map. He often has to …",""
"A mechanistic approach to individual differences in spatial learning, memory, and navigation","https://scispace.com/paper/a-mechanistic-approach-to-individual-differences-in-spatial-30cxswp54x","2013","Book Chapter","Psychology of Learning and Motivation","Amy L. Shelton
Steven A. Marchette
Andrew J. Furman","10.1016/B978-0-12-407187-2.00006-X","https://co-mind.org/rdmaterials/pdfs/chapters/plm_59.pdf#page=234","… of the work on individual differences in navigation in humans. However, animal models of basic learning mechanisms may also offer substantial insight into individual differences in both …","Navigation is a complex task that depends on the processes of perception, learning, memory, and reasoning to be successful. Given this complexity, it is not surprising that humans (and other species) vary dramatically in their approach and success at navigation. This wide range of abilities has been of great interest to the field of human spatial cognition. In addition, spatial navigation is a cross-species phenomenon that can speak to a variety of learning and memory processes. Therefore, understanding individual differences in this domain can offer a wide range of insights that affect many behaviors in the real world. A cognitive framework that gives precedent to the flexible use of spatial information and explicit or declarative learning processes has driven much of the work on individual differences in navigation in humans. However, animal models of basic learning mechanisms may also offer substantial insight into individual differences in both how well people navigate their surroundings and in the strategies or styles that they bring to bear on the navigational problems. This mechanistic approach may offer a stronger foundation for not only how individual differences might emerge but also how they interact with differences in the environments and goals that drive our need to learn, remember, and navigate in the world."
"Accounting for sensitivity of latent learning to behavioral statistics with successor representations","https://scispace.com/paper/ozxps6-5kNgJ","","","","M Menezes
X Zeng
S Cheng","","https://www.biorxiv.org/content/biorxiv/early/2025/10/24/2025.03.01.640768.full.pdf","… days, with trials ending when the animal reached the empty place where the reward would be … This, in turn, helped the agents learn faster trial-by-trial than in the simulations exclusively …",""
"Revealing the mechanisms underlying latent learning with successor representations","https://scispace.com/paper/revealing-the-mechanisms-underlying-latent-learning-with-uibavsas59l6","2025","Journal Article","bioRxiv","Matheus Chaves Menezes
Xiangshuai Zeng
Sen Cheng","10.1101/2025.03.01.640768","https://www.researchgate.net/profile/Matheus-Menezes-5/publication/389512675_Revealing_the_mechanisms_underlying_latent_learning_with_successor_representations/links/67cb5aafcc055043ce6f37b4/Revealing-the-mechanisms-underlying-latent-learning-with-successor-representations.pdf","… latent learning and its modulation using computational modeling based on the deep successor representation (DSR), a recent model for cognitive map … underlying latent learning and …",""
"Mapping individual variations in learning capacity","https://scispace.com/paper/mapping-individual-variations-in-learning-capacity-47drc2lz5e","2011","Journal Article","International Journal of Comparative Psychology","Eduardo Mercado","","https://escholarship.org/content/qt08n0x08j/qt08n0x08j_noSplash_9e80a5d5b26806bcdf260a8fe7902b6a.pdf","… is considered in which individual differences in learning … A strong animal can move objects a weaker animal cannot. A … for characterizing individual differences that depends less on …","Individual differences in learning capacity are evident in humans and most other animals. Traditionally, such differences are described in terms of variations along a relatively small number of psychological dimensions corresponding to behavioral traits. Here, an alternative approach is considered in which individual differences in learning capacity are characterized by spatially sorting behavioral patterns. To illustrate this approach, a two-dimensional self-organizing feature map wasused to analyze patterns in the performances of intact and cortically-lesioned rats engaged in multiple learning tasks. After training, the spatial structure of the map revealed systematic variations inlearning across rats that were related to the degree of brain damage. Individual nodes within the map described prototypical performance profiles that corresponded closely to patterns of learning seen in individual rats, including individuals with idiosyncratic profiles. Techniques that automatically identify modal patterns of performance during learning may provide new insights into the processes that determine what an individual organism can learn."
"Individual differences in slow-wave-sleep predict acquisition of full cognitive maps","https://scispace.com/paper/individual-differences-in-slow-wave-sleep-predict-2t5aux6fjg","2018","Journal Article","Frontiers in Human Neuroscience","Itamar Lerner
Mark A. Gluck","10.3389/FNHUM.2018.00404","https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2018.00404/pdf","… cognitive map. Here, we hypothesized that sleep may facilitate implicit and explicit development of a full cognitive map … To that end, we fitted a learning curve for each participant’s scores…","Accumulating evidence suggests that sleep, and particularly Slow-Wave-Sleep (SWS), helps the implicit and explicit extraction of regularities within memories that were encoded in a previous wake period. Sleep following training on virtual navigation was also shown to improve performance in subsequent navigation tests. Some studies propose that this sleep-effect on navigation is based on explicit recognition of landmarks; however, it is possible that SWS-dependent extraction of implicit spatiotemporal regularities contributes as well. To examine this possibility, we administered a novel virtual navigation task in which participants were required to walk through a winding corridor and then choose one of five marked doors to exit. Unknown to participants, the markings on the correct door reflected the corridor's shape (from a bird's eye view). Detecting this regularity negates the need to find the exit by trial and error. Participants performed the task twice a day for a week, while their overnight sleep was monitored. We found that the more time participants spent in SWS across the week, the better they were able to implicitly extract the hidden regularity. In contrast, the few participants that explicitly realized the regularity did not rely on SWS to do so. Moreover, the SWS effect was strictly at the trait-level: Baseline levels of SWS prior to the experimental week could predict success just as well, but day-to-day variations in SWS did not predict day-to-day improvements. We propose that our findings indicate SWS facilitates implicit integration of new information into cognitive maps, possibly through compressed memory replay."
"A critical review of latent learning and related experiments.","https://scispace.com/paper/a-critical-review-of-latent-learning-and-related-experiments-1riqs4qwnw","1951","Journal Article","Psychological Bulletin","Donald Thistlethwaite","10.1037/H0055171","","… with which the animal is presented in the foregoing latent learning … It has been found that latent learning is most easily … yields reliable measurements of individual differences in maze …",""
"Humans can navigate complex graph structures acquired during latent learning","https://scispace.com/paper/humans-can-navigate-complex-graph-structures-acquired-during-3t62emvm1c","2021","Posted Content","bioRxiv","Milena Rmus
Harrison Ritz
Lindsay E. Hunter
Aaron M. Bornstein
Amitai Shenhav","10.1101/723072","https://www.sciencedirect.com/science/article/am/pii/S0010027722000919","… to learning to reason about shortest-path distances across a graph structure acquired across disjoint experiences with randomized edges of the graph - a form of latent learning. In other …","Humans appear to represent many forms of knowledge in associative networks whose nodes are multiply connected, including sensory, spatial, and semantic. Recent work has shown that explicitly augmenting artificial agents with such graph-structured representations endows them with more human-like capabilities of compositionality and transfer learning. An open question is how humans acquire these representations. Previously, it has been shown that humans can learn to navigate graph-structured conceptual spaces on the basis of direct experience with trajectories that intentionally draw the network contours (Schapiro et al., 2012;2016), or through direct experience with rewards that covary with the underlying associative distance (Wu et al., 2018). Here, we provide initial evidence that this capability is more general, extending to learning to reason about shortest-path distances across a graph structure acquired across disjoint experiences with randomized edges of the graph - a form of latent learning. In other words, we show that humans can infer graph structures, assembling them from disordered experiences. We further show that the degree to which individuals learn to reason correctly and with reference to the structure of the graph corresponds to their propensity, in a separate task, to use model-based reinforcement learning to achieve rewards. This connection suggests that the correct acquisition of graph-structured relationships is a central ability underlying forward planning and reasoning, and may be a core computation across the many domains in which graph-based reasoning is advantageous."
"A room with a view and a polarizing cue: Individual differences in the stimulus control of place navigation and passive latent learning in the water maze","https://scispace.com/paper/a-room-with-a-view-and-a-polarizing-cue-individual-4jwtwbb1z4","2002","Journal Article","Neurobiology of Learning and Memory","Bryan D. Devan
Herbert L. Petri
Mortimer Mishkin
Eric M. Stouffer
Jonna L. Bowker
Pingbo Yin
Deanne M. Buffalari
James L. Olds
James L. Olds","10.1006/NLME.2001.4057","https://www.academia.edu/download/42816340/NLM2002.pdf","… We investigated individual differences in the stimulus control … environment to measures of latent learning (via passive placement … Latent learning was assessed by the animal’s escape …",""
