"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Individual differences in slow-wave-sleep predict acquisition of full cognitive maps","https://scispace.com/paper/individual-differences-in-slow-wave-sleep-predict-2t5aux6fjg","2018","Journal Article","Frontiers in Human Neuroscience","Itamar Lerner
Mark A. Gluck","10.3389/FNHUM.2018.00404","https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2018.00404/pdf","… development of a full cognitive map during navigation in a … (A) Examples of individual learning curves and exponential … without insight into the maps structure; learning with insight; little …","Accumulating evidence suggests that sleep, and particularly Slow-Wave-Sleep (SWS), helps the implicit and explicit extraction of regularities within memories that were encoded in a previous wake period. Sleep following training on virtual navigation was also shown to improve performance in subsequent navigation tests. Some studies propose that this sleep-effect on navigation is based on explicit recognition of landmarks; however, it is possible that SWS-dependent extraction of implicit spatiotemporal regularities contributes as well. To examine this possibility, we administered a novel virtual navigation task in which participants were required to walk through a winding corridor and then choose one of five marked doors to exit. Unknown to participants, the markings on the correct door reflected the corridor's shape (from a bird's eye view). Detecting this regularity negates the need to find the exit by trial and error. Participants performed the task twice a day for a week, while their overnight sleep was monitored. We found that the more time participants spent in SWS across the week, the better they were able to implicitly extract the hidden regularity. In contrast, the few participants that explicitly realized the regularity did not rely on SWS to do so. Moreover, the SWS effect was strictly at the trait-level: Baseline levels of SWS prior to the experimental week could predict success just as well, but day-to-day variations in SWS did not predict day-to-day improvements. We propose that our findings indicate SWS facilitates implicit integration of new information into cognitive maps, possibly through compressed memory replay."
"Individual differences in knowledge acquisition from maps","https://scispace.com/paper/individual-differences-in-knowledge-acquisition-from-maps-j8vldczxkc","1979","","","Perry W. Thorndyke
Cathleen Stasz","","https://apps.dtic.mil/sti/tr/pdf/ADA065040.pdf","… We attempt to provide some insight into the knowledge-acquisition process by identifying the learning strategies and control processes people use when studying a map. We shall …",": This study investigated the strategies people use to acquire knowledge from maps. Three expert and five novice map users studied a map and provided verbal protocols of their study behavior. Analysis of the learning protocols suggested four categories of processes that were invoked during learning: attention, encoding, evaluation, and control. Large individual differences in both performance and strategy usage were observed in this task. Analyses of the performance and strategy data revealed that the use of certain strategies in each category, particularly those used for encoding spatial information, was most predictive of learning performance. In addition, good learners differed from poor learners in their ability to evaluate their learning progress and to focus their attention on learned information. An analysis of the performance of map-using experts suggested that success in learning depended on strategies and not on familiarity with the task domain or materials. The implications of these results for training extertise in map learning are discussed."
"A mechanistic approach to individual differences in spatial learning, memory, and navigation","https://scispace.com/paper/a-mechanistic-approach-to-individual-differences-in-spatial-30cxswp54x","2013","Book Chapter","Psychology of Learning and Motivation","Amy L. Shelton
Steven A. Marchette
Andrew J. Furman","10.1016/B978-0-12-407187-2.00006-X","https://co-mind.org/rdmaterials/pdfs/chapters/plm_59.pdf#page=234","… individual differences in navigation in humans. However, animal models of basic learning mechanisms may also offer substantial insight into individual differences … individual differences …","Navigation is a complex task that depends on the processes of perception, learning, memory, and reasoning to be successful. Given this complexity, it is not surprising that humans (and other species) vary dramatically in their approach and success at navigation. This wide range of abilities has been of great interest to the field of human spatial cognition. In addition, spatial navigation is a cross-species phenomenon that can speak to a variety of learning and memory processes. Therefore, understanding individual differences in this domain can offer a wide range of insights that affect many behaviors in the real world. A cognitive framework that gives precedent to the flexible use of spatial information and explicit or declarative learning processes has driven much of the work on individual differences in navigation in humans. However, animal models of basic learning mechanisms may also offer substantial insight into individual differences in both how well people navigate their surroundings and in the strategies or styles that they bring to bear on the navigational problems. This mechanistic approach may offer a stronger foundation for not only how individual differences might emerge but also how they interact with differences in the environments and goals that drive our need to learn, remember, and navigate in the world."
"Learning map interpretation: Skill acquisition and underlying abilities","https://scispace.com/paper/learning-map-interpretation-skill-acquisition-and-underlying-8tk8nht86p","1998","Journal Article","Journal of Environmental Psychology","Sharon Tkacz","10.1006/JEVP.1998.0094","","… that provide insight into individual differences in performance. … Individual differences in video game performance suggest … cognitive processes underlying cognitive mapping. Orientation …",""
"Neurophysiological evidence for cognitive map formation during sequence learning","https://scispace.com/paper/neurophysiological-evidence-for-cognitive-map-formation-4lzj0ap5xa","2021","Posted Content","bioRxiv","Jennifer Stiso
Christopher W. Lynn
Christopher W. Lynn
Ari E. Kahn
Vinitha Rangarajan
Karol P. Szymula
Ryan Archer
Andrew Revell
Joel M. Stein
Brian Litt
Kathryn A. Davis
Timothy H. Lucas
Bassett Ds","10.1101/2021.09.07.459302","https://www.eneuro.org/content/eneuro/9/2/ENEURO.0361-21.2022.full.pdf","… of transition probabilities between items, or a cognitive map. However, work testing explicit … We use a model that infers an individual’s cognitive map from sequential reaction times and …","Humans deftly parse statistics from sequences. Some theories posit that humans learn these statistics by forming \emph{cognitive maps}, or underlying representations of the latent space which links items in the sequence. Here, an item in the sequence is a node, and the probability of transitioning between two items is an edge. Sequences can then be generated from walks through the latent space, with different spaces giving rise to different sequence statistics. Individual or group differences in sequence learning can be modeled by changing the time scale over which estimates of transition probabilities are built, or in other words, by changing the amount of temporal discounting. Latent space models with temporal discounting bear a resemblance to models of navigation through Euclidean spaces. However, few explicit links have been made between predictions from Euclidean spatial navigation and neural activity during human sequence learning. Here, we use a combination of behavioral modeling and intracranial encephalography (iEEG) recordings to investigate how neural activity might support the formation of space-like cognitive maps through temporal discounting during sequence learning. Specifically, we acquire human reaction times from a sequential reaction time task, to which we fit a model that formulates the amount of temporal discounting as a single free parameter. From the parameter, we calculate each individual9s estimate of the latent space. We find that neural activity reflects these estimates mostly in the temporal lobe, including areas involved in spatial navigation. Similar to spatial navigation, we find that low dimensional representations of neural activity allow for easy separation of important features, such as modules, in the latent space. Lastly, we take advantage of the high temporal resolution of iEEG data to determine the time scale on which latent spaces are learned. We find that learning typically happens within the first 500 trials, and is modulated by the underlying latent space and the amount of temporal discounting characteristic of each participant. Ultimately, this work provides important links between behavioral models of sequence learning and neural activity during the same behavior, and contextualizes these results within a broader framework of domain general cognitive maps."
"Learning the environment: The acquisition of cognitive maps","https://scispace.com/paper/learning-the-environment-the-acquisition-of-cognitive-maps-3i1h7nj5wt","2018","Other","","Toru Ishikawa","10.4337/9781784717544.00014","","… Tolman argued that these results suggest that the rats … Importantly, Tolman’s discussion emphasized the importance of … alternative framework points to individual differences in the extent …",""
"Learning Curve","https://scispace.com/paper/learning-curve-1fa78ejbm6","2012","Book","","Jeremy Ron
Laya Lu
Maya Ray","","","… different in terms of knowledge and insight. He believed that it is … Edward Chace Tolman used three learning curves to describe … Tolman referred to this type of learning as latent learning. …",""
"The causes of variation in learning and behavior: why individual differences matter","https://scispace.com/paper/the-causes-of-variation-in-learning-and-behavior-why-iubd4byiwz","2013","Journal Article","Frontiers in Psychology","Bruno Sauce
Louis D. Matzel","10.3389/FPSYG.2013.00395","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2013.00395/pdf","… insight into how individual predispositions interact to modulate this influence on associability. In this “new” light, we discuss examples from studies of individual differences in … to Tolman “…","In a seminal paper written five decades ago, Cronbach discussed the two highly distinct approaches to scientific psychology: experimental and correlational. Today, although these two approaches are fruitfully implemented and embraced across some fields of psychology, this synergy is largely absent from other areas, such as in the study of learning and behavior. Both Tolman and Hull, in a rare case of agreement, stated that the correlational approach held little promise for the understanding of behavior. Interestingly, this dismissal of the study of individual differences was absent in the biologically-oriented branches of behavior analysis, namely, behavioral genetics and ethology. Here we propose that the distinction between “causation” and “causes of variation” (with its origins in the field of genetics) reveal the potential value of the correlational approach in understanding the full complexity of learning and behavior. Although the experimental approach can illuminate the causal variables that modulate learning, the analysis of individual differences can elucidate how much and in which way variables interact to support variations in learning in complex natural environments. For example, understanding that a past experience with a stimulus influences its “associability” provides little insight into how individual predispositions interact to modulate this influence on associability. In this “new” light, we discuss examples from studies of individual differences in animals’ performance in the Morris Water Maze and from our own work on individual differences in general intelligence in mice. These studies illustrate that, opposed to what Underwood famously suggested, studies of individual differences can do much more to psychology than merely providing preliminary indications of cause-effect relationships."
"Humans can navigate complex graph structures acquired during latent learning","https://scispace.com/paper/humans-can-navigate-complex-graph-structures-acquired-during-3t62emvm1c","2021","Posted Content","bioRxiv","Milena Rmus
Harrison Ritz
Lindsay E. Hunter
Aaron M. Bornstein
Amitai Shenhav","10.1101/723072","https://www.sciencedirect.com/science/article/am/pii/S0010027722000919","… to learning to reason about shortest-path distances across a graph structure acquired across disjoint experiences with randomized edges of the graph - a form of latent learning. In other …","Humans appear to represent many forms of knowledge in associative networks whose nodes are multiply connected, including sensory, spatial, and semantic. Recent work has shown that explicitly augmenting artificial agents with such graph-structured representations endows them with more human-like capabilities of compositionality and transfer learning. An open question is how humans acquire these representations. Previously, it has been shown that humans can learn to navigate graph-structured conceptual spaces on the basis of direct experience with trajectories that intentionally draw the network contours (Schapiro et al., 2012;2016), or through direct experience with rewards that covary with the underlying associative distance (Wu et al., 2018). Here, we provide initial evidence that this capability is more general, extending to learning to reason about shortest-path distances across a graph structure acquired across disjoint experiences with randomized edges of the graph - a form of latent learning. In other words, we show that humans can infer graph structures, assembling them from disordered experiences. We further show that the degree to which individuals learn to reason correctly and with reference to the structure of the graph corresponds to their propensity, in a separate task, to use model-based reinforcement learning to achieve rewards. This connection suggests that the correct acquisition of graph-structured relationships is a central ability underlying forward planning and reasoning, and may be a core computation across the many domains in which graph-based reasoning is advantageous."
"Habit formation and higher mental processes in animals.","https://scispace.com/paper/habit-formation-and-higher-mental-processes-in-animals-54ezzvgyjx","1927","Journal Article","Psychological Bulletin","Edward Chace Tolman","10.1037/H0070440","","… Under this general head of maze-pattern we may cite again the finding of Sams and Tolman (110) that a ""temporally"" longer true path is eliminated before a temporally shorter true path. …",""
