"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3","2022","Posted Content","bioRxiv","G. Ramalinga Reddy","10.1101/2022.05.06.490910","https://www.pnas.org/doi/pdf/10.1073/pnas.2215352119","… assumed that the animal has a unique representation of each corridor in the maze from the outset. Of course, this representation would have to be learned before the animal can assign …","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of ‘sudden insight’ when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically-plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a ‘reinforcement wave’ with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task."
"Mice in a labyrinth show rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-show-rapid-learning-sudden-insight-and-lihisls4kr","2021","Journal Article","eLife","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.7554/ELIFE.66175","https://elifesciences.org/articles/66175.pdf","… The single outlier animal barely entered the maze and never progressed past the first … pose a challenge to conventional models of reinforcement learning, in which reward events are the …","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal explores the maze, quickly discovers the location of a reward, and executes correct 10-bit choices after only 10 reward experiences - a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules."
"Dynamic inverse reinforcement learning for characterizing animal behavior","https://scispace.com/paper/dynamic-inverse-reinforcement-learning-for-characterizing-vifmcv3o","","Proceedings Article","Neural Information Processing Systems","Zoe C. Ashwood
Aditi Jha
Jonathan W. Pillow","","https://proceedings.neurips.cc/paper_files/paper/2022/file/bf215fa7fe70a38c5e967e59c44a99d0-Paper-Conference.pdf","… reinforcement learning (DIRL), an IRL method that allows for time-varying reward functions. DIRL parametrizes the animal… and labyrinth environments), as well as on real mouse decision…","Understanding decision-making is a core objective in both neuroscience and psychology, and computational models have often been helpful in the pursuit of this goal. While many models have been developed for characterizing behavior in binary decision-making and bandit tasks, comparatively little work has focused on animal decision-making in more complex tasks, such as navigation through a maze. Inverse reinforcement learning (IRL) is a promising approach for understanding such behavior, as it aims to infer the unknown reward function of an agent from its observed trajectories through state space. However, IRL has yet to be widely applied in neuroscience. One potential reason for this is that existing IRL frameworks assume that an agent’s reward function is fixed over time. To address this shortcoming, we introduce dynamic inverse reinforcement learning (DIRL), a novel IRL framework that allows for time-varying intrinsic rewards. Our method parametrizes the unknown reward function as a time-varying linear combination of spatial reward maps (which we refer to as “goal maps”). We develop an efficient inference method for recovering this dynamic reward function from behavioral data. We demonstrate DIRL in simulated experiments and then apply it to a dataset of mice exploring a labyrinth. Our method returns interpretable reward functions for two separate cohorts of mice, and provides a novel characterization of exploratory behavior. We expect DIRL to have broad applicability in neuroscience, and to facilitate the design of biologically-inspired reward functions for training artificial agents."
"Probabilistic Models for Characterizing Animal Learning and Decision-Making","https://scispace.com/paper/6OVOf-UijSgJ","","","","ZC Ashwood","","","… into components explainable by a reinforcement learning rule, and components that … to applying inverse reinforcement learning (IRL) to the trajectories of mice exploring a maze …",""
"Modeling Complex Animal Behavior with Latent State Inverse Reinforcement Learning","https://scispace.com/paper/modeling-complex-animal-behavior-with-latent-state-inverse-7j7k4vl53ub6","2024","Journal Article","","Aditi Jha
Victor Geadah
Jonathan W. Pillow","10.1101/2024.11.13.623515","","… Our results show that three distinct internal states sufficiently describe animal behavior in the labyrinth. One state consistently corresponded to a canonical water-seeking thirst state …","Understanding complex animal behavior is crucial for linking brain computation to observed actions. While recent research has shifted towards modeling behavior as a dynamic process, few approaches exist for modeling long-term, naturalistic behaviors such as navigation. We introduce discrete Dynamical Inverse Reinforcement Learning (dDIRL), a latent state-dependent paradigm for modeling complex animal behavior over extended periods. dDIRL models animal behavior as being driven by internal state-specific rewards, with Markovian transitions between the distinct internal states. Using expectation-maximization, we infer reward functions corresponding to each internal states and the transition probabilities between them, from observed behavior. We applied dDIRL to water-starved mice navigating a labyrinth, analyzing each animal individually. Our results reveal three distinct internal states sufficient to describe behavior, including a consistent water-seeking state occupied for less than half the time. We also identified two clusters of animals with different exploration patterns in the labyrinth. dDIRL offers a nuanced understanding of how internal states and their associated rewards shape observed behavior in complex environments, paving the way for deeper insights into the neural basis of naturalistic behavior. "
"Intentions and creative insights: a reinforcement learning study of creative exploration in problem-solving.","https://scispace.com/paper/mMi9mIyqjAAJ","","","","TR Colin","","https://pearl.plymouth.ac.uk/context/secam-theses/article/1008/viewcontent/2020colin10492198phd.pdf","… literature, including animal studies, … reinforcement learning theory of insight, establishing a connection between the properties of insight and those of hierarchical reinforcement learning …",""
"Evolutionary computation and the reinforcement learning problem","https://scispace.com/paper/evolutionary-computation-and-the-reinforcement-learning-2l3zwdtlf6","2023","Book Chapter","Genetic and evolutionary computation","Stephen M. Kelly
Jory Schossau","10.1007/978-981-99-3814-8_4","","… Reinforcement Learning (RL) is a machine learning problem in which an agent must learn how to map situations to actions in an unknown world in order to maximise the sum of future …","Evolution by natural selection has built a vast array of highly efficient lifelong learningLifelong learning organisms, as evidenced by the spectacular diversityDiversity of species that rapidly adapt to environmental change and acquire new problem-solving skills through experience. Reinforcement Learning (RL) is a machine learning problem in which an agent must learn how to map situations to actions in an unknown world in order to maximise the sum of future rewards. There are no labelled examples of situation $$\rightarrow $$ action mappingsMapping to learn from and we assume that no model of environment dynamics is available. As such, learning requires active trial-and-error interaction with the world. Evolutionary Reinforcement Learning (EvoRL), the application of evolutionary computation in RL, models this search process at multiple time scales: individual learning during the lifetime of an agent (i.e., operant conditioning) and population-wide learning through natural selection. Both modes of adaptation are wildly creative and fundamental to natural systems. This chapter discusses how EvoRL addresses some critical challenges in RL including the computational costComputational cost of extended interactions, the temporal credit assignmentCredit assignment problem, partial-observability of state, nonstationary and multi-task environments, transfer learningTransfer learning, and hierarchical problem decomposition. In each case, the unique potential of EvoRL is highlighted in parallel with open challenges and research opportunities. "
"Modeling the Basal Ganglia in Mice Through Reinforcement Learning in Maze Solving","https://scispace.com/paper/p4vTUqVQtSgJ","","","","H Ramezani","","https://www.hoomanramezani.com/data/rl-maze-pathfinding.pdf","… from a mouse brain via deep reinforcement learning. The … This is akin to the reward system of reinforcement learning. … debate about continuous or discontinuous learning, the model …",""
"On state representations and behavioural modelling methods in reinforcement learning","https://scispace.com/paper/CkbSb1GTVXEJ","","","","H Siljebråt","","https://research.gold.ac.uk/id/eprint/33671/1/COM_thesis_SiljebratH_2023.pdf","… of reinforcement learning (RL), and its relation to other areas of the cognitive sciences. We start with a brief history where we connect RL to its origins of animal … Insight learning occurs …",""
"Biological Intelligence: From Behavior to Learning Theory","https://scispace.com/paper/dh7RRbucTw0J","","","","T Zhang","","","… ii) A binary tree labyrinth used in mouse navigation experiments [6], with 2 goals (home and … “From reinforcement learning models to psychiatric and neurological disorders”. In: Nature …",""
