"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Predicting vocabulary growth in children with and without specific language impairment: A longitudinal study from 2; 6 to 21 years of age","https://scispace.com/paper/cSMF3zxseHoJ","","","","ML Rice
L Hoffman","","https://pmc.ncbi.nlm.nih.gov/articles/PMC4398600/pdf/JSLHR-58-345.pdf","… of Kansas Human Subjects Committee, of children with SLI … The age at first time of assessment varies across children; for … ability to acquire new words versus shared family environment. …",""
"Expressive vocabulary development in children from bilingual and monolingual homes: A longitudinal study from two to four years","https://scispace.com/paper/expressive-vocabulary-development-in-children-from-bilingual-4vswh1997t","2014","Journal Article","Early Childhood Research Quarterly","Erika Hoff
Rosario Rumiche
Andrea Burridge
Krystal M. Ribot
Stephanie N. Welsh","10.1016/J.ECRESQ.2014.04.012","https://pmc.ncbi.nlm.nih.gov/articles/PMC4114737/pdf/nihms602431.pdf","… The early course of language development among children from … in expressive vocabulary from 22 to 48 months and vocabulary … of children from bilingual homes (children with one and …",""
"Examining Early Vocabulary Growth Trajectories in Late Talkers in a Low‐Income Longitudinal Sample","https://scispace.com/paper/examining-early-vocabulary-growth-trajectories-in-late-desa74sta3o8","2025","Journal Article","Infancy","Britt Singletary
Hui Jiang
Winifred Graham Wilberforce
Daniela Avelar
Kristina Strother‐Garcia
Laura M. Justice","10.1111/infa.70036","https://onlinelibrary.wiley.com/doi/pdf/10.1111/infa.70036","… This study explores growth trajectories for child vocabulary … -child dyads who provided data at TP4, while individuals from the … We used CDI Words Produced sum scores longitudinally …","Studies show children in low-income households have heightened risk of developing as late talkers (LTs). Scholars have attributed the cause of these differences to variability in child-directed and observed language input, parenting quality, attendance at childcare facilities, or some combination therein, as briefly reviewed. However, this study focuses on a sample entirely of families experiencing low income to explore differences within this group. This study explores growth trajectories for child vocabulary production from age 8-30 months in a racially-diverse low-income longitudinal sample in the U.S. (n = 199). Using multi-level multiple group models, we explore differences in growth trajectories for LTs and non-LT peers (identified: age 22-30 months) and identify the age at which vocabulary sizes begin to significantly differ, controlling for the effects of child age-at-test, sex, primary home language, and mother's education. Results show distinctly different trajectories, such that: (1) LTs experience relatively flat growth resulting in significantly smaller vocabulary sizes over time and (2) divergence occurs at ∼11 months. Future research is needed to fully understand how and why LT trajectories begin to differ so significantly at this age, and how we can better intervene earlier to reduce the likelihood of LT. "
"Infant word segmentation and childhood vocabulary development: a longitudinal analysis","https://scispace.com/paper/infant-word-segmentation-and-childhood-vocabulary-45szrfno4q","2012","Journal Article","Developmental Science","Leher Singh
J. Steven Reznick
Liang Xuehua","10.1111/J.1467-7687.2012.01141.X","https://pmc.ncbi.nlm.nih.gov/articles/PMC3383643/pdf/nihms-349354.pdf","… for children who segmented words successfully compared to those that did not, pointing to domain-specific … First, low vocabulary outcome children showed lower recognition scores than …","Infants begin to segment novel words from speech by 7.5 months, demonstrating an ability to track, encode and retrieve words in the context of larger units. Although it is presumed that word recognition at this stage is a prerequisite to constructing a vocabulary, the continuity between these stages of development has not yet been empirically demonstrated. The goal of the present study is to investigate whether infant word segmentation skills are indeed related to later lexical development. Two word segmentation tasks, varying in complexity, were administered in infancy and related to childhood outcome measures. Outcome measures consisted of age-normed productive vocabulary percentiles and a measure of cognitive development. Results demonstrated a strong degree of association between infant word segmentation abilities at 7 months and productive vocabulary size at 24 months. In addition, outcome groups, as defined by median vocabulary size and growth trajectories at 24 months, showed distinct word segmentation abilities as infants. These findings provide the first prospective evidence supporting the predictive validity of infant word segmentation tasks and suggest that they are indeed associated with mature word knowledge. A video abstract of this article can be viewed at http://www.youtube.com/watch?v=jxzLi5oLZQ8."
"Individual differences in lexical processing at 18 months predict vocabulary growth in typically developing and late-talking toddlers","https://scispace.com/paper/individual-differences-in-lexical-processing-at-18-months-2yt6dh5m01","2012","Journal Article","Child Development","Anne Fernald
Virginia A. Marchman","10.1111/J.1467-8624.2011.01692.X","https://pmc.ncbi.nlm.nih.gov/articles/PMC3266972/pdf/nihms333662.pdf","… longitudinal design, we explore relations between language … objects and listened to speech naming one of the pictures. The … vocabulary of 263.1 words averaged across all individuals …","Using online measures of familiar word recognition in the looking-while-listening procedure, this prospective longitudinal study revealed robust links between processing efficiency and vocabulary growth from 18 to 30 months in children classified as typically developing (n = 46) and as ""late talkers"" (n = 36) at 18 months. Those late talkers who were more efficient in word recognition at 18 months were also more likely to ""bloom,"" showing more accelerated vocabulary growth over the following year, compared with late talkers less efficient in early speech processing. Such findings support the emerging view that early differences in processing efficiency evident in infancy have cascading consequences for later learning and may be continuous with individual differences in language proficiency observed in older children and adults."
"A prospective longitudinal study of language development in late talkers","https://scispace.com/paper/a-prospective-longitudinal-study-of-language-development-in-1t56wmkz1m","1994","Journal Article","Journal of Speech Language and Hearing Research","Susan Ellis Weismer
Janmie Murray-Branch
Jon F. Miller","10.1044/JSHR.3704.852","","… These subjects were identified from a group of 23 children … , is whether the course of vocabulary development was … felt he was experiencing a noticeable language spurt just as we were …","This longitudinal investigation charted the course of cognitive and language development from the prelinguistic period to multiword productions in 19 typically developing (TD) toddlers and 4 toddle..."
"Early lexical acquisition: Rate, content, and the vocabulary spurt","https://scispace.com/paper/early-lexical-acquisition-rate-content-and-the-vocabulary-5flexx5291","1990","Journal Article","Journal of Child Language","Beverly A. Goldfield
J. Steven Reznick","10.1017/S0305000900013167","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0305000900013167","… data from a longitudinal study of early lexical development to examine change in the rate of word-learning as children acquire their first 75 or more words. … subjects is that the language …","The transition from slow to rapid word-learning was examined in a longitudinal study of 18 children. Beginning at age 1.2, mothers kept a diary of children's words. Diary entries were discussed during phone calls to the home every 2 1/2 weeks. A chronological record of nouns and other word classes was coded from the diary records. Thirteen children evidenced a prolonged period of up to three months during which rate of acquisition markedly increased. Almost three-quarters of the words learned during this period were nouns. Five children evidenced more gradual word-learning, and acquired a balance of nouns and other word classes. These results suggest that the terms 'vocabulary spurt' and 'naming explosion' best describe children who focus their early linguistic efforts on a single strategy: learning names for things. Other children may attempt to encode a broad range of experience with a more varied lexicon, a strategy that results in more gradual lexical growth."
"Linear mixed-model analysis to examine longitudinal trajectories in vocabulary depth and breadth in children who are hard of hearing","https://scispace.com/paper/linear-mixed-model-analysis-to-examine-longitudinal-1tko98aw7q","2019","Journal Article","Journal of Speech Language and Hearing Research","Elizabeth A. Walker
Alexandra Redfern
Jacob Oleson","10.1044/2018_JSLHR-L-ASTM-18-0250","https://pmc.ncbi.nlm.nih.gov/articles/PMC6802902/pdf/JSLHR-62-525.pdf","… individual's vocabulary knowledge, we also want to consider vocabulary depth or how well we know words… are met, (b) we have complete data on all subjects, and (c) we have relatively …","Purpose Children who are hard of hearing (CHH) tend to have reduced vocabularies compared to children with normal hearing (CNH). Prior research on vocabulary skills in children with hearing loss ha..."
"Early lexical development in German: A study on vocabulary growth and vocabulary composition during the second and third year of life","https://scispace.com/paper/early-lexical-development-in-german-a-study-on-vocabulary-365h9wnrin","2002","Journal Article","Journal of Child Language","Christina Kauschke
C. Hofmeister","10.1017/S0305000902005330","https://scholar.archive.org/work/pqdw5tyjdnd3faxo2hifcgg5eu/access/wayback/http://www.christina-kauschke.de/__site/pdf/Kauschke_Hofmeister_2002.pdf","… describes the development of various categories of words and … children were studied longitudinally through recordings made … vocabulary spurt is a hallmark of the development of every …","This paper focuses on aspects of early lexical acquisition in German. There have been conflicting results in the literature concerning both the pattern of vocabulary growth and the composition of the early lexicon. Our study describes the development of various categories of words and questions the preponderance of nouns in spontaneous speech. 32 children were studied longitudinally through recordings made at age 1;1, 1;3, 1;9 and 3;0. The following properties of the data were investigated: vocabulary size in relation to age, frequency of word use, and distribution of word categories. The results show that use of both types and tokens increases with time. A trend analysis indicates an exponential increase in vocabulary production in the second year, followed by a further expansion. This vocabulary spurt-like pattern can be observed in the use of word types and tokens. The findings in regard to vocabulary composition illustrate the dynamics present in the development of word categories. In the beginning, children use mostly relational words, personal-social words and some onomatopoeic terms. These categories are gradually complemented with nouns, verbs, function words and other words so that we see a balanced lexicon by 3;0. Trend analyses clarify characteristic developmental patterns in regard to certain word categories. Our spontaneous speech data does not support a strong noun-bias hypothesis."
"Ties between the lexicon and grammar: Cross-sectional and longitudinal studies of bilingual toddlers","https://scispace.com/paper/ties-between-the-lexicon-and-grammar-cross-sectional-and-1wn3eivpqa","2006","Journal Article","Child Development","Barbara T. Conboy
Donna J. Thal","10.1111/J.1467-8624.2006.00899.X","","… words by bilingual toddlers is linked to within-language vocabulary size, and used a longitudinal … There was significant between-subject variation in the intercept values for all four …","Studies using the English and Spanish MacArthur Communicative Development Inventories demonstrated that the grammatical abilities of 20-30-month-old bilingual children were related more strongly to same-language vocabulary development than to broader lexical-conceptual development or maturation. First, proportions of different word types in each language varied with same-language vocabulary size. Second, individual changes in predicate and closed class word proportion scores were linked to growth in same-language vocabulary but not to total conceptual vocabulary. Third, increases in English utterance length and English and Spanish sentence complexity were related to growth in same-language vocabulary but not to growth in conceptual vocabulary. Increases in Spanish utterance length were linked to growth in both Spanish vocabulary and conceptual vocabulary. Possible mechanisms underlying these patterns are considered."
