"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Dynamics of the vocal imitation process: how a zebra finch learns its song","https://scispace.com/paper/dynamics-of-the-vocal-imitation-process-how-a-zebra-finch-5bhvv9gh5p","2001","Journal Article","Science","Ofer Tchernichovski
Partha P. Mitra
Thierry Lints
Fernando Nottebohm","10.1126/SCIENCE.1058522","https://www.researchgate.net/profile/Ofer-Tchernichovski/publication/12050921_Dynamics_of_the_Vocal_Imitation_Process_How_a_Zebra_Finch_Learns_Its_Song/links/00b7d51d979297e85b000000/Dynamics-of-the-Vocal-Imitation-Process-How-a-Zebra-Finch-Learns-Its-Song.pdf","… Zebra finch (Taeniopygia guttata) males develop their song … changes in song features in an individual bird is shown in (D)… 5), we present an imitation trajectory of a different song syllable…","Song imitation in birds provides good material for studying the basic biology of vocal learning. Techniques were developed for inducing the rapid onset of song imitation in young zebra finches and for tracking trajectories of vocal change over a 7-week period until a match to a model song was achieved. Exposure to a model song induced the prompt generation of repeated structured sounds (prototypes) followed by a slow transition from repetitive to serial delivery of syllables. Tracking this transition revealed two phenomena: (i) Imitations of dissimilar sounds can emerge from successive renditions of the same prototype, and (ii) developmental trajectories for some sounds followed paths of increasing acoustic mismatch until an abrupt correction occurred by period doubling. These dynamics are likely to reflect underlying neural and articulatory constraints on the production and imitation of sounds."
"Comparisons of different methods to train a young zebra finch (Taeniopygia guttata) to learn a song","https://scispace.com/paper/comparisons-of-different-methods-to-train-a-young-zebra-29liw2eh15","2013","Journal Article","Journal of Physiology-paris","Sébastien Derégnaucourt
Colline Poirier
Anne van der Kant
Annemie Van der Linden
Manfred Gahr","10.1016/J.JPHYSPARIS.2012.08.003","https://hal.parisnanterre.fr/hal-01478479/file/Deregnaucourt_JPhysiol_revision.pdf","… -individual variability; while some finches learned … finches exhibited vocal changes after dph 100 and that the range of these changes was negatively related to their imitation of the song …","Like humans, oscine songbirds exhibit vocal learning. They learn their song by imitating conspecifics, mainly adults. Among them, the zebra finch (Taeniopygia guttata) has been widely used as a model species to study the behavioral, cellular and molecular substrates of vocal learning. Various methods using taped song playback have been used in the laboratory to train young male finches to learn a song. Since different protocols have been applied by different research groups, the efficiency of the studies cannot be directly compared. The purpose of our study was to address this problem. Young finches were raised by their mother alone from day post hatching (dph) 10 and singly isolated from dph 35. One week later, exposure to a song model began, either using a live tutor or taped playback (passive or self-elicited). At dph 100, the birds were transferred to a common aviary. We observed that one-to-one live tutoring is the best method to get a fairly complete imitation. Using self-elicited playback we observed high inter-individual variability; while some finches learned well (including good copying of the song model), others exhibited poor copying. Passive playback resulted in poor imitation of the model. We also observed that finches exhibited vocal changes after dph 100 and that the range of these changes was negatively related to their imitation of the song model. Taken together, these results suggest that social aspects are predominant in the success outcome of song learning in the zebra finch."
"Song choice in juvenile zebra finches (Taeniopygia guttata)","https://scispace.com/paper/Df6H1aTY-pMJ","","","","VA Moreno","","https://repository.arizona.edu/bitstream/handle/10150/280236/azu_td_3073286_sip1_m.pdf?sequence=1","… .1, a sound analysis program developed at the Laboratory of … column mean for bird 3, the average score for his aggression … system such as zebra finch bird song development to reveal …",""
"Development of temporal structure in zebra finch song","https://scispace.com/paper/development-of-temporal-structure-in-zebra-finch-song-3ubpdo90e6","2013","Journal Article","Journal of Neurophysiology","Christopher M. Glaze
Todd W. Troyer","10.1152/JN.00578.2012","https://journals.physiology.org/doi/prev/20121121-aop/pdf/10.1152/jn.00578.2012","… adult zebra finch song, the spectral features of individual song … of songs from a given bird and a given age range as the “bird… point (t) in the clip, a match score [c(t)] was computed as the …","Zebra finch song has provided an excellent case study in the neural basis of sequence learning, with a high degree of temporal precision and tight links with precisely timed bursting in forebrain neurons. To examine the development of song timing, we measured the following four aspects of song temporal structure at four age ranges between 65 and 375 days posthatch: the mean durations of song syllables and the silent gaps between them, timing variability linked to song tempo, timing variability expressed independently across syllables and gaps, and transition probabilities between consecutive syllable pairs. We found substantial increases in song tempo between 65 and 85 days posthatch, due almost entirely to a shortening of gaps. We also found a decrease in tempo variability, also specific to gaps. Both the magnitude of the increase in tempo and the decrease in tempo variability were correlated on gap-by-gap basis with increases in the reliability of corresponding syllable transitions. Syllables had no systematic increase in tempo or decrease in tempo variability. In contrast to tempo parameters, both syllables and gaps showed an early sharp reduction in independent variability followed by continued reductions over the first year. The data suggest that links between syllable-based representations are strengthened during the later parts of the traditional period of song learning and that song rhythm continues to become more regular throughout the first year of life. Similar learning patterns have been identified in human sequence learning, suggesting a potentially rich area of comparative research."
"Development and adult phase plasticity of syllable repetitions in the birdsong of captive zebra finches (Taeniopygia guttata).","https://scispace.com/paper/development-and-adult-phase-plasticity-of-syllable-5a635uh8uw","2003","Journal Article","Behavioral Neuroscience","Santosh A. Helekar
G. G. Espino
A. Botas
David B. Rosenfield","10.1037/0735-7044.117.5.939","","… of female-directed songs, each male bird was isolated in a … accuracy is a global similarity score that combines both of the … University/Bell Laboratories sound analysis program. Data …","Oscines learn their birdsongs from tutors. The authors found that a small fraction (approximately 7%) of captive male zebra finches (Taeniopygia guttata) produce variant acoustic birdsong profiles consisting of repetitions of single song syllables at high frequencies. Juvenile offspring of nonrepeaters can selectively learn the syntactic rule or habit of repeating syllables from repeaters. Adult tutored syllable repeaters, unlike spontaneous repeaters, undergo a form of song plasticity involving progressive reduction of the mean number and variance of repeated syllables as a function of long-term exposure to nonrepeater songs without altering the number or sequence of syllables within motifs. These findings suggest that aspects of song syntax or temporal frame can be acquired independently of song syllable or spectral content, and plasticity involving restorative alteration of acquired variant temporal frames can occur after the closure of the critical period for song learning."
"The interplay of within-species perceptual predispositions and experience during song ontogeny in zebra finches (Taeniopygia guttata)","https://scispace.com/paper/the-interplay-of-within-species-perceptual-predispositions-1fmb8m75kl","2014","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Sita M. ter Haar
Wiebke Kaemper
Koen A. Stam
Clara C. Levelt
Carel ten Cate","10.1098/RSPB.2014.1860","https://scispace.com/pdf/the-interplay-of-within-species-perceptual-predispositions-1fmb8m75kl.pdf","… bird was tutored with a different song. All stimuli were modified using Praat … SAP analyses of zebra finch songs. For comparison, natural tutor–tutee comparisons reveal a similarity score …","Vocal acquisition in songbirds and humans shows many similarities, one of which is that both involve a combination of experience and perceptual predispositions. Among languages some speech sounds are shared, while others are not. This could reflect a predisposition in young infants for learning some speech sounds over others, which combines with exposure-based learning. Similarly, in songbirds, some sounds are common across populations, while others are more specific to populations or individuals. We examine whether this is also due to perceptual preferences for certain within-species element types in naive juvenile male birds, and how such preferences interact with exposure to guide subsequent song learning. We show that young zebra finches lacking previous song exposure perceptually prefer songs with more common zebra finch song element types over songs with less common elements. Next, we demonstrate that after subsequent tutoring, birds prefer tutor songs regardless of whether these contain more common or less common elements. In adulthood, birds tutored with more common elements showed a higher song similarity to their tutor song, indicating that the early bias influenced song learning. Our findings help to understand the maintenance of similarities and the presence of differences among birds' songs, their dialects and human languages."
"Vocal imitation in zebra finches is inversely related to model abundance","https://scispace.com/paper/vocal-imitation-in-zebra-finches-is-inversely-related-to-27gvp360xu","1999","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Ofer Tchernichovski
Thierry Lints
Partha P. Mitra
Fernando Nottebohm","10.1073/PNAS.96.22.12901","https://www.pnas.org/doi/pdf/10.1073/pnas.96.22.12901","… A juvenile male zebra finch, Taeniopygia guttata, kept singly … We calculated the motif duration for each bird by using the … , we combined them to a global similarity score. The global …","A juvenile male zebra finch, Taeniopygia guttata, kept singly with its father develops a fairly complete imitation of the father’s song. The imitation is less complete when other male siblings are present, possibly because as imitation commences, model abundance increases. Here we examine the consequences of allowing more or less access to a song model. Young males heard a brief song playback when they pecked at a key, but different males were allowed to hear different numbers of playbacks per day. Using an automated procedure that scored the similarity between model and pupil songs, we discovered that 40 playbacks of the song motif per day, lasting a total of 30 sec, resulted in a fairly complete imitation. More exposure led to less complete imitation. Vocal imitation often may reflect the interaction of diverse influences. Among these, we should now include the possible inhibitory effect of model overabundance, which may foster individual identity and explain the vocal diversity found in zebra finches and other songbirds."
"Are there species-universal categories in bird song phonology and syntax? A comparative study of chaffinches (Fringilla coelebs), zebra finches (Taenopygia guttata) …","https://scispace.com/paper/rJNKUyFKK6UJ","","","","RF Lachlan
L Verhagen
S Peters","","https://www.researchgate.net/profile/Robert-Lachlan-2/publication/41531093_Are_There_Species-Universal_Categories_in_Bird_Song_Phonology_and_Syntax_A_Comparative_Study_of_Chaffinches_Fringilla_coelebs_Zebra_Finches_Taenopygia_guttata_and_Swamp_Sparrows_Melospiza_georgiana/links/0a85e532e2e463178b000000/Are-There-Species-Universal-Categories-in-Bird-Song-Phonology-and-Syntax-A-Comparative-Study-of-Chaffinches-Fringilla-coelebs-Zebra-Finches-Taenopygia-guttata-and-Swamp-Sparrows-Melospiza-georgiana.pdf","… analyses using the Luscinia sound analysis program (Luscinia … , we calculated distances between each of the 6 tutor songs, … researchers to score the similarity of these song pairs based …",""
"An Ecological Perspective On Song Learning In The Zebra Finch (Taeniopygia Guttata): The Role Of Social Influences","https://scispace.com/paper/an-ecological-perspective-on-song-learning-in-the-zebra-4sqnab8dw9","2013","Dissertation","","Otilia Menyhart","","https://ecommons.cornell.edu/bitstream/handle/1813/34064/om38.pdf?sequence=1","… are important for canalizing the developmental trajectory. Such an … and sensitive to reinforcement (Tchernichovski, Mitra, Lints & … Thus, to reveal development in action, we took the …","Vocal development of juvenile songbirds and human infants requires interactions with adults to develop its proper form and function. Learning in many songbird species requires more than mere exposure to the song model, as the timing, speed, and accuracy of learning typically differ when exposed to live versus taped tutors. What mechanisms drive the superior learning performance associated with live interactions? Young learners can elicit contingent responses from adult social companions (e.g., in brown-headed cowbirds and human infants) in different modalities (e.g., wing strokes and social smiling) that reinforce learning and promote more advanced vocalizations. We studied vocal development in zebra finches to assess relations between vocal precursors in juveniles and contingent responses from the parents. Eight families were recorded between 30-75 days, and social interactions surrounding juvenile or adult song were analyzed. Juvenile and father song were compared when juveniles reached song maturation. We find that both parents contribute to juvenile song learning. Juveniles whose immature song received more contingent song from their fathers copied their father’s song sequence more accurately. Conversely, adult song preceding juvenile song predicted less accurate learning. The courtship song of the adult male appears to be an especially powerful signal. Non-vocal feedback from mothers also predicts song learning. The number of maternal fluff-ups around and especially before juvenile song positively correlated with later sequential similarity between"
"Zebra finch song phonology and syntactical structure across populations and continents—a computational comparison","https://scispace.com/paper/zebra-finch-song-phonology-and-syntactical-structure-across-zykxwuu2wj","2016","Journal Article","Frontiers in Psychology","Robert F. Lachlan
Robert F. Lachlan
Caroline A. A. van Heijningen
Sita M. ter Haar
Carel ten Cate","10.3389/FPSYG.2016.00980","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.00980/pdf","… Learned bird songs are often characterized by a high degree of … adult male zebra finch (Taeniopygia guttata) songs recorded from 13 … (A) The trajectory of song cultural evolution in two …","Learned bird songs are often characterized by a high degree of variation between individuals and sometimes between populations, while at the same time maintaining species specificity. The evolution of such songs depends on the balance between plasticity and constraints. Captive populations provide an opportunity to examine signal variation and differentiation in detail, so we analyzed adult male zebra finch (Taeniopygia guttata) songs recorded from 13 populations across the world, including one sample of songs from wild-caught males in their native Australia. Cluster analysis suggested some, albeit limited, evidence that zebra finch song units belonged to universal, species-wide categories, linked to restrictions in vocal production and non-song parts of the vocal repertoire. Across populations, songs also showed some syntactical structure, although any song unit could be placed anywhere within the song. On the other hand, there was a statistically significant differentiation between populations, but the effect size was very small, and its communicative significance dubious. Our results suggest that variation in zebra finch songs within a population is largely determined by species-wide constraints rather than population-specific features. Although captive zebra finch populations have been sufficiently isolated to allow them to genetically diverge, there does not appear to have been any divergence in the genetically determined constraints that underlie song learning. Perhaps more surprising is the lack of locally diverged cultural traditions. Zebra finches serve as an example of a system where frequent learning errors may rapidly create within-population diversity, within broad phonological and syntactical constraints, and prevent the formation of long-term cultural traditions that allow populations to diverge."
