"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Mice in a labyrinth show rapid learning, sudden insight, and efficient exploration.","https://scispace.com/paper/mice-in-a-labyrinth-show-rapid-learning-sudden-insight-and-lihisls4kr","2021","Journal Article","eLife","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.7554/ELIFE.66175","","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal explores the maze, quickly discovers the location of a reward, and executes correct 10-bit choices after only 10 reward experiences - a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.","In this paper, the authors study the behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it, showing that a mouse in the labyrinth makes ~2000 navigation decisions per hour and executes correct 10-bit choices after only 10 reward experiences."
"Mice in a labyrinth: Rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox","2021","Posted Content","bioRxiv","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.1101/2021.01.14.426746","https://scispace.com/pdf/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox.pdf","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal quickly discovers the location of a reward in the maze and executes correct 10-bit choices after only 10 reward experiences – a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.","This work studies the unconstrained behavior of mice in a complex labyrinth and measures the dynamics of learning and the behaviors that enable it, suggesting moments of sudden insight about the structure of the labyrinth."
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-lhadk2uk","2022","Journal Article","Proceedings of the National Academy of Sciences","Ana Lucia De Mello Machado","10.1073/pnas.2215352119","","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of “sudden insight” when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a “reinforcement wave” with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases, and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task. ","This article showed that biologically plausible RL rules combined with persistent exploration generically exhibit discontinuous learning in tree-like structured environments and characterized the exact learning dynamics of various RL rules for a complex sequential task."
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3","2022","Posted Content","bioRxiv","G. Ramalinga Reddy","10.1101/2022.05.06.490910","https://scispace.com/pdf/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3.pdf","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of ‘sudden insight’ when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically-plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a ‘reinforcement wave’ with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task.","This paper showed that biologically plausible RL rules combined with persistent exploration generically exhibit discontinuous learning in tree-like structured environments and characterized the exact learning dynamics of various RL rules for a complex sequential task."
"Goal-oriented searching mediated by ventral hippocampus early in trial-and-error learning.","https://scispace.com/paper/goal-oriented-searching-mediated-by-ventral-hippocampus-477fq932dz","2012","Journal Article","Nature Neuroscience","Sarah Ruediger
Dominique Spirig
Flavio Donato
Pico Caroni","10.1038/NN.3224","","Most behavioral learning in biology is trial and error, but how these learning processes are influenced by individual brain systems is poorly understood. Here we show that ventral-to-dorsal hippocampal subdivisions have specific and sequential functions in trial-and-error maze navigation, with ventral hippocampus (vH) mediating early task-specific goal-oriented searching. Although performance and strategy deployment progressed continuously at the population level, individual mice showed discrete learning phases, each characterized by particular search habits. Transitions in learning phases reflected feedforward inhibitory connectivity (FFI) growth occurring sequentially in ventral, then intermediate, then dorsal hippocampal subdivisions. FFI growth at vH occurred abruptly upon behavioral learning of goal-task relationships. vH lesions or the absence of vH FFI growth delayed early learning and disrupted performance consistency. Intermediate hippocampus lesions impaired intermediate place learning, whereas dorsal hippocampus lesions specifically disrupted late spatial learning. Trial-and-error navigational learning processes in naive mice thus involve a stereotype sequence of increasingly precise subtasks learned through distinct hippocampal subdivisions. Because of its unique connectivity, vH may relate specific goals to internal states in learning under healthy and pathological conditions.","It is shown that ventral-to-dorsal hippocampal subdivisions have specific and sequential functions in trial-and-error maze navigation, with ventral hippocampus (vH) mediating early task-specific goal-oriented searching."
"Learning-Induced Shifts in Mice Navigational Strategies Are Unveiled by a Minimal Behavioral Model of Spatial Exploration.","https://scispace.com/paper/learning-induced-shifts-in-mice-navigational-strategies-are-3207e6zon3","2021","Journal Article","","Christina-Anna Vallianatou
Alejandra Alonso
Adrian Zapata Aleman
Lisa Genzel
Federico Stella","10.1523/ENEURO.0553-20.2021","","Shifts in spatial patterns produced during the execution of a navigational task can be used to track the effects of the accumulation of knowledge and the acquisition of structured information about the environment. Here we provide a quantitative analysis of mice behavior while performing a novel goal localization task in a large, modular arena, the HexMaze. To demonstrate the effects of different forms of previous knowledge we first obtain a precise statistical characterization of animals’ paths with sub-trial resolution and over different phases of learning. The emergence of a flexible representation of the task is accompanied by a progressive improvement of performance, mediated by multiple, multiplexed time scales. We then use a generative mathematical model of the animal behavior to isolate the specific contributions to the final navigational strategy. We find that animal behavior can be accurately reproduced by the combined effect of a goal-oriented component, becoming stronger with the progression of learning, and of a random walk component, producing choices unrelated to the task and only partially weakened in time. Significance Statement This work presents a novel statistical analysis we applied to describe mice behavior during a goal-reaching task in a large, modular environment (HexMaze). By combining sub-trial quantification of animal navigation with mathematical modeling of the task, we aim at developing analysis tools that can match the demands of rich, articulated experimental paradigms. We show how mice progressively incorporate information about the task and the maze structure and how such knowledge accumulation unfolds over multiple time scales. We also demonstrate how mice never completely converge to optimal behavior: even in late phases of learning a substantial part of their behavior can be ascribed to purely random choices with no relationship with the location of the goal.","In this paper, the authors provide a quantitative analysis of mice behavior while performing a novel goal localization task in a large, modular arena, the HexMaze, and demonstrate how mice progressively incorporate information about the task and the maze structure and how such knowledge accumulation unfolds over multiple time scales."
"Schema-induced shifts in mice navigational strategies are unveiled by a minimal behavioral model of spatial exploration.","https://scispace.com/paper/schema-induced-shifts-in-mice-navigational-strategies-are-4tlmztw55u","2020","Posted Content","bioRxiv","Christina-Anna Vallianatou
Alejandra Alonso
Adrian Zapata Aleman
Lisa Genzel
Federico Stella","10.1101/2020.12.21.423808","https://scispace.com/pdf/schema-induced-shifts-in-mice-navigational-strategies-are-4tlmztw55u.pdf","Shifts in spatial patterns produced during the execution of a navigational task can be used to track the effects of the accumulation of knowledge and the acquisition of structured information about the environment. Here we provide a quantitative analysis of mice behavior while performing a novel goal localization task in a large, modular arena, the HexMaze. To demonstrate the effects of different forms of previous knowledge we first obtain a precise statistical characterization of animals9 paths with sub-trial resolution and over different phases of learning. The emergence of a flexible representation of the task is accompanied by a progressive improvement of performance, mediated by multiple, multiplexed time scales. We then use a generative mathematical model of the animal behavior to isolate the specific contributions to the final navigational strategy. We find that animal behavior can be accurately reproduced by the combined effect of a goal-oriented component, becoming stronger with the progression of learning, and of a random walk component, producing choices unrelated to the task and only partially weakened in time.","In this paper, a quantitative analysis of mice behavior while performing a novel goal localization task in a large, modular arena, the HexMaze, is provided, which can be accurately reproduced by the combined effect of a goal-oriented component, becoming stronger with the progression of learning, and of a random walk component, producing choices unrelated to the task and only partially weakened in time."
"Early Failures Benefit Subsequent Task Performance.","https://scispace.com/paper/early-failures-benefit-subsequent-task-performance-1hxprlerus","2016","Journal Article","Scientific Reports","Hideyoshi Igata
Takuya Sasaki
Yuji Ikegaya","10.1038/SREP21293","https://scispace.com/pdf/early-failures-benefit-subsequent-task-performance-1hxprlerus.pdf","Animals navigate using cognitive maps. However, how they adaptively exploit these maps in changing environments is not fully understood. In this study, we investigated the problem-solving behaviors of mice in a complicated maze in which multiple routes with different intersections were available (Test 1). Although all mice eventually settled on the shortest route, mice that initially exhibited more trial-and-error exploration solved the maze more rapidly. We then introduced one or two barriers that obstructed learned routes such that mice had to establish novel roundabout detours (Tests 2/3). Solutions varied among mice but were predictable based on individual early trial-and-error patterns observed in Test 1: mice that had initially explored more extensively found better solutions. Finally, when the barriers were removed (Test 4), all mice reverted to the best solution after active exploration. Thus, early active exploration helps mice to develop optimal strategies.","This study investigated the problem-solving behaviors of mice in a complicated maze in which multiple routes with different intersections were available and found mice that initially exhibited more trial-and-error exploration solved the maze more rapidly."
"Autoshaped Head Poking in the Mouse: A Quantitative Analysis of the Learning Curve.","https://scispace.com/paper/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm","2006","Journal Article","Journal of the Experimental Analysis of Behavior","E. B. Papachristos
Charles R. Gallistel","10.1901/JEAB.2006.71-05","https://scispace.com/pdf/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm.pdf","In autoshaping experiments, we quantified the acquisition of anticipatory head poking in individual mice, using an algorithm that finds changes in the slope of a cumulative record. In most mice, upward changes in the amount of anticipatory poking per trial were abrupt, and tended to occur at session boundaries, suggesting that the session is as significant a unit of experience as the trial. There were large individual differences in the latency to the onset of vigorous responding. “Asymptotic” performance was unstable; large, bidirectional, and relatively enduring changes were common. Given the characteristics of the individual learning curves, it is unlikely that physiologically meaningful estimates of rate of learning can be extracted from group-average learning curves.","In autoshaping experiments, quantified the acquisition of anticipatory head poking in individual mice, using an algorithm that finds changes in the slope of a cumulative record, suggesting that the session is as significant a unit of experience as the trial."
"Mice can learn a cognitive map based on a stable start location and self-motion signals","https://scispace.com/paper/mice-can-learn-a-cognitive-map-based-on-a-stable-start-bjovb7ek","2023","Posted Content","bioRxiv","Jiayun Xu
Mauricio Girardi-Schappo
Jean-Claude Béïque
André Longtin
Leonard Maler","10.1101/2023.02.24.529984","https://scispace.com/pdf/mice-can-learn-a-cognitive-map-based-on-a-stable-start-bjovb7ek.pdf","Animals navigate by learning the spatial layout of their environment. Cognitive map theory asserts that they generate a metric map of their environment that permits short cuts, but tests for a cognitive map are inconclusive. We investigated spatial learning of mice in an open maze where food was randomly hidden in one of a hundred holes. Mice leaving from a stable entrance learned to efficiently navigate to the food without the need for distal landmarks. We successively trained the mice to first find food at Site A then B. On a probe trial, the mice checked for food at B and then took a novel short-cut to A. Detailed analyses of mice trajectories, active hole checks and varying the entrance site demonstrated that the mice had formed a cognitive map by using the stable entrance location to anchor an egocentric map based on path integration of self-motion signals.","This paper investigated spatial learning of mice in an open maze where food was randomly hidden in one of a hundred holes and found that mice leaving from a stable entrance learned to efficiently navigate to the food without the need for distal landmarks."
