"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Assessing processing-based measures of implicit statistical learning: Three serial reaction time experiments do not reveal artificial grammar learning","https://scispace.com/paper/assessing-processing-based-measures-of-implicit-statistical-3s8pvchnfwcf","2024","Journal Article","PLOS ONE","Holly E. Jenkins
Phyllis Leung
F. Smith
Nick Riches
Benjamin Wilson","10.1371/journal.pone.0308653","","Implicit statistical learning, whereby predictable relationships between stimuli are detected without conscious awareness, is important for language acquisition. However, while this process is putatively implicit, it is often assessed using measures that require explicit reflection and conscious decision making. Here, we conducted three experiments combining an artificial grammar learning paradigm with a serial reaction time (SRT-AGL) task, to measure statistical learning of adjacent and nonadjacent dependencies implicitly, without conscious decision making. Participants viewed an array of six visual stimuli and were presented with a sequence of three auditory (nonsense words, Expt. 1; names of familiar objects, Expt. 2) or visual (abstract shapes, Expt. 3) cues and were asked to click on the corresponding visual stimulus as quickly as possible. In each experiment, the final stimulus in the sequence was predictable based on items earlier in the sequence. Faster responses to this predictable final stimulus compared to unpredictable stimuli would provide evidence of implicit statistical learning, without requiring explicit decision making or conscious reflection. Despite previous positive results (Christiansen et al. 2009 and Misyak et al. 2010) we saw little evidence of implicit statistical learning in any of the experiments, suggesting that in this case, these SRT-AGL tasks were not an effective measure implicit statistical learning.","Three serial reaction time experiments failed to demonstrate artificial grammar learning, contradicting previous findings, suggesting that this task may not be an effective measure of implicit statistical learning in language acquisition."
"Implicit Learning is Intact in Adult Developmental Dyslexic Readers: Evidence from the Serial Reaction Time Task and Artificial Grammar Learning","https://scispace.com/paper/implicit-learning-is-intact-in-adult-developmental-dyslexic-56c6109gz6","2006","Journal Article","Journal of Clinical and Experimental Neuropsychology","Jascha Rüsseler
Ivonne Gerth
Thomas F. Münte","10.1080/13803390591001007","","Previous research yielded equivocal results concerning implicit learning abilities of developmental dyslexic readers. These studies employed a sequence learning task that requires a motor response to each stimulus. However, implicit learning has been often studied using non-motor tasks. Thus, we investigated implicit learning capabilities of adult developmental dyslexic readers in two standard implicit learning paradigms differing in the involvement of the motor system, namely the serial response time task (SRTT) and artificial grammar learning (AGL).Twelve adult developmental dyslexic and twelve age- and sex- matched normal readers were tested. In the serial response time task (SRTT), participants are exposed to a structured display. Learning is measured by comparing response time (RT) to the structured sequence with RT to a random display. In the artificial grammar learning task (AGL), letter strings following a markovian finite state grammar are presented. In a subsequent test phase subjects have to judge new letter strings according to their grammaticality. Learning of the stimulus regularities was found in both tasks and for both groups of subjects. Furthermore, participants were unaware of the underlying stimulus construction principles. Dyslexic readers were unimpaired in SRTT as well as artificial grammar learning relative to normal readers. These findings show that implicit learning is intact in dyslexia. Intact implicit learning capabilities should be taken into account when designing training programs for developmental dyslexic readers.","Findings show that implicit learning is intact in dyslexia and should be taken into account when designing training programs for developmental dyslexic readers."
"Assessing Processing-Based Measures of Implicit Statistical Learning","https://scispace.com/paper/assessing-processing-based-measures-of-implicit-statistical-1bjmfd7t24","2023","Preprint","","Holly Elizabeth Jenkins
P. T. Leung
Faye Smith
Nick Riches
Benjamin K. Wilson","10.31234/osf.io/baupz","","Implicit statistical learning, whereby predictable relationships between stimuli are detected without conscious awareness, is important for language acquisition. However, while this process is putatively implicit, it is often assessed using measures that require explicit reflection and conscious decision making. Here, we conducted three experiments combining an artificial grammar learning paradigm with a serial reaction time (SRT-AGL) task, to measure statistical learning of adjacent and nonadjacent dependencies implicitly, without conscious decision making. Participants viewed an array of six visual stimuli and were presented with a sequence of three auditory (nonsense words, Expt. 1; names of familiar objects, Expt. 2) or visual (abstract shapes, Expt. 3) cues and were asked to click on the corresponding visual stimulus as quickly as possible. In each experiment, the final stimulus in the sequence was predictable based on items earlier in the sequence. Faster responses to this predictable final stimulus compared to unpredictable stimuli would provide evidence of implicit statistical learning, without requiring explicit decision making or conscious reflection. Despite previous positive results (Misyak et al., 2009), we saw little evidence of implicit statistical learning in any of the experiments, suggesting that in this case, these SRT-AGL tasks were not an effective measure implicit statistical learning. ","SRT-AGL tasks are not effective measures of implicit statistical learning."
"Preserved Implicit Learning on Both the Serial Reaction Time Task and Artificial Grammar in Patients with Parkinson;s Disease","https://scispace.com/paper/preserved-implicit-learning-on-both-the-serial-reaction-time-hubqjtmec7","2001","","","Jared G. Smith
Richard J. Siegert
John McDowall
David Abernethy","","https://scispace.com/pdf/preserved-implicit-learning-on-both-the-serial-reaction-time-hubqjtmec7.pdf","Preserved Implicit Learning on both the Serial Reaction Time Task and Artificial Grammar in Patients with Parkinson’s Disease Jared G. Smith (smithjare@scs.vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand Richard J. Siegert (Richard.Siegert@vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand John McDowall (john.mcdowall@vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand David Abernethy (david.abernethy@clear.net.nz) Wellington School of Medicine, University of Otago, PO Box 600, Wellington, New Zealand Abstract Thirteen non-demented patients with Parkinson’s disease (PD) were compared with age matched controls on two standard tests of implicit learning. A verbal version of the Serial Reaction Time (SRT) task was used to assess sequence learning and an artificial grammar (AG) task assessed perceptual learning. It was predicted that PD patients would show implicit learning on the AG task but not the SRT task, as motor sequence learning is thought to be reliant upon the basal ganglia which is damaged in PD. Patients with PD demonstrated implicit learning on both tasks. In light of these unexpected results the research on SRT learning in PD is reconsidered, and some possible explanations for the sometimes conflicting results of PD patient samples on the SRT task are considered. Factors which merit further study in this regard are: The degree to which the SRT task relies on overt motor responses; the effects of frontal lobe dysfunction upon implicit sequence learning; and the degree to which the illness itself has advanced. Current theoretical accounts of human memory draw an important distinction between implicit and explicit learning processes (e.g., Squire, 1994; Squire & Zola, 1996). Explicit (or declarative) learning and memory is characterized by the acquisition and retrieval of information accompanied by awareness of the learned information and its influence. Implicit learning refers to similar acquisition without awareness of the learned information or its influence. Such learning occurs in situations and tasks whereby the ability to consciously or deliberately recall the episode in which learning took place, or to describe the rules underlying the task, typically fall well behind the level of performance. It is thought that explicit learning is dependent upon medial temporal lobe and diencephalic brain structures, while habit learning and implicit skill learning is closely associated with neostriatal structures such as the basal ganglia (Squire, 1994; Squire & Zola, 1996). One striking characteristic of implicit learning has been its demonstrable robustness even in the face of quite major brain damage. For example, using the serial reaction time (SRT) task researchers have shown implicit learning to be preserved in normal ageing (Howard & Howard, 1989), Korsakoff patients (Nissen & Bullemer, 1987), closed head injury patients (McDowall & Martin, 1996) and Alzheimer’s disease (Knopman & Nissen, 1987). However, the fact that the very brain structures thought to be closely associated with certain forms of implicit learning are the most impaired by Parkinson’s disease (PD), makes PD of special interest for implicit learning researchers. The characteristic neuropathology of PD includes marked degeneration and atrophy of the basal ganglia and substantia nigra, particularly the caudate nucleus or the neostriatum (Knight, 1992). In the present study we were interested to compare the performance of PD patients with controls on two tests of implicit learning: the serial reaction time (SRT) task and the artificial grammar (AG) task. In the SRT task participants respond as quickly as possible to the presentation of an asterisk on a computer monitor. The asterisk can appear at any one of several different locations and participants must respond by pressing a key which corresponds to the spatial location of the asterisk. Unknown to the participants, the location of the stimulus follows a sequence which is repeated over a number of trials. Sequence learning is assumed to occur when, over the course of successive trials, the reaction times (RT) of participants decrease significantly and when there is a significant increase in the RT of participants upon the","Smith et al. as mentioned in this paper found that patients with Parkinson's disease demonstrated implicit learning on both the serial reaction time (SRT) task and the artificial grammar (AG) task, but not the SRT task, as motor sequence learning is thought to be dependent upon the basal ganglia which is damaged in PD."
"How Implicit Sequence Learning and Explicit Sequence Knowledge Are Expressed in a Serial Response Time Task","https://scispace.com/paper/how-implicit-sequence-learning-and-explicit-sequence-1mqntbgs8g67","2024","Journal Article","","Marius Barth
Christoph Stahl
Hilde Haider","10.31234/osf.io/ce72r","","Sequence learning in the serial response time task (SRTT) is one of the few learning phenomena that are widely agreed to be implicit in nature (i.e., that learning may proceed in the absence of awareness). Evidently, it is also possible to explicitly learn a sequence of events. In the past few decades, research into sequence learning largely focused on the type of representation that may underlie implicit sequence learning, and whether or not two independent learning systems are necessary to explain qualitative differences between implicit and explicit learning. Using the drift-diffusion model, here we take a cognitive-processes perspective on sequence learning and investigate the cognitive operations that benefit from implicit and explicit sequence learning (e.g., stimulus detection or encoding, response selection, or response facilitation). To separate the processes involved in expressing implicit versus explicit knowledge, we manipulated explicit sequence knowledge independently of the opportunity to express such knowledge. Performance data from this experiment was fed into a dynamic drift-diffusion model that allowed us to disentangle the contributions of the above-mentioned processes to sequence-learning effects. Results revealed three findings that are relevant for sequence learning theories. We discuss how the diffusion model may be helpful in future research addressing these theories. ","This study investigates the cognitive processes underlying implicit and explicit sequence learning in the serial response time task, using a drift-diffusion model to disentangle the contributions of stimulus detection, response selection, and response facilitation to sequence-learning effects."
"How Implicit Sequence Learning and Explicit Sequence Knowledge Are Expressed in a Serial Response Time Task","https://scispace.com/paper/how-implicit-sequence-learning-and-explicit-sequence-1u4zb285tx2u","2025","Journal Article","","Marius Barth
Christoph Stahl
Hilde Haider","10.31234/osf.io/ce72r_v3","","Sequence learning in the serial response time task (SRTT) is one of the few learning phenomena that are widely agreed to be implicit in nature (i.e., that learning may proceed in the absence of awareness), while it is also possible to explicitly learn a sequence of events. In the past few decades, research into sequence learning largely focused on the type of representation that may underlie implicit sequence learning, and whether or not two independent learning systems are necessary to explain qualitative differences between implicit and explicit learning. Using the drift-diffusion model, here we take a cognitive-processes perspective on sequence learning and investigate the cognitive operations that benefit from implicit and explicit sequence learning (e.g., stimulus detection or encoding, response selection, or response facilitation). To separate the processes involved in expressing implicit versus explicit knowledge, we manipulated explicit sequence knowledge independently of the opportunity to express such knowledge, and analyzed the resulting performance data with a dynamic drift-diffusion model to disentangle the contributions of the aforementioned processes on. Results revealed that implicit sequence learning does not affect stimulus processing, but benefits response selection. Moreover, beyond response selection, response execution was affected. Explicit sequence knowledge did not change this pattern if participants worked on probabilistic materials, where it is difficult to anticipate the next response. However, if materials were deterministic, explicit knowledge enabled participants to switch from stimulus-based to plan-based action control, which was reflected in ample changes in the cognitive processes involved in performing the task. First implications for theories of sequence learning, and how the diffusion model may be helpful in future research into implicit and explicit sequence learning, are dicussed. ","This study investigates the cognitive processes underlying implicit and explicit sequence learning in the serial response time task, using the drift-diffusion model, and finds that implicit learning benefits response selection and execution, while explicit knowledge influences action control in deterministic materials."
"How Implicit Sequence Learning and Explicit Sequence Knowledge Are Expressed in a Serial Response Time Task","https://scispace.com/paper/how-implicit-sequence-learning-and-explicit-sequence-dfsmbk2loqiw","2025","Journal Article","","Marius Barth
Christoph Stahl
Hilde Haider","10.31234/osf.io/ce72r_v2","","Sequence learning in the serial response time task (SRTT) is one of the few learning phenomena that are widely agreed to be implicit in nature (i.e., that learning may proceed in the absence of awareness), while it is also possible to explicitly learn a sequence of events. In the past few decades, research into sequence learning largely focused on the type of representation that may underlie implicit sequence learning, and whether or not two independent learning systems are necessary to explain qualitative differences between implicit and explicit learning. Using the drift-diffusion model, here we take a cognitive-processes perspective on sequence learning and investigate the cognitive operations that benefit from implicit and explicit sequence learning (e.g., stimulus detection or encoding, response selection, or response facilitation). To separate the processes involved in expressing implicit versus explicit knowledge, we manipulated explicit sequence knowledge independently of the opportunity to express such knowledge, and analyzed the resulting performance data with a dynamic drift-diffusion model to disentangle the contributions of the aforementioned processes on. Results revealed that implicit sequence learning does not affect stimulus processing, but benefits response selection. Moreover, beyond response selection, response execution was affected. Explicit sequence knowledge did not change this pattern if participants worked on probabilistic materials, where it is difficult to anticipate the next response. However, if materials were deterministic, explicit knowledge enabled participants to switch from stimulus-based to plan-based action control, which was reflected in ample changes in the cognitive processes involved in performing the task. First implications for theories of sequence learning, and how the diffusion model may be helpful in future research into implicit and explicit sequence learning, are dicussed. ","This study investigates the cognitive processes underlying implicit and explicit sequence learning in the serial response time task, using the drift-diffusion model, and finds that implicit learning benefits response selection and execution, while explicit knowledge influences action control in deterministic materials."
"Differences in implicit vs. explicit grammar processing as revealed by drift-diffusion modeling of reaction times","https://scispace.com/paper/differences-in-implicit-vs-explicit-grammar-processing-as-24kdy3cbct","2021","","","David Abugaber
Kara Morgan-Short","","https://scispace.com/pdf/differences-in-implicit-vs-explicit-grammar-processing-as-24kdy3cbct.pdf","Author(s): Abugaber, David; Morgan-Short, Kara | Abstract: Learning new languages is a complex cognitive task involving both implicit and explicit processes. Batterink, Oudiette, Reber, and Paller (2014) report that participants with vs. without conscious awareness of a hidden semi-artificial language regularity showed no significant differences in grammar learning, suggesting that implicit/explicit routes may be functionally equivalent. However, their operationalizing of learning via median reaction times might not capture underlying differences in cognitive processes. In a conceptual replication, we compared rule-aware (n=14) and rule-unaware (n=21) participants via drift-diffusion modeling, which can quantify distinct subcomponents of evidence-accumulation processes (Ratcliff a Rouder, 1998). For both groups, grammar learning was manifested in non-decision parameters, suggesting anticipation of motor responses. For rule-aware participants only, learning also affected bias in evidence accumulation during word reading. These results suggest that implicit grammar learning may be manifested through low-level mechanisms whereas explicit grammar learning may involve more direct engagement with encoded target meanings.","Abugaber et al. as discussed by the authors compared rule-aware and rule-unaware participants via drift-diffusion modeling, which can quantify distinct subcomponents of evidence accumulation processes."
"How Implicit Sequence Learning and Explicit Sequence Knowledge Are Expressed in a Serial Response Time Task","https://scispace.com/paper/how-implicit-sequence-learning-and-explicit-sequence-cd26g70u5pqo","2025","Journal Article","","Marius Barth
Christoph Stahl
Hilde Haider","10.31234/osf.io/ce72r_v5","","Sequence learning in the serial response time task (SRTT) is one of few learning phenomena where researchers agree that such learning may proceed in the absence of awareness while it is also possible to explicitly learn a sequence of events. In the past few decades, research into sequence learning largely focused on the type of representation that may underlie implicit sequence learning, and whether or not two independent learning systems are necessary to explain qualitative differences between implicit and explicit learning. Using the drift-diffusion model, here we take a cognitive-processes perspective on sequence learning and investigate the cognitive operations that benefit from implicit and explicit sequence learning (e.g., stimulus detection and encoding, response selection, and response execution). To separate the processes involved in expressing implicit versus explicit knowledge, we manipulated explicit sequence knowledge independently of the opportunity to express such knowledge, and analyzed the resulting performance data with a drift-diffusion model to disentangle the contributions of these sub-processes. Results revealed that implicit sequence learning does not affect stimulus processing, but benefits response selection. Moreover, beyond response selection, response execution was affected. Explicit sequence knowledge did not change this pattern if participants worked on probabilistic materials, where it is difficult to anticipate the next response. However, if materials were deterministic, explicit knowledge enabled participants to switch from stimulus-based to plan-based action control, which was reflected in ample changes in the cognitive processes involved in performing the task. First implications for theories of sequence learning, and how the diffusion model may be helpful in future research, are discussed. ","This study investigates the cognitive processes underlying implicit and explicit sequence learning in the serial response time task, using the drift-diffusion model to disentangle sub-processes, revealing distinct effects on response selection and execution."
"How Implicit Sequence Learning and Explicit Sequence Knowledge Are Expressed in a Serial Response Time Task","https://scispace.com/paper/how-implicit-sequence-learning-and-explicit-sequence-mphcirfhbndl","2025","Journal Article","","Marius Barth
Christoph Stahl
Hilde Haider","10.31234/osf.io/ce72r_v4","","Sequence learning in the serial response time task (SRTT) is one of few learning phenomena where researchers agree that such learning may proceed in the absence of awareness while it is also possible to explicitly learn a sequence of events. In the past few decades, research into sequence learning largely focused on the type of representation that may underlie implicit sequence learning, and whether or not two independent learning systems are necessary to explain qualitative differences between implicit and explicit learning. Using the drift-diffusion model, here we take a cognitive-processes perspective on sequence learning and investigate the cognitive operations that benefit from implicit and explicit sequence learning (e.g., stimulus detection and encoding, response selection, and response execution). To separate the processes involved in expressing implicit versus explicit knowledge, we manipulated explicit sequence knowledge independently of the opportunity to express such knowledge, and analyzed the resulting performance data with a drift-diffusion model to disentangle the contributions of these sub-processes. Results revealed that implicit sequence learning does not affect stimulus processing, but benefits response selection. Moreover, beyond response selection, response execution was affected. Explicit sequence knowledge did not change this pattern if participants worked on probabilistic materials, where it is difficult to anticipate the next response. However, if materials were deterministic, explicit knowledge enabled participants to switch from stimulus-based to plan-based action control, which was reflected in ample changes in the cognitive processes involved in performing the task. First implications for theories of sequence learning, and how the diffusion model may be helpful in future research, are discussed. ","This study investigates the cognitive processes underlying implicit and explicit sequence learning in the serial response time task, using the drift-diffusion model, and finds that implicit learning benefits response selection and execution, while explicit knowledge influences action control in deterministic materials."
