"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The dynamic state of a prefrontal-hypothalamic-midbrain circuit commands behavioral transitions.","https://scispace.com/paper/the-dynamic-state-of-a-prefrontal-hypothalamic-midbrain-48kplj7wmh","2024","Journal Article","Nature Neuroscience","Changwan Chen
Mahsa Altafi
Mihaela A. Corbu
Aleksandra Trenk
Hanna van den Munkhof
Kristin Weineck
Franziska Bender
Marta Carus-Cadavieco
Alisa Bakhareva
Tatiana Korotkova
Alexey Ponomarenko","10.1038/s41593-024-01598-3","","Abstract Innate behaviors meet multiple needs adaptively and in a serial order, suggesting the existence of a hitherto elusive brain dynamics that brings together representations of upcoming behaviors during their selection. Here we show that during behavioral transitions, possible upcoming behaviors are encoded by specific signatures of neuronal populations in the lateral hypothalamus (LH) that are active near beta oscillation peaks. Optogenetic recruitment of intrahypothalamic inhibition at this phase eliminates behavioral transitions. We show that transitions are elicited by beta-rhythmic inputs from the prefrontal cortex that spontaneously synchronize with LH ‘transition cells’ encoding multiple behaviors. Downstream of the LH, dopamine neurons increase firing during beta oscillations and also encode behavioral transitions. Thus, a hypothalamic transition state signals alternative future behaviors, encodes the one most likely to be selected and enables rapid coordination with cognitive and reward-processing circuitries, commanding adaptive social contact and eating behaviors. ","A prefrontal-hypothalamic-midbrain circuit dynamically regulates behavioral transitions by encoding upcoming behaviors in the lateral hypothalamus, with beta oscillations and dopamine neurons facilitating adaptive social and eating behaviors through rapid coordination with cognitive and reward-processing circuitries."
"Fluid network dynamics in the prefrontal cortex during multiple strategy switching","https://scispace.com/paper/fluid-network-dynamics-in-the-prefrontal-cortex-during-cppl2y9vh4","2018","Journal Article","Nature Communications","Hugo Malagon-Vina
Stephane Ciocchi
Stephane Ciocchi
Johannes Passecker
Georg Dorffner
Thomas Klausberger","10.1038/S41467-017-02764-X","https://scispace.com/pdf/fluid-network-dynamics-in-the-prefrontal-cortex-during-cppl2y9vh4.pdf","Coordinated shifts of neuronal activity in the prefrontal cortex are associated with strategy adaptations in behavioural tasks, when animals switch from following one rule to another. However, network dynamics related to multiple-rule changes are scarcely known. We show how firing rates of individual neurons in the prelimbic and cingulate cortex correlate with the performance of rats trained to change their navigation multiple times according to allocentric and egocentric strategies. The concerted population activity exhibits a stable firing during the performance of one rule but shifted to another neuronal firing state when a new rule is learnt. Interestingly, when the same rule is presented a second time within the same session, neuronal firing does not revert back to the original neuronal firing state, but a new activity-state is formed. Our data indicate that neuronal firing of prefrontal cortical neurons represents changes in strategy and task-performance rather than specific strategies or rules.","This work shows how firing rates of individual neurons in the prelimbic and cingulate cortex correlate with the performance of rats trained to change their navigation multiple times according to allocentric and egocentric strategies."
"Locus coeruleus modulation of single-cell representation and population dynamics in the mouse prefrontal cortex during attentional switching","https://scispace.com/paper/locus-coeruleus-modulation-of-single-cell-representation-and-whgbhzy86fcy","2025","Journal Article","","Marco Nigro
Lucas Silva Tortorelli
Machhindra Garad
Natalie E. Zlebnik
Hongdian Yang","10.7554/elife.105911","","Abstract Behavioral flexibility, the ability to adjust behavioral strategies in response to changing environmental contingencies and internal demands, is fundamental to cognitive functions. Despite a large body of pharmacology and lesion studies, the precise neurophysiological mechanisms that underlie behavioral flexibility are still under active investigations. This work is aimed to determine the role of a brainstem-to-prefrontal cortex circuit in flexible rule switching. We trained mice to perform a set-shifting task, in which they learned to switch attention to distinguish complex sensory cues. Using chemogenetic inhibition, we selectively targeted genetically-defined locus coeruleus (LC) neurons or their input to the medial prefrontal cortex (mPFC). We revealed that suppressing either the LC or its mPFC projections severely impaired switching behavior, establishing the critical role of the LC-mPFC circuit in supporting attentional switching. To uncover the neurophysiological substrates of the behavioral deficits, we paired endoscopic calcium imaging of the mPFC with chemogenetic inhibition of the LC in task-performing mice. We found that mPFC prominently responded to attentional switching and that LC inhibition not only enhanced the engagement of mPFC neurons but also broadened single-neuron tuning in the task. At the population level, LC inhibition disrupted mPFC dynamic changes and impaired the encoding capacity for switching. Our results highlight the profound impact of the ascending LC input on modulating prefrontal dynamics and provide new insights into the cellular and circuit-level mechanisms that support behavioral flexibility. ","This study investigates the role of the locus coeruleus-median prefrontal cortex circuit in attentional switching, revealing that suppressing this circuit severely impairs switching behavior and alters prefrontal dynamics, including single-neuron tuning and population encoding capacity."
"Locus coeruleus modulation of single-cell representation and population dynamics in the mouse prefrontal cortex during attentional switching","https://scispace.com/paper/locus-coeruleus-modulation-of-single-cell-representation-and-omdkxh59kbq7","2025","Journal Article","","Marco Nigro
Lucas Silva Tortorelli
Machhindra Garad
Natalie E. Zlebnik
Hongdian Yang","10.7554/elife.105911.1","","Abstract Behavioral flexibility, the ability to adjust behavioral strategies in response to changing environmental contingencies and internal demands, is fundamental to cognitive functions. Despite a large body of pharmacology and lesion studies, the precise neurophysiological mechanisms that underlie behavioral flexibility are still under active investigations. This work is aimed to determine the role of a brainstem-to-prefrontal cortex circuit in flexible rule switching. We trained mice to perform a set-shifting task, in which they learned to switch attention to distinguish complex sensory cues. Using chemogenetic inhibition, we selectively targeted genetically-defined locus coeruleus (LC) neurons or their input to the medial prefrontal cortex (mPFC). We revealed that suppressing either the LC or its mPFC projections severely impaired switching behavior, establishing the critical role of the LC-mPFC circuit in supporting attentional switching. To uncover the neurophysiological substrates of the behavioral deficits, we paired endoscopic calcium imaging of the mPFC with chemogenetic inhibition of the LC in task-performing mice. We found that mPFC prominently responded to attentional switching and that LC inhibition not only enhanced the engagement of mPFC neurons but also broadened single-neuron tuning in the task. At the population level, LC inhibition disrupted mPFC dynamic changes and impaired the encoding capacity for switching. Our results highlight the profound impact of the ascending LC input on modulating prefrontal dynamics and provide new insights into the cellular and circuit-level mechanisms that support behavioral flexibility. ","This study investigates the role of the locus coeruleus-median prefrontal cortex circuit in attentional switching, revealing that suppressing this circuit severely impairs switching behavior and alters prefrontal dynamics, including single-neuron tuning and population encoding capacity."
"Dynamic states of population activity in prefrontal cortical networks of freely-moving macaque.","https://scispace.com/paper/dynamic-states-of-population-activity-in-prefrontal-cortical-5axccdghsn","2020","Journal Article","Nature Communications","Russell Milton
Neda Shahidi
Valentin Dragoi
Valentin Dragoi","10.1038/S41467-020-15803-X","https://scispace.com/pdf/dynamic-states-of-population-activity-in-prefrontal-cortical-5axccdghsn.pdf","Neural responses in the cerebral cortex change dramatically between the ‘synchronized’ state during sleep and ‘desynchronized’ state during wakefulness. Our understanding of cortical state emerges largely from experiments performed in sensory areas of head-fixed or tethered rodents due to technical limitations of recording from larger freely-moving animals for several hours. Here, we report a system integrating wireless electrophysiology, wireless eye tracking, and real-time video analysis to examine the dynamics of population activity in a high-level, executive area – dorsolateral prefrontal cortex (dlPFC) of unrestrained monkey. This technology allows us to identify cortical substates during quiet and active wakefulness, and transitions in population activity during rest. We further show that narrow-spiking neurons exhibit stronger synchronized fluctuations in population activity than broad-spiking neurons regardless of state. Our results show that cortical state is controlled by behavioral demands and arousal by asymmetrically modulating the slow response fluctuations of local excitatory and inhibitory cell populations. Authors develop an integrated wireless system to examine brain states in freely-moving monkeys. They show that neural population activity in prefrontal cortex covaries with natural behavioral dynamics. Active behavior is associated with elevated arousal and increases in spiking activity while reducing low-frequency synchrony within cortical populations.","An integrated wireless system to examine brain states in freely-moving monkeys shows that neural population activity in prefrontal cortex covaries with natural behavioral dynamics, and narrow- Spiking neurons exhibit stronger synchronized fluctuations in population activity than broad-spiking neurons regardless of state."
"Estimating a dynamic state to relate neural spiking activity to behavioral signals during cognitive tasks","https://scispace.com/paper/estimating-a-dynamic-state-to-relate-neural-spiking-activity-41h7zlnypq","2015","Proceedings Article","International Conference of the IEEE Engineering in Medicine and Biology Society","Xinyi Deng
Rose T. Faghih
Riccardo Barbieri
Angelique C. Paulk
Wael F. Asaad
Emery N. Brown
Darin D. Dougherty
Alik S. Widge
Emad N. Eskandar
Uri T. Eden","10.1109/EMBC.2015.7320203","","An important question in neuroscience is understanding the relationship between high-dimensional electrophysiological data and complex, dynamic behavioral data. One general strategy to address this problem is to define a low-dimensional representation of essential cognitive features describing this relationship. Here we describe a general state-space method to model and fit a low-dimensional cognitive state process that allows us to relate behavioral outcomes of various tasks to simultaneously recorded neural activity across multiple brain areas. In particular, we apply this model to data recorded in the lateral prefrontal cortex (PFC) and caudate nucleus of non-human primates as they perform learning and adaptation in a rule-switching task. First, we define a model for a cognitive state process related to learning, and estimate the progression of this learning state through the experiments. Next, we formulate a point process generalized linear model to relate the spiking activity of each PFC and caudate neuron to the stimated learning state. Then, we compute the posterior densities of the cognitive state using a recursive Bayesian decoding algorithm. We demonstrate that accurate decoding of a learning state is possible with a simple point process model of population spiking. Our analyses also allow us to compare decoding accuracy across neural populations in the PFC and caudate nucleus.","A general state-space method to model and fit a low-dimensional cognitive state process that allows us to relate behavioral outcomes of various tasks to simultaneously recorded neural activity across multiple brain areas is described."
"Prefrontal dynamics and encoding of flexible rule switching","https://scispace.com/paper/prefrontal-dynamics-and-encoding-of-flexible-rule-switching-2zhcfxmvyq","2023","Journal Article","bioRxiv","Marco Nigro
L. S. Tortorelli
Kevin Dinh
Machhindra Garad
Natalie E. Zlebnik
Hongdian Yang","10.1101/2023.12.13.571356","","Behavioral flexibility, the ability to adjust behavioral strategies in response to changing environmental contingencies and internal demands, is fundamental to cognitive functions. Despite a large body of pharmacology and lesion studies, the underlying neurophysiological correlates and mechanisms that support flexible rule switching remain elusive. To address this question, we trained mice to distinguish complex sensory cues comprising different perceptual dimensions (set shifting). Endoscopic calcium imaging revealed that medial prefrontal cortex (mPFC) neurons represented multiple task-related events and exhibited pronounced dynamic changes during rule switching. Notably, prominent encoding capacity in the mPFC was associated with switching across, but not within perceptual dimensions. We then showed the involvement of the ascending modulatory input from the locus coeruleus (LC), as inhibiting the LC impaired rule switching behavior and impeded mPFC dynamic processes and encoding. Our results highlight the pivotal role of the mPFC in set shifting processes and demonstrate the profound impact of ascending neuromodulation on shaping prefrontal neural dynamics and behavioral flexibility.","The involvement of the ascending modulatory input from the locus coeruleus, as inhibiting the LC impaired rule switching behavior and impeded mPFC dynamic processes and encoding, highlighted the pivotal role of the mPFC in set shifting processes."
"Ventral tegmental area dopamine neural activity switches simultaneously with rule representations in the prefrontal cortex and hippocampus","https://scispace.com/paper/ventral-tegmental-area-dopamine-neural-activity-switches-2ihzhgq96cjm","2024","Journal Article","","Mingxin Ding
Porter L. Tomsick
R. Young
Shantanu P. Jadhav","10.1101/2024.09.09.611811","","Multiple brain regions need to coordinate activity to support cognitive flexibility and behavioral adaptation. Neural activity in both the hippocampus (HPC) and prefrontal cortex (PFC) is known to represent spatial context and is sensitive to reward and rule alterations. Midbrain dopamine (DA) activity is key in reward seeking behavior and learning. There is abundant evidence that midbrain DA modulates HPC and PFC activity. However, it remains underexplored how these networks engage dynamically and coordinate temporally when animals must adjust their behavior according to changing reward contingencies. In particular, is there any relationship between DA reward prediction change during rule switching, and rule representation changes in PFC and CA1? We addressed these questions using simultaneous recording of neuronal population activity from the hippocampal area CA1, PFC and ventral tegmental area (VTA) in male TH-Cre rats performing two spatial working memory tasks with frequent rule switches in blocks of trials. CA1 and PFC ensembles showed rule-specific activity both during maze running and at reward locations, with PFC rule coding more consistent across animals compared to CA1. Optogenetically tagged VTA DA neuron firing activity responded to and predicted reward outcome. We found that the correct prediction in DA emerged gradually over trials after rule-switching in coordination with transitions in PFC and CA1 ensemble representations of the current rule after a rule switch, followed by behavioral adaptation to the correct rule sequence. Therefore, our study demonstrates a crucial temporal coordination between the rule representation in PFC/CA1, the dopamine reward signal and behavioral strategy. ","Simultaneous recording of neural activity in rats reveals that ventral tegmental area dopamine activity switches in coordination with rule representations in prefrontal cortex and hippocampus, enabling behavioral adaptation to changing reward contingencies."
"Subspace partitioning in the human prefrontal cortex resolves cognitive interference","https://scispace.com/paper/subspace-partitioning-in-the-human-prefrontal-cortex-3rtjwdq8","2023","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","","10.1073/pnas.2220523120","","The human prefrontal cortex (PFC) constitutes the structural basis underlying flexible cognitive control, where mixed-selective neural populations encode multiple task features to guide subsequent behavior. The mechanisms by which the brain simultaneously encodes multiple task–relevant variables while minimizing interference from task-irrelevant features remain unknown. Leveraging intracranial recordings from the human PFC, we first demonstrate that competition between coexisting representations of past and present task variables incurs a behavioral switch cost. Our results reveal that this interference between past and present states in the PFC is resolved through coding partitioning into distinct low-dimensional neural states; thereby strongly attenuating behavioral switch costs. In sum, these findings uncover a fundamental coding mechanism that constitutes a central building block of flexible cognitive control. ","In this article , the authors demonstrate that competition between coexisting representations of past and present task variables incurs a behavioral switch cost, which is resolved through coding partitioning into distinct low-dimensional neural states, thereby attenuating behavioral switch costs."
"Causal roles of prefrontal cortex during spontaneous perceptual switching are determined by brain state dynamics.","https://scispace.com/paper/causal-roles-of-prefrontal-cortex-during-spontaneous-38oky1jdki","2021","Posted Content","eLife","Takamitsu Watanabe","10.7554/ELIFE.69079","https://scispace.com/pdf/causal-roles-of-prefrontal-cortex-during-spontaneous-38oky1jdki.pdf","The prefrontal cortex (PFC) is thought to orchestrate cognitive dynamics. However, in tests of bistable visual perception, no direct evidence supporting such presumable causal roles of the PFC has been reported except for a recent work. Here, using a novel brain-state-dependent neural stimulation system, we identified causal effects on percept dynamics in three PFC activities-right frontal eye fields, dorsolateral PFC (DLPFC), and inferior frontal cortex (IFC). The causality is behaviourally detectable only when we track brain state dynamics and modulate the PFC activity in brain-state-/state-history-dependent manners. The behavioural effects are underpinned by transient neural changes in the brain state dynamics, and such neural effects are quantitatively explainable by structural transformations of the hypothetical energy landscapes. Moreover, these findings indicate distinct functions of the three PFC areas: in particular, the DLPFC enhances the integration of two PFC-active brain states, whereas IFC promotes the functional segregation between them. This work resolves the controversy over the PFC roles in spontaneous perceptual switching and underlines brain state dynamics in fine investigations of brain-behaviour causality.","In this paper, a novel brain-state-dependent neural stimulation system was used to identify causal effects on percept dynamics in three PFC activities-right frontal eye fields, dorsolateral PFC (DLPFC), and inferior frontal cortex (IFC)."
