"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Bending and Unbending of Tools by New Caledonian Crows (Corvus Moneduloides) in a Problem-Solving Context","https://scispace.com/paper/bending-and-unbending-of-tools-by-new-caledonian-crows-2amchuyhvh","2021","Journal Article","Animal Behavior and Cognition","Magdalena van Buuren
Jessica Alfredsson
Berenika Mioduszewska
Sabine Tebbich
Auguste Marie Philippa von Bayern","10.26451/ABC.08.02.07.2021","","New Caledonian crows (NCCs) are proficient tool manufacturers and flexible problem solvers. A study reporting innovative hook bending by a captive individual in 2002 (Weir et al., 2002), has since been cited as a remarkable case of causal reasoning in animals. Recently, however, tool bending has been found to form part of the species’ natural behavioral repertoire. Yet, further studies examining the flexibility of this behavior in controlled novel problem-solving contexts are lacking. We tested 17 captive NCCs, in one tool bending and three unbending problem-solving experiments. In the first study, two groups of five subjects were trained to select inflexible straight or hooked tools respectively for retrieving food from an apparatus. In the subsequent test, the crows were supplied with the wrong, but now pliable, type of tool. Three subjects made hooks while one subject straightened tools consistently. In the second study, 13 subjects, including five from Study 1, were tested. Ten subjects received an unbending task with a Z-shaped tool without prior training. Both angles needed to be straightened for the tool to become sufficiently long for reward retrieval. Four subjects solved the task at least once, and two did so consistently. Eight subjects, including the previous solvers, were challenged with yet another apparatus, requiring novel unbending behavior. One crow succeeded in both unbending tasks consistently. Our results show that NCCs can flexibly bend or unbend pliant material to create tools for solving novel tasks. The underlying cognitive mechanisms seemingly varied across individuals although trial-and-error learning prevailed.","Results show that NCCs can flexibly bend or unbend pliant material to create tools for solving novel tasks and the underlying cognitive mechanisms seemingly varied across individuals although trial-and-error learning prevailed."
"Insightful problem solving and creative tool modification by captive nontool-using rooks","https://scispace.com/paper/insightful-problem-solving-and-creative-tool-modification-by-2752kuh0v9","2009","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Christopher D. Bird
Nathan J. Emery","10.1073/PNAS.0901008106","https://www.pnas.org/content/pnas/106/25/10370.full.pdf","The ability to use tools has been suggested to indicate advanced physical cognition in animals. Here we show that rooks, a member of the corvid family that do not appear to use tools in the wild are capable of insightful problem solving related to sophisticated tool use, including spontaneously modifying and using a variety of tools, shaping hooks out of wire, and using a series of tools in a sequence to gain a reward. It is remarkable that a species that does not use tools in the wild appears to possess an understanding of tools rivaling habitual tool users such as New Caledonian crows and chimpanzees. Our findings suggest that the ability to represent tools may be a domain-general cognitive capacity rather than an adaptive specialization and questions the relationship between physical intelligence and wild tool use.","It is shown that rooks, a species that does not use tools in the wild appears to possess an understanding of tools rivaling habitual tool users such as New Caledonian crows and chimpanzees, suggesting that the ability to represent tools may be a domain-general cognitive capacity rather than an adaptive specialization."
"A New Caledonian crow (Corvus moneduloides) creatively re-designs tools by bending or unbending aluminium strips.","https://scispace.com/paper/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25","2006","Journal Article","Animal Cognition","Alex A. S. Weir
Alex Kacelnik","10.1007/S10071-006-0052-5","https://scispace.com/pdf/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25.pdf","Previous observations of a New Caledonian crow (Corvus moneduloides) spontaneously bending wire and using it as a hook [Weir et al. (2002) Science 297:981] have prompted questions about the extent to which these animals ‘understand’ the physical causality involved in how hooks work and how to make them. To approach this issue we examine how the same subject (“Betty”) performed in three experiments with novel material, which needed to be either bent or unbent in order to function to retrieve food. These tasks exclude the possibility of success by repetition of patterns of movement similar to those employed before. Betty quickly developed novel techniques to bend the material, and appropriately modified it on four of five trials when unbending was required. She did not mechanically apply a previously learned set of movements to the new situations, and instead sought new solutions to each problem. However, the details of her behaviour preclude concluding definitely that she understood and planned her actions: in some cases she probed with the unmodified tools before modifying them, or attempted to use the unmodified (unsuitable) end of the tool after modification. Gauging New Caledonian crows’ level of understanding is not yet possible, but the observed behaviour is consistent with a partial understanding of physical tasks at a level that exceeds that previously attained by any other non-human subject, including apes.","Gauging New Caledonian crows’ level of understanding is not yet possible, but the observed behaviour is consistent with a partial understanding of physical tasks at a level that exceeds that previously attained by any other non-human subject, including apes."
"The crow in the room: New Caledonian crows offer insight into the necessary and sufficient conditions for cumulative cultural evolution.","https://scispace.com/paper/the-crow-in-the-room-new-caledonian-crows-offer-insight-into-24gpzvxc69","2020","Journal Article","Behavioral and Brain Sciences","Alex H. Taylor
Sarah A. Jelbert","10.1017/S0140525X20000102","","New Caledonian (NC) crow populations have developed complex tools that show suggestive evidence of cumulative change. These tool designs, therefore, appear to be the product of cumulative technological culture (CTC). We suggest that tool-using NC crows offer highly useful data for current debates over the necessary and sufficient conditions for the emergence of CTC.","It is suggested that tool-using NC crows offer highly useful data for current debates over the necessary and sufficient conditions for the emergence of CTC."
"Compound tool construction by New Caledonian crows.","https://scispace.com/paper/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8","2018","Journal Article","Scientific Reports","A. M. P. von Bayern
A. M. P. von Bayern
A. M. P. von Bayern
S. Danel
S. Danel
Alice M. I. Auersperg
Alice M. I. Auersperg
Alice M. I. Auersperg
B. Mioduszewska
Alex Kacelnik","10.1038/S41598-018-33458-Z","https://scispace.com/pdf/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8.pdf","The construction of novel compound tools through assemblage of otherwise non-functional elements involves anticipation of the affordances of the tools to be built. Except for few observations in captive great apes, compound tool construction is unknown outside humans, and tool innovation appears late in human ontogeny. We report that habitually tool-using New Caledonian crows (Corvus moneduloides) can combine objects to construct novel compound tools. We presented 8 naive crows with combinable elements too short to retrieve food targets. Four crows spontaneously combined elements to make functional tools, and did so conditionally on the position of food. One of them made 3- and 4-piece tools when required. In humans, individual innovation in compound tool construction is often claimed to be evolutionarily and mechanistically related to planning, complex task coordination, executive control, and even language. Our results are not accountable by direct reinforcement learning but corroborate that these crows possess highly flexible abilities that allow them to solve novel problems rapidly. The underlying cognitive processes however remain opaque for now. They probably include the species’ typical propensity to use tools, their ability to judge affordances that make some objects usable as tools, and an ability to innovate perhaps through virtual, cognitive simulations.","It is reported that habitually tool-using New Caledonian crows (Corvus moneduloides) can combine objects to construct novel compound tools, corroborate that these crows possess highly flexible abilities that allow them to solve novel problems rapidly."
"Tool bending in New Caledonian crows","https://scispace.com/paper/tool-bending-in-new-caledonian-crows-xwcozucfrz","2016","Journal Article","Royal Society Open Science","Christian Rutz
Shoko Sugasawa
Jessica Eva Megan van der Wal
Barbara Christina Klump
James J. H. St Clair","10.1098/RSOS.160439","https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.160439","'Betty' the New Caledonian crow astonished the world when she 'spontaneously' bent straight pieces of garden wire into hooked foraging tools. Recent field experiments have revealed that tool bending is part of the species' natural behavioural repertoire, providing important context for interpreting Betty's iconic wire-bending feat. More generally, this discovery provides a compelling illustration of how natural history observations can inform laboratory-based research into the cognitive capacities of non-human animals.","Field experiments have revealed that tool bending is part of the New Caledonian crow species' natural behavioural repertoire, providing important context for interpreting Betty's iconic wire-bending feat."
"Tool-related Cognition in New Caledonian Crows","https://scispace.com/paper/tool-related-cognition-in-new-caledonian-crows-43gzbxo7vi","2006","Journal Article","Comparative Cognition & Behavior Reviews","Lucas A. Bluff
Alex A. S. Weir
Christian Rutz
Joanna H. Wimpenny
Alex Kacelnik","10.3819/CCBR.2008.20001","https://scispace.com/pdf/tool-related-cognition-in-new-caledonian-crows-43gzbxo7vi.pdf","The extent to which non-humans understand their physical world is controversial, due to conceptual and empirical difficul - ties. We examine the evidence for physical understanding in the remarkable tool-oriented behaviour of New Caledonian crows, which make several types of tool in the wild and show prolific tool-related behaviour in captivity. We summarize our own research into the cognitive processes involved in tool behaviour in this species, and review comparable studies in other birds and primates. Our main laboratory findings are: tool-related behaviour emerges in juvenile crows that had no opportunity to learn from others; adult crows can make or select tools of the appropriate length or diameter for tasks; and one crow, at least, can bend and unbend novel material to match task requirements. Although these observations are striking, they do not prove that this species is capable of understanding physical causality, as one cannot exclude explanations based on inherited proclivities, associative learning, and generalisation. Despite this, we argue that the conventional mechanisms become less likely as such observations accumulate. We conclude that while no adequate, non-verbal test for understanding exists, continued work with New Caledonian crows will help us to ask the right questions.","The evidence for physical understanding in the remarkable tool-oriented behaviour of New Caledonian crows cannot prove that this species is capable of understanding physical causality, but it is argued that the conventional mechanisms become less likely as such observations accumulate."
"Do New Caledonian crows solve physical problems through causal reasoning","https://scispace.com/paper/do-new-caledonian-crows-solve-physical-problems-through-4xcjtz9o52","2009","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Alex H. Taylor
Gavin R. Hunt
Felipe S. Medina
Russell D. Gray","10.1098/RSPB.2008.1107","https://scispace.com/pdf/do-new-caledonian-crows-solve-physical-problems-through-4xcjtz9o52.pdf","The extent to which animals other than humans can reason about physical problems is contentious. The benchmark test for this ability has been the trap-tube task. We presented New Caledonian crows with a series of two-trap versions of this problem. Three out of six crows solved the initial trap-tube. These crows continued to avoid the trap when the arbitrary features that had previously been associated with successful performances were removed. However, they did not avoid the trap when a hole and a functional trap were in the tube. In contrast to a recent primate study, the three crows then solved a causally equivalent but visually distinct problem—the trap-table task. The performance of the three crows across the four transfers made explanations based on chance, associative learning, visual and tactile generalization, and previous dispositions unlikely. Our findings suggest that New Caledonian crows can solve complex physical problems by reasoning both causally and analogically about causal relations. Causal and analogical reasoning may form the basis of the New Caledonian crow's exceptional tool skills.","It is suggested that New Caledonian crows can solve complex physical problems by reasoning both causally and analogically about causal relations, and may form the basis of the NewCaledonian crow's exceptional tool skills."
"The development of pandanus tool manufacture in wild New Caledonian crows","https://scispace.com/paper/the-development-of-pandanus-tool-manufacture-in-wild-new-2wxrappp8j","2010","Journal Article","Behaviour","Jennifer C. Holzhaider
Gavin R. Hunt
Russell D. Gray","10.1163/000579510X12629536366284","https://scispace.com/pdf/the-development-of-pandanus-tool-manufacture-in-wild-new-2wxrappp8j.pdf","New Caledonian crows have remarkably complex tool manufacturing abilities. Here we document the ontogeny of pandanus tool manufacture in wild NC crows. Our results show that the development of wide pandanus tool manufacture is a lengthy process comparable to the development of tool use in primates. Juveniles pass through four main stages of tool manufacture before they acquire adult-like proficiency. By 10 to 12 months of age most juveniles can manufacture tools with adult-like competency, but adult-like speed in manufacture and tool use is only reached in their second year. Whilst individual trial and error learning appears to play a major role in juveniles' development of pandanus tool skills, this development takes place in an environment scaffolded by parental birds. Juveniles stay close to their parents for their first year and have ample opportunity to observe parental tool manufacture and use. Parents influence the juveniles' early learning by leading them to Pandanus sp. trees where they provide discarded tools for early tool use. Exposure to parental tools might help juveniles form a mental template of functional tool design and, thus, facilitate the faithful transmission of local design traditions.","The results show that theDevelopment of wide pandanus tool manufacture is a lengthy process comparable to the development of tool use in primates, and exposure to parental tools might help juveniles form a mental template of functional tool design and facilitate the faithful transmission of local design traditions."
"New Caledonian crows show behavioural flexibility when manufacturing their tools","https://scispace.com/paper/new-caledonian-crows-show-behavioural-flexibility-when-2klvc44ur1","2017","Journal Article","Behaviour","Brenna Knaebe
Alex H. Taylor
Douglas Elliffe
Russell D. Gray","10.1163/1568539X-00003411","","New Caledonian crows have demonstrated flexible behaviour when using tools and solving novel problems However, we do not know whether this flexibility extends to tool manufacture Here, we show that these crows respond to different tool-using problems by altering the length of the tools that they manufacture; on average, crows made shorter tools for tasks requiring short tools and longer tools for tasks requiring long tools They continued to do so when they could not simultaneously see the tool-manufacturing material and the apparatus requiring the use of a tool Despite altering the length of their tools, the crows frequently did not make tools short or long enough to reliably extract the bait, though this may have been due to shortcomings in the task presented to them Our results demonstrate that these crows have a degree of behavioural flexibility when making tools, which may be used in the wild during foraging","This article showed that New Caledonian crows respond to different tool-using problems by altering the length of the tools that they manufacture; on average, crows made shorter tools for task requiring short tools and longer tools for tasks requiring long tools They continued to do so when they could not simultaneously see the tool-manufacturing material and the apparatus requiring the use of a tool Despite altering their tools, the crows frequently did not make tools short or long enough to reliably extract the bait, though this may have been due to shortcomings in the task presented to them."
