"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Animal logics: decisions in the absence of human language.","https://scispace.com/paper/animal-logics-decisions-in-the-absence-of-human-language-2bnl668i5r","2006","Journal Article","Animal Cognition","Shigeru Watanabe
Ludwig Huber","10.1007/S10071-006-0043-6","https://scispace.com/pdf/animal-logics-decisions-in-the-absence-of-human-language-2bnl668i5r.pdf","Human beings are rational animals, in other words, they have logic. The word ‘logic’ has a double meaning, as it describes both a way of thinking and one of the most ancient intellectual disciplines, with its beginnings going back to the 4th century b.c. According to the second meaning, logic is the science of reasoning. Not only because of its long history, but also mainly because of its strong influence on society, it can be viewed as the backbone of Western civilization, holding together its systems of philosophy, science, and law. Obviously, the authors of this special issue on ‘animal logic’ refer to the first meaning, by describing the findings of stateof-the-art research on how the mind of human as well as nonhuman animals works. However, this strain of science cannot be decoupled from the historical approaches to the study of the mind, as they have been unfolded in philosophy, psychology, and logic. As the papers in this issue demonstrate, many phenomena studied now in animals have been studied in humans, or have distinct philosophical roots of conceptualization. Inferential and causal reasoning, mind reading, and the formation of concepts, to mention the most popular, are concepts of cognitive processes framed traditionally in logic and the philosophy of mind. Building on traditional terminology and concepts does not necessarily mean to fall","meansend relations, object affordances and have specific motor skills. Obviously, the more an individual understands the functioning of a tool and the causal relationships by which the tool operates, the more effectively it can use it or change it to improve its effectiveness. Different logics:
 Both ""tool using"" and ""tool making"" need technical logic. A classical example of tool using is problem solving of a chimpanzee reported by . A chimpanzee placed two sticks together and used them to get a piece of fruit overhead. Tool using has been observed to occur over a wide range of species. Pigeons also used a tool in a situation that was similar to that of Köhler's chimpanzee. The situation as described below is not real tool making, but the creation of a new combination of different behaviors. Pigeons, which had a history of training to move a box toward a particular position and to climb onto a fixed box and peck a suspended plastic banana, showed problem-solving behavior similar to that of the chimpanzee . Pigeons that had no history of training to move a box to a particular position could not solve the problem. Thus, pigeons could interconnect different repertoires of behavior forming a new sequence to solve the problem, if they had a repertoire of each element. Different logics:
 Tool making requires more advanced cognitive ability and motor skills. Recently, Hunt and colleagues observed sophisticated tool manufacture of New Caledonian crows in the wild. In this issue,  explore the cognitive strategy underlying the selection of appropriate tool-length in the natural setting using well-controlled field experiments. Their finding that tools made by the crows to extract food from vertical holes on first visit were of a similar length regardless of hole depth is in contrast to findings from captive conspecifics. Kacelnik's group at Oxford University found that their birds matched tool length to distance-to-food and made tools to diameters that tracked the hole size. In this issue , they supported their previous claims that New Caledonian crows are able to chose tools according to the anticipation of their future actions by examining one bird's (""Betty"") demonstration of spontaneous wire-bending and using it as a hook. The authors make the strong claim that the details of her behavior suggest a level of understanding of physical tasks that exceeds that previously attained by any other non-human subject, including apes. They argue that immediate causal inference might have been involved in Betty's wire-bending, but that sufficient experience plus swift generalizations would suffice for a sensitivity to tool dimensions. The difficult matter of distinguishing between causal understanding and associative learning processes is further examined in a paper by  reviewing experiments with skillful manipulative birds that do not use tools in the wild. Keas demonstrated the understanding of some functional aspects of a food container through mere observation and found an immediate solution in the string-pulling task, a well-probed test for means-end comprehension. In general, the solving of novel problems without recourse to trial-and-error learning may count as example of the appreciation of mechanical causation."
"Spontaneous innovation of hook-bending and unbending in orangutans (Pongo abelii).","https://scispace.com/paper/spontaneous-innovation-of-hook-bending-and-unbending-in-k3stw628zo","2018","Journal Article","Scientific Reports","I. B. Laumer
Josep Call
Thomas Bugnyar
Alice M. I. Auersperg","10.1038/S41598-018-34607-0","https://scispace.com/pdf/spontaneous-innovation-of-hook-bending-and-unbending-in-k3stw628zo.pdf","Betty the crow astonished the scientific world as she spontaneously crafted hook-tools from straight wire in order to lift a basket out of vertical tubes. Recently it was suggested that this species’ solution was strongly influenced by predispositions from behavioural routines from habitual hook-tool manufacture. Nevertheless, the task became a paradigm to investigate tool innovation. Considering that young humans had surprising difficulties with the task, it was yet unclear whether the innovation of a hooked tool would be feasible to primates that lacked habitual hook making. We thus tested five captive orangutans in a hook bending and unbending task. Orangutans are habitually tool-using primates that have been reported to use but not craft hooked tools for locomotion in the wild. Two orangutans spontaneously innovated hook tools and four unbent the wire from their first trial on. Pre-experience with ready-made hooks had some effect but did not lead to continuous success. Further subjects improved the hook-design feature when the task required the subjects to bent the hook at a steeper angle. Our results indicate that the ability to represent and manufacture tools according to a current need does not require stereotyped behavioural routines, but can indeed arise innovatively. Furthermore, the present study shows that the capacity for hook tool innovation is not limited to large brained birds within non-human animals.","by the means of a rigid unbendable metal hook (35 cm in length ). None of the subjects had used a raking tool in any other context than mentioned above nor had seen or used a hook tool made of a pliant material before. Methods:
 Apparatus. We used two apparatuses corresponding to the two tasks. e bending task apparatus consisted of two vertically oriented 22-cm tubes mounted on a Plexiglas panel that was in turn fastened to the cage mesh (see Fig. , le ). A banana avored pellet was placed inside a basket inside one of the tubes, the other tube remained empty and served as a no-food control. e basket could be extracted by catching its loop (with a hook) and pulling it vertically in the direction of the tube's opening. Subjects had at their disposal two novel materials: a woolen string and an aluminum wire both measuring 29 cm in length. Only the wire was suitable to extract the basket provided one of its ends was fashioned into a hook. e woolen string served as a distractor material. e unbending task apparatus consisted of two horizontally oriented 40-cm tubes mounted on a Plexiglas panel that was also fastened to the cage mesh. A banana avored pellet was placed inside one of the tubes (equidistant from both tube openings) while the other tube remained empty. e string and the wire were only 26 cm in length to ensure that the v-bent wire was too short to reach the reward located in the middle of the tube (see Fig. ). Prior to each test, subjects faced a habituation apparatus identical to the test apparatus except that their tubes were shorter (10 cm) so that the reward could easily be extracted with their ngers by li ing the basked (bending task; see Fig. , le ) or poking the banana pellet out (unbending condition; see Fig. , right). is experience was considered necessary because neither the Go n cockatoos  nor the orangutans in present study had seen a basket before that could be pulled up by the handle. Note that both corvid species 9,12 had prior experience with a ready-made tool and the same testing apparatus before the actual test started. Methods:
 Design. All subjects received both tasks except Dokana and Tanah, who only completed one task. Padana and Pini (and Tanah) started with the bending task whereas Dokana, Raja and Bimbo began with the unbending task. We divided the subjects into two groups depending on their experience using the metal unbendable hook prior to the start of the experiment (for details see above). Non-experienced orangutans (Padana, Raja, Bimbo; Group N) received stepwise sca olding when they failed to solve the original version of the tasks (see below) whereas the experienced group (Pini & Dokana; Group E) received no such sca olding but received the same number of sessions as non-experienced subjects (see SI for details about how many trials each individual received). Raja, Bimbo (both non-experienced) and Dokana (experienced) received the unbending task followed by the bending task whereas Padana (non-experienced) and Pini (experienced) received the reverse order."
"Cognitive adaptations for tool-related behaviour in New Caledonian Crows","https://scispace.com/paper/cognitive-adaptations-for-tool-related-behaviour-in-new-716chz8avr","2004","","","Alex Kacelnik
Jackie Chappell
Ben Kenward
Alex A. S. Weir","","https://scispace.com/pdf/cognitive-adaptations-for-tool-related-behaviour-in-new-716chz8avr.pdf","The New Caledonian crow in the wild ................................................................................................................ 4 Natural history................................................................................................................................................ 4 Tool use.......................................................................................................................................................... 4","we know from our observations of hook-making that New Social learning: Caledonian crows do excel in creative problem solving. So, it seems unlikely that advanced social learning skills are a complete answer to the question ""What is special about this species?"" Cognitive adaptations: generalised or specialised?:
 Perhaps at the other extreme of the possibilities discussed above, New Caledonian crows might have an enhanced cognitive ability (compared, for example, to other Corvidae) not specifically related to tool behaviour. They might have better general problem-solving abilities, be better able to deal with abstract or conditional rules, or have more accurate memories than other species. These abilities may explain tool behaviour, but extend well beyond it. We have not yet had the opportunity to test these aspects of their cognition. An obvious route, that we are following now, is to compare behaviour of this and other species in tasks requiring problem solving, but not involving tools. Cognitive adaptations: generalised or specialised?:
 Alternatively, the crows may have cognitive adaptations strictly within the domain of tool behaviour. Even then, we can ask about the nature of the adaptation: do they learn specific solutions for each task they encounter or can they abstract more general principles? These abstractions could be very specific -for example, the individual might simply understand that pushing that object with this stick will cause it to move away from self; or fairly general -an object has an effect on another if and only if there is a direct, physical connection between them, regardless of the exact circumstances and objects involved. The latter allows for greater behavioural flexibility and improvisation in the face of variable availability of materials and differing tasks requiring tools. Cognitive adaptations: generalised or specialised?:
 For example, if a human finds herself in need of a screwdriver to remove a screw, but does not have one readily available, then she can attempt to use a blunt knife tip or a thin coin to serve the same purpose. She is able to do so because she ""understands"" the required physical forces involved and is able to generalise that knowledge to different objects. We all do something similar every time we try to use a new piece of computer software -with varying levels of success. The laboratory experiments described earlier suggest that New Caledonian crows have an impressive ability to generalise their tool expertise and to create new solutions. Making a hook out of an unfamiliar material and using a variety of different techniques that would not result in a working tool with natural materials seems even more impressive than loosening a screw with a blunt knife."
"Compound tool construction by New Caledonian crows.","https://scispace.com/paper/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8","2018","Journal Article","Scientific Reports","A. M. P. von Bayern
A. M. P. von Bayern
A. M. P. von Bayern
S. Danel
S. Danel
Alice M. I. Auersperg
Alice M. I. Auersperg
Alice M. I. Auersperg
B. Mioduszewska
Alex Kacelnik","10.1038/S41598-018-33458-Z","https://scispace.com/pdf/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8.pdf","The construction of novel compound tools through assemblage of otherwise non-functional elements involves anticipation of the affordances of the tools to be built. Except for few observations in captive great apes, compound tool construction is unknown outside humans, and tool innovation appears late in human ontogeny. We report that habitually tool-using New Caledonian crows (Corvus moneduloides) can combine objects to construct novel compound tools. We presented 8 naive crows with combinable elements too short to retrieve food targets. Four crows spontaneously combined elements to make functional tools, and did so conditionally on the position of food. One of them made 3- and 4-piece tools when required. In humans, individual innovation in compound tool construction is often claimed to be evolutionarily and mechanistically related to planning, complex task coordination, executive control, and even language. Our results are not accountable by direct reinforcement learning but corroborate that these crows possess highly flexible abilities that allow them to solve novel problems rapidly. The underlying cognitive processes however remain opaque for now. They probably include the species’ typical propensity to use tools, their ability to judge affordances that make some objects usable as tools, and an ability to innovate perhaps through virtual, cognitive simulations.","and better-known processes. However, while we do not have any algorithmic proposal for how cognitive operations based on representations of the participant objects can be accessed, the reinforcement learning route seems to fall short of being able to reproduce the birds' innovative behaviour. Discussion:
 Let us consider in detail the possibility that the successful birds produced their rst compound accidentally, i.e. searching for food inside the hollow short element using the solid stick-like elements as poking tools, rather than in an attempt to combine them in order to use the resulting compound tool in the target box. Such probing could indeed occur, since New Caledonian crows do have heritable predispositions to use stick-like tools for extractive foraging and exploration  . eir natural foraging behavior includes inserting sticks into natural ori ces in substrates, aiming tool tips precisely at targets in those holes  . If the short pieces accidentally stuck together during food probing, the subject might have subsequently recognized them as a su ciently long tool to reach for the food target in the box, and reinforcement could lead to an increase in the probability of combining from then on. Judging distances and required lengths of tools, as well as choosing, making and modifying tools accordingly, are all capabilities already known in this species  . One thing that speaks against this possibility, however, is that the crows' food searching was very obviously focused on the box with the visible bait rather than the hollow elements. e 4 successful birds inspected the box persistently and ostensibly from various sides, repeatedly trying to reach for the reward with short single elements. Only in brief interruptions of such food reaching bouts, did they attend to the hollow elements and when they succeeded in making a compound they invariably took it to the baited box and used it to reach the food. is persistence in attempts to extract a detected but unreachable food item is a typical behaviour in the species (e.g. 36). Further, the topography of their behavior when aiming short solid elements into hollow ones did not resemble what they do when searching for food: rather than producing rapid up and down probing movements  , the crows made a single or very few controlled insertions, steadily pushing the 2 elements into each other with substantial force and, once the elements stuck together, carefully pulling the compound out (Movies S1-4) and transporting it to the food box. Discussion:
 In trials that followed a rst construction the birds constructed compounds immediately, and in the two transfer tests in which the available short elements were di erent, they rapidly used the novel elements to build compounds. In the need discrimination test in which tool construction was only required in half of the trials. All four successful birds built compounds without previously poking with uncombined elements more en when construction was necessary than when it was not, even if construction had by that stage been reinforced repeatedly (Fig. ). is di erence however was signi cant for only 2 of them."
"A New Caledonian crow (Corvus moneduloides) creatively re-designs tools by bending or unbending aluminium strips.","https://scispace.com/paper/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25","2006","Journal Article","Animal Cognition","Alex A. S. Weir
Alex Kacelnik","10.1007/S10071-006-0052-5","https://scispace.com/pdf/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25.pdf","Previous observations of a New Caledonian crow (Corvus moneduloides) spontaneously bending wire and using it as a hook [Weir et al. (2002) Science 297:981] have prompted questions about the extent to which these animals ‘understand’ the physical causality involved in how hooks work and how to make them. To approach this issue we examine how the same subject (“Betty”) performed in three experiments with novel material, which needed to be either bent or unbent in order to function to retrieve food. These tasks exclude the possibility of success by repetition of patterns of movement similar to those employed before. Betty quickly developed novel techniques to bend the material, and appropriately modified it on four of five trials when unbending was required. She did not mechanically apply a previously learned set of movements to the new situations, and instead sought new solutions to each problem. However, the details of her behaviour preclude concluding definitely that she understood and planned her actions: in some cases she probed with the unmodified tools before modifying them, or attempted to use the unmodified (unsuitable) end of the tool after modification. Gauging New Caledonian crows’ level of understanding is not yet possible, but the observed behaviour is consistent with a partial understanding of physical tasks at a level that exceeds that previously attained by any other non-human subject, including apes.","tool in Trial 4 than in Trial 3, although she had already experienced the result of the modification. As in other tests, her behaviour was neither consistent with a complete human-like understanding of the problem nor with random manipulation of the raw materials. Discussion:
 It is again interesting to compare Betty's performance with that of the chimpanzees studied by  (see 'Introduction' for a description of the experiments and overall results; the unbending experiments by  and  are not reported in enough detail for comparison). In the first 56 test trials (Experiments 24 and 25: 7 subjects, 8 trials per subject) where the chimpanzees had to modify the tool to succeed, there were 7 instances where the tool was modified, but either the modification did not straighten the tool sufficiently, or the tool was not used appropriately after modification; no subject was successful in retrieving the reward. After explicit training in bending (note: not unbending) the tool (Experiment 26), one subject (Jadine) did appropriately modify and use the tool (although she still first directed the unmodified end at the apparatus on one trial). There are many differences between the situation for the chimpanzees and for Betty in the present experiment that limit the possibility of direct comparisons (including differences in the task-unbending for length rather than width), but it is interesting to note that Betty's modifications occurred after far fewer trials than Jadine's, and without any explicit training by the experimenter. However, Betty had had experience bending the material in other tasks, which might have given her an advantage."
"New Caledonian Crows Use Mental Representations to Solve Metatool Problems","https://scispace.com/paper/new-caledonian-crows-use-mental-representations-to-solve-4qk40ui895","2019","Journal Article","Current Biology","Romana Gruber
Martina Schiestl
Markus Boeckle
Anna Frohnwieser
Rachael Miller
Russell D. Gray
Russell D. Gray
Nicola S. Clayton
Alex H. Taylor","10.1016/J.CUB.2019.01.008","https://www.repository.cam.ac.uk/bitstream/1810/288590/3/Gruber_et_al.pdf","","2017 crows that received the stone problem first reached criterion within 40 trials (Figure ). However, when these crows were then given the stick condition second, they reached criterion in 22, 23, and 24 trials respectively (Figure ). RESULTS AND DISCUSSION:
 Experiment 2 was presented to the eight crows in our 2018 field season. Here, crows were given one of three trial types within each block of trials: a stick metatool trial, a stone metatool trial (both the same as in experiment 1), or a shortcut trial. In shortcut trials, crows had to take a stone to get food directly from the platform apparatus (goal) while ignoring two sticks placed inside the two sub-goal apparatuses (tube and platform), as these sticks were non-functional for the overall goal. If crows were not representing the final goal, we predicted they would attempt to use the available tool to gain one of the tools at the sub-goal stage instead of taking the tool directly to the final goal. Thus, to pass this experiment, crows had to plan using mental representations of both the goal and sub-goals of the problem across the three trial types presented to them. Crows were given blocks with these three trial types presented in a pseudorandomized order. Three of the eight birds solved the problem within 60 trials (20 of each condition): Neptune did so in 25 trials, Mars in 26 trials, and Triton in 39 trials. One other bird, Mercury, reached criterion in 69 trials (Figure ). Clearly, this was a more difficult problem than experiment 1 as crows had to encode more information, namely not only the location  and identity of the two tools but also the identity of the goal apparatus as well. RESULTS AND DISCUSSION:
 Experiment 3 was presented to three of four crows that passed experiment 2 (one crow was excluded due to procedural problems). In all experiments to this point, crows had to plan using mental representations of the locations and identity of the two out-of-sight tools. In this experiment, this changed: for each sub-goal, the same tool was placed in either a functional or non-functional apparatus. Thus, in the stick condition, crows had to take a stick to gain a stone from a tube (functional subgoal), while ignoring a stone in a platform (distractor sub-goal), and then take the stone to extract food from a platform (goal). In the stone condition, crows had to use a stone to gain a stick from a platform (functional sub-goal), while ignoring a stick in a tube (distractor sub-goal), and then use this stick to gain food. Crows, therefore, had to plan using representations of both the identity and location of the apparatuses, which they had never had to do before. Crows were given 20 trials of each condition. The three crows reached criterion within the first 20 trials of the stick condition, scoring 18, 17, and 16 out of 20 (Figure ). In contrast, no crow reached criterion within 20 trials in the stone condition, and only one reached criterion within 60 trials (Figure )."
"Complex cognition and behavioural innovation in New Caledonian crows","https://scispace.com/paper/complex-cognition-and-behavioural-innovation-in-new-38l6k1qumm","2010","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Alex H. Taylor
Douglas Elliffe
Gavin R. Hunt
Russell D. Gray","10.1098/RSPB.2010.0285","https://scispace.com/pdf/complex-cognition-and-behavioural-innovation-in-new-38l6k1qumm.pdf","Apes, corvids and parrots all show high rates of behavioural innovation in the wild. However, it is unclear whether this innovative behaviour is underpinned by cognition more complex than simple learning mechanisms. To investigate this question we presented New Caledonian crows with a novel three-stage metatool problem. The task involved three distinct stages: (i) obtaining a short stick by pulling up a string, (ii) using the short stick as a metatool to extract a long stick from a toolbox, and finally (iii) using the long stick to extract food from a hole. Crows with previous experience of the behaviours in stages 1–3 linked them into a novel sequence to solve the problem on the first trial. Crows with experience of only using string and tools to access food also successfully solved the problem. This innovative use of established behaviours in novel contexts was not based on resurgence, chaining and conditional reinforcement. Instead, the performance was consistent with the transfer of an abstract, causal rule: ‘out-of-reach objects can be accessed using a tool’. This suggests that high innovation rates in the wild may reflect complex cognitive abilities that supplement basic learning mechanisms.","Title: Complex cognition and behavioural innovation in New Caledonian crows Authors: Alex H Taylor,Douglas Elliffe,Gavin R Hunt,Russell D Gray Keywords: behavioural innovation, causal reasoning, New Caledonian crows"
"Is there a link between the crafting of tools and the evolution of cognition","https://scispace.com/paper/is-there-a-link-between-the-crafting-of-tools-and-the-9nalo0ia8f","2014","Journal Article","Wiley Interdisciplinary Reviews: Cognitive Science","Alex H. Taylor
Russell D. Gray","10.1002/WCS.1322","https://scispace.com/pdf/is-there-a-link-between-the-crafting-of-tools-and-the-9nalo0ia8f.pdf","The ability to craft tools is one of the defining features of our species. The technical intelligence hypothesis predicts that tool-making species should have enhanced physical cognition. Here we review how the physical problem-solving performance of tool-making apes and corvids compares to closely related species. We conclude that, while some performance differences have been found, overall the evidence is at best equivocal. We argue that increased sample sizes, novel experimental designs, and a signature-testing approach are required to determine the effect tool crafting has on the evolution of intelligence. WIREs Cogn Sci 2014, 5:693–703. doi: 10.1002/wcs.1322



For further resources related to this article, please visit the WIREs website.



Conflict of interest: The authors have declared no conflicts of interest for this article.","reshape the ends of sticks through biting so they resemble brushes. Thus, just as with human stone tool manufacture, each of these species carries out a sequence of hierarchically structured behaviors to impose a novel, three-dimensional form onto natural material (Figure ). INTRODUCTION:
 In principle, comparison of the cognitive abilities of these tool-crafting species to their close relatives should reveal if tool-crafting animal species think in more sophisticated ways about tool manufacture and the world around them. However, chimpanzees have the same problematic trait combination as humans. This species is highly social (mean group size 53.5)  and crafts tools.  Therefore, either of these two factors could have driven the evolution of the cognitive mechanisms used by chimpanzees. In contrast, both orang-utans and New Caledonian crows are relatively unsocial species. New Caledonian crows live in small family groups  and appear to mix closely outside of these groups with only five to six individuals.  Orang-utans are semi-solitary, in that they tend to range alone, but do come together into small groups.  These two species should therefore be considered as 'poster children' for the technical intelligence hypothesis. If they both have cognitive adaptations that are present in chimpanzees and humans, but absent in closely related non-tool-crafting species, then the most likely inference is that the evolution of these adaptations was at least initially driven by technical, rather than social, selection pressures. INTRODUCTION:
 Here, we examine whether there are cognitive similarities between humans, chimpanzees, orang-utans, and New Caledonian crows that are not shared by closely related non-tool-crafting species. We restrict our focus to comparison of tool crafters and non-tool crafters, due to the importance of tool crafting in human evolutionary history, rather than focus more broadly on tool behaviors (for a review of this wider area see Ref 32). We then discuss how we can increase our understanding of the effect of tool manufacturing abilities on the evolution of human and nonhuman minds."
"Problem solving and tool use in three species of otter","https://scispace.com/paper/problem-solving-and-tool-use-in-three-species-of-otter-5azufb8caz","2015","","","Robert F. Gormley","","https://scispace.com/pdf/problem-solving-and-tool-use-in-three-species-of-otter-5azufb8caz.pdf","iii ACKNOWLEDGEMENTS iv LIST OF TABLES vi LIST OF FIGURES vii LIST OF ABBREVIATIONS vii","sociality might predict . INTRODUCTION: Although North American river otters (NAROs) are typically considered marginally less social than GROs , they are also the only otter species to have been directly observed to forage cooperatively . INTRODUCTION:
 Despite the distribution of NAROs throughout most of North America, there is a dearth of research concerning their cognition. NAROs have also been known to display neophilic reactions to nonthreatening novel objects (Tennessee Aquarium otter keepers, personal communication, January 11, 2014), which may suggest that they will perform well on problem solving tasks given that neophobia has been negatively correlated with success rates on problem solving tasks in other social carnivorans . INTRODUCTION:
 Even though GROs, NAROs, and ASCOs are not native tool-users it is possible that they are capable of using tools under experimental conditions where there is sufficient motivation and opportunity to do so. Such a phenomenon has been observed in the rook (Corvus frugilegus), a social species that has never been observed using tools in the wild but has proven to be a highly skilled tool user under captive conditions . Rooks are closely related to the New Caledonian crows (Corvus moneduloides), the tool use of which rivals that of many primates . New Caledonian crows have been shown to manufacture hook tools out of both natural and manmade materials , exhibit metatool use surpassing that of many primates , and use sticks as exploratory probes to investigate potentially dangerous novel objects . INTRODUCTION:
 When captive rooks are presented with cognitively demanding tasks such as manufacturing hooks to retrieve otherwise inaccessible food they have consistently outperformed most species that are native tool users . Most interesting is the rook's performance on  problem solving task inspired by Aesop's Fable, wherein a crow is said to have dropped stones into a pot of water to raise the water level to the point where it could drink. The researchers allowed rooks access to a clear vertical open-topped tube one-third filled with water in which there was an out of reach floating worm and a variety of stones of appropriate sizes to fit in the tube. All four rooks acquired the worm by dropping stones into the tube until the water level was high enough for them to reach the worm despite no previous exposure to this particular task. The spontaneous solving of the task is indicative of insight which is further supported by the lack of trial-and-error problem solving and the absence of any known species typical behaviors that would account for their success on the task. INTRODUCTION:
 The beauty of the Aesop's Fable stone dropping task is that it is usable across a variety of species  because it does not require fine manual dexterity in the species being studied. Animals not able to hold and manipulate sticks or stick-like objects may be cognitively capable of similar feats of problem solving but typical experimental conditions assessing tool use may not be conducive to them successfully completing tasks requiring the dexterous maneuvering of sticks or other objects. The stone dropping task developed by  may provide a workaround for this problem since picking up and dropping appropriately sized stones may be more relevant to the physical affordances and behavioral repertoires of many species."
"Cognitive processes associated with sequential tool use in New Caledonian crows.","https://scispace.com/paper/cognitive-processes-associated-with-sequential-tool-use-in-1y2625ck48","2009","Journal Article","PLOS ONE","Joanna H. Wimpenny
Alex A. S. Weir
Lisa Clayton
Christian Rutz
Alex Kacelnik","10.1371/JOURNAL.PONE.0006471","https://scispace.com/pdf/cognitive-processes-associated-with-sequential-tool-use-in-1y2625ck48.pdf","Background: Using tools to act on non-food objects—for example, to make other tools—is considered to be a hallmark of human intelligence, and may have been a crucial step in our evolution. One form of this behaviour, ‘sequential tool use’, has been observed in a number of non-human primates and even in one bird, the New Caledonian crow (Corvus moneduloides). While sequential tool use has often been interpreted as evidence for advanced cognitive abilities, such as planning and analogical reasoning, the behaviour itself can be underpinned by a range of different cognitive mechanisms, which have never been explicitly examined. Here, we present experiments that not only demonstrate new tool-using capabilities in New Caledonian crows, but allow examination of the extent to which crows understand the physical interactions involved. Methodology/Principal Findings: In two experiments, we tested seven captive New Caledonian crows in six tasks requiring the use of up to three different tools in a sequence to retrieve food. Our study incorporated several novel features: (i) we tested crows on a three-tool problem (subjects were required to use a tool to retrieve a second tool, then use the second tool to retrieve a third one, and finally use the third one to reach for food); (ii) we presented tasks of different complexity in random rather than progressive order; (iii) we included a number of control conditions to test whether tool retrieval was goal-directed; and (iv) we manipulated the subjects’ pre-testing experience. Five subjects successfully used tools in a sequence (four from their first trial), and four subjects repeatedly solved the three-tool condition. Sequential tool use did not require, but was enhanced by, pre-training on each element in the sequence (‘chaining’), an explanation that could not be ruled out in earlier studies. By analyzing tool choice, tool swapping and improvement over time, we show that successful subjects did not use a random probing strategy. However, we find no firm evidence to support previous claims that sequential tool use demonstrates analogical reasoning or human-like planning. Conclusions/Significance: While the ability of subjects to use three tools in sequence reveals a competence beyond that observed in any other species, our study also emphasises the importance of parsimony in comparative cognitive science: seemingly intelligent behaviour can be achieved without the involvement of high-level mental faculties, and detailed analyses are necessary before accepting claims for complex cognitive abilities.","the two possibilities are not mutually exclusive. Even though this control was only run in a single experienced subject, the result suggests that such goal-absent or goal-modified controls might provide important information in establishing the goaldirectedness of sequential tool actions. Experiment 1:
 Inexperienced subjects. All three inexperienced crows obtained food with the tabletop tool where this was possible, but failed in all tasks where tools had to be extracted (Table ). Furthermore, some other aspects of their behaviour argue against the interpretation that these subjects were reasoning about the task: one subject (Nalik) repeatedly interacted with tool-tubes, and on three trials used the available tool to obtain further tools, but he never then made use of these for food extraction. On the No-Food trials, the empty food-tube was probed in two trials (out of a pooled twelve). Barry probed with the tabletop tool, but Nalik used that tool to extract another and probed the empty tube with it; this was the only occasion when an inexperienced bird used the available tabletop tool to extract a tool that was then used to probe into the food tube. Experiment 1:
 To explore whether the inexperienced birds' failure to show successful sequential tool use was a result of limited experience, we gave two of them (Nalik had died) additional blocks of trials. One subject (Barry) extracted a tool on his second additional trial (22nd trial overall; 14th experimental trial overall), and subsequently repeatedly interacted with tool-tubes, showing performance levels similar to those observed in two of the experienced subjects, Ue ´k and Pierre (7/18 successes in Secondary-Any and Secondary-Long trials; like Ue ´k and Pierre, he never solved the Tertiary task). In contrast, even after a total of 77 extra trials, the other bird (Kenny) never used one tool to retrieve another. Further tests suggested that his poor performance was due to lack of attention or aversion to the tool-tubes: even when tools protruded out of the tubes, and could be obtained by beak, Kenny did not retrieve them, although he continued to retrieve the food when it was within reach of the tabletop tool."
