"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Abrupt learning and retinal size specificity in illusory-contour perception","https://scispace.com/paper/abrupt-learning-and-retinal-size-specificity-in-illusory-2804isk9hx","1997","Journal Article","Current Biology","Nava Rubin
Ken Nakayama
Robert Shapley","10.1016/S0960-9822(06)00217-X","https://www.cns.nyu.edu/~nava/mypapers/Rubin_etal_CurrBio1997.pdf","","or less . Second, the improvement was incremental: often it took place over hundreds or even thousands of trials , and even in cases in which fast learning phases were observed , performance showed a steep, but gradual, improvement over a few tens of trials. Discussion:
 In the study presented here, neither of these two characteristics is present. First, because of the large retinal distances between the inducers (more than 10° visual angle in the 60 cm viewing condition), the relevant information was stored on widely separated neurons in early visual cortical areas. Second, the learning occurred not only fast but abruptly: the subjects underwent a transition between a 'don't know' and a 'know' state, which did not show the intermediate-performance stages observed in other studies. Taken together, the abruptness and the global nature of the task make it unlikely that a model in which learning depends exclusively on quick synaptic modifications of local connectivity in early cortical areas, such as has been suggested previously for other tasks , could account for our results. Discussion:
 Yet the size specificity of the learning in our study suggests an involvement of early visual cortical areas in which retinotopic organization still exists. Thus, it is difficult to conceive of the learning as occurring at a single site, whether it be retinotopic or some higher area. Rather, our findings suggest a more global rerouting of information and knowledge structure . Our preliminary results from other experiments also seem to indicate that there is a 'high-level', general component to the learning, as well as stimulus-specific components. As such, the results suggest that the dichotomy made between insight and gradual, incremental learning may need to be revised. Discussion:
 Rather than postulating two distinct mechanisms for the two forms of learning, our findings may be better understood within a single framework, suggesting a major role for interactions between multiple levels of representation of the stimuli . Discussion:
 This view has already been put forward by Hebb , who suggested that ""insight ... continually affects the learning of the adult animal,"" and that ""it is not wholly separate from rote learning."" Hebb proposed a unitary mechanism, based on the associations of co-occurring internal states, within which to understand all learning phenomena. However, he emphasized that the sequence of internal states is not merely determined by external events, but is rather an active process in which the animal is attempting continually to discover structure and meaning in the incoming information. This is a very different view from the incremental and 'unsupervised' form of learning with which Hebb is usually associated today . Our findings, as well as other recently reported evidence , vindicate Hebb's original ideas and call for a more integrative approach to studying the organization of learning."
"The phase transition in human cognition","https://scispace.com/paper/the-phase-transition-in-human-cognition-3mzor5y2i6","2009","Journal Article","New Mathematics and Natural Computation","Michael J. Spivey
Sarah Anderson
Rick Dale","10.1142/S1793005709001234","https://scispace.com/pdf/the-phase-transition-in-human-cognition-3mzor5y2i6.pdf","This article attempts to build a bridge between cognitive psychology and computational neuroscience, perhaps allowing each group to understand the other's theoretical insights and sympathize with the other's methodological challenges. In briefly discussing a collection of conceptual demonstrations, neural network and dynamical system simulations, and human experimental results, we highlight the importance of the concept of phase transition to understand cognitive function. Our goal is to show that viewing cognition as a self-organizing process (involving phase transitions, criticality, and autocatalysis) affords a more natural explanation of these data over traditional approaches inspired by a sequence of linear filters (involving detection, recognition, and then response selection).","Title: THE PHASE TRANSITION IN HUMAN COGNITION Authors: Spivey,Anderson,Dale,Michael J Spivey,Sarah E Anderson,Rick Dale Keywords: cognition, dynamical systems, emergence, phase transition"
"Mice in a labyrinth: Rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox","2021","Posted Content","bioRxiv","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.1101/2021.01.14.426746","https://scispace.com/pdf/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox.pdf","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal quickly discovers the location of a reward in the maze and executes correct 10-bit choices after only 10 reward experiences – a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.","learn these simple tasks. For example, the mouse with the steering wheel requires about 10,000 experiences before performance saturates. It never gets particularly good, with a typical hit rate only 2/3 of the way from random to perfect. Munn:
 All this training takes 3-6 weeks; in the case of monkeys several months. The rate of learning, measured in task complexity per unit time, is surprisingly low: < 1 bit/month compared to ~10 bits/h observed in the labyrinth. The difference is a factor of 6,000. Similarly when measured in complexity learned per reward experience: The 2AFC mouse may need 5,000 rewards to learn a contingency table with 1 bit complexity, the mouse in the maze needs ~10 rewards to learn 10 bits. Given these differences in learning rate spanning many orders of magnitude, it seems likely that whatever neural process underlies ultra-slow 2AFC learning is different from the implementation of fast learning in the labyrinth and other complex environments. Munn:
 Furthermore, the ultra-slow mode of learning may have little relevance for an animal's natural condition. In the month that the 2AFC mouse requires to finally report the location of a light, its relative in the wild has developed from a baby to having its own babies. Along the way, that wild mouse had to make many decisions, often involving high stakes, without the benefit of 10,000 trials of practice. Sudden insight:
 The dynamics of the learning process are often conceived as a continuously growing association between stimuli and actions, with each reinforcing experience making an infinitesimal contribution. The reality can be quite different. When a child first learns to balance on a bicycle, performance goes from abysmal to astounding within a few seconds. The timing of such a discontinuous step in performance seems impossible to predict but easy to recognize after the fact. Sudden insight:
 From the early days of animal learning experiments there have been warnings against the tendency to average learning curves across subjects . The average of many discontinuous curves will certainly look continuous and incremental, but that reassuring shape may miss the essence of the learning process. A recent reanalysis of many Sudden insight:
 Pavlovian conditioning experiments suggested that discontinuous steps in performance are the rule rather than the exception ). Here we found that the same applies to navigation in a complex labyrinth. While the average learning curve presents like a continuous function (Figure ), the individual records of water rewards show that each animal improves rather quickly but at different times (Figure ). Sudden insight:
 Owing to the unstructured nature of the experiment, the mouse may adopt different policies for getting to the water port. In at least half the animals we observed a discontinuous change in that policy, namely when the animal started using efficient direct paths within the maze (Figure , Figure -figure supplement 2). This second switch happened considerably after the animal started collecting rewards, and did not greatly affect the reward rate. Furthermore, the animals never reverted to the less efficient policy, just as a child rarely unlearns to balance a bicycle."
"The Shape of Learning Curves: A Review","https://scispace.com/paper/the-shape-of-learning-curves-a-review-3pw9t2a0","2023","Journal Article","IEEE Transactions on Pattern Analysis and Machine Intelligence","","10.1109/tpami.2022.3220744","https://scispace.com/pdf/the-shape-of-learning-curves-a-review-3pw9t2a0.pdf","Learning curves provide insight into the dependence of a learner's generalization performance on the training set size. This important tool can be used for model selection, to predict the effect of more training data, and to reduce the computational complexity of model training and hyperparameter tuning. This review recounts the origins of the term, provides a formal definition of the learning curve, and briefly covers basics such as its estimation. Our main contribution is a comprehensive overview of the literature regarding the shape of learning curves. We discuss empirical and theoretical evidence that supports well-behaved curves that often have the shape of a power law or an exponential. We consider the learning curves of Gaussian processes, the complex shapes they can display, and the factors influencing them. We draw specific attention to examples of learning curves that are ill-behaved, showing worse learning performance with more training data. To wrap up, we point out various open problems that warrant deeper empirical and theoretical investigation. All in all, our review underscores that learning curves are surprisingly diverse and no universal model can be identified. ","memorization phase, where n ă d) and has random guessing performance, until a point where the perceptron starts to learn (at n ą d, the underparametrized regime) at which a jump occurs to non-trivial performance. Phase Transitions:
 Phase transitions are also found in two-layer networks with binary weights and activations , , . This happens for the so-called parity problem where the aim is to detect the parity of a binary string  for which Opper  found phase transitions in approximations of the learning curve. Learning curve bounds may display phase transitions as well , , though ,  question whether these will also occur in the actual learning curve. Both Sompolinsky  and Opper  note that the sharp phase transitions predicted by theory, will be more gradual in real-world settings. Indeed, when studying this literature, one should be careful in interpreting theoretical results, as the transitions may occur only under particular assumptions or in limiting cases. Phase Transitions:
 For unsupervised learning, phase transitions have been shown to occur as well ,  (see the latter for additional references). Ipsen and Hansen  extend these analyses to PCA with missing data. They also show phase transitions in experiments on real-world data sets.  provides one of the few real application papers where a distinct, intermediate plateau is visible in the learning curve. Phase Transitions:
 For Figure  under (6.1), we constructed a simple phase transition based on a two-class classification problem, y P t`1, ´1u, with the first 99 features standard normal and the 100th feature set to y 100 . PFLD's performance shows a transition at n "" 100 for the error rate. Peaking and Double Descent:
 The term peaking indicates that the learning curve takes on a maximum, typically in the form of a cusp, see Figure  under (6.2). Unlike many other ill behaviors, peaking can occur in the realizable setting. Its cause seems related to instability of the model. This peaking should not be confused with peaking for feature curves as covered in Subsection 2.6, which is related to the curse of dimensionality. Nevertheless, the same instability that causes peaking in learning curves can also lead to a peak in feature curves, see Figure . The latter phenomenon has gained quite some renewed attention under the name double descent . Peaking and Double Descent:
 By now, the term (sample-wise) double descent has become a term for the peak in the learning curve for deep neural networks , . Related terminologies are model-wise double descent, that describe a peak in the plot of performance versus model size, and epoch-wise double descent, that shows a peak in the training curve . Peaking and Double Descent:
 Peaking was first observed for the pseudo-Fisher's linear discriminant (PFLD)  and has been studied already for quite some time . The PFLD is the classifier minimizing the squared loss, using minimum-norm or ridgeless linear regression based on the pseudo-inverse. PFLD often peaks at d « n, both for the squared loss and classification error. A first theoretical model explaining this behavior in the thermodynamical limit is given in . In such works, originating from statistical physics, the usual quantity of interest is α "" d n that controls the relative sizes for d and n going to infinity , , ."
"Meta-learning in head fixed mice navigating in virtual reality: A Behavioral Analysis","https://scispace.com/paper/meta-learning-in-head-fixed-mice-navigating-in-virtual-3t7qzuv5","2023","Posted Content","bioRxiv","Xinyu Zhao
Sarah Lindo
Nelson Spruston","10.1101/2023.05.01.538936","https://scispace.com/pdf/meta-learning-in-head-fixed-mice-navigating-in-virtual-3t7qzuv5.pdf","Animals can learn general task structures and use them to solve new problems with novel sensory specifics. This capacity of ‘learning to learn’, or meta-learning, is difficult to achieve in artificial systems, and the mechanisms by which it is achieved in animals are unknown. As a step toward enabling mechanistic studies, we developed a behavioral paradigm that demonstrates meta-learning in head-fixed mice. We trained mice to perform a two-alternative forced-choice task in virtual reality (VR), and successively changed the visual cues that signaled reward location. Mice showed increased learning speed in both cue generalization and serial reversal tasks. During reversal learning, behavior exhibited sharp transitions, with the transition occurring earlier in each successive reversal. Analysis of motor patterns revealed that animals utilized similar motor programs to execute the same actions in response to different cues but modified the motor programs during reversal learning. Our study demonstrates that mice can perform meta-learning tasks in VR, thus opening up opportunities for future mechanistic studies.","hypotheses is whether representations in the memory circuit (e.g., hippocampus) shift during reversal. A recent study , using a similar behavioral paradigm, reported minimal effects of reversal in CA1 representations, in favor of the contextualized motor hypothesis. Discussion:
 One striking phenomenon revealed in our study is the sharp transition of behavioral states during reversal learning. A recent study showed that freely moving mice can exhibit abruptly acquired 'insight' . Our study demonstrates that sudden insight is not restricted to freely moving paradigms but can also be observed in head-fixed animals. In our reversal learning task, animals transitioned in and out of a biased behavioral state to eventually learn the rule reversals. This observation is consistent with a classic psychological study, which reported that rats, when presented with a reversal learning task, exhibited strongly biased turning followed by exploration behavior (described as ""hypothesis"" testing) prior to discovering the new task rule . Rapid switch of behavioral preference during reversal has also been reported in non-human primates , although the biased phase that we observed in mice was not typically observed. However, this discrepancy is likely explained by the fact that it only took a few laps for monkeys to learn the rule reversal. In fact, an early monkey study indeed reported hints of the biased phase in some slow learners , suggesting that our discovered phase transitions may be generalized to primates. Although it is reasonable to assume that the beginning of the biased phase reflects the animal's frustration in not getting rewards in a presumably well-learned task, the biased phase may not be a continual disengagement period. For example, animals may exhibit some cognitive changes, such as enhanced attention to environmental cues or vicarious trialand-error , that precede the animal's transition out of the biased phase to above-chance task performance. Future physiological recordings will be helpful to identify potential changes in neural activity leading to this behavioral switch . Finally, it should be noted that the sudden shift in the animal's behavior, or the output of the neural network, does not necessarily indicate that the underlying synaptic and cellular changes are abrupt themselves. Incremental weight changes often lead to stepwise reduction in the error, a well-known phenomenon in training artificial neural networks . Both slow and fast  forms of plasticity exist in the brain. However, the plasticity mechanism underlying sharp behavioral transitions remains to be investigated in the future."
"What Is the Shape of Developmental Change","https://scispace.com/paper/what-is-the-shape-of-developmental-change-4h9r4ab5qy","2008","Journal Article","Psychological Review","Karen E. Adolph
Scott R. Robinson
Jesse W. Young
Felix Gill-Alvarez","10.1037/0033-295X.115.3.527","https://scispace.com/pdf/what-is-the-shape-of-developmental-change-4h9r4ab5qy.pdf","Developmental trajectories provide the empirical foundation for theories about change processes during development. However, the ability to distinguish among alternative trajectories depends on how frequently observations are sampled. This study used real behavioral data, with real patterns of variability, to examine the effects of sampling at different intervals on characterization of the underlying trajectory. Data were derived from a set of 32 infant motor skills indexed daily during the first 18 months. Larger sampling intervals (2-31 days) were simulated by systematically removing observations from the daily data and interpolating over the gaps. Infrequent sampling caused decreasing sensitivity to fluctuations in the daily data: Variable trajectories erroneously appeared as step functions, and estimates of onset ages were increasingly off target. Sensitivity to variation decreased as an inverse power function of sampling interval, resulting in severe degradation of the trajectory with intervals longer than 7 days. These findings suggest that sampling rates typically used by developmental researchers may be inadequate to accurately depict patterns of variability and the shape of developmental change. Inadequate sampling regimes therefore may seriously compromise theories of development.","Title: What Is the Shape of Developmental Change? Authors: Karen E Adolph (Corresponding Author),Scott R Robinson,Jesse W Young,Felix Gill-Alvarez Developmental Trajectories:
 Understanding developmental change is a central goal for developmental science. However, despite numerous treatises by prominent developmental theorists in a variety of areas urging researchers to focus on change processes (e.g., , developmental psychologists have made surprisingly little progress toward understanding the process of developmental change. Part of the problem is historical. Much of the work in developmental psychology has concentrated on descriptions of children's behavior at various ages or on the earliest manifestations of particular abilities. Decades of reliance on cross-sectional designs, demonstration proofs, and broad-sweeping longitudinal approaches have left researchers with a gallery of before and after snapshots, studio portraits of newborns, and fossilized milestones, but little understanding of the process of development itself. What we need are accurate, fine-grained depictions of developmental trajectories for cognitive, language, perceptual, motor, and social skills. Developmental Trajectories:
 The staggering variety of developmental trajectories has also contributed to the lack of progress in understanding change processes. The shape of developmental change might assume any number of patterns (Figure ). For instance, a trajectory might show smooth and monotonic improvements with age, proceeding at a steady pace as in children's use of retrieval strategies in addition , or with accelerating or decelerating rates of change, as in infants' acquisition of new words  and improvements in toddlers' walking skill , respectively. The path of change may show discontinuities such as abrupt, stage-like shifts in performance between periods of relative stability, as in children's stage-like success on many Piagetian tasks , their abrupt shift from ignoring to marking the past tense of verbs , and the sudden transition to grasping while reaching . Variability may increase during the period of acquisition, with a series of reversals vacillating between less and more mature expressions of the skill, as in children's conservation of volume . Or a variable acquisition period may entail use of multiple, unsystematic use of strategies between incorrect and correct endpoints, as in  and their acquisition of a theory of mind . Discontinuities can take on other shapes, such as episodic changes, where development advances like climbing a staircase, with sudden improvements in children's conceptual understanding separated by long periods in a single stage  or small fits and starts of physical growth separated by periods of stasis . Discontinuities can involve reversible patterns of change, as in the U-shaped course of children's success on math equivalence problems , infants' alternating stepping movements , and the classic description of over-regularizations in past tense verb forms , or the inverted-U-shaped trajectory of cognition over the life span , and infants' zigzag-shaped error rate in detecting threats to balance as they learn to sit, crawl, cruise, and walk ."
"Complex dynamics of choice during operant extinction and a simple associative learning account","https://scispace.com/paper/complex-dynamics-of-choice-during-operant-extinction-and-a-6nbm0a67z2","2020","Posted Content","bioRxiv","José R. Donoso
Julian Packheiser
Roland Pusch
Zhiyin Lederer
Thomas Walther
Onur Güntürkün
Sen Cheng","10.1101/2020.04.17.046136","https://scispace.com/pdf/complex-dynamics-of-choice-during-operant-extinction-and-a-6nbm0a67z2.pdf","Extinction learning, the process of ceasing an acquired behavior in response to altered reinforcement contingencies, is essential for survival in a changing environment. So far, research has mostly neglected the learning dynamics and variability of behavior during extinction learning and instead focused on a few response types that were studied by population averages. Here, we take a different approach by analyzing the trial-by-trial dynamics of operant extinction learning in both pigeons and a computational model. The task involved discriminant operant conditioning in context A, extinction in context B, and a return to context A to test the context-dependent return of the conditioned response (ABA renewal). By studying single learning curves across animals under repeated sessions of this paradigm, we uncovered a rich variability of behavior during extinction learning: (1) Pigeons prefer the unrewarded alternative choice in one-third of the sessions, predominantly during the very first extinction session an animal encountered. (2) In later sessions, abrupt transitions of behavior at the onset of context B emerge, and (3) the renewal effect decays as sessions progress. While these results could be interpreted in terms of rule learning mechanisms, we show that they can be parsimoniously accounted for by a computational model based only on associative learning between stimuli and actions. Our work thus demonstrates the critical importance of studying the trial-by-trial dynamics of learning in individual sessions, and the unexpected power of simple associative learning processes.","Curiously, our model exhibits extinction learning at varying speeds (see Figs. ), even though it lacks a term modulating the learning rates; a phenomenon that could be otherwise attributed to attentional variations due to reward expectancy, as suggested by previous models. Smooth and abrupt transitions upon the onset of extinction.:
 Although our model provides a parsimonious explanation of the observed behavior in terms of associative learning, it cannot rule out the involvement of higher-order cognitive functions, particularly in species that easily learn abstract rules like corvids and primates  , in contrast to pigeons  . It could be argued, for example, that the decay of the renewal effect with session number (Fig. ) reflects learning about the structure of the task: As sessions progress, animals might learn that a switch from context B back to context A does not predict a return of the reinforcement contingency of the acquisition phase. Hence, the renewal effect would decay gradually as animals experience more and more sessions with the same ABA structure. Since such putative abstract-rule learning is not perfect, some forgetting or attentional fluctuations might lead to the intermittent reappearance of the renewal effect (Fig. , bottom), but overall, renewal decays with experience. Along the same lines, the dominance of smooth transitions in the first session, and the appearance of abrupt transitions at later sessions (Fig. ) might also reflect some form of abstract-rule learning: In the first session, animals experience a withdrawal of reinforcers when the context is switched to B for the very first time. Not knowing that reward contingency is linked to context, the animals will initially persist on the previously reinforced response for several trials before gradually changing their behavior as a result of the absence of the expected reward. Such behavioral momentum might be reduced in later sessions as animals learn that a change from the acquisition context A to the extinction context B signals a change in the reward contingency. The application of this hypothetical rule might also be subject to attentional fluctuations and other sources of noise, resulting in the observed intermittent pattern of abrupt transitions. Based on our data, we cannot rule out that these hypothetical behavioral strategies drive the observed complex behaviors during extinction and renewal-test. However, based on the results of our simple associative learning model, we can conclude that higher-order cognition is not necessary to account for the aforementioned features in the cumulative learning curves. Smooth and abrupt transitions upon the onset of extinction.:
 In conclusion, we have uncovered a rich variability of behavior in operant extinction learning and renewal that so far has remained concealed in population averages. Even though these complex behaviors appear to reflect abstract rule learning, we have demonstrated that associative learning can generate similarly complex behavior without resorting to higher-order cognitive processes."
"Continuous Dynamics in Real-Time Cognition","https://scispace.com/paper/continuous-dynamics-in-real-time-cognition-3ct1fabqo7","2006","Journal Article","Current Directions in Psychological Science","Michael J. Spivey
Rick Dale","10.1111/J.1467-8721.2006.00437.X","https://scispace.com/pdf/continuous-dynamics-in-real-time-cognition-3ct1fabqo7.pdf","Real-time cognition is best described not as a sequence of logical operations performed on discrete symbols but as a continuously changing pattern of neuronal activity. The continuity in these dynamics indicates that, in between describable states of mind, mental activity does not lend itself to the linguistic labels relied on by much of psychology. We discuss eye-tracking and mouse-tracking evidence for this temporal continuity and provide geometric visualizations of mental activity, depicting it as a continuous trajectory through a state space (a multidimensional space in which locations correspond to mental states). When the state of the system travels toward a frequently visited region of that space, the destination may constitute recognition of a particular word or a particular object; but on the way there, the majority of the mental trajectory is in intermediate regions of that space, revealing graded mixtures of mental states.","exerting a gravitational pull on processing. Mental activity is seen as a continuous trajectory through that state space, visiting word-recognition attractor basins, object-recognition attractor basins, semantic-category attractor basins, and everywhere in between. CONTINUITY IN COGNITION:
 Although there is a great deal of work examining the continuous temporal dynamics of cognitive development, tracking the time-course of weeks to months (e.g., , there is comparatively little work focusing on the continuous temporal dynamics of real-time cognition, tracking the time-course of dozens to hundreds of milliseconds. Just as dynamical accounts have been discovering that the transitions between putative stages of cognitive development are marked by continuous change, not discrete jumps, so does a dynamical analysis of real-time cognition reveal that transitions between ""mental states"" are composed of continuous change, not discrete jumps. Dynamic Cognition 6:
 In fact, one of the oft-touted examples of sudden cognitive transitions, the ""Aha!"" effect in insight problem solving, appears to actually have a gradual quality to it. Insight problems are labeled as such because they tend to induce in the solver a period of frustration, where the solution has not been found and new ideas are not forthcoming, known as the ""impasse."" Then, seemingly out of nowhere, the correct solution arrives in an instantaneous inexplicable epiphany. This description would seem to fit nicely with the discrete state transitions associated with the computer metaphor of the mind . However,  demonstrated that partial activation of an insight solution was detectable in the form of priming. They had participants try to solve insight-based problems known as compound remote associates (e.g., ""What one word makes a common word-pair with each of the words opera, hand, and dish?""), and followed this with a word-naming task. Even on trials where participants failed to find a solution, these participants were faster to read out loud the correct solution word (e.g., ""soap"") compared to a neutral control word. 2 Thus, when the solution to an insight problem is not explicitly forthcoming, the mind is nonetheless ""getting close"" to the solution."
"Understanding and controlling the geometry of memory organization in
  RNNs","https://scispace.com/paper/understanding-and-controlling-the-geometry-of-memory-h7m0vpg0hosv","2025","Journal Article","","Udith Haputhanthri
Liam Storan
Yiqi Jiang
Tarun Raheja
Adam S. Shai
Orhun Akengin
Nina Miolane
Mark J. Schnitzer
Fatih Dinç
Hidenori Tanaka","10.48550/arxiv.2502.07256","https://scispace.compdf/understanding-and-controlling-the-geometry-of-memory-h7m0vpg0hosv.pdf","Training recurrent neural networks (RNNs) is a high-dimensional process that requires updating numerous parameters. Therefore, it is often difficult to pinpoint the underlying learning mechanisms. To address this challenge, we propose to gain mechanistic insights into the phenomenon of \emph{abrupt learning} by studying RNNs trained to perform diverse short-term memory tasks. In these tasks, RNN training begins with an initial search phase. Following a long period of plateau in accuracy, the values of the loss function suddenly drop, indicating abrupt learning. Analyzing the neural computation performed by these RNNs reveals geometric restructuring (GR) in their phase spaces prior to the drop. To promote these GR events, we introduce a temporal consistency regularization that accelerates (bioplausible) training, facilitates attractor formation, and enables efficient learning in strongly connected networks. Our findings offer testable predictions for neuroscientists and emphasize the need for goal-agnostic secondary mechanisms to facilitate learning in biological and artificial networks. ","and short-term memory tasks and conduct a thorough scientific investigation of the sudden learning phenomena observed in RNNs. We observe two distinct phases during the training of RNNs, search and comprehension, arXiv:2502.07256v1 I. INTRODUCTION:
 [q-bio.NC] 11 Feb 2025 divided by a sudden jump in the loss function values. Examining these transitions reveals the crucial and constructive role of geometric restructuring in phase space as precursors to abrupt learning. I. INTRODUCTION:
 We refer to these emergent phase space structures with slow time dynamics as ""computational structures,"" which presumably subserve computation in short-term memory tasks. Inspired by these observations, we next propose the temporal consistency regularization (TCR), a spatio-temporally local mechanism that incentivizes the formation of such computational structures. I. INTRODUCTION:
 We find that TCR accelerates training by shortening the search phase, and can facilitate online learning of fixed point attractors. Surprisingly, TCR enables training networks within a strongly connected regime, which are known to become chaotic in the limit of infinite neurons . I. INTRODUCTION:
 Such a feat was considered rather difficult with the backpropagation through time algorithm and that had led to the birth of new paradigms such as reservoir computing , FORCE  and full-FORCE . I. INTRODUCTION:
 Our work suggests a nuanced interpretation of abrupt learning with three key insights: i) geometric restructuring during learning (often studied in the form of bifurcations, though see our recent work ) is not always a simple inconvenience that needs to be mitigated, ii) distinct mechanisms other than bifurcations can facilitate the growth of computational structures and subsequent abrupt learning, and iii) enforcing temporal consistency enables faster training in diverse RNN architectures and short-term memory tasks. I. INTRODUCTION:
 Overall, our work constitutes a rigorous systematic study of learning dynamics in highdimensional dynamical systems, links formation of (complex) computational structures to abrupt drops in loss function values, and our findings have direct implications for learning in biological and artificial neural systems. A. Abrupt learning in recurrent neural networks during task-training:
 To illustrate the abrupt learning phenomenon, we start our analysis with piecewise linear recurrent neural networks (PLRNNs). The PLRNNs follow the discretized time evolution equations : A. Abrupt learning in recurrent neural networks during task-training:
 where x[t] ∈ R N are the state variables, r[t] = ϕ(x[t]) the firing rates of N neurons with the ϕ(.) non-linearity, A ∈ R N ×N a diagonal matrix setting the decay times of neural activities, W ∈ R N ×N the recurrent connectivity matrix, s[t] ∈ R Nin is the external input, C ∈ R N ×Nin input weights, and h ∈ R N the biases. A. Abrupt learning in recurrent neural networks during task-training:
 Here, piecewise linear specifically refers to the RELU nonlinearity, i.e., ϕ(z) = max(0, z). The network output is defined as ô(t) = W out x(t) + h out for W out ∈ R Nout×N and h out ∈ R Nout ."
"Are there phase transitions in the development of eye-hand coordination?","https://scispace.com/paper/are-there-phase-transitions-in-the-development-of-eye-hand-4ynwbhcrex","1994","","","R. H. Wimmers
G. J. P. Savelsbergh
P. J. Beek
Brian Hopkins","","https://scispace.com/pdf/are-there-phase-transitions-in-the-development-of-eye-hand-4ynwbhcrex.pdf","","PHASE TRANSITIONS IN THE DEVELOPMENT OF EYE-HAND COORDINATION? Authors: R H Wimmers,G J P Savelsbergh,P J Beek,B Hopkins Keywords: Development, infants, phase tansitions, eye-hand coordination Introduction 123:
 Over the last two decades, numerous physical, chemical, and biochemical systems have been shown to exhibit spontaneous transitions between different states or patterns of activity in response to changes in external conditions that are entirely unspecific as to the emerging pattern. These so-called phase transitions between macroscopically defined states have been described mathematically in terms of low dimensional dynamics . If a phase transition occurs in a system which is far from equilibrium, such as a moving animal, it is termed a nonequilibrium phase transition. During phase transitions of this type, fluctuations and nonlinearities play an essential role. Introduction 123:
 Motor development in early infancy has been characterized by phases, periods of little change sometimes referred to as stages or states, and phases of rapid change . The mechanisms of developmental stability and change continue to be poorly understood. An initial step in tackling this problem is to ask whether the changes in question constitute non-equilibrium phase transitions. To do so requires an unambiguous definition of what is mean by a developmental transition. Introduction 123:
 A developmental transition takes place when a qualitative change occurs from one macroscopically defined developmental state to another. At some critical point, the developmental state suddenly changes, for instance, from non-reaching to reaching or from reaching without grasping to reaching with grasping. New developmental states can be viewed as stable attractors, which become available once the proper boundary conditions have been established. In that case, this new state frequently appears. Through establishing the stability of a developmental state by means of registering its frequency of occurence, changes between states can be distinguished and investigated. Introduction 123:
 The goal of this paper is to introduce certain transition criteria which, if detect• ed, can prove that developmental changes belong to the class of non-equilibrium transi• tions. The meaning of these criteria in relation to developmental transitions is discussed. Some of them are then illustrated by means of a longitudinal study of reaching and grasping in one baby. Introduction 123:
 Transition Criteria  described eight criteria by which abrupt changes can be classified as discontinuous phase transitions (or catastrophes). He called these criteria 'catastro• phe flags'. Five of them, namely, bimodality, inaccessibility, sudden jumps, hysteresis and divergence, appear simultaneously when a system is in transition. The other three, namely, anomalous variance, critical slowing down and divergence of linear response can be found prior to a transition, and therefore signal an upcoming transition. Introduction 123:
 Insights into the nature of these criteria can be gained by using a cusp model. A cusp model is one of the elementary catastrophes identified by , in which a transition is defined as a sudden change in a behavioural variable induced by a small and continuous change in an independent variable or control parameter. Although the control parameter is entirely unspecific as to the resulting pattern, its manipulation is instrumental in creating a new order at the macroscopic level. It controls in the sense of leading the system through its respective states of equilibrium."
