"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"NMDA receptor-dependent plasticity in the nucleus accumbens connects reward-predictive cues to approach responses","https://scispace.com/paper/nmda-receptor-dependent-plasticity-in-the-nucleus-accumbens-21m48xh33h","2019","Journal Article","Nature Communications","Mercedes Vega-Villar
Mercedes Vega-Villar
Jon C. Horvitz
Saleem M. Nicola","10.1038/S41467-019-12387-Z","https://scispace.com/pdf/nmda-receptor-dependent-plasticity-in-the-nucleus-accumbens-21m48xh33h.pdf","Learning associations between environmental cues and rewards is a fundamental adaptive function. Via such learning, reward-predictive cues come to activate approach to locations where reward is available. The nucleus accumbens (NAc) is essential for cued approach behavior in trained subjects, and cue-evoked excitations in NAc neurons are critical for the expression of this behavior. Excitatory synapses within the NAc undergo synaptic plasticity that presumably contributes to cued approach acquisition, but a direct link between synaptic plasticity within the NAc and the development of cue-evoked neural activity during learning has not been established. Here we show that, with repeated cue-reward pairings, cue-evoked excitations in the NAc emerge and grow in the trials prior to the detectable expression of cued approach behavior. We demonstrate that the growth of these signals requires NMDA receptor-dependent plasticity within the NAc, revealing a neural mechanism by which the NAc participates in learning of conditioned reward-seeking behaviors.","latency to respond to the cue was shorter than that predicted by the rate of receptacle entry during the preceding ITI. Negative numbers indicate the opposite. Training protocols.: Values around 0 indicate a lack of influence of the cue on approach behavior. Training protocols.:
 CP analysis. It has long been recognized that group averages of performance during training fail to capture critical dynamics of individual learning curves  . In many basic learning paradigms, group averages suggest that conditioned responses emerge gradually and follow a negatively accelerated curve. However, some authors suggest that the transition from a phase of no progress to a phase of mastery is abrupt rather than gradual  . An alternative for quantifying the learning curve involves identifying the trial after which there is a consistent expression of cued behavior. This trial is called the CP. In order to identify the CP, we used a variation of the method used in Gallistel et al.  . Gallistel et al.  suggest that the first appearance of conditioned responding can be identified by inspecting the cumulative record of each animal's responses as a function of the trials experienced up to that point. These charts are a powerful tool in the identification of behavioral trends  because random changes in behavior from one trial to the next are minimized while steady changes in performance are emphasized by changes in the slope of the line. These records sometimes undergo small changes in slope, and Gallistel et al.  propose a method for quantifying the significance of these putative CPs. The method is a recursive algorithm that is successively run over each data point in the cumulative record of an animal. It has four steps (Supplementary Fig. ). First, it measures the degree of deviation of a particular data point from the cumulative record by drawing a straight line from that data point to either the very first trial or the previous CP (whichever is closest to the trial to which the algorithm is currently being applied). Second, it finds the point that maximally deviates vertically from the straight line, and this trial becomes the putative or test CP. The algorithm then calculates the strength of the evidence that the distribution of trials after the test CP is different from the distribution of trials before the test CP (i.e., the log of the odds against the hypothesis that the test CP is not a true CP). In the third step, if the strength of the evidence is larger than a user-set logit value-we used the most sensitive value proposed by Gallistel et al.  , logit = 1.3, which corresponds to p < 0.05-the algorithm truncates the data and treats that true CP as the new origin (it becomes a candidate CP). Finally, the algorithm repeats the process using the new origin. Using this algorithm, each rat's individual record was broken down in a series of candidate CPs that identified changes in slope that are maintained across trials."
"Bayesian change-point analysis reveals developmental change in a classic theory of mind task.","https://scispace.com/paper/bayesian-change-point-analysis-reveals-developmental-change-56hrw1q8mj","2016","Journal Article","Cognitive Psychology","Sara T. Baker
Alan M. Leslie
Cr R. Gallistel
Bruce M. Hood","10.1016/J.COGPSYCH.2016.08.001","https://research-information.bris.ac.uk/files/108427199/1_s2.0_S0010028515300621_main.pdf","","respectively, showing the classic pattern. Finally, the five children we tested on the true belief control task showed reassuringly consistent high levels of passing throughout. All of these features lead us to believe that the 'instability' we observed is real. Premises of the Bayesian change point algorithm:
 There is no assumption of linearity underlying the Bayesian change point analysis, making it appropriate for modeling any developmental process (similar to non-linear growth curves; . Indeed several of our participants showed a 'sudden' developmental change (which we distinguish from 'sudden insight', moving swiftly from consistently failing to consistently passing a task).  rigorously defined the question of what 'sudden change' means with respect to conditioned learning in animals. In the present study, 'sudden change' simply means on or between the trial indicated and the previous trial. There is no assumption of fixed intervals between responses underlying the Bayesian change point analysis. Because the interval between trials varied in our exploratory study (with an upper limit of 6 weeks), 'sudden' has no precise chronological meaning. The length or variability in length of inter-session periods does not affect the statistical test, but the reader should be aware that 'sudden' is relative to session and not time (for a discussion of time as a variable in developmental research, see . Mapping model parameters to developmental processes is a crucial consideration . When developmental change does occur in an individual child, does it occur instantaneously from one 'processing cycle' to the next or gradually over a period of seconds, minutes, hours, days, ...? No doubt, this is a very difficult question to probe experimentally in children; but, for us, the exciting thing is that Bayesian change-point analysis begins to make exploration of this question possible. Evaluating the strength of the evidence for each model of the cumulative records:
 Only two cases presented nearly neutral evidence with respect to potential models of the data. The rest of the cases could be interpreted as conforming either to a model of change or a model of no change. The strength of the evidence garnered in each individual case is the primary currency of Bayesian change point analysis. As such, the factors affecting it deserve particular attention. We found more records with substantial evidence for change than with substantial evidence for no change (akin to the null hypothesis in traditional terms). It is harder to get substantial evidence for the null, rather than for the alternative to the null, because small samples and ''noise"" limit the possible strength of the evidence for the null, but not the possible strength of the evidence against it. We now discuss the reasons why this is the case."
"Developing theory of mind and executive functions from three- to five -years -old: Cross -sectional group and longitudinal single -case approaches","https://scispace.com/paper/developing-theory-of-mind-and-executive-functions-from-three-4lzwb8l0ge","2007","","","Sara T. Baker","10.7282/T3TB17BR","https://scispace.com/pdf/developing-theory-of-mind-and-executive-functions-from-three-4lzwb8l0ge.pdf","","the alpha level (relaxing our criterion) did not help to bring out a change point. What did help to bring it out was adding another testing session. The algorithm found a change point in the record once there was a larger data set. c) Number of participants:
 In addition to analyzing individuals' patterns of development within and across tasks, this new method could be used to compare patterns across individuals. Just as I subjected the individual records to inferential statistics using the Gallistel algorithm, with enough participants we could use inferential statistics across children. In future studies I will aim for a final sample size of at least 20 children so that conclusions across individuals can be drawn on an inferential statistical basis. If there were enough children in our final sample, we could use inferential statistics to conclude whether one pattern is significantly more common than another across individuals. This type of analysis could be done not only for the patterns of development on a given task, but also for the sequences of development between tasks. I was interested in two fundamental developmental questions. I wanted to see what development looks like on a single case basis, for each task. I could look at change points within a child's performance on each task, and take note of the rates of passing before and after any change point. This gave us information that overall means alone would not have given us. I also wanted to compare development across tasks for each individual I worked with, to see whether I could establish a sequence of development between the tasks. Determining a sequence of development between tasks within individuals which holds across individuals would give us hope of inferring a causal relationship between these abilities, better than a correlational method would. c) Number of participants:
 Concerning the shape of single case developmental profiles, I replicated  findings that there are various individual paths to mature performance in theory of mind tasks. I found instability in individuals' developmental profiles. I also found variability across individual profiles. In addition to asking what the path and rate of change was for each individual's cumulative record on each task, I compared each child's performance on one task to their performance on other tasks. Data are consistent with the suggestion that reducing the executive requirements of a task allowed children to pass that task earlier."
"A cross-species assessment of behavioral flexibility in compulsive disorders.","https://scispace.com/paper/a-cross-species-assessment-of-behavioral-flexibility-in-1cewm8ny4v","2021","Journal Article","","Nabil Benzina
K. N’Diaye
Antoine Pelissolo
Antoine Pelissolo
Luc Mallet
Luc Mallet
Eric Burguière","10.1038/S42003-020-01611-Y","https://scispace.com/pdf/a-cross-species-assessment-of-behavioral-flexibility-in-1cewm8ny4v.pdf","Lack of behavioral flexibility has been proposed as one underlying cause of compulsions, defined as repetitive behaviors performed through rigid rituals. However, experimental evidence has proven inconsistent across human and animal models of compulsive-like behavior. In the present study, applying a similarly-designed reversal learning task in two different species, which share a common symptom of compulsivity (human OCD patients and Sapap3 KO mice), we found no consistent link between compulsive behaviors and lack of behavioral flexibility. However, we showed that a distinct subgroup of compulsive individuals of both species exhibit a behavioral flexibility deficit in reversal learning. This deficit was not due to perseverative, rigid behaviors as commonly hypothesized, but rather due to an increase in response lability. These cross-species results highlight the necessity to consider the heterogeneity of cognitive deficits in compulsive disorders and call for reconsidering the role of behavioral flexibility in the aetiology of compulsive behaviors. Nabil Benzina et al. use a reversal learning task to examine behavioral flexibility in human and mouse models of obsessive compulsive disorder (OCD). They report that only subsets of human patients or OCD-like mice show deficits in behavioral flexibility, highlighting the diverse presentation of cognitive deficits in compulsive disorders.","perseverative phase, were the probability of a spontaneous strategy change (SSC), i.e., switching to the unrewarded stimulus despite previous positive feedback; and the SSC errors, i.e., the number of consecutive errors after a spontaneous strategy change. Methods:
 Change point analysis. To identify the perseverative phase in the mouse version of the task, a change point analysis was performed on the cumulative record of correct responses for each animal and for each reversal block  . This analysis allowed the detection of change points which marked significant variations in the slope of the cumulative record, a useful metric to identify changes in performance. We coded a recursive algorithm based on MatLab functions provided by Gallistel and colleagues  to search for putative change points in individual cumulative records of performance (i.e., the trial deviating maximally from a straight line drawn between the start of the record and the assessed point). A χ 2 test was used to determine whether the frequencies of correct responses before and after the putative change point significantly differed. A change point was retained if its logit value (log of the odds against the null hypothesis that there is no change) reached/exceeded the one defined by the user. We ran the algorithm on each reversal block for each animal starting with the highest (and very conservative) logit value of 6 and, as suggested by Rountree-Harrison et al.  , counting down by increment of 0.1 until we could detect a change point or the lowest acceptable logit value of 1.3 was reached (no change point detected in this case). Therefore, a change point was marking a statistically significant distinction between the post reversal perseverative phase (performance level below 40%), and the learning phase (performance level exceeding 40%)  ."
"The acquisition of conditioned responding.","https://scispace.com/paper/the-acquisition-of-conditioned-responding-4yoif5fddc","2011","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Justin A. Harris","10.1037/A0021883","https://scispace.com/pdf/the-acquisition-of-conditioned-responding-4yoif5fddc.pdf","This report analyzes the acquisition of conditioned responses in rats trained in a magazine approach paradigm. Following the suggestion by Gallistel, Fairhurst, and Balsam (2004), Weibull functions were fitted to the trial-by-trial response rates of individual rats. These showed that the emergence of responding was often delayed, after which the response rate would increase relatively gradually across trials. The fit of the Weibull function to the behavioral data of each rat was equaled by that of a cumulative exponential function incorporating a response threshold. Thus, the growth in conditioning strength on each trial can be modeled by the derivative of the exponential--a difference term of the form used in many models of associative learning (e.g., Rescorla & Wagner, 1972). Further analyses, comparing the acquisition of responding with a continuously reinforced stimulus (CRf) and a partially reinforced stimulus (PRf), provided further evidence in support of the difference term. In conclusion, the results are consistent with conventional models that describe learning as the growth of associative strength, incremented on each trial by an error-correction process.","fit the cumulative distribution of a Weibull function to the data record for each individual rat. This three-parameter function, presented in Equation , is used to describe the central tendency of each rat's behavior on each trial across the course of the experiment. If:
 The Weibull function is particularly useful for the present purpose because it is relatively neutral about the ultimate shape of the acquisition function. When s = 1, Equation 3 is identical to the integral of Equation 1 (with  = 1/k). For values of s > 1, Equation 3 describes a sigmoid function with slope proportional to s (when s >> 1, Equation 3 approaches a step function). Thus the Weibull function provides relatively objective information about the shape of the acquisition function in that it can describe a step function or an incremental learning curve. If:
 The principal objective of this study was to test whether the emergence of conditioned responding is adequately described as a gradual incremental process, as implied by models of learning that use a difference term to compute associative change, or whether responding appears abruptly. If:
 This objective was approached in two ways. If:
 First, Weibull functions were fitted to the behavioral data of individual rats, and these functions were used to estimate how abruptly or gradually responding increased for each rat. Second, Equations 2 and 3 were compared in their ability to provide an adequate fit to the behavioral data. If:
 If the acquisition of conditioned responding in individual subjects does not follow an incremental learning process, we should expect that Equation 2 will not provide as good a fit to the data as the Weibull function. Behavioral data in which there is a sharp rise in responding after a delay will be particularly difficult for the incremental learning process to describe, since such acquisition curves can only be approximated by Equation 2 if the behavioral threshold is set close to the response asymptote so that responding saturates soon after it appears . By contrast, the Weibull function (Equation ) can readily describe such an acquisition curve because the slope of its sigmoid function can vary independently of the latency. Thus, by comparing Equations 2 and 3 in their ability to capture the trend in response rates for each rat across the course of conditioning, the analysis tests the extent to which the acquisition function of individual subjects is adequately described as the incremental process reflected in models of learning that use a difference term to compute associative change. If:
 It also provides the opportunity to evaluate those models by revealing the means by which their computational operations can approximate the acquisition of responding (for example, by relying on a high behavioral threshold). Experiment 1:
 Experiment 1 trained rats with a single CS for 18 days (a total of 360 trials). The analysis focused on comparing Equations 2 and 3 in their fit to the elevation score (number of responses during the CS minus the number of responses during the preceding interval) on each trial for each rat. The two equations are equivalent when  = 0 and s = 1. Therefore, any difference in the quality of fit of each function to the acquisition data will reveal differences in how well those two parameters capture the shape of the acquisition function."
"Acquisition of peak responding: What is learned?","https://scispace.com/paper/acquisition-of-peak-responding-what-is-learned-14cnbhou8p","2009","Journal Article","Behavioural Processes","Fuat Balcı
Charles R. Gallistel
Brian D. Allen
Krystal M. Frank
Jacqueline M. Gibson
Daniela Brunner","10.1016/J.BEPROC.2008.09.010","","",".53, p < .05, comparison done for the last 10 sessions of training). There was no significant correlation between start and stop times when they were averaged across subjects for each day (R 2 = .02, p < .59). FI-30s pretraining:
 Finally, we checked if the start times changed during FI training. The number of FI-pretraining sessions was not a significant predictor of the average start times, R 2 = .10, F(1,3) = .35, p < . 6 (see Fig. ). This was confirmed with the analysis of individual data. Discussion:
 In this study, we investigated the acquisition of timed responding in the peak procedure by mice, following FI pretraining. As previously reported (i.e.  temporal precision appeared to increase gradually in the course of training, that is, response spread decreased. The decrease in spread was mainly mediated by the earlier termination of responding (stop times) rather than by delayed start times (also see . The earlier stop times, however, appeared to be a result of a threshold-like abrupt acquisition process. Once they emerged, these response terminations (stops) were under temporal control, the parameters of which were stable throughout the remaining trials. Based on these findings, we conclude that the subjects simply learned to stop responding in the peak trials in the course of training rather than learning to stop earlier in the trial as would be suggested by average response rates. When generalized to the underlying processes, this suggests that what would be acquired and manifested throughout the peak-interval training (following FI pretraining) would be the decision to stop responding when the target time passed without reinforcement. Discussion:
 Abrupt behavioral transitions of timed responses have also been demonstrated in the context of experimental manipulations of temporal parameters (e.g. . For instance,  demonstrated the abrupt nature of re-acquisition of peak times when the scheduled fixed-interval in the peak procedure was changed from one value to another (10 s → 20 s and 20 s → 10 s). Specifically, they found that the rats adjusted to the new temporal criterion (peak time) in two abrupt steps, a finding not manifested in the average peak times, but rather in the individual data. During the intermediate state, subjects aimed at the geometric mean of the initial and novel criteria, while in the final state they aimed for the novel criterion, itself. However, it is possible that the intermediate state might be an artifact of smoothing function and the same individual data sets can be explained also by a single abrupt change in the peak value (no smoothing function was applied on our data sets that were evaluated for change points). Discussion:
 Our finding on the abrupt emergence of stops is consistent with the abrupt acquisition of anticipatory autoshaped head poking in individual mice (see . Our finding constitutes a generalization of this phenomenon to the acquisition of more complex responses such as the temporal controlled ones. These findings give an important message, that is, group-averaged learning curves do not represent acquisition in individual subjects and thus should be interpreted with care in trying to get at the neurobiological underpinnings of learning in the context of both simple and complex behaviors."
"Emergence of complex dynamics of choice due to repeated exposures to extinction learning","https://scispace.com/paper/emergence-of-complex-dynamics-of-choice-due-to-repeated-4poitqo7nd","2021","Journal Article","Animal Cognition","José R. Donoso
Julian Packheiser
Roland Pusch
Zhiyin Lederer
Thomas Walther
Metin Uengoer
Harald Lachnit
Onur Güntürkün
Sen Cheng","10.1007/S10071-021-01521-4","https://scispace.com/pdf/emergence-of-complex-dynamics-of-choice-due-to-repeated-4poitqo7nd.pdf","Extinction learning, the process of ceasing an acquired behavior in response to altered reinforcement contingencies, is not only essential for survival in a changing environment, but also plays a fundamental role in the treatment of pathological behaviors. During therapy and other forms of training involving extinction, subjects are typically exposed to several sessions with a similar structure. The effects of this repeated exposure are not well understood. Here, we studied the behavior of pigeons across several sessions of a discrimination-learning task in context A, extinction in context B, and a return to context A to test the context-dependent return of the learned responses (ABA renewal). By focusing on individual learning curves across animals, we uncovered a session-dependent variability of behavior: (1) during extinction, pigeons preferred the unrewarded alternative choice in one-third of the sessions, predominantly during the first one. (2) In later sessions, abrupt transitions of behavior at the onset of context B emerged, and (3) the renewal effect decayed as sessions progressed. We show that the observed results can be parsimoniously accounted for by a computational model based only on associative learning between stimuli and actions. Our work thus demonstrates the critical importance of studying the trial-by-trial dynamics of learning in individual sessions, and the power of “simple” associative learning processes.","trials, which rejects the hypothesis that animals continued to perform as required to end the acquisition phase (p = 0.022, Binomial test; see Materials and methods). According to this criterion, 39% of the sessions exhibited such abrupt transitions. Session-to-session variability of choice behavior.:
 Four extinction types and their session to session variability. So far, we have identified two remarkable features of extinction learning, namely, the preference for the alternative choice, and abrupt transitions of behavior upon the onset of the extinction phase. Based on the presence or absence of these features, we arranged the learning curves in four classes, and then assessed the prevalence of these classes across pigeons and sessions (Fig. ) to see whether there are systematic preferences for a certain type of learning curve. Figure  shows a two-by-two matrix of panels where the and right columns correspond to smooth and abrupt transitions, respectively. And the top and bottom rows correspond to the absence and presence of alternative choices, respectively. Each panel contains an overlay of all the learncurves (gray traces) belonging to the respective class, and their average trace (colored line). Thus, class 1 corresponds to the canonical learning curves, which accounted for 44% of the total sessions (Fig. ). The majority of the learning curves (56%) deviated from the canonical one in at least one major aspect: either because animals exhibited abrupt transitions at the onset of context B (class 2), favored the alternative choice over omissions during extinction (class 3), or both (class 4, Fig. ). Next, we analyzed the way in which the learning curve types described in Fig.  were distributed across pigeons and sessions (Fig. , respectively). Individually, pigeons did not consistently express a particular class of learning curve. In fact, all pigeons, except for one (for which only six sessions were available), exhibited all four learning curves classes (Fig. ). To get insights on the effects of re-testing the animals repeatedly, we also analyzed the session-to-session changes in the distribution of learning curve classes (Fig. ). Curves with smooth transitions (classes 1 and 3) were more prevalent during the first session and occurred less frequently in later sessions. This last observation, however, was based on a categorical variable. To provide further quantitative support for this finding, we used the method proposed by  to determine the first change point of the learning curves during extinction. We found that the change of behavior occurred significantly later in the first session as compared to the subsequent sessions (p = 0.023; KS-Test, Fig. )."
"Explaining the effectiveness of fear extinction through latent-cause
  inference","https://scispace.com/paper/explaining-the-effectiveness-of-fear-extinction-through-l1rh0kc6","2022","Posted Content","","","10.48550/arxiv.2205.04670","https://scispace.com/pdf/explaining-the-effectiveness-of-fear-extinction-through-l1rh0kc6.pdf","Acquiring fear responses to predictors of aversive outcomes is crucial for survival. At the same time, it is important to be able to modify such associations when they are maladaptive, for instance in treating anxiety and trauma-related disorders. Standard extinction procedures can reduce fear temporarily, but with sufficient delay or with reminders of the aversive experience, fear often returns. The latent-cause inference framework explains the return of fear by presuming that animals learn a rich model of the environment, in which the standard extinction procedure triggers the inference of a new latent cause, preventing the unlearning of the original aversive associations. This computational framework had previously inspired an alternative extinction paradigm -- gradual extinction -- which indeed was shown to be more effective in reducing the return of fear. However, the original framework was not sufficient to explain the pattern of results seen in the experiments. Here, we propose a formal model to explain the effectiveness of gradual extinction in reducing spontaneous recovery and reinstatement effects, in contrast to the ineffectiveness of standard extinction and a gradual reverse control procedure. We demonstrate through quantitative simulation that our model can explain qualitative behavioral differences across different extinction procedures as seen in the empirical study. We verify the necessity of several key assumptions added to the latent-cause framework, which suggest potential general principles of animal learning and provide novel predictions for future experiments. ","which we did not model. Because the form of this mapping was not the focus of the current work, we assumed a linear function for simplicity, but this is likely incorrect. Future work can design targeted experiments to investigate the underlying mechanism of this mapping. | Limitations: differences between model predictions and empirical results:
 Finally, the model captures behavior at the group level but does not make predictions regarding individual differences, which were marked in the empirical results (also observed in similar studies in humans ). To make individual predictions with the current model, we can use different parameter values for each animal to capture their distinct learning, inference and behavioral processes. For example, animals often demonstrate abrupt switching (rather than gradual changes) in behavior that only seem gradual at the group level because different animals switch behavior at different times . This between-animal variability in change points may be the result of different mapping functions from shock prediction to freezing rate, and may be an alternative to the perseveration assumption in explaining the gradual change of behavior over time. Another possibility is that individual animals do not perform full Bayesian inference but only take a small number of noisy samples from the probability distribution; in this case, aggregating over a group of animals will result in average behavior that resembles full inference, all the while each individual shows what seems like an idiosyncratic pattern of behavior . Under this explanation, the current model is only adequate for explaining group-level behavior, and we need an additional sampling model to capture individual behavior. Both accounts for individual differences are likely in the task we modeled. We leave for future work to examine these sources of variability by fitting models to individual animals' behavior and comparing their predictions."
"Learning enhances sensory processing in mouse V1 before improving behavior","https://scispace.com/paper/learning-enhances-sensory-processing-in-mouse-v1-before-4khciqwtay","2016","Posted Content","bioRxiv","Ovidiu Jurjut
Petya Georgieva
Laura Busse
Steffen Katzner","10.1101/087130","https://scispace.com/pdf/learning-enhances-sensory-processing-in-mouse-v1-before-4khciqwtay.pdf","A fundamental property of visual cortex is to enhance the representation of those stimuli that are relevant for behavior, but it remains poorly understood how such enhanced representations arise during learning. Using classical conditioning in mice, we show that orientation discrimination is learned in a sequence of distinct behavioral stages, in which animals first rely on stimulus appearance before exploiting its orientation to guide behavior. After confirming that orientation discrimination under classical conditioning requires primary visual cortex (V1), we measured, during learning, response properties of V1 neurons. Learning improved neural discriminability, sharpened orientation tuning and led to higher contrast sensitivity. Remarkably, these learning-related improvements in the V1 representation were fully expressed before successful orientation discrimination was evident in the animals' behavior. We propose that V1 plays a key role early in discrimination learning to enhance behaviorally relevant sensory information.","reached the intermediate stage and received further training. Of these 15 animals, 2 more dropped out by terminating learning sessions; 3 mice failed to reach the trained stage and were therefore classified as nonlearners (see Fig. , n/a). Analysis of behavior:
 To analyze running behavior, we transformed single-trial speed profiles within each session into binary vectors, in which ones marked time points where the animal was running (speed Ͼ 1 cm/s) and zeroes those where the animal was sitting (speed Ͻ 1 cm/s). Across trials, we computed, for every point in time, the percentage of trials in which the animal was running, before averaging across sessions. To assess statistical significance, we computed, for each session, the average percentage of run trials within 0.1-1.5 s after stimulus onset, separately for each stimulus condition and learning stage. We then performed a mixed-design ANOVA involving the between-subjects factor learning stage (naive vs intermediate vs trained) and the within-subject factor stimulus (rewarded vs unrewarded). Analysis of behavior:
 Optogenetic suppression of V1 responses. After the animals had reached the trained stage, in which they could discriminate the two orientations, we combined electrophysiological recordings with photo-stimulation of parvalbumin-expressing (PV ϩ ) interneurons. In a random subset of trials (33%), we applied photo-stimulation concurrently with the presentation of the visual stimulus. In the experiments with optogenetic suppression, we only used two levels of stimulus contrast (6% and 40%). Analysis of neural data:
 Individual animals typically contributed neural data to single learning stages. Analysis of neural data:
 In the analyses of neural discriminability and orientation selectivity, we included neurons if (1) the sum of Gaussians explained Ͼ50% of the variance in responses, and (2) their mean firing rate across stimulus orientations was at least 1 spike/s. Analysis of neural data:
 The time courses of neural activity in Figure , B are spike density functions computed by convolving single-trial spike trains with a Gaussian kernel (kernel resolution 10 ms, kernel width 100 ms) before averaging across trials."
"Autoshaped Head Poking in the Mouse: A Quantitative Analysis of the Learning Curve.","https://scispace.com/paper/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm","2006","Journal Article","Journal of the Experimental Analysis of Behavior","E. B. Papachristos
Charles R. Gallistel","10.1901/JEAB.2006.71-05","https://scispace.com/pdf/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm.pdf","In autoshaping experiments, we quantified the acquisition of anticipatory head poking in individual mice, using an algorithm that finds changes in the slope of a cumulative record. In most mice, upward changes in the amount of anticipatory poking per trial were abrupt, and tended to occur at session boundaries, suggesting that the session is as significant a unit of experience as the trial. There were large individual differences in the latency to the onset of vigorous responding. “Asymptotic” performance was unstable; large, bidirectional, and relatively enduring changes were common. Given the characteristics of the individual learning curves, it is unlikely that physiologically meaningful estimates of rate of learning can be extracted from group-average learning curves.","across subjects, it seems that the number of trials within a session cannot account for the impact of that session on memory. If this is true, then sessions with very few trials should have the same effect on acquisition as sessions with many more trials. DISCUSSION:
 From the perspective of a framework that emphasizes the search for signals with the largest amount of information about the environment , the tendency for performance changes to occur at session boundaries indicates the significant informational content of a session. Inside an experimental chamber the important information for a food-deprived mouse is that the light predicts the availability of food 10 s later in the illuminated hole. This information is reconfirmed on every trial. When a new session starts, the mouse is placed again in the same chamber. The first trial of the new session conveys information not conveyed by the later trials in a previous session, namely that the signal-reward relation that obtained previously still obtains. In other words, this state of the world (the signal-reward contingency) is stable over a period as long as the interval between sessions (typically, one day). DISCUSSION:
 The importance of session as a unit of experience is evident in the phenomenon of spontaneous recovery from extinction (reviewed by . It is often observed that responding during the first test trial of the second extinction session is fully recovered, but it declines rapidly subsequently. This is what would be predicted if sessions were perceived as units of experience, in which the first trial(s) determines whether signalreinforcer contingency that was previously stable but has recently failed can or cannot be expected in the current session. When the first trial of the second extinction session ends without delivery of the reinforcement, this confirms that the recently observed failure of this contingency continues. Responding decreases abruptly because no reinforcement is anticipated for the remainder of the session. DISCUSSION:
 Given the importance of the session as a unit of experience and the well-established effect of the ITI (trial spacing), we expected increased session spacing to promote faster acquisition, but this proved not to be the case. There may be such an effect, but it is not a strong one. DISCUSSION:
 In summary, learning curves in individual mice, at least in this procedure, are step-like. They have this in common with all other learning curves that have been analyzed in individual subjects, regardless of paradigm or species, so abruptness is at this stage, from an empirical standpoint, the default assumption. The abruptness of acquisition in the individual learning curves means that the form and parameters of group-average learning curves are averaging artifacts. Averaging is justified only when it increases the signal-to-noise ratio without changing the apparent form or parameters of the signal. Averaging step-like learning curves creates a form different from that seen in any of the individual subjects, so the parameters of this form cannot be taken to reflect anything in the brains of the individual subjects. If between-group comparisons are to be made based on the course of acquisition, then they must be made on the basis of averages of parameter estimates for each individual subject, for example, mean latency to onset. It cannot be taken for granted that the trial (signal-reinforcer pairing) is the unit in which this latency should be measured; the duration of exposure to the conditioning context and the session are arguably more important units of experience."
