"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Information transfer beyond the waggle dance: observational learning in bees and flies","https://scispace.com/paper/information-transfer-beyond-the-waggle-dance-observational-552audl3tt","2015","Journal Article","Frontiers in Ecology and Evolution","Aurore Avarguès-Weber
Aurore Avarguès-Weber
Mathieu Lihoreau
Mathieu Lihoreau
Guillaume Isabel
Guillaume Isabel
Martin Giurfa
Martin Giurfa","10.3389/FEVO.2015.00024","https://scispace.com/pdf/information-transfer-beyond-the-waggle-dance-observational-552audl3tt.pdf","Social information transfer is part of the success of animal societies and has been documented in a variety of taxa, from slime molds to humans. In invertebrates, the historical research focus has been on the specialized signals shaped by selection to convey information, such as the honeybee waggle dance. However, growing evidence shows that invertebrates also commonly glean critical information about their environment by observing others. For instance, a bumblebee’s choice between novel flower species is influenced by the observation of the foraging choices of more experienced conspecifics. Recent studies suggest that these seemingly complex learning abilities can be explained in terms of simple associative learning, whereby individuals learn to associate social cues (conditioned stimuli) to reward cues (unconditioned stimuli). Here, we review the behavioral evidence of observational learning both in bees and Drosophila. We discuss the validity of associative accounts of observational learning and the potential neural circuits mediating visual social learning in these model species to define future research avenues for studying the neurobiology of social cognition in miniature brains.","Title: Information transfer beyond the waggle dance: observational learning in bees and flies Authors: Nancy R Kohn,Christoph Grüter,Martin Giurfa (Corresponding Author),Aurore Avarguès-Weber,Mathieu Lihoreau,Guillaume Isabel Keywords: bumblebees, Drosophila, social cognition, social learning, visual cognition"
"Transfer of Visual Learning Between a Virtual and a Real Environment in Honey Bees: The Role of Active Vision.","https://scispace.com/paper/transfer-of-visual-learning-between-a-virtual-and-a-real-4t6y5368vp","2018","Journal Article","Frontiers in Behavioral Neuroscience","Alexis Buatois
Clara Flumian
Patrick Schultheiss
Aurore Avarguès-Weber
Martin Giurfa","10.3389/FNBEH.2018.00139","https://scispace.com/pdf/transfer-of-visual-learning-between-a-virtual-and-a-real-4t6y5368vp.pdf","To study visual learning in honey bees, we developed a virtual reality (VR) system in which the movements of a tethered bee walking stationary on a spherical treadmill update the visual panorama presented in front of it (closed-loop conditions), thus creating an experience of immersion within a virtual environment. In parallel, we developed a small Y-maze with interchangeable end-boxes, which allowed replacing repeatedly a freely walking bee into the starting point of the maze for repeated decision recording. Using conditioning and transfer experiments between the VR setup and the Y-maze, we studied the extent to which movement freedom and active vision are crucial for learning a simple color discrimination. Approximately 57% of the bees learned the visual discrimination in both conditions. Transfer from VR to the maze improved significantly the bees’ performances: 75% of bees having chosen the CS+ continued doing so and 100% of bees having chosen the CS- reverted their choice in favor of the CS+. In contrast, no improvement was seen for these two groups of bees during the reciprocal transfer from the Y-maze to VR. In this case, bees exhibited inconsistent choices in the VR setup. The asymmetric transfer between contexts indicates that the information learned in each environment may be different despite the similar learning success. Moreover, it shows that reducing the possibility of active vision and movement freedom in the passage from the maze to the VR impairs the expression of visual learning while increasing them in the reciprocal transfer improves it. Our results underline the active nature of visual processing in bees and allow discussing the developments required for immersive VR experiences in insects.","Title: Transfer of Visual Learning Between a Virtual and a Real Environment in Honey Bees: The Role of Active Vision Authors: Alexis Buatois,Clara Flumian,Patrick Schultheiss,Aurore Avarguès-Weber,Martin Giurfa (Corresponding Author),Matthieu Dacher Keywords: visual conditioning, transfer of learning, virtual reality, Y-maze, honey bees, insect cognition"
"Individual consistency in the learning abilities of honey bees: cognitive specialization within sensory and reinforcement modalities","https://scispace.com/paper/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc","2023","Journal Article","Animal Cognition","Valerie Finke
Ricarda Scheiner
Martin Giurfa
Aurore Avarguès-Weber","10.1007/s10071-022-01741-2","https://scispace.com/pdf/individual-consistency-in-the-learning-abilities-of-honey-1e53ybrc.pdf","The question of whether individuals perform consistently across a variety of cognitive tasks is relevant for studies of comparative cognition. The honey bee (Apis mellifera) is an appropriate model to study cognitive consistency as its learning can be studied in multiple elemental and non-elemental learning tasks. We took advantage of this possibility and studied if the ability of honey bees to learn a simple discrimination correlates with their ability to solve two tasks of higher complexity, reversal learning and negative patterning. We performed four experiments in which we varied the sensory modality of the stimuli (visual or olfactory) and the type (Pavlovian or operant) and complexity (elemental or non-elemental) of conditioning to examine if stable correlated performances could be observed across experiments. Across all experiments, an individual's proficiency to learn the simple discrimination task was positively and significantly correlated with performance in both reversal learning and negative patterning, while the performances in reversal learning and negative patterning were positively, yet not significantly correlated. These results suggest that correlated performances across learning paradigms represent a distinct cognitive characteristic of bees. Further research is necessary to examine if individual cognitive consistency can be found in other insect species as a common characteristic of insect brains. ","Title: Individual consistency in the learning abilities of honey bees: cognitive specialization within sensory and reinforcement modalities Authors: Valerie Finke (Corresponding Author),Ricarda Scheiner,Martin Giurfa,Aurore Avarguès-Weber Keywords: Inter-individual variability, Insect cognition, Domain-general cognition, Domain-specific cognition, Cognitive repeatability, Honey bee"
"New vistas on honey bee vision","https://scispace.com/paper/new-vistas-on-honey-bee-vision-3izqrkdzbm","2012","Journal Article","Apidologie","Aurore Avarguès-Weber
Aurore Avarguès-Weber
Aurore Avarguès-Weber
Theo Mota
Theo Mota
Martin Giurfa
Martin Giurfa","10.1007/S13592-012-0124-2","https://scispace.com/pdf/new-vistas-on-honey-bee-vision-3izqrkdzbm.pdf","The honey bee is a traditional animal model for the study of visual perception, learning, and memory. Extensive behavioral studies have shown that honey bees perceive, learn, and memorize colors, shapes, and patterns when these visual cues are paired with sucrose reward. Bee color vision is trichromatic, based on three photoreceptor types (S, M, L), which peak in the UV, blue, and green region of the spectrum. Perceptual color spaces have been proposed to account for bee color vision, and the anatomy of the visual neuropils in the bee brain was described to a large extent. In the last decade, conceptual and technical advances improved significantly our comprehension of visual processing in bees. At the behavioral level, unexpected cognitive visual capacities were discovered such as categorical and conceptual categorization. At the neurobiological level, molecular analyses of the compound eye revealed an intricate heterogeneity in the distribution of photoreceptors in the retina. Spatial segregation and integration of visual information in the bee brain has been analyzed at functional levels so far unexploited. These recent discoveries associated with the perspective of accessing the bee brain of harnessed bees while they perceive and learn visual cues open new avenues toward a comprehension of the neural substrates of visual perception and learning in bees. Understanding how the miniature brain of bees achieves sophisticated visual performances is a fundamental goal for the comparative study of vision and cognition.","Title: New vistas on honey bee vision Authors: Aurore Avarguès-Weber,Theo Mota,Martin Giurfa (Corresponding Author),Bernd Grünewald"
"Motion cues from the background influence associative color learning of honey bees in a virtual-reality scenario","https://scispace.com/paper/motion-cues-from-the-background-influence-associative-color-2tsur88m16","2021","Journal Article","Scientific Reports","Gregory Lafon
Scarlett R. Howard
Scarlett R. Howard
Benjamin H. Paffhausen
Aurore Avarguès-Weber
Martin Giurfa
Martin Giurfa
Martin Giurfa","10.1038/S41598-021-00630-X","https://scispace.com/pdf/motion-cues-from-the-background-influence-associative-color-2tsur88m16.pdf","Honey bees exhibit remarkable visual learning capacities, which can be studied using virtual reality (VR) landscapes in laboratory conditions. Existing VR environments for bees are imperfect as they provide either open-loop conditions or 2D displays. Here we achieved a true 3D environment in which walking bees learned to discriminate a rewarded from a punished virtual stimulus based on color differences. We included ventral or frontal background cues, which were also subjected to 3D updating based on the bee movements. We thus studied if and how the presence of such motion cues affected visual discrimination in our VR landscape. Our results showed that the presence of frontal, and to a lesser extent, of ventral background motion cues impaired the bees' performance. Whenever these cues were suppressed, color discrimination learning became possible. We analyzed the specific contribution of foreground and background cues and discussed the role of attentional interference and differences in stimulus salience in the VR environment to account for these results. Overall, we show how background and target cues may interact at the perceptual level and influence associative learning in bees. In addition, we identify issues that may affect decision-making in VR landscapes, which require specific control by experimenters.","Title: Motion cues from the background influence associative color learning of honey bees in a virtual-reality scenario Authors: Gregory Lafon,Scarlett R Howard,Benjamin H Paffhausen,Aurore Avarguès-Weber,Martin Giurfa (Corresponding Author)"
"Aversive gustatory learning and perception in honey bees","https://scispace.com/paper/aversive-gustatory-learning-and-perception-in-honey-bees-2g1l236au5","2018","Journal Article","Scientific Reports","Marie Guiraud
Marie Guiraud
Lucie Hotier
Martin Giurfa
Maria Gabriela de Brito Sanchez","10.1038/S41598-018-19715-1","https://scispace.com/pdf/aversive-gustatory-learning-and-perception-in-honey-bees-2g1l236au5.pdf","Taste perception allows discriminating edible from non-edible items and is crucial for survival. In the honey bee, the gustatory sense has remained largely unexplored, as tastants have been traditionally used as reinforcements rather than as stimuli to be learned and discriminated. Here we provide the first characterization of antennal gustatory perception in this insect using a novel conditioning protocol in which tastants are dissociated from their traditional food-reinforcement role to be learned as predictors of punishment. We found that bees have a limited gustatory repertoire via their antennae: they discriminate between broad gustatory modalities but not within modalities, and are unable to differentiate bitter substances from water. Coupling gustatory conditioning with blockade of aminergic pathways in the bee brain revealed that these pathways are not restricted to encode reinforcements but may also encode conditioned stimuli. Our results reveal unknown aspects of honey bee gustation, and bring new elements for comparative analyses of gustatory perception in animals.","Title: Aversive gustatory learning and perception in honey bees Authors: Marie Guiraud,Lucie Hotier,Martin Giurfa (Corresponding Author),María Gabriela De Brito Sanchez"
"Control of performance by short-term memory in honeybees","https://scispace.com/paper/control-of-performance-by-short-term-memory-in-honeybees-137gb68ejv","1998","Journal Article","Animal Learning & Behavior","P. A. Couvillon
N. M. Arincorayan
M. E. Bitterman","10.3758/BF03199240","https://scispace.com/pdf/control-of-performance-by-short-term-memory-in-honeybees-137gb68ejv.pdf","Individual honeybees foraging at a laboratory window were trained with a correction method to choose between blue and yellow targets, one of which contained sucrose solution There were two trials on each visit, with the locus of the sucrose predictable only on the second Animals differentially rewarded on Trial 2 for choosing the rewarded color of Trial 1, for choosing the alternative color, or for choosing the target in the rewarded position of Trial 1 independently of its color, all showed a small but persistent preference for the rewarded color, with no significant preference for the rewarded position When the positions of the colored targets were the same on Trial 2 as on Trial 1 (color and position confounded), there was a more substantial but equally persistent preference on Trial 2 for the rewarded color-position of Trial 1, whether the animals were differentially rewarded for perseveration or for alternation The results provide further evidence of unlearned control of performance by short-term memory in honeybees but no indication of learned control","Title: Control of performance by short-term memory in honeybees Authors: P A Couvillon,M Arincorayan,M E Bitterman"
"Parameter Transfer across Domains for Word Sense Disambiguation","https://scispace.com/paper/parameter-transfer-across-domains-for-word-sense-187z8c9mcc","2017","Proceedings Article","Recent Advances in Natural Language Processing","Sallam Abualhaija
Nina Tahmasebi
Diane Forin
Karl-Heinz Zimmermann","10.26615/978-954-452-049-6_001","https://scispace.com/pdf/parameter-transfer-across-domains-for-word-sense-187z8c9mcc.pdf","Word sense disambiguation is defined as finding the corresponding sense for a target word in a given context, which comprises a major step in text applications. Recently, it has been addressed as an optimization problem. The idea behind is to find a sequence of senses that corresponds to the words in a given context with a maximum semantic similarity. Metaheuristics like simulated annealing and D-Bees provide approximate good-enough solutions, but are usually influenced by the starting parameters. In this paper, we study the parameter tuning for both algorithms within the word sense disambiguation problem. The experiments are conducted on different datasets to cover different disambiguation scenarios. We show that D-Bees is robust and less sensitive towards the initial parameters compared to simulated annealing, hence, it is sufficient to tune the parameters once and reuse them for different datasets, domains or languages.","their initial parameters. We found that transferring the parameters across domains (i.e., training on one domain and testing on another) works well for D-Bees, which reduces the need to tune the parameters on each new WSD scenario and dataset. Conclusion and Outlook:
 In some sense, we could find robustness in the parameters across datasets (D-Bees best performance compared to SA) but more limited transferability across domains. We believe that this difficulty can be avoided by including knowledge about the corpus domain from the lexical resource. D-Bees beats most unsupervised methods in both SemEval 2007 and 2010 contests. This makes it suitable for solving the WSD problem. Our experiments deduced clues on how to choose parameters for specific domain."
"Scholarly Program Notes for Selected Percussion Repertoire","https://scispace.com/paper/scholarly-program-notes-for-selected-percussion-repertoire-36xn0jpifx","2014","","","James Beers","","https://scispace.com/pdf/scholarly-program-notes-for-selected-percussion-repertoire-36xn0jpifx.pdf",".......................................................................................................................................i","Title: AN ABSTRACT FOR THE RESEARCH PAPER OF JAMES G. BEERS, for the Master of Music degree in Percussion Performance, presented on Authors: Mr Ronald Coulter"
"Temporal and state abstractions for efficient learning, transfer and composition in humans","https://scispace.com/paper/temporal-and-state-abstractions-for-efficient-learning-qfdo5pb7fu","2020","Posted Content","bioRxiv","Liyu Xia
Anne G.E. Collins","10.1101/2020.02.20.958587","https://scispace.com/pdf/temporal-and-state-abstractions-for-efficient-learning-qfdo5pb7fu.pdf","Humans use prior knowledge to efficiently solve novel tasks, but how they structure past knowledge to enable such fast generalization is not well understood. We recently proposed that hierarchical state abstraction enabled generalization of simple one-step rules, by inferring context clusters for each rule. However, humans’ daily tasks are often temporally extended, and necessitate more complex multi-step, hierarchically structured strategies. The options framework in hierarchical reinforcement learning provides a theoretical framework for representing such transferable strategies. Options are abstract multi-step policies, assembled from simpler one-step actions or other options, that can represent meaningful reusable strategies as temporal abstractions. We developed a novel sequential decision making protocol to test if humans learn and transfer multi-step options. In a series of four experiments, we found transfer effects at multiple hierarchical levels of abstraction that could not be explained by flat reinforcement learning models or hierarchical models lacking temporal abstraction. We extended the options framework to develop a quantitative model that blends temporal and state abstractions. Our model captures the transfer effects observed in human participants. Our results provide evidence that humans create and compose hierarchical options, and use them to explore in novel contexts, consequently transferring past knowledge and speeding up learning.","Title: Temporal and state abstractions for efficient learning, transfer and composition in humans -Source link Authors: Liyu Xia,Anne G E Collins Keywords: Hierarchical Reinforcement Learning, The Options Framework, Transfer Learning"
