"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Mixture of easy trials enables transient and sustained perceptual improvements through priming and perceptual learning","https://scispace.com/paper/mixture-of-easy-trials-enables-transient-and-sustained-4o7xxsq5lb","2017","Journal Article","Scientific Reports","Zhicheng Lin
Barbara Anne Dosher
Zhong-Lin Lu","10.1038/S41598-017-06989-0","https://scispace.com/pdf/mixture-of-easy-trials-enables-transient-and-sustained-4o7xxsq5lb.pdf","The sense of vision allows us to discriminate fine details across a wide range of tasks. How to improve this perceptual skill, particularly within a short training session, is of substantial interest. Emerging evidence suggests that mixing easy trials can quickly improve performance in hard trials, but it is equivocal whether the improvement is short-lived or long-lasting, and additionally what accounts for this improvement. Here, by tracking objective performance (accuracy) and subjective experience (ratings of target visibility and choice confidence) over time and in a large sample of participants, we demonstrate the coexistence of transient and sustained effects of mixing easy trials, which differ markedly in their timescales, in their effects on subjective awareness, and in individual differences. In particular, whereas the transient effect was found to be ubiquitous and manifested similarly across objective and subjective measures, the sustained effect was limited to a subset of participants with weak convergence from objective and subjective measures. These results indicate that mixture of easy trials enables two distinct, co-existing forms of rapid perceptual improvements in hard trials, as mediated by robust priming and fragile learning. Placing constraints on theory of brain plasticity, this finding may also have implications for alleviating visual deficits.","(11.2% ± 7.8% vs. 18.4% ± 13.7%; t(89) = −3.17, p = 0.002, Hedges' g = −0.67). Instead, it appears that the learning e ect was noisier than the priming e ect. To corroborate this notion, we went beyond looking at rating e ects based on positive accuracy e ects (as in Fig. ), and did the reverse, by looking at accuracy e ects based on positive rating e ects. Figure  shows that for learning, 30 participants showed improvements in ratings, and 80% of them showed corresponding improvements in accuracy. For priming, 55 participants showed improvements in ratings, and 96% of them showed corresponding improvements in accuracy, a proportion signi cantly higher than that in learning (X 2 (1, N = 85) = 4.33, p = 0.038). e superior robustness in priming relative to learning could not be attributed to statistical reasons such as a di erence in the number of trials (see Supplementary Materials, Section ""A statistical account of di ering individual di erences between priming and learning"" and Figs S4 to S6). Discussion:
 Our study provides the rst demonstration that easy trials rapidly and simultaneously induce transient and sustained perceptual improvements on performance in hard trials. e transient improvement is characterized by a rapid but short-lived improvement following the mixture of easy trials within mixed blocks-an e ect that is abolished going into the single block (Fig. ). e sustained improvement is characterized by a long-lived improvement across single blocks as a result of mixing easy trials in mixed blocks (Fig. ). Persistent improvements across single blocks in the objective group (relative to the control, non-mixture group) indicate discrimination learning-that is, successful short-term consolidation. Although testing across multiple days is needed to evaluate it in longer timescales, the sustained e ect identi ed here lasted much longer than the within-block transient e ect, and sustained across at least 12 single blocks of the current study. Discussion:
 ese results help contextualize previous claims regarding the e ect of mixing easy trials on hard trials: insight or eureka like improvement  and priming like improvement  . Whereas research on perceptual insight and eureka observed one-shot, long-lasting perceptual improvements, research on priming of awareness found stimuli-dependent, transient improvements. ese ndings invite one to interpret the di erent e ects as enabled by some perhaps common mechanisms that manifest under di erent circumstances (e.g., in di erent stages of perceptual improvements). Such an interpretation would bear a conceptual resemblance to the notion that perceptual learning can proceed in two sequential stages of improvement: an early stage characterized by fast, rapidly saturating improvement  , and a late stage with slow learning  . e current ndings, however, provide evidence against this interpretation, suggesting instead that transient and sustained improvements re ect two distinct but coexisting forms of plasticity: priming at the trial-by-trial scale; fast learning at the block-by-block scale."
"Serial visual reversal learning in harbor seals (Phoca vitulina)","https://scispace.com/paper/serial-visual-reversal-learning-in-harbor-seals-phoca-26zhcc30","2022","Journal Article","Animal Cognition","Nicola Erdsack
Guido Dehnhardt
Frederike D. Hanke","10.1007/s10071-022-01653-1","https://scispace.com/pdf/serial-visual-reversal-learning-in-harbor-seals-phoca-26zhcc30.pdf","Abstract Progressively improving performance in a serial reversal learning (SRL) test has been associated with higher cognitive abilities and has served as a measure for cognitive/behavioral flexibility. Although the cognitive and sensory abilities of marine mammals have been subject of extensive investigation, and numerous vertebrate and invertebrate species were tested, SRL studies in aquatic mammals are sparse. Particularly in pinnipeds, a high degree of behavioral flexibility seems probable as they face a highly variable environment in air and underwater. Thus, we tested four harbor seals in a visual two-alternative forced-choice discrimination task and its subsequent reversals. We found significant individual differences in performance. One individual was able to solve 37 reversals showing progressive improvement of performance with a minimum of 6 errors in reversal 33. Two seals mastered two reversals, while one animal had difficulties in learning the discrimination task and failed to complete a single reversal. In conclusion, harbor seals can master an SRL experiment; however, the performance is inferior to results obtained in other vertebrates in comparable tasks. Future experiments will need to assess whether factors such as the modality addressed in the experiment have an influence on reversal learning performance or whether indeed, during evolution, behavioral flexibility has not specifically been favored in harbor seals. ","win-stay/lose-shift strategy, Nick was not able to optimize his response behavior based on his ""choose left side in the first trial"" strategy, neither to reach a high performance level in the subsequent second trial nor to reach one-trial learning. Discussion:
 In contrast, Nick's learning curve demonstrates over the course of training that he started the Rs and continued performing at chance level, and, in 16 out of 37 Rs, his performance suddenly increased to learning criterion (Fig. ), for example in R4 from 53.3% correct choices in session 18 to 90% in session 19, without having reached significance level before. Similar leaps could also be observed in the performances of the other seals . Unsteady performances and sudden performance leaps, as observed in all seals throughout the study, were described by  who investigated problem solving in different monkey species and identified three main types of problem solving: (1) immediate solution, implying immediate success without learning; (2) delayed, sudden solution, describing sudden success occurring after a series of sessions at chance level; and (3) irregular improvement, describing fluctuating performances, even after reaching significance level. Problem solving types 2 and 3, fluctuating performance with sudden success after consecutive performance at chance level  match the performances of the seals in this study. These observed sudden success events might have been caused by increased motivation in these particular sessions and/or by an AHA! experience . In Nick, the sudden solutions of the R problem were clearly discernable by behavioral changes, such as increased body tension in the hoop station and faster and more targeted response behavior. Thus, rather than acquisition of an RL set, the seal's performance seems to be best described by multiple sudden solutions of the R problem. Discussion:
 In contrast to Nick, Moe and Sam not only exhibited inconsistent side preferences, but in parts their preferred response side in the first trial of a session was opposed to the respective side preference during an R. Luca, who performed next best to Nick, exhibited, similar to Nick, a consistent preference for the left side throughout testing, although not significant in R0 but with a visible trend (52.4%), and consistent with his first trial behavior. The absence of a consistent side preference in the two seals with the lowest performances as opposed to the consistent side preference exhibited by the most successful and second best performing individuals is striking. It suggests that the interindividual performance differences observed in this study may have been, at least in parts due to individually differing problem solving abilities and strategies . Discussion:
 For the abovementioned comparisons with other species, methodological differences of the mentioned studies were neglected. Most likely, these differences affect the performance . Generally, it would be interesting to document the seals' performances after systematically changing certain parameters of the experimental design of our study in a future experiment. One parameter that might change the outcome of visual RL could be the duration of the intertrial interval (ITI), which was rather long in our study as after the feedback the animal needed to return to the hoop station. Previously, it was shown in pigeons that performance increases the shorter the ITI  as a short ITI allows effectively using the outcome of the previous trial for the subsequent response. Thus, shortening the ITI in a future experiment could increase the performance of our seals."
"The phenomenology of truth: the psychological functions of the insight experience","https://scispace.com/paper/the-phenomenology-of-truth-the-psychological-functions-of-505omvhhix","2019","Dissertation","","Ruben Laukkonen","10.14264/UQL.2019.254","https://scispace.com/pdf/the-phenomenology-of-truth-the-psychological-functions-of-505omvhhix.pdf","Nearly all waking moments are accompanied by an endless stream of thoughts and ideas passing rapidly through the mind (James, 1890). Many of these mental events can feel unproductive, arbitrary, or even distracting. But once in a while, an idea appears in the stream that is immediately imbued with a sense of profound importance and value. The central thesis of my work is that this phenomenology— epiphanies, insight experiences, and Eureka moments—serve an important function in human decision-making. I propose that the feelings associated with our ideas are like lights whose brightness guide the incognisant mind in choosing to trust only the best ideas; they help us to intuitively discriminate the diamonds from the rocks, so to speak. This functional view puts insight experiences into a broader context in human cognition than before. By evaluating insight experiences from a higher level of analysis, we are able to make and test novel predictions regarding the ways that spontaneous feelings of insight guide decisions in contexts of uncertainty.The thesis is divided into two parts. In Part 1—How to elicit and detect insight moments—Chapter 1 begins by testing a model of the neuro-cognitive processes commonly believed to elicit insight experiences, known as restructuring or representational change. I then evaluate the efficacy of existing methods for detecting insight experiences in controlled experiments. In the final Chapter of Part 1, I develop and test a novel visceral and embodied measure that captures metacognitions during problem solving as well as the sudden insight experience in real-time. In Part 2—Why we have insight experiences—I begin with a theoretical discussion of insight as a heuristic in contexts of uncertainty, where I propose that people rely on insight phenomenology in order to appraise new ideas. In a subsequent empirical Chapter, I describe three experiments that broadly test and affirm the predictions made by the Eureka Heuristic model of insight. The results of these experiments show that impulsive feelings of insight—and their intensity—predict the accuracy of responses in contexts of uncertainty, in both problem solving and sensory identification tasks. In the third experiment, I show that when participants are presented with a general knowledge ‘fact’—and an insight experience is artificially elicited at the same time— then the participants are more likely to believe that the claim is true.Taken together, this thesis makes both a methodological and theoretical contribution. The first half of the thesis focuses on improving existing methods for measuring and detecting insight experiences, and culminates in a new visceral measure of insight. The second half makes a theoretical contribution, proposing a functional role for insight experiences in human decision-making. The implications of the Eureka Heuristic and the empirical results derived from the theory may speak to a range of psychological phenomena, particularly the development of false beliefs. Our empirical findings show that the phenomenology that accompanies ideas is usually a helpful signal—insight experiences tend to accompany correct ideas. However, there are situations where the function of this normally adaptive process may be jeopardised —for example by false information, psychoactive substances, or mental illness—and therefore feelings of insight may not always provide a valid signal. In one such demonstration, we find that feelings of insight can be induced to bias judgments and make a false fact appear true.","We also find general support for Theoretically, this Chapter aims to refine our understanding of insight by testing whether cognitive process conceptions of insight (sudden and unexpected solutions) map onto the phenomenological components of insight (the Aha! experience). Introduction:
 Insight is a multifaceted construct, and is better understood as an umbrella term for more objective features such as: the suddenness and unexpectedness of a solution, a non-linearity in the problem solving process, and the phenomenology of an Aha! experience. A solution to a problem can be anywhere from purely insight (sudden and unexpected), to entirely analytic. When a problem is solved analytically, one proceeds through the problem step-by-step, while consciously aware of their progress towards a solution. Attempts have been made to understand insight as a feature of certain types of creative problems that elicit insights (e.g., , but many researchers have shown that even so-called insight problems are often solved without insight, and can be solved through a variety of strategies . Introduction:
 Indeed, the very definition of an insight problem has often been based purely on the fact that previous research has used them. We agree with  who point out that although it is well documented that some problems are more likely to be solved by insight than others, insight problems per se do not exist , were also clear in making this distinction). Therefore, a critical challenge for insight researchers is to identify when-case by case-an individual experiences an insight moment. The most popular methods are self-report, and the feelings-of-warmth (warmth) measure developed by  and . We begin by considering the conceptual strengths and weaknesses of the two measures, then evaluate them experimentally for convergent validity. In the discussion, we also consider methodological strengths and weaknesses that were discovered during the experiment, and provide advice about the general usability and conceptual merit of each measure. The Warmth Measure:
 During verbal problem solving  asked participants to write down a number between 0 and 10 every 10 s (15 s in experiment two), where 0 is cold (far away from the solution) and 10 is hot, or certain that they had the solution. If a problem-solver exhibits gradual increases in warmth before solving the problem, then they were ostensibly aware of their progress on the problem and therefore the solution was found gradually, or step-by-step. If the problem-solver exhibits a sudden transition from a cold state to a solution, then it appears that the problem was solved through a more sudden and unexpected insight. One year later,  showed that problems that had been previously categorized as insight problems showed more sudden transitions from cold states to solution states, whereas the previously categorized multi-step problems showed gradual warmth ratings preceding the solution. This contribution has had a long-standing impact on insight research and provided some of the first objective evidences that problem solving can occur in a way that resembles the insight construct. It is rare to find research on insight that does not refer to these findings, and variations of the measure are often used (e.g., . Notably, Cushen and Wiley (2012) used perceived importance to solution ratings in order to track changes in problem representation and found similar evidence of insight and non-insight patterns in solution discovery."
"Problem Solving as an Encoding Task: A Special Case of the Generation Effect.","https://scispace.com/paper/problem-solving-as-an-encoding-task-a-special-case-of-the-d726m0w7yu","2016","Journal Article","","Jasmin M. Kizilirmak
Berit Wiegmann
Alan Richardson-Klavehn","10.7771/1932-6246.1182","https://scispace.com/pdf/problem-solving-as-an-encoding-task-a-special-case-of-the-d726m0w7yu.pdf","Recent evidence suggests that solving problems through insight can enhance long-term memory for the problem and its solution. Previous findings have shown that generation of the solution as well as experiencing a feeling of Aha! can have a beneficial relationship to later memory. These findings lead to the question of how learning in problem-solving tasks in which a novel solution needs to be generated—such as in tasks used to study insight— differs from the classical generation effect. Because previous studies on learning from insight on one hand and the generation effect on the other hand have measured different types of memory, the present study examined two kinds of memory measures: indirect (solving old and new problems at test) and direct (recognition memory). At encoding, we manipulated whether participants had the chance to solve Compound Remote Associates Task items and compared later memory for generated solutions (generate condition) to solutions that were presented after failing to generate one (fail-to-generate condition), and to solutions that were presented without a chance at generation (read condition). Participants also reported if they had an Aha! experience for each problem. While both Aha! experiences and generated solutions were associated with more positive emotional responses, only the generation variable was associated with differences in later memory performance. While attempts to generate had an advantage over the read condition in recognition memory performance (generate > fail-to-generate > read), only when generation was successful did it enhance the solution rate of old items during testing (generate > read > fail-to-generate). Contrary to generation effects with other verbal stimuli, these results suggest that the generation effect in problem-solving tasks in which a novel solution needs to be found differs from the classical generation effect. Seeing a correct solution for a longer time (read) seems in the current case to be more helpful for solving the same problem later on, compared to being presented with the solution after a failed attempt at problem solving. Correspondence: Correspondence concerning this article should be addressed to Jasmin M. Kizilirmak, via email to kizilirmak@uni-hildesheim.de.","contrast with the results of and . A main di erence between those two studies and the current one is the stimulus material. Mooney images, that is, their stimulus material was of a more visual nature and may therefore have been more emotionally intriguing. THE SUBJECTIVE AHA! EXPERIENCE:
 e positive relationship of Aha! to later memory was larger for the presented videos of magic tricks than for the black and white Mooney images . It would be plausible that positive relationship between Aha! and the emotional response in the present study, which was also only half the size of the one for Mooney images , was too weak to show a signi cant relationship with memory performance one week later. However, since the named studies  may be the only two to have investigated the relationship between the subjective feeling of Aha! and later memory, more studies are needed to investigate the relationship between the type of problem-solving task, the emotional response to the solution, and later memory performance. LIMITATIONS AND DIFFERENCES FROM PREVIOUS STUDIES:
 A main limitation of the current study is that the problemsolving task employed here is relatively arti cial. It is a task very well suited for laboratory experiments in which many trials of the same type are needed. However, in comparison with insights experienced in real life, the sudden comprehension of the solution to an individual problem may not be nearly as compelling, and the individual trials may not be nearly as distinct. is hypothesis is consistent the solution performance during the memory test being much poorer than in other studies on learning from insight, which looked at this measure using a small set of classic problems  or a single problem such as the nine-dot problem . In the current study, participants were presented with 135 trials of the same problem type. is way, each trial was not nearly distinctive as the ones in the cited studies. Distinctiveness is known to be an important factor for later memory performance . LIMITATIONS AND DIFFERENCES FROM PREVIOUS STUDIES:
 Another limitation of this study is the di erence in exposure time of the solution across di erent levels of generation. Total trial time was held constant, representing a considerable methodological advantage; however, it was not possible to hold both the presentation time of the triad and the presentation time of the solution constant. e di erences in exposure time to the solution may, therefore, have in uenced later memory. For the direct memory test this potential confound is unproblematic, because the di erences in recognition rates were not correlated with the exposure times. At encoding, the exposure-time pattern for the solution was read > generate > fail-to-generate, but on the later memory test the pattern was generate > fail-to-generate > read. For the indirect memory measure, the pattern of solution rates at test was generate > read > fail-to-generate. Although not an identical pattern to the exposure times at encoding, the poor test performance for fail-to-generate might indeed re ect the shortest exposure time at encoding. is possible confounding factor should be evaluated in future studies. LIMITATIONS AND DIFFERENCES FROM PREVIOUS STUDIES:
 Lastly, although participants were asked to make their Aha!/no Aha! decision for both generated and presented solutions, it may be that there were qualitative di erences."
"Principles of Learning: A Conceptual Framework for Domain-Specific Theories of Learning","https://scispace.com/paper/principles-of-learning-a-conceptual-framework-for-domain-2gm35vxs4i","2011","","","Christian J. Weibell","","https://scispace.com/pdf/principles-of-learning-a-conceptual-framework-for-domain-2gm35vxs4i.pdf","Principles of Learning: A Conceptual Framework for Domain-Specific Theories of Learning Christian J. Weibell (we'-bull) Department of Instructional Psychology and Technology Doctor of Philosophy This study is predicated on the belief that there does not now exist, nor will there ever exist, any single theory of learning that is broad enough to account for all types of learning yet specific enough to be maximally useful in practical application. Perhaps this dichotomy is the reason for the apparent gap between existing theories of learning and the practice of instructional design. As an alternative to any supposed grand theory of learning—and following the lead of prominent thinkers in the fields of clinical psychology and language teaching—this study proposes a shift toward principles. It presents a principle-based conceptual framework of learning, and recommends use of the framework as a guide for creating domain-specific theories of learning. The purpose of this study was to review theories of learning in the behavioral, cognitive, constructive, human, and social traditions to identify principles of learning local to those theories that might represent specific instances of more universal principles, fundamentally requisite to the facilitation of learning in general. Many of the ideas reviewed have resulted from, or been supported by, direct empirical evidence. Others have been suggested based on observational or practical experience of the theorist. The ideas come from different points in time, are described from a variety of perspectives, and emphasize different aspects and types of learning; yet there are a number of common themes shared among them regarding the means by which learning occurs. It is hypothesized that such themes represent universal and fundamental principles of learning. These principles were the objective of the present study. They have been sought through careful review and analysis of both theoretical and empirical literature by methods of textual research (Clingan, 2008) and constant comparative analysis (Glaser & Strauss, 1967). By way of textual research a methodological lens was defined to identify general themes, and by way of constant comparative analysis these themes were developed further through the analysis and classification of specific instances of those themes in the texts reviewed. Ten such principles were identified: repetition, time, step size, sequence, contrast, significance, feedback, context, engagement, and agency. These ten facilitative principles were then organized in the context of a comprehensive principles-of-learning framework, which includes the four additional principles of potential, target, change, and practice.","wrinkles of our own. Tolman's first ""wrinkle""-latent learning-refers to the type of learning that occurs through casual, non-goal-directed interaction with the environment. That which is learned in this way is not manifest until needed: Memory and forgetting (Hermann Ebbinghaus -1885).:
 Let me recall again the facts of ""latent learning."" During latent learning the rat is building up a ""condition"" in himself, which I have designated as a set of ""hypotheses,"" and this condition-these hypotheses-do not then and there show in his behavior. S's are presented but the corresponding R's do not function. It is only later, after a goal has been introduced which results in a strong appetite, that the R's, or as I would prefer to say, the B's, appropriate to these built-up hypotheses appear.  As evidence of latent learning,  cited experiments that were mostly ""carried out by graduate students (or underpaid research assistants) who, supposedly,"" he said, ""got some of their ideas from me"" (p. 189).  In each of these experiments it was found that when rats were allowed to explore a fourteen unit T maze for a period of a few days, without any reward of food in the goal box, they consistently showed a sudden drop in errors and time required to reach the goal box once food was discovered there, matching or exceeding the performance of rats that had been trained in the customary behaviorist fashion, in which food was present in the goal box for the duration of the training. Memory and forgetting (Hermann Ebbinghaus -1885).:
 Results of these experiments provided evidence for the phenomenon of latent learning, 36   and simultaneously provided evidence against the law of effect, which evidence Tolman used to establish his position as an improvement upon Thorndike:"
"Regularised neural networks mimic human insight","https://scispace.com/paper/regularised-neural-networks-mimic-human-insight-3s0qot5z","2023","Posted Content","","","10.48550/arxiv.2302.11351","https://scispace.com/pdf/regularised-neural-networks-mimic-human-insight-3s0qot5z.pdf","Humans sometimes show sudden improvements in task performance that have been linked to moments of insight. Such insight-related performance improvements appear special because they are preceded by an extended period of impasse, are unusually abrupt, and occur only in some, but not all, learners. Here, we ask whether insight-like behaviour also occurs in artificial neural networks trained with gradient descent algorithms. We compared learning dynamics in humans and regularised neural networks in a perceptual decision task that provided a hidden opportunity which allowed to solve the task more efficiently. We show that humans tend to discover this regularity through insight, rather than gradually. Notably, neural networks with regularised gate modulation closely mimicked behavioural characteristics of human insights, exhibiting delay of insight, suddenness and selective occurrence. Analyses of network learning dynamics revealed that insight-like behaviour crucially depended on noise added to gradient updates, and was preceded by ``silent knowledge'' that is initially suppressed by regularised (attentional) gating. This suggests that insights can arise naturally from gradual learning, where they reflect the combined influences of noise, attentional gating and regularisation. ","insights were selective. As expected, the verbal report also related to performance differences in the lowest coherence condition in Block 8, where participants performed at 91.4% vs 68.7% if they had reported an insight vs not. Human Behaviour:
 Since neural networks cannot provide questionnaire answers, we developed a behavioural classification of insight. Previous work  has used a simple performance threshold of 75% in low coherence trials that also correlates highly with verbal insight reports in our sample (see above, r(97) = .67, p < .001). But this metric is not specifically related to suddenness, and therefore might identify participants who learned gradually about the colour. We therefore used a cross-validated approach in which we first identified the maximum suddenness than can occur by chance in a control experiment where participants performed an identical task, except that colour never started to correlate with motion, and hence no insight was possible (N=20). This suddenness was then used as the threshold for our main sample (Fig. , the same procedure was applied to networks). Specifically, we obtained the distribution of how steeply behaviour changed at the inflection point (see Methods) of a fitted sigmoid function with free parameters, slope m, inflection point t s and function maximum y max (function fitting was done to the average percent of correct choices in bins of 15 trials of the lowest coherence condition). We then repeated the same model fitting in the experimental group, and asked which participants had steeper behavioural transitions than observed in the control group. This showed that about half of participants (49/99, 49.5%) had values larger than the 100% percentile of the control distribution (Fig. ), thus suggesting that insights occurred suddenly (Fig. ). Our classification was more conservative than but highly overlapped with the questionnaire data. Of the 49 participants classified as insight subjects 39 (79.6%) also self-reported to have used colour to make correct choices, see Fig. . This again correlates highly with the previously used performance threshold (r(97) = .44, p < .001). Hence, our behavioural marker of unexpectedly sudden performance changes can serve as a valid indicator for sudden insight. Human Behaviour:
 We used bins of 15 trials in the above model fitting to identify suddenness, but behavioural transitions indeed often occurred within just a few trials (Fig. ), i.e. on the order of 15-30 seconds, as is common for insights. We also note that our choice of fitting function more generally was validated by group-wise model comparisons against a linear ramp (free parameters intercept y 0 and slope m) or a step function (free parameters inflection point t s and function max y max ), BICs -6.7, -6.4 and -6.5, protected exceedance probabilities: 1, 0, 0, for sigmoid, linear and ramp models, respectively (see Fig. , Fig. )."
"Abrupt learning and retinal size specificity in illusory-contour perception","https://scispace.com/paper/abrupt-learning-and-retinal-size-specificity-in-illusory-2804isk9hx","1997","Journal Article","Current Biology","Nava Rubin
Ken Nakayama
Robert Shapley","10.1016/S0960-9822(06)00217-X","https://www.cns.nyu.edu/~nava/mypapers/Rubin_etal_CurrBio1997.pdf","","or less . Second, the improvement was incremental: often it took place over hundreds or even thousands of trials , and even in cases in which fast learning phases were observed , performance showed a steep, but gradual, improvement over a few tens of trials. Discussion:
 In the study presented here, neither of these two characteristics is present. First, because of the large retinal distances between the inducers (more than 10° visual angle in the 60 cm viewing condition), the relevant information was stored on widely separated neurons in early visual cortical areas. Second, the learning occurred not only fast but abruptly: the subjects underwent a transition between a 'don't know' and a 'know' state, which did not show the intermediate-performance stages observed in other studies. Taken together, the abruptness and the global nature of the task make it unlikely that a model in which learning depends exclusively on quick synaptic modifications of local connectivity in early cortical areas, such as has been suggested previously for other tasks , could account for our results. Discussion:
 Yet the size specificity of the learning in our study suggests an involvement of early visual cortical areas in which retinotopic organization still exists. Thus, it is difficult to conceive of the learning as occurring at a single site, whether it be retinotopic or some higher area. Rather, our findings suggest a more global rerouting of information and knowledge structure . Our preliminary results from other experiments also seem to indicate that there is a 'high-level', general component to the learning, as well as stimulus-specific components. As such, the results suggest that the dichotomy made between insight and gradual, incremental learning may need to be revised. Discussion:
 Rather than postulating two distinct mechanisms for the two forms of learning, our findings may be better understood within a single framework, suggesting a major role for interactions between multiple levels of representation of the stimuli . Discussion:
 This view has already been put forward by Hebb , who suggested that ""insight ... continually affects the learning of the adult animal,"" and that ""it is not wholly separate from rote learning."" Hebb proposed a unitary mechanism, based on the associations of co-occurring internal states, within which to understand all learning phenomena. However, he emphasized that the sequence of internal states is not merely determined by external events, but is rather an active process in which the animal is attempting continually to discover structure and meaning in the incoming information. This is a very different view from the incremental and 'unsupervised' form of learning with which Hebb is usually associated today . Our findings, as well as other recently reported evidence , vindicate Hebb's original ideas and call for a more integrative approach to studying the organization of learning."
"Pigeons acquire multiple categories in parallel via associative learning: A parallel to human word learning?","https://scispace.com/paper/pigeons-acquire-multiple-categories-in-parallel-via-3y0ygobsbd","2015","Journal Article","Cognition","Edward A. Wasserman
Daniel I. Brooks
Bob McMurray","10.1016/J.COGNITION.2014.11.020","","","= .07, SE = .017, Z = 3.9, p < .0001; Figure ); that is, the bird was better able to cope with role reversals and to respond correctly if these happened after many intervening trials. Trial-by-Trial Analysis:
 Finally, our analysis of the spatial location of the target and foil pexigrams suggests that, at least early in training, the birds were more strongly responding to spatial location than to the identity of the pexigram. In all four cases, we found strong interactions of prior responding and spatial location. For example, when the current target category had been the target on the prior trial and its corresponding pexigram was in the same location (Figure ), correct responding on that prior trial predicted higher accuracy on the current trial; the bird continued to peck at that location and responded correctly. In contrast, when the current target was the target on the prior trial and its corresponding pexigram was in a different location, incorrect responding on the prior trial predicted higher accuracy on the current trial; the birds simply continued pecking what was now the correct location (although it was earlier incorrect). This two-way interaction (B = .74, SE = .025, Z = 29.6, p < .0001) further interacted with the number of exposures (B = −.13, SE = .023, Z = −5.7, p < .0001), indicating a diminishing effect over training. Similar patterns were observed for each of the other factors; in all cases, the birds appeared to be responding as a function of spatial location and this effect gradually waned over training. Trial-by-Trial Analysis:
 These exploratory analyses offer a number of new factors that affect trial-by-trial performance during learning: distance between exemplars, spatial location, and the role of targets and foils on prior trials. Together, these factors suggest an unforeseen richness to biological associative learning, and prompt interesting ""predictions"" of our biological model for human learning. General Discussion:
 The goals of this study were twofold. First, we sought to determine if a biological associative system is capable of learning a many-to-many set of mappings between 16 target categories (comprising a total of 128 individual pictorial stimuli) and 16 arbitrary report responses, and whether such learning generalizes to new categories. Second, we sought to evaluate the trial-by-trial structure of the pigeons' category learning-with an eye toward recent debates in human word learning-in order to gain a better understanding of associative learning in general. We discuss each of these questions in turn. We then end with a more speculative discussion of both the surface dissimilarities between our category learning paradigm and human word learning as well as what appear to be striking similarities between them."
"Structure learning enhances concept formation in synthetic Active Inference agents","https://scispace.com/paper/structure-learning-enhances-concept-formation-in-synthetic-8r32ks99","2022","Journal Article","PLOS ONE","Victorita Neacsu
M. Berk Mirza
Rick A. Adams
Karl J. Friston","10.1371/journal.pone.0277199","https://scispace.com/pdf/structure-learning-enhances-concept-formation-in-synthetic-8r32ks99.pdf","Humans display astonishing skill in learning about the environment in which they operate. They assimilate a rich set of affordances and interrelations among different elements in particular contexts, and form flexible abstractions (i.e., concepts) that can be generalised and leveraged with ease. To capture these abilities, we present a deep hierarchical Active Inference model of goal-directed behaviour, and the accompanying belief update schemes implied by maximising model evidence. Using simulations, we elucidate the potential mechanisms that underlie and influence concept learning in a spatial foraging task. We show that the representations formed–as a result of foraging–reflect environmental structure in a way that is enhanced and nuanced by Bayesian model reduction, a special case of structure learning that typifies learning in the absence of new evidence. Synthetic agents learn associations and form concepts about environmental context and configuration as a result of inferential, parametric learning, and structure learning processes–three processes that can produce a diversity of beliefs and belief structures. Furthermore, the ensuing representations reflect symmetries for environments with identical configurations.","evidence: c.f., . That is, fictive episodes are 'replayed', in the absence of (precise) sensory information, in order to optimise generative models (with the implication that this kind of model reduction facilitates generalisation). Discussion:
 Concept learning and formation were defined as a basic cognitive function, whereby (biological or artificial) agents identify and update beliefs about conditional dependencies and independencies in the environment. In problem solving, there is a slow, systematic process, and a fast process; namely, insight (defined as a sudden recognition of task-dependent contingencies). Although at first sight these processes appear to be disparate cognitive tools, they both appear to be underlined by the same computational mechanisms: Active Inference, parameter learning, and model selection. One might suggest that they have a similar teleology: to compare and organise how things relate to one another, thereby systematising relational knowledge to form parsimonious representations. Both these strategies imply a resolution of uncertainty about the causes of sensorial experience, behaviour, parameters of their model and the model per se. Biological agents can form and update representations in a gradual, systematic fashion, their learning punctuated with sudden realisations (i.e., resolution of uncertainty about the best model), regardless of what the representations themselves are about (e.g., the concept of a 'living room' or how to best arrange tiles in a bathroom). As we have seen in our simulations, agents can either learn the identities of the rooms gradually, or invoke BMR, and settle on a reduced model in order to continue foraging familiar rooms and collect familiar rewards. Discussion:
 Drawing parallels to the literature on insight , one can associate the number of training trials before invoking BMR as a 'forced' time-step threshold at which agents 'reach' an impasse. This moment precedes reorganisation of accumulated associations (i.e., model comparison), where different hypotheses about the configuration of rooms come into play. The 'Aha' moment can be thought of as the point at which the agent has 'decided' upon a particular hypothesis (i.e., model selection). Furthermore, we have seen in section 4.3 that agents can exhibit a pronounced inter-agent variability: a characteristic that pertains to the outcomes sampled, rather than the agents themselves. This has further implications in the realm of individual differences, because it can potentially elucidate how different individuals sampling different (sensorial) observations can reach the same conclusion (i.e., alternative hypothesis defining contingencies in the outside world), as well as how similar individuals sampling similar observations can reach different conclusions, as observed for example in , where individuals exposed to similar sensory information diverged in terms of whether they perceived a (bistable) stimulus as a vase or face. A possible limitation of this current work is the small number of alternative hypotheses (i.e., models). There is a combinatorial explosion for a 16x16 grid of possible room types given the contextual cue, resulting in a limited set of feasible alternative hypotheses (i.e., 12 in number). These arguments call for a better understanding of how the abstract alternative hypotheses compared for model selection are themselves generated, represented, and used both within and between agents. In other words, what are the rules that govern which hypotheses to select among-and are there models of models?"
