"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Vocabulary Spurt: Are Infants full of Zipf?.","https://scispace.com/paper/vocabulary-spurt-are-infants-full-of-zipf-1kr9pngxjj","2010","Book Chapter","","Julien Mayor
Kim Plunkett","","https://scispace.com/pdf/vocabulary-spurt-are-infants-full-of-zipf-1kr9pngxjj.pdf","Infants do not learn words at a constant rate. During the second year of life, a dramatic increase in the speed of word learning is observed. Different mechanisms explaining this vocabulary spurt have been proposed, either through endogenous factors such as learning capacity or exogenous factors, such as frequency of word usage. We demonstrate that occurrence statistics alone is not sufﬁcient to explain the acceleration in vocabulary growth, discuss other potential exogenous contributions such as phonological complexity and suggest that a change in word learning capacities is necessary. A model implementing an increased ease of learning is introduced and illustrates this endogenous approach by replicating the non-linear vocabulary growth characteristics of language acquisition.","proficient learner confronted to a low number of words or to a slower learner presented with a higher number of words in any time window. All combinations of learning capacities and absolute number of words uttered per epoch lead to linear increases in the lexicon size. Simulation results:
 As a further control we ran simulations with actual word frequencies extracted from the CHILDES Parental Corpus, made out of the following 27 corpora; Bates, Belfast, Bernstei, Bliss, Bloom, Brown, Clark, Cornell, Demetras, Fletcher, Gatherco, Hall, Higginso, Howe, Kuczaj, Macboys (MacWhinney), Macros (MacWhinney), Peters, Post, Sachs, Snow, Suppes, Valian, Vanhout, Vankleec, Warren, and Wells. The Parental Corpus consists of 2.6 million word tokens (about 24,000 word types), and is a representative sample of the speech to which children are typically exposed . Fig.  shows that for differing numbers of presentations needed to acquire a word (different learning capacities), vocabulary growth lacks both the long latent period of slow learning and subsequent rapid increase characteristics the vocabulary spurt. Instead, the speed of acquisition is reduced after having learnt about 100 words, and converges to a constant rate of acquisition thereafter. The number of epochs used in this simulation is greater due to the large size of the corpus. We conclude that word statistics alone cannot be responsible for the vocabulary spurt observed at the end of the second year of life. Rather, as many researchers have suggested, the vocabulary spurt is driven by underlying changes in learning capacity arising from changes in mental representations and/or brain organisation. We next offer a conceptual implementation of this alternative view; that a change in learning capacity is required in order to display an accelerated increase in word learning. Relaxation of the assumption of 'online' learning:
 We have demonstrated that an acceleration in vocabulary growth cannot be expected when presented with word distributions following Zipf's law, unless a change in learning capacity is implemented in the model or further variations in word difficulties are present. We have also shown that when the occurrence statistics deviates moderately from Zipf's law, as exemplified through simulations using the Parental Corpus, a vocabulary spurt is still absent in the model. We now show that the assumption of online learning can also be relaxed."
"Modelling Vocabulary Growth from Birth to Young Adulthood","https://scispace.com/paper/modelling-vocabulary-growth-from-birth-to-young-adulthood-11rlf7l1xm","2009","Proceedings Article","Conference of the International Speech Communication Association","Roger K. Moore
L.F.M. ten Bosch","","https://scispace.com/pdf/modelling-vocabulary-growth-from-birth-to-young-adulthood-11rlf7l1xm.pdf","There has been considerable debate over the existence of the ‘vocabulary spurt’ phenomenon - an apparent acceleration in word learning that is commonly said to occur in children around the age of 18 months. This paper presents an investigation into modelling the phenomenon using data from almost 1800 children. The results indicate that the acquisition of a receptive/productive lexicon can be quite adequately modelled as a single growth function with an ecologically well founded and cognitively plausible interpretation. Hence it is concluded that there is little evidence for the vocabulary spurt phenomenon as a separable aspect of language acquisition. Index Terms : child language acquisition, lexical development, vocabulary size","a delay factor and r is the growth rate. Methodology: For the MacArthur corpus, V was 384 for the infant data and 652 for the toddler data. For the adult data, V was set to be 40,000. Infant and toddler data:
 For the data extracted from the MacArthur corpus, both the standard logistic and the Gompertz growth curves fitted the data very well with very little difference to choose between them. Figure  illustrates the fits achieved using the logistic function for the receptive vocabulary of infants between the ages of eight and 16 months. The three curves indicate the results for the 20%, 50% and 80% samples from the corpus (as explained above). Continuous lines represent the best mathematical fit to the individual data points. Figure  illustrates the fits achieved using the logistic function for the productive vocabulary of infants between the ages of eight and 16 months. As in Figure , the three curves indicate the results for the 20%, 50% and 80% samples from the corpus, and continuous lines represent the best fit to the individual data points.    Both Figure  and Figure  refer to the growth in productive vocabulary. Hence it is possible to combine the early and late stage results to cover the period from eight to 30 months. Although this is not strictly correct (as the vocabulary sizes are different in each case), it is not unreasonable given that the saturation effect only applies in the later stages for the early condition. The combined result shown in Figure  employs exactly the same logistic functions as used in Figure , and the goodness of fit confirms the validity of combining the data. The results thus far clearly demonstrate the saturation effect that arises from the finite word lists employed in the Dale & Fenson study . They also illustrate the different learning rates exhibited by different groups of children. For example, it can be seen from Figures  that at two years of age, 50% of children will have a productive vocabulary of around 300 words, whereas the faster learners will have already achieved that around 19 months, and slower learners will take until they reach around 30 months. The results thus confirm the observation that infants reach an average vocabulary of 300 words by the age of 24 months . Child and adult data:
 One set of results for the child and adult data are illustrated in Figure . The diagram shows plots of the logistic and Gompertz curves that best fit the early learning productive data for the 50% of children case. It can be clearly seen that the logistic rises far too quickly, suggesting that an average five year-old child would have a 40,000 word vocabulary. On the other hand, the Gompertz growth curve provides a much more reasonable model. Note that the  The overall picture to emerge from the fitting of single growth curves to the development data (for 50% of children) is as follows: Child and adult data:
 • the receptive vocabulary increases by around 40 words per month at the age of 17 months; Child and adult data:
 • the productive vocabulary increases by around 45 words per month at 23 months; Child and adult data:
 • the productive vocabulary increases by around 60 words per month at 25 months; Child and adult data:
 • the productive vocabulary increases at a maximum rate of around 700 words per month at five years of age."
"The CDI in two longitudinal datasets: Methods and differences across decades","https://scispace.com/paper/the-cdi-in-two-longitudinal-datasets-methods-and-differences-10k34rxghf","2024","Preprint","","Trevor K. M. Day
Arielle Borovsky
Donna Thal
Jed T. Elison","10.31234/osf.io/rwhcy","https://scispace.compdf/the-cdi-in-two-longitudinal-datasets-methods-and-differences-10k34rxghf.pdf","The MacArthur-Bates Communicative Development Inventories (CDI) are widely used, parent-report instruments of language acquisition. Here, we focus on the word-inventory sections of the instruments, and show two different approaches to modeling CDI data, based on real-world need. First, we show that Words &amp;amp; Gestures data collected out-of-range can be robustly adjusted to Words &amp;amp; Sentences Scores. Second, we demonstrate a novel application of Gompertz growth curves to longitudinal CDI data, especially when the same timepoints were not collected between individuals (i.e., an accelerated longitudinal design). Gompertz curves provide a “growth rate” parameter that can be used to summarize vocabulary development. We compare these parameters between healthy developing children in two longitudinal cohorts, as well as a cohort of children with developmental diagnoses, who we show to have lower growth rates. We hope these analyses and results inform future work. ","Title: The CDI in two longitudinal datasets: Methods and differences across decades Authors: Trevor K M Day,Arielle Borovsky,Donna Thal,Jed T Elison Keywords: CDI, word learning, growth curve, language acquisition"
"What does it take to learn a word","https://scispace.com/paper/what-does-it-take-to-learn-a-word-4hbfh6dk5b","2017","Journal Article","Wiley Interdisciplinary Reviews: Cognitive Science","Larissa K. Samuelson
Larissa K. Samuelson
Bob McMurray","10.1002/WCS.1421","https://scispace.com/pdf/what-does-it-take-to-learn-a-word-4hbfh6dk5b.pdf","Vocabulary learning is deceptively hard, but toddlers often make it look easy. Prior theories proposed that children's rapid acquisition of words is based on language-specific knowledge and constraints. In contrast, more recent work converges on the view that word learning proceeds via domain-general processes that are tuned to richly structured-not impoverished-input. We argue that new theoretical insights, coupled with methodological tools, have pushed the field toward an appreciation of simple, content-free processes working together as a system to support the acquisition of words. We illustrate this by considering three central phenomena of early language development: referential ambiguity, fast-mapping, and the vocabulary spurt. WIREs Cogn Sci 2017, 8:e1421. doi: 10.1002/wcs.1421 For further resources related to this article, please visit the WIREs website.","as with the referential ambiguity problem, fast-mapping is starting to be seen as the product of multiple domain-general processes that do not contain specific knowledge about language . As described next, recent theorizing on the vocabulary spurt reaches the same conclusion. A Continuous Vocabulary Spurt:
 With the renewed emphasis on retention and on building links between words and meanings over many encounters, work on fast-mapping has started to focus on longer term processes that unfold over development. However, a sizeable body of research has examined even longer-time scales, asking how the child's vocabulary (typically the number of words known) changes over the course of months or even years. Do we see a similar move toward domain general processes here? As it turns out, the answer is 'yes'. A Continuous Vocabulary Spurt:
 One of the most important phenomena in this domain is the so-called vocabulary spurt. The vocabulary spurt is defined by a rapid acceleration of the pace at which toddlers add new words to their productive vocabulary. As can be seen in Figure , in the first few months after children produce their first word, new words are added to the vocabulary slowly-one or two a week. Around the time that children have 50 words in their productive vocabulary, typically near 18 months of age, they start adding words much more quickly. Thus, there appears to be a nonlinear shift in vocabulary development. This phenomenon had previously been understood to indicate an underlying shift in the mechanisms supporting word learning. These kind of explanations included things like the sudden onset of constraints or principles (like mutual exclusivity), the acquisition of skills for inferring other people's intentions (e.g., which object did they intend to name), or a sudden insight about language like the naming insight. However, McMurray (2007)  demonstrated that the accelerating trajectory of the word spurt is actually the necessary consequence of two basic facts about word learning: 1) children learn multiple words at once, and 2) those words vary in difficulty (with most words being moderately difficult). These are both fairly non controversial. A Continuous Vocabulary Spurt:
 With respect to the first criteria-multiple words learned simultaneously-when a child is trying to learn the meaning of ""cup,"" she is simultaneously also trying to learn ""dog,"" ""run,"" ""blue,"" ""four,"" ""share,"" etc. With respect to the second-variable difficulty-""cup"" refers to a concrete object that is easy to individuate and is highly similar to other things called cup. In contrast, far more words like ""share"" refer to complex relational actions, abstract nouns, or properties that must be interpreted relative to the object. These are more difficult. A Continuous Vocabulary Spurt:
 McMurray showed mathematically that the combination of these two things always produces an accelerating learning curve, whether the focus of the learning is words, motor patterns, or recipes. Thus, the vocabulary explosion can be explained without recourse to a change in mechanism and without the need for specialized processes."
"A probabilistic computational model of cross-situational word learning.","https://scispace.com/paper/a-probabilistic-computational-model-of-cross-situational-2lgldem76s","2010","Journal Article","Cognitive Science","Afsaneh Fazly
Afra Alishahi
Suzanne Stevenson","10.1111/J.1551-6709.2010.01104.X","http://www.cs.toronto.edu/~afsaneh/FazlyEtAl-CSJ10.pdf","","mechanisms change over time. We thus look at the change in the pattern and rate of word learning over time in our model (Section 6.1) and accordingly suggest some possible sources for the patterns we observe (Section 6.2). The developmental pattern of word learning:
 Longitudinal studies of early vocabulary growth in children have sometimes shown that vocabulary learning is slow at the very early stages of learning, then proceeds to a rapid pace, and finally becomes less active (e.g., . The middle stage of such a progression is often referred to as the vocabulary spurt. The vocabulary spurt has been suggested to arise from qualitative changes in the nature of lexical acquisition over time, for example, a shift from an associationist to a referential word learning mechanism , a sudden realization that objects have names, or the naming insight , the development of categorization abilities , or the onset of word learning constraints . The common belief among the proponents of this view is that children's early words (those learned prior to the spurt) are learned through a slow associative process, whereas for learning later words children need to make use of biases and/or constraints such as those mentioned above. The developmental pattern of word learning:
 Psycholinguistic experiments examining patterns of vocabulary growth have often shown substantial individual differences among children, both with respect to whether they show a vocabulary spurt, and with regard to the age at which the spurt is observed, if at all . Moreover, there is no agreed-upon method for identifying a true spurt in the course of lexical development of a child. Thus, what might be viewed as a spurt by one researcher may be considered as a gradual increase by another. For these reasons, another group of researchers have argued against the existence of a sudden spurt; instead, they suggested that the rate of word learning increases in a more linear and gradual fashion (e.g., . Proponents of this view believe that the vocabulary growth rate is faster at early stages of word learning largely due to the properties of the input children receive from their environment . , for example, suggest that the acceleration in word learning during early stages might be in part due to an indirect effect of exposure, as reflected in the current levels of lexical knowledge in the learner. The developmental pattern of word learning:
 We have already seen that our model, like those of  and , learns more quickly as the model is exposed to more input; indeed, its learning rate increases very quickly at earlier stages and then gradually stabilizes. Here we further explore this aspect of the model's behavior by examining the data separated by individual children, and by looking at behavior in terms of the number of word types heard thus far (rather than in terms of the number of input pairs, as in our analysis in the previous section). This enables us to consider patterns across individual children in terms of finer grained properties of the input they have been exposed to (rather than just shear amount)."
"A stochastic model for the vocabulary explosion","https://scispace.com/paper/a-stochastic-model-for-the-vocabulary-explosion-ib4ocyscyn","2008","","","Colleen C. Mitchell
Bob McMurray","","https://scispace.com/pdf/a-stochastic-model-for-the-vocabulary-explosion-ib4ocyscyn.pdf","During the second year of life, the rate at which most children learn words accelerates dramatically, the so–called “vocabulary explosion”. Most accounts posit changes in the child or specialized learning mechanisms to account for this sudden change. However, recently McMurray (2007) demonstrated that acceleration is a mathematical consequence of parallel learning and the statistical distribution of word difficulty across the language. We generalize this model by developing a stochastic version. It demonstrates that the gradual nature of learning is critical for producing acceleration, and given sufficient gradualness, virtually any distribution of word difficulty can yield acceleration. Thus, the vocabulary explosion may be even more mathematically robust than previously thought.","probability that a word is learned at time T corresponds to (1) the T − r steps in which no points are earned each with probability (1 − p) and (2) the r steps where points are earned. This gives a probability: General Case: r > 1:
 Thus the probability that a word is learned by time T is F(T ) = ∑ T i=1 p (i) . The rate of change of this function F at T is ∆F ∆T = p (T ) . A calculation shows that p (T ) is increasing for T ≤ r−1 p and decreasing for T > r−1 p . Therefore, F(T ) is concave up for T ≤ r−1 p and concave down for T > r−1 p . Any value of r greater than 1 will this yield some portion of initial acceleration (concave-up). General Case: r > 1:
 Now that we have computed the c.d.f. for a single word, we can sum over the lexicon to obtain the function L(T ) for the expected number of words learned by time T , L(T ) = ∑ N i=1 F i (T ). This sum is in general very difficult and except in simple cases must be computed numerically. Discussion:
 This demonstrates that even when r = 2 (minimal history), acceleration is guaranteed for some range of time. If r > 1, the probability of having learned a word at any given time accelerates. Larger values of r increase the suddenness of the acceleration; the length of the acceleration phase (Figure ); and the likelihood that the observed time to acquisition matches the expected. Thus, instantiating history creates a non-deterministic model that captures both parallel learning and difficulty, and hence, shows acceleration. A few special cases deserve attention. An implausible but theoretically illuminating case occurs in a model in which all words have the same difficulty and the same frequency. Then L(T ) = N • F(T ) and we know it has a nice period of acceleration. Figure  shows simulations of a stochastic model in which p i was constant across the 10, 000 word lexicon, and is chosen so that all cases have the same expected time to acquisition as previous simulations. It is clear that at r = 1, no acceleration can be seen. However, at all r > 1, there is acceleration, and at higher rs, the spurt is quite dramatic. This explicitly violates one of the two assumptions made by  since the distribution of word difficulty does not monotonically increase. This powerful example suggests that the vocabulary explosion may be more robust than  hypothesized. It shows that while the precise shape of L(T ) depends in complicated ways on the distributions of frequencies (p) and required history (r), the vocabulary spurt will exist for a wide range of reasonable choices, even if the difficulty distribution is not monotonically increasing."
"Explosión del vocabulario infantil y primer lenguaje: una revisión","https://scispace.com/paper/explosion-del-vocabulario-infantil-y-primer-lenguaje-una-3ho4crvv6h","2010","Journal Article","Anales De Psicologia","María Dolores Galián Conesa
Ester Ato Lozano
José Antonio Carranza Carnicero","","https://scispace.com/pdf/explosion-del-vocabulario-infantil-y-primer-lenguaje-una-3ho4crvv6h.pdf","Title: Infant vocabulary spurt and first language: a review. Abstract: In this work will be listed several issues discussed at the litera- ture now about vocabulary spurt. The controversial nature of the phase of vocabulary spurt, its contents and duration. Discussed different criteria for defining exhaustively and operational this period. And finally, presents the factors that explain the possible causes and differences found in the transcultural studies.","lingüístico en las primeras fases de adquisición del vocabulario, sino también en fases posteriores cómo el inicio de la explosión del vocabulario. Esta cuestión se abordará profundamente en el siguiente apartado. Explosión de vocabulario: carácter universal, duración, determinación operativa:
 Una de las cuestiones más interesantes a las que se enfrenta el estudio del desarrollo del lenguaje decíamos que tiene que ver con el cambio que se produce en la capacidad del niño para aprender nuevas palabras. Esta cuestión ha generado numerosos estudios que intentan identificar ese cambio analizando las características de lo que ocurre antes y después de la explosión del vocabulario. En este sentido, se cuestiona la propia naturaleza del significado de la explosión del vocabulario, se describen diferentes criterios utilizados para definir el tránsito a la explosión del vocabulario, así como su duración. Explosión de vocabulario: carácter universal, duración, determinación operativa:
 El primero en señalar que la composición del vocabulario infantil era universal fue  en su estudio multicultural. Según este autor, en las producciones iniciales, los nombres constituían la mayor parte del vocabulario de los aprendices de diferentes lenguas. Este hallazgo generalmente denominado ""sesgo nominal"" ha sido encontrado en diferentes lenguas, sin embargo, no se ha confirmado en algunas otras, lo cual arroja dudas acerca de la universalidad del fenómeno. Por ejemplo, algunos autores señalan una mayor proporción de nombres en el vocabulario de niños ingleses , en una muestra de niños hispanos ; en niños franceses ; holandeses (DeHouwer y ; finlandeses ; alemanes ; y en niños hebreos . En italiano, D´Odorico, L., Carubbi, S.,  aún destacando la proporción de los nombres, resaltan la importancia de los predicados y palabras funcionales. Además, encuentran que los predicados muestran un ritmo de crecimiento mayor que los nombres de las 100 a las 200 palabras. Otros estudios señalan resultados opuestos como es el caso de  destacando un mayor número de verbos en una muestra de niños mandarines; y Choi y Gopnick (1995) que en una muestra de niños coreanos en el período de las 50 primeras palabras encuentran un 31% más de verbos que los observados en niños que adquieren el inglés."
"Reexamining the vocabulary spurt.","https://scispace.com/paper/reexamining-the-vocabulary-spurt-1zrvt0pzr3","2004","Journal Article","Developmental Psychology","Jennifer Ganger
Michael R. Brent","10.1037/0012-1649.40.4.621","https://scispace.com/pdf/reexamining-the-vocabulary-spurt-1zrvt0pzr3.pdf","The authors asked whether there is evidence to support the existence of the vocabulary spurt, an increase in the rate of word learning that is thought to occur during the 2nd year of life. Using longitudinal data from 38 children, they modeled the rate of word learning with two functions, one with an inflection point (logistic), which would indicate a spurt, and one without an inflection point (quadratic). Comparing the fits of these two functions using likelihood ratios, they found that just 5 children had a better logistic fit, which indicated that these children underwent a spurt. The implications for theories of cognitive and language development are considered.","the assistant were highly correlated for each subject. The average Pearson r was .998, and the effective or composite (Spearman-Brown) reliability was 1.00 for all subjects except one, who had a composite reliability of .985. Procedure for Collecting Data:
 Because the number of words learned in 2 1 ⁄2 weeks is much higher than that learned in a day, all of the raw numbers were considerably higher for these children, and some adjustments to our analytic procedure had to be made to compensate. Specifically, all the rates were divided by 10 to bring them down to the same order of magnitude. The data from Subject 8 had to be divided by 100 instead of 10 for the program to converge. Because the numbers were still larger than those in our Experiment 1, the starting values of the parameters given to SPSS also had to be adjusted. We used the following values: inflection point ϭ 5, asymptote ϭ 1, and slope ϭϪ6. All resulting parameter estimates then had to be adjusted accordingly (i.e., multiplied by 10 for all subjects except Subject 8, whose final parameter values were multiplied by 100). These changes had no effect on the shape a Inflection points less than zero or greater than 90 are not possible given the range of the data (0 -90 words). In such cases, the program could not find a reasonable fit within the range of actual data. b LLRs Ͻ 1 are not given. Procedure for Collecting Data:
 of the curve or the estimated location of the inflection point; they just put the data onto the same scale as the data in Experiment 1. Aside from this minor change, the same procedure outlined in Experiment 1 was followed exactly. Results:
 Table  displays, for each of the 17 children from  study, inflection points, R 2 values, and LLRs, as well as Goldfield and Reznick's classification (spurt or no spurt). The subject numbering follows that given by Goldfield and Reznick. Results:
 Thirteen of the 17 children had data that were modeled by a logistic curve with an inflection point between 20 and 90 words. These 13 were therefore candidates for a vocabulary spurt. Four of these 13 had a larger R 2 for the logistic model than for the quadratic model, but only 1 of them (Subject 2) had an LLR Ͼ 2, indicating a better logistic fit. One other child (Subject 5) had an LLR between 1 and 2. Discussion:
 Even including the borderline case, there are only 2 spurters (12%) among  17 subjects. Both were considered spurters by Goldfield and Reznick, but so were 11 others. We therefore conclude that it is a difference in procedure, not in sample characteristics (twin vs. singleton, birth order, etc.) or data collection methods, that led to our finding a relatively small number of children with a vocabulary spurt in Experiment 1. Method Participants:
 In a final test of the method presented here, we used Dromi's 1987 data from her daughter Keren. The details of data collection as well as Keren's vital statistics are given in ."
"Aquisição lexical inicial por crianças falantes de português brasileiro: discussão do fênomeno da explosão do vocabulário e da atuação da hipótese do viés nominal","https://scispace.com/paper/aquisicao-lexical-inicial-por-criancas-falantes-de-portugues-2mooa85k1k","2008","Dissertation","","Deisi Cristina Gollo Marques Vidor","","https://scispace.com/pdf/aquisicao-lexical-inicial-por-criancas-falantes-de-portugues-2mooa85k1k.pdf","O presente estudo integra-se as pesquisas realizadas no CEAAL - Centro de Estudos sobre Aquisicao e Aprendizagem da Linguagem da PUCRS, discutindo a aquisicao do lexico por criancas falantes de portugues brasileiro. Especificamente, este estudo visa a responder sobre a existencia do fenomeno de explosao de vocabulario (e a idade em que o mesmo acontece) e a atuacao da hipotese do vies nominal durante a aquisicao lexical inicial nesta lingua especifica. Para isso, foram analisados dados coletados em audio de quatro criancas monolingues, com idades entre um e tres anos, de forma longitudinal. Esses dados foram transcritos, classificados e analisados linguistica e estatisticamente, a fim de caracterizar o lexico inicial destas criancas. No que se refere a explosao de vocabulario, constatou-se que a maioria das criancas estudadas apresentou esse periodo de crescimento vertiginoso no numero de itens lexicais em torno dos dois anos de idade, quando seus vocabularios variavam entre 0-100 palavras. Caracteristicamente, este fenomeno foi marcado por um aumento nas palavras de conteudo, em especial da classe dos substantivos. Quanto a hipotese do vies nominal, os dados desta pesquisa apontam para a atuacao da versao fraca desta hipotese, caracterizada pela prevalencia de substantivos em relacao aos verbos nos periodos iniciais de aquisicao lexical. Com isso, corroboram-se os achados descritos na literatura para outras linguas, em especial as ocidentais, e busca-se ampliar a discussao da aquisicao lexical atraves de dados do portugues brasileiro que possam fomentar a discussao a respeito do que e universal e do que e especifico de cada lingua no processo de aquisicao da linguagem","todas as palavras ditas por Ana nas entrevistas coletadas nestes períodos semestrais e fazendo-se uma média dos verbos ditos pela informante, obtém-se um gráfico como em 3.27. Ocorrências:
 Gráfico 3.27: Taxa de crescimento a partir da média de ocorrências de verbos em períodos semestrais (Ana)   ,  e Bassano  embora os incrementos das duas classes nem sempre coincidam com os tamanhos do vocabulário e número de palavras preconizados por estes autores, como já referido anteriormente. Ocorrências:
 Novamente, a análise semestral corrobora os achados na análise guiada pelos dados, minimizando os efeitos de períodos de intervalo na coleta. Considerações finais (Ana):
 A análise dos dados de fala de Ana possibilita que se tenham algumas respostas parciais em relação às questões levantadas por essa tese. Considerações finais (Ana):
 Primeiramente, em relação ao fenômeno da explosão do vocabulário, ficou evidenciado que o maior incremento de palavras novas na fala de Ana se dá em um período anterior aos dois anos de idade, coincidindo com a passagem de um período inicial de aquisição lexical, no qual o vocabulário da criança gira em torno de 50 palavras, para um período posterior, no qual se verifica um domínio maior do léxico, proporcionando também o desenvolvimento fonêmico  Nesse período, destaca-se o incremento da categoria das palavras de conteúdo, em especial a classe dos substantivos. Mais tarde, por volta dos dois anos de idade, registra-se um novo incremento desta categoria, não tão substancial, agora também alavancado pelos verbos, num período que coincide com a aquisição da sintaxe, tal como previsto na literatura. Considerações finais (Ana):
 Este fato aponta para a atuação da hipótese do viés nominal no português brasileiro, no que se refere aos dados de Ana, em sua versão fraca: uma prevalência inicial do número de substantivos em relação aos verbos. Essa prevalência se evidencia, em um primeiro momento, tanto em termos de tipos como de ocorrências."
"Individual Differences and their Implications for Theories of Language Development","https://scispace.com/paper/individual-differences-and-their-implications-for-theories-1a2wbmx6ql","2019","Book Chapter","","Elizabeth Bates
Philip S. Dale
Donna J. Thal","10.1111/B.9780631203124.1996.00005.X","https://scispace.com/pdf/individual-differences-and-their-implications-for-theories-1a2wbmx6ql.pdf","","like ""bye-bye"" that also stand alone), verbs and adjectives tend to come in later because they presuppose the prior existence of nouns, and closed-class elements cannot be acquired until some requisite number of primary and secondary elements are in place. Grammar v. the lexicon:
 In short, the temporal asynchrony that is invariably observed in the acquisition of lexical and grammatical functions may be an inevitable by-product of phonetic and semantic differences among these linguistic types. Indeed, if proposals by  and  are correct, this temporal asynchrony may reflect a powerful cause-and-effect relationship. To the extent that this is true, we should expect to find robust correlations between lexical and grammatical development across individual children. That is, in fact, exactly what we find . In their longitudinal study of 27 children from 10-28 months of age,  report a correlation of +0.83 between vocabulary size at 20 months (determined by parental report) and mean length of utterance at 28 months (based on videotapes of free speech in home and laboratory settings). This correlation falls at the reliability ceiling for MLU (i.e. split-half and test-retest correlations for samples of MLU do not exceed +0.83). Because no measure can correlate any higher with another variable than it correlates with itself (i.e. ""Spearman's Law""), we can conclude that the relationship between 20-month vocabulary and 28-month MLU is one that approaches statistical identity. Grammar v. the lexicon:
 The developmental nature of this relationship between vocabulary size and grammar is illustrated in figures 4.9 and 4.10 from the MacArthur CDI norming study. Figure .9 shows the number of children who are reported by their parents to produce at least some word combinations, as a function of the same eight vocabulary groupings described above (figure 4.8). Figure .9 shows that there is a strong correlational relationship between vocabulary size and the appearance of multiword speech. For most children, word combinations start to appear when vocabularies fall between 50 and 200 words. Figure .10 displays an equally strong but later-emerging relationship between vocabulary size and sentence complexity (a parent report measure that, as we noted earlier, correlated around +0.84 with mean length of utterance based on laboratory observations). For most children, sentence complexity accelerates markedly (following a smooth exponential function) when total vocabulary exceeds 400 words. Note that there is a significant nonlinear component to the grammar/vocabulary relationship in both these graphs. Marchman and Bates report similar but more specific nonlinear relationships between verb vocabulary (i.e. the number of specific regular and irregular verbs reported on the vocabulary checklist) and the emergence of verb morphology (including correct regulars, correct irregulars, and the appearance of overgeneralizations like ""falled"")."
