"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Perceptual learning.","https://scispace.com/paper/perceptual-learning-3qnnnmztuw","","","Annual Review of Psychology","Robert L Goldstone","10.1146/annurev.psych.49.1.585","","Perceptual learning involves relatively long-lasting changes to an organism's perceptual system that improve its ability to respond to its environment. Four mechanisms of perceptual learning are discussed: attention weighting, imprinting, differentiation, and unitization. By attention weighting, perception becomes adapted to tasks and environments by increasing the attention paid to important dimensions and features. By imprinting, receptors are developed that are specialized for stimuli or parts of stimuli. By differentiation, stimuli that were once indistinguishable become psychologically separated. By unitization, tasks that originally required detection of several parts are accomplished by detecting a single constructed unit representing a complex configuration. Research from cognitive psychology, psychophysics, neuroscience, expert/novice differences, development, computer science, and cross-cultural differences is described that relates to these mechanisms. The locus, limits, and applications of perceptual learning are also discussed.","Four mechanisms of perceptual learning are discussed: attention weighting, imprinting, differentiation, and unitization, which improve an organism's ability to respond to its environment."
"Perceptual Learning: Neural Mechanisms","https://scispace.com/paper/perceptual-learning-neural-mechanisms-5p4osbl328id","","","","W. Li
C.D. Gilbert","10.1016/b978-0-12-809324-5.02803-0","","Perceptual learning refers to the unconscious improvement with practice in simple discrimination tasks. It is a form of implicit memory that is highly specific to the trained stimulus and perceptual task. The learning involves plastic changes in early sensory cortex. These changes include an expansion of cortical area representing the trained stimulus; an enhancement in stimulus selectivity, responsiveness, and response synchrony of neurons; and a shift of cortical representation of the learned stimulus. Top-down influences specific to the trained perceptual task are often required for both encoding and retrieving the learned information.","Perceptual learning is an implicit memory process involving plastic changes in early sensory cortex, characterized by expansion of cortical area, enhanced stimulus selectivity, and top-down influences specific to the trained perceptual task and stimulus."
"Perceptual Learning: Neural Mechanisms","https://scispace.com/paper/perceptual-learning-neural-mechanisms-2d2qjkjbi0","2009","Book Chapter","","Wu Li
Charles D. Gilbert","10.1016/B978-008045046-9.00227-8","","Perceptual learning refers to improved discrimination and detection abilities after repeated practice of the same perceptual task. It is a form of long-term, implicit, memory that is usually specific to the trained stimulus and task. The learning results from a complex interaction between bottom-up sensory and top-down feedback signals. Cortical changes induced by perceptual training are manifested in many forms, which can be used as a window for exploring use-dependent changes in the brain.","Cortical changes induced by perceptual training are manifested in many forms, which can be used as a window for exploring use-dependent changes in the brain."
"Bistability and hysteresis in the organization of apparent motion patterns","https://scispace.com/paper/bistability-and-hysteresis-in-the-organization-of-apparent-4nvypi8ar1","1993","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Howard S. Hock
J. A. S. Kelso
Gregor Schöner","10.1037//0096-1523.19.1.63","","In a paradigm for which 2 distinct patterns are perceived for the same stimulus, perceptual hysteresis (persistence of a percept despite parameter change to values favoring the alternative pattern) and temporal stability (persistence despite intrinsic propensities toward spontaneous change) are interdependent. Greater persistence during parameter change reduces temporal stability, slowing the rate of parameter change reduces hysteresis by increasing opportunity for spontaneous change, and increasing temporal stability (by enlarging the stimulus) increases hysteresis. Hysteresis results in the perception of parametrically disfavored patterns; a parameter can influence a percept without specifying it. The visual system thus exhibits time-dependent behavior analogous to dynamical behavior observed in other systems, both physical and biological, for which there is competition among alternative patterns that vary in relative stability.","In a paradigm for which two distinct patterns are perceived for the same stimulus, perceptual hysteresis (persistence of a percept despite parameter change to values favoring the alternative pattern) and temporal stability are interdependent."
"Bistable Perception of Ambiguous Images – Analytical Model","https://scispace.com/paper/bistable-perception-of-ambiguous-images-analytical-model-4ufn1mthvo","2019","Book Chapter","","Evgeny Meilikov
Evgeny Meilikov
Rimma Farzetdinova","10.1007/978-3-030-30425-6_10","","Watching an ambiguous image leads to the bistability of its perception, that randomly oscillates between two possible interpretations. The relevant evolution of the neuron system is usually described with the equation of its “movement” over the nonuniform energy landscape under the action of the stochastic force. We utilize the alternative approach suggesting that the system is in the quasi-stationary state being described by the Arrhenius equation. The latter determines the probability of the dynamical variation of the image (for example, the left and right Necker cubes [1]) along one scenario or another. Probabilities of transitions from one perception to another are defined by barriers that detach corresponding wells of the energy landscape, and the relative value of the noise influencing this process. The mean noise value could be estimated from experimental data. The model predicts logarithmic dependence of the perception hysteresis width on the period of cyclic sweeping the parameter, controlling the perception (for instance, the contrast of the presented object). It agrees with the experiment and allows to estimate the time interval between two various perceptions.","In this article, the authors use the Arrhenius equation to predict the probability of transitions from one perception to another, defined by barriers that detach corresponding wells of the energy landscape, and the relative value of the noise influencing this process."
"Bistable perception modeled as competing stochastic integrations at two levels.","https://scispace.com/paper/bistable-perception-modeled-as-competing-stochastic-wzwubto9mt","2009","Journal Article","PLOS Computational Biology","Guido Gigante
Maurizio Mattia
Jochen Braun
Paolo Del Giudice","10.1371/JOURNAL.PCBI.1000430","https://scispace.com/pdf/bistable-perception-modeled-as-competing-stochastic-wzwubto9mt.pdf","We propose a novel explanation for bistable perception, namely, the collective dynamics of multiple neural populations that are individually meta-stable. Distributed representations of sensory input and of perceptual state build gradually through noise-driven transitions in these populations, until the competition between alternative representations is resolved by a threshold mechanism. The perpetual repetition of this collective race to threshold renders perception bistable. This collective dynamics – which is largely uncoupled from the time-scales that govern individual populations or neurons – explains many hitherto puzzling observations about bistable perception: the wide range of mean alternation rates exhibited by bistable phenomena, the consistent variability of successive dominance periods, and the stabilizing effect of past perceptual states. It also predicts a number of previously unsuspected relationships between observable quantities characterizing bistable perception. We conclude that bistable perception reflects the collective nature of neural decision making rather than properties of individual populations or neurons.","It is concluded that bistable perception reflects the collective nature of neural decision making rather than properties of individual populations or neurons."
"A Neural Basis for Perceptual Dynamics","https://scispace.com/paper/a-neural-basis-for-perceptual-dynamics-1ms4l77do2","2010","Book Chapter","","Howard S. Hock
Gregor Schöner","10.1007/978-3-642-16262-6_7","https://psy2.fau.edu/~hock/docs/Hock.Schoener.JirsaChapter.pdf","Perceptual stability is ubiquitous in our everyday lives. Objects in the world may look somewhat different as the perceiver’s viewpoint changes, but it is rare that their essential stability is lost and qualitatively different objects are perceived. In this chapter we examine the source of this stability based on the principle that perceptual experience is embodied in the neural activation of ensembles of detectors that respond selectively to the attributes of visual objects. Perceptual stability thereby depends on processes that stabilize neural activation. These include biophysical processes that stabilize the activation of individual neurons, and processes entailing excitatory and inhibitory interactions among ensembles of stimulated detectors that create the ""detection instabilities"" that ensure perceptual stability for near threshold stimulus attributes. It is shown for stimuli with two possible perceptual states that these stabilization processes are sufficient to account for spontaneous switching between percepts that differ in relative stability, and for the hysteresis observed when attribute values are continually increased or decreased.","This chapter examines the source of this stability based on the principle that perceptual experience is embodied in the neural activation of ensembles of detectors that respond selectively to the attributes of visual objects."
"Brain state and cortical layer-specific mechanisms underlying perception at threshold","https://scispace.com/paper/brain-state-and-cortical-layer-specific-mechanisms-5dtvgjdhm6","2023","Preprint","","Mitchell P. Morton
Sachira Denagamage
Isabel J. Blume
John H. Reynolds
Monika P. Jadi
Anirvan S. Nandy","10.7554/elife.91722.1","","Identical stimuli can be perceived or go unnoticed across successive presentations, producing divergent behavioral outcomes despite similarities in sensory input. We sought to understand how fluctuations in behavioral state and in cortical layer and cell-class specific neural activity underlie this perceptual variability. We analyzed physiological measurements of state and laminar electrophysiological activity in visual area V4 while monkeys were rewarded for correctly reporting a stimulus change at perceptual threshold. We find that hit trials are characterized by a behavioral state with increased arousal and improved eye position stability. During hit trials, target stimuli evoke stronger responses in V4, and excitatory neurons in the superficial layers, the primary feed-forward output of the cortical column, exhibit lower variability. Hit trials are characterized by greater synchrony between the output layers of the cortex during spontaneous activity, while the stimulus evoked period shows elevated synchrony in the feed-forward pathway. Taken together, these results suggest that a state of elevated arousal and stable retinal images allow enhanced processing of sensory stimuli, which contributes to hits at perceptual threshold. ","Perceptual variability at threshold is driven by changes in behavioral state and neural activity in V4."
"Brain state and cortical layer-specific mechanisms underlying perception at threshold","https://scispace.com/paper/brain-state-and-cortical-layer-specific-mechanisms-3qowa50twv","2023","Preprint","","Mitchell P. Morton
Sachira Denagamage
Isabel J. Blume
John H. Reynolds
Monika P. Jadi
Anirvan S. Nandy","10.7554/elife.91722","","Identical stimuli can be perceived or go unnoticed across successive presentations, producing divergent behavioral outcomes despite similarities in sensory input. We sought to understand how fluctuations in behavioral state and in cortical layer and cell-class specific neural activity underlie this perceptual variability. We analyzed physiological measurements of state and laminar electrophysiological activity in visual area V4 while monkeys were rewarded for correctly reporting a stimulus change at perceptual threshold. We find that hit trials are characterized by a behavioral state with increased arousal and improved eye position stability. During hit trials, target stimuli evoke stronger responses in V4, and excitatory neurons in the superficial layers, the primary feed-forward output of the cortical column, exhibit lower variability. Hit trials are characterized by greater synchrony between the output layers of the cortex during spontaneous activity, while the stimulus evoked period shows elevated synchrony in the feed-forward pathway. Taken together, these results suggest that a state of elevated arousal and stable retinal images allow enhanced processing of sensory stimuli, which contributes to hits at perceptual threshold. ","Perceptual variability at threshold is driven by changes in behavioral state, neural activity in V4, and synchrony between layers."
"Neural mechanisms for visual bistable perception","https://scispace.com/paper/neural-mechanisms-for-visual-bistable-perception-3w0rj7dc1e","2016","Journal Article","Chinese Science Bulletin","Xiaoyan Hui
YunXian Bai
ChaoYi Qin
Liang Wang","10.1360/N972016-00282","","When faced with various kinds of ambiguous stimuli in this complex world, human brain can involuntarily alternate switching between exclusively subjective percepts towards specific objects, each of which makes meaningful cognitive interpretation Bistable perception is a very common phenomenon in our daily life and plays an important role in human perception, which also provides a unique way to study human consciousness quantitatively In this review we first systematically summarize recent studies of bistable perception in vision (including structure from motion, ambiguous figures, apparent quartet dots motion and binocular rivalry), including the definition of these bistable phenomena, approaches that researchers have used to study bistable perception and the conclusions that have been drawn Then we give a discussion on one of the most important questions about perception stability, like what the influence factors are, to what extent these factors affect the bistable stability and how these factors exert such influences Furthermore we summarize several theoretical models concerning the explanation of bistable phenomenon and point out several directions for future research, which could help provide a novel perspective of visual bistable perception","A discussion on one of the most important questions about perception stability, like what the influence factors are, to what extent these factors affect the bistable stability and how these factors exert such influences is given."
"Measuring perceptual hysteresis with the modified method of limits: dynamics at the threshold.","https://scispace.com/paper/measuring-perceptual-hysteresis-with-the-modified-method-of-3hjifzzxmq","2010","Journal Article","Seeing and Perceiving","Howard S. Hock
Gregor Schöner","10.1163/187847510X503597","","This article describes modifications to the psychophysical method of limits that eliminate artifacts associated with the classical method, and thereby indicate whether or not there is perceptual hysteresis. Such hysteresis effects, which are characteristic of dynamical systems, would provide evidence that the near-threshold perception of an attribute is affected by stabilization mechanisms intrinsic to individual neural detectors, and by nonlinear interactions that functionally integrate the detectors when there is sufficient stimulus-initiated activation, thereby stabilizing activation at suprathreshold levels. The article begins with a review of research employing the modified method of limits. It concludes with a model and computational simulations showing how detection instabilities inherent in neural dynamics can create 'activational gaps' between the functionally-integrated and functionally-independent states of neural ensembles, resulting in clear and distinct discrimination between the perception and non-perception of an attribute. The 'self-excitation' threshold for engaging such functionally-integrating detector interactions is differentiated from the traditional 'read-out' threshold (criterion) that determines whether or not the attribute in question can be perceived.","Modifications to the psychophysical method of limits are described that eliminate artifacts associated with the classical method, and thereby indicate whether or not there is perceptual hysteresis."
"Brain state and cortical layer-specific mechanisms underlying perception at threshold","https://scispace.com/paper/brain-state-and-cortical-layer-specific-mechanisms-2m4vjno61mtu","2024","Journal Article","eLife","Mitchell P. Morton
Sachira Denagamage
Isabel J Blume
John H. Reynolds
Monika P. Jadi
Anirvan S. Nandy","10.7554/elife.91722.4","","Identical stimuli can be perceived or go unnoticed across successive presentations, producing divergent behavioral outcomes despite similarities in sensory input. We sought to understand how fluctuations in behavioral state and cortical layer and cell class-specific neural activity underlie this perceptual variability. We analyzed physiological measurements of state and laminar electrophysiological activity in visual area V4 while monkeys were rewarded for correctly reporting a stimulus change at perceptual threshold. Hit trials were characterized by a behavioral state with heightened arousal, greater eye position stability, and enhanced decoding performance of stimulus identity from neural activity. Target stimuli evoked stronger responses in V4 in hit trials, and excitatory neurons in the superficial layers, the primary feed-forward output of the cortical column, exhibited lower variability. Feed-forward interlaminar population correlations were stronger on hits. Hit trials were further characterized by greater synchrony between the output layers of the cortex during spontaneous activity, while the stimulus-evoked period showed elevated synchrony in the feed-forward pathway. Taken together, these results suggest that a state of elevated arousal and stable retinal images allow enhanced processing of sensory stimuli, which contributes to hits at perceptual threshold. ","This study investigates the neural mechanisms underlying perception at threshold, revealing that heightened arousal, stable eye position, and enhanced decoding performance in visual area V4 contribute to successful stimulus detection, with excitatory neurons in superficial layers exhibiting lower variability."
"Brain state and cortical layer-specific mechanisms underlying perception at threshold","https://scispace.com/paper/brain-state-and-cortical-layer-specific-mechanisms-55aqhlodvn6k","2024","Journal Article","","Mitchell P. Morton
Sachira Denagamage
Isabel J Blume
John H. Reynolds
Monika P. Jadi
Anirvan S. Nandy","10.7554/elife.91722.3","","Identical stimuli can be perceived or go unnoticed across successive presentations, producing divergent behavioral outcomes despite similarities in sensory input. We sought to understand how fluctuations in behavioral state and cortical layer and cell-class specific neural activity underlie this perceptual variability. We analyzed physiological measurements of state and laminar electrophysiological activity in visual area V4 while monkeys were rewarded for correctly reporting a stimulus change at perceptual threshold. Hit trials were characterized by a behavioral state with heightened arousal, greater eye position stability, and enhanced decoding performance of stimulus identity from neural activity. Target stimuli evoked stronger responses in V4 in hit trials, and excitatory neurons in the superficial layers, the primary feed-forward output of the cortical column, exhibited lower variability. Feed-forward interlaminar population correlations were stronger in hits. Hit trials were further characterized by greater synchrony between the output layers of the cortex during spontaneous activity, while the stimulus-evoked period showed elevated synchrony in the feed-forward pathway. Taken together, these results suggest that a state of elevated arousal and stable retinal images allow enhanced processing of sensory stimuli, which contributes to hits at perceptual threshold. ","This study investigates the neural mechanisms underlying perception at threshold, revealing that heightened arousal, stable eye position, and enhanced feed-forward neural activity in visual area V4 contribute to successful stimulus detection in monkeys."
"Brain state and cortical layer-specific mechanisms underlying perception at threshold","https://scispace.com/paper/brain-state-and-cortical-layer-specific-mechanisms-1htspbsa3afp","2024","Journal Article","","Mitchell P. Morton
Sachira Denagamage
Isabel J. Blume
John H. Reynolds
Monika P. Jadi
Anirvan S. Nandy","10.7554/elife.91722.2","","Identical stimuli can be perceived or go unnoticed across successive presentations, producing divergent behavioral outcomes despite similarities in sensory input. We sought to understand how fluctuations in behavioral state and cortical layer and cell-class specific neural activity underlie this perceptual variability. We analyzed physiological measurements of state and laminar electrophysiological activity in visual area V4 while monkeys were rewarded for correctly reporting a stimulus change at perceptual threshold. Hit trials were characterized by a behavioral state with heightened arousal, greater eye position stability, and enhanced decoding performance of stimulus identity from neural activity. Target stimuli evoked stronger responses in V4 in hit trials, and excitatory neurons in the superficial layers, the primary feed-forward output of the cortical column, exhibited lower variability. Feed-forward interlaminar population correlations were stronger in hits. Hit trials were further characterized by greater synchrony between the output layers of the cortex during spontaneous activity, while the stimulus-evoked period showed elevated synchrony in the feed-forward pathway. Taken together, these results suggest that a state of elevated arousal and stable retinal images allow enhanced processing of sensory stimuli, which contributes to hits at perceptual threshold. ","This study investigates the neural mechanisms underlying perception at threshold, revealing that heightened arousal, stable eye position, and enhanced feed-forward neural activity in visual area V4 contribute to successful stimulus detection in monkeys."
"Perceptual learning reflects external noise filtering and internal noise reduction through channel reweighting","https://scispace.com/paper/perceptual-learning-reflects-external-noise-filtering-and-4rqnms54ml","1998","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Barbara Anne Dosher
Zhong-Lin Lu","10.1073/PNAS.95.23.13988","https://scispace.com/pdf/perceptual-learning-reflects-external-noise-filtering-and-4rqnms54ml.pdf","To investigate the nature of plasticity in the adult visual system, perceptual learning was measured in a peripheral orientation discrimination task with systematically varying amounts of external (environmental) noise. The signal contrasts required to achieve threshold were reduced by a factor or two or more after training at all levels of external noise. The strong quantitative regularities revealed by this novel paradigm ruled out changes in multiplicative internal noise, changes in transducer nonlinearites, and simple attentional tradeoffs. Instead, the regularities specify the mechanisms of perceptual learning at the behavioral level as a combination of external noise exclusion and stimulus enhancement via additive internal noise reduction. The findings also constrain the neural architecture of perceptual learning. Plasticity in the weights between basic visual channels and decision is sufficient to account for perceptual learning without requiring the retuning of visual mechanisms.","Plasticity in the weights between basic visual channels and decision is sufficient to account for perceptual learning without requiring the retuning of visual mechanisms."
