"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Forward and backward prediction in learning and perception","https://scispace.com/paper/forward-and-backward-prediction-in-learning-and-perception-2rtuv55wbwi4","2025","Journal Article","","Floris P. de Lange
Clare Press","10.31234/osf.io/yu3hp_v1","","Predictive processing frameworks have emphasized the role of ‘forward’ prediction as a critical ingredient for learning and perceptual inference. Specifically, we anticipate sensory events that are likely to be presented in the future on the basis of the current sensory events. By comparing these forward predictions against incoming input, we can obtain an accurate estimate of the environment (i.e. perceive) and improve the predictions themselves (i.e. learn). Interestingly however, research in the field of statistical learning has taught us that backward predictive relationships - reflecting the probability of past events given present events - govern learning too. This work questions the privileged status of forward-looking mechanisms and renders it essential to consider the implications for our models of learning and perception. Here we discuss commonalities and differences between implications for learning and perception. We conclude that while forward and backward predictive relationships both shape learning, we retrieve future, but not past, predicted states during perception. ","This study challenges the dominant forward prediction framework in learning and perception, highlighting the role of backward predictive relationships in governing learning, and reveals differences in how forward and backward predictions shape learning and perception."
"Bistable perception modeled as competing stochastic integrations at two levels.","https://scispace.com/paper/bistable-perception-modeled-as-competing-stochastic-wzwubto9mt","2009","Journal Article","PLOS Computational Biology","Guido Gigante
Maurizio Mattia
Jochen Braun
Paolo Del Giudice","10.1371/JOURNAL.PCBI.1000430","https://scispace.com/pdf/bistable-perception-modeled-as-competing-stochastic-wzwubto9mt.pdf","We propose a novel explanation for bistable perception, namely, the collective dynamics of multiple neural populations that are individually meta-stable. Distributed representations of sensory input and of perceptual state build gradually through noise-driven transitions in these populations, until the competition between alternative representations is resolved by a threshold mechanism. The perpetual repetition of this collective race to threshold renders perception bistable. This collective dynamics – which is largely uncoupled from the time-scales that govern individual populations or neurons – explains many hitherto puzzling observations about bistable perception: the wide range of mean alternation rates exhibited by bistable phenomena, the consistent variability of successive dominance periods, and the stabilizing effect of past perceptual states. It also predicts a number of previously unsuspected relationships between observable quantities characterizing bistable perception. We conclude that bistable perception reflects the collective nature of neural decision making rather than properties of individual populations or neurons.","It is concluded that bistable perception reflects the collective nature of neural decision making rather than properties of individual populations or neurons."
"Bistability and hysteresis in the organization of apparent motion patterns","https://scispace.com/paper/bistability-and-hysteresis-in-the-organization-of-apparent-4nvypi8ar1","1993","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Howard S. Hock
J. A. S. Kelso
Gregor Schöner","10.1037//0096-1523.19.1.63","","In a paradigm for which 2 distinct patterns are perceived for the same stimulus, perceptual hysteresis (persistence of a percept despite parameter change to values favoring the alternative pattern) and temporal stability (persistence despite intrinsic propensities toward spontaneous change) are interdependent. Greater persistence during parameter change reduces temporal stability, slowing the rate of parameter change reduces hysteresis by increasing opportunity for spontaneous change, and increasing temporal stability (by enlarging the stimulus) increases hysteresis. Hysteresis results in the perception of parametrically disfavored patterns; a parameter can influence a percept without specifying it. The visual system thus exhibits time-dependent behavior analogous to dynamical behavior observed in other systems, both physical and biological, for which there is competition among alternative patterns that vary in relative stability.","In a paradigm for which two distinct patterns are perceived for the same stimulus, perceptual hysteresis (persistence of a percept despite parameter change to values favoring the alternative pattern) and temporal stability are interdependent."
"Untangling perceptual memory: hysteresis and adaptation map into separate cortical networks","https://scispace.com/paper/untangling-perceptual-memory-hysteresis-and-adaptation-map-qg9lwunfyt","2014","Journal Article","Cerebral Cortex","Caspar M. Schwiedrzik
Christian C. Ruff
Christian C. Ruff
Andreea Lazar
Andreea Lazar
Frauke C. Leitner
Wolf Singer
Lucia Melloni","10.1093/CERCOR/BHS396","","Perception is an active inferential process in which prior knowledge is combined with sensory input, the result of which determines the contents of awareness. Accordingly, previous experience is known to help the brain “decide” what to perceive. However, a critical aspect that has not been addressed is that previous experience can exert 2 opposing effects on perception: An attractive effect, sensitizing the brain to perceive the same again (hysteresis), or a repulsive effect, making it more likely to perceive something else (adaptation). We used functional magnetic resonance imaging and modeling to elucidate how the brain entertains these 2 opposing processes, and what determines the direction of such experience-dependent perceptual effects. We found that although affecting our perception concurrently, hysteresis and adaptation map into distinct cortical networks: a widespread network of higher-order visual and fronto-parietal areas was involved in perceptual stabilization, while adaptation was confined to early visual areas. This areal and hierarchical segregation may explain how the brain maintains the balance between exploiting redundancies and staying sensitive to new information. We provide a Bayesian model that accounts for the coexistence of hysteresis and adaptation by separating their causes into 2 distinct terms: Hysteresis alters the prior, whereas adaptation changes the sensory evidence (the likelihood function).","It is found that although affecting the authors' perception concurrently, hysteresis and adaptation map into distinct cortical networks: a widespread network of higher-order visual and fronto-parietal areas was involved in perceptual stabilization, while adaptation was confined to early visual areas."
"Same stimulus, same temporal context, different percept? Individual differences in hysteresis and adaptation when perceiving multistable dot lattices","https://scispace.com/paper/same-stimulus-same-temporal-context-different-percept-29vcljfy","2022","Journal Article","I-perception","Eline Van Geert
Pieter Moors
Julia M. Haaf
Johan Wagemans","10.1177/20416695221109300","","How we perceptually organize a visual stimulus depends not only on the stimulus itself, but also on the temporal and spatial context in which the stimulus is presented and on the individual processing the stimulus and context. Earlier research found both attractive and repulsive context effects in perception: tendencies to organize visual input similarly to preceding context stimuli (i.e., hysteresis, attraction) co-exist with tendencies that repel the current percept from the organization that is most dominant in these contextual stimuli (i.e., adaptation, repulsion). These processes have been studied mostly on a group level (e.g., Schwiedrzik et al., 2014). Using a Bayesian hierarchical model comparison approach, the present study (N = 75) investigated whether consistent individual differences exist in these attractive and repulsive temporal context effects, with multistable dot lattices as stimuli. In addition, the temporal stability of these individual differences in context effects was investigated, and it was studied how the strength of these effects related to the strength of individual biases for absolute orientations. The results demonstrate that large individual differences in the size of attractive and repulsive context effects exist. Furthermore, these individual differences are highly consistent across timepoints (one to two weeks apart). Although almost everyone showed both effects in the expected direction, not every single individual did. In sum, the study reveals differences in how individuals combine previous input and experience with current input in their perception, and more generally, this teaches us that different individuals can perceive identical stimuli differently, even within a similar context.","Differences in how individuals combine previous input and experience with current input in their perception are revealed, and more generally, this teaches us that different individuals can perceive identical stimuli differently, even within a similar context."
"Measuring perceptual hysteresis with the modified method of limits: dynamics at the threshold.","https://scispace.com/paper/measuring-perceptual-hysteresis-with-the-modified-method-of-3hjifzzxmq","2010","Journal Article","Seeing and Perceiving","Howard S. Hock
Gregor Schöner","10.1163/187847510X503597","","This article describes modifications to the psychophysical method of limits that eliminate artifacts associated with the classical method, and thereby indicate whether or not there is perceptual hysteresis. Such hysteresis effects, which are characteristic of dynamical systems, would provide evidence that the near-threshold perception of an attribute is affected by stabilization mechanisms intrinsic to individual neural detectors, and by nonlinear interactions that functionally integrate the detectors when there is sufficient stimulus-initiated activation, thereby stabilizing activation at suprathreshold levels. The article begins with a review of research employing the modified method of limits. It concludes with a model and computational simulations showing how detection instabilities inherent in neural dynamics can create 'activational gaps' between the functionally-integrated and functionally-independent states of neural ensembles, resulting in clear and distinct discrimination between the perception and non-perception of an attribute. The 'self-excitation' threshold for engaging such functionally-integrating detector interactions is differentiated from the traditional 'read-out' threshold (criterion) that determines whether or not the attribute in question can be perceived.","Modifications to the psychophysical method of limits are described that eliminate artifacts associated with the classical method, and thereby indicate whether or not there is perceptual hysteresis."
"Bistable Perception of Ambiguous Images – Analytical Model","https://scispace.com/paper/bistable-perception-of-ambiguous-images-analytical-model-4ufn1mthvo","2019","Book Chapter","","Evgeny Meilikov
Evgeny Meilikov
Rimma Farzetdinova","10.1007/978-3-030-30425-6_10","","Watching an ambiguous image leads to the bistability of its perception, that randomly oscillates between two possible interpretations. The relevant evolution of the neuron system is usually described with the equation of its “movement” over the nonuniform energy landscape under the action of the stochastic force. We utilize the alternative approach suggesting that the system is in the quasi-stationary state being described by the Arrhenius equation. The latter determines the probability of the dynamical variation of the image (for example, the left and right Necker cubes [1]) along one scenario or another. Probabilities of transitions from one perception to another are defined by barriers that detach corresponding wells of the energy landscape, and the relative value of the noise influencing this process. The mean noise value could be estimated from experimental data. The model predicts logarithmic dependence of the perception hysteresis width on the period of cyclic sweeping the parameter, controlling the perception (for instance, the contrast of the presented object). It agrees with the experiment and allows to estimate the time interval between two various perceptions.","In this article, the authors use the Arrhenius equation to predict the probability of transitions from one perception to another, defined by barriers that detach corresponding wells of the energy landscape, and the relative value of the noise influencing this process."
"A functional theory of bistable perception based on dynamical circular inference.","https://scispace.com/paper/a-functional-theory-of-bistable-perception-based-on-12m68yv9jt","2020","Journal Article","PLOS Computational Biology","Pantelis Leptourgos
Vincent Bouttier
Vincent Bouttier
Renaud Jardri
Renaud Jardri
Sophie Denève","10.1371/JOURNAL.PCBI.1008480","https://scispace.com/pdf/a-functional-theory-of-bistable-perception-based-on-12m68yv9jt.pdf","When we face ambiguous images, the brain cannot commit to a single percept; instead, it switches between mutually exclusive interpretations every few seconds, a phenomenon known as bistable perception. While neuromechanistic models, e.g., adapting neural populations with lateral inhibition, may account for the dynamics of bistability, a larger question remains unresolved: how this phenomenon informs us on generic perceptual processes in less artificial contexts. Here, we propose that bistable perception is due to our prior beliefs being reverberated in the cortical hierarchy and corrupting the sensory evidence, a phenomenon known as “circular inference”. Such circularity could occur in a hierarchical brain where sensory responses trigger activity in higher-level areas but are also modulated by feedback projections from these same areas. We show that in the face of ambiguous sensory stimuli, circular inference can change the dynamics of the perceptual system and turn what should be an integrator of inputs into a bistable attractor switching between two highly trusted interpretations. The model captures various aspects of bistability, including Levelt’s laws and the stabilizing effects of intermittent presentation of the stimulus. Since it is related to the generic perceptual inference and belief updating mechanisms, this approach can be used to predict the tendency of individuals to form aberrant beliefs from their bistable perception behavior. Overall, we suggest that feedforward/feedback information loops in hierarchical neural networks, a phenomenon that could lead to psychotic symptoms when overly strong, could also underlie perception in nonclinical populations.","It is suggested that feedforward/feedback information loops in hierarchical neural networks, a phenomenon that could lead to psychotic symptoms when overly strong, could also underlie perception in nonclinical populations."
"Correlations Between Hysteretic Categorical and Continuous Judgments of Perceptual Stimuli Supporting a Unified Dynamical Systems Approach to Perception.","https://scispace.com/paper/correlations-between-hysteretic-categorical-and-continuous-2o7jgf9gkz","2018","Journal Article","Perception","S. Kim
T. D. Frank","10.1177/0301006617731047","","We report from two variants of a figure-ground experiment that is known in the literature to involve a bistable perceptual domain. The first variant was conducted as a two-alternative forced-choice experiment and in doing so tested participants on a categorical measurement scale. The second variant involved a Likert scale measure that was considered to represent a continuous measurement scale. The two variants were conducted as a single within-subjects experiment. Measures of bistability operationalized in terms of hysteresis size scores showed significant positive correlations across the two response conditions. The experimental findings are consistent with a dualistic interpretation of self-organizing perceptual systems when they are described on a macrolevel by means of so-called amplitude equations. This is explicitly demonstrated for a Lotka-Volterra-Haken amplitude equation model of task-related brain activity. As a by-product, the proposed dynamical systems perspective also sheds new light on the anchoring problem of producing numerical, continuous judgments.","The experimental findings are consistent with a dualistic interpretation of self-organizing perceptual systems when they are described on a macrolevel by means of so-called amplitude equations and are explicitly demonstrated for a Lotka–Volterra–Haken amplitude equation model of task-related brain activity."
"Hysteresis as an implicit prior in tactile spatial decision making","https://scispace.com/paper/hysteresis-as-an-implicit-prior-in-tactile-spatial-decision-52pzlnjfsf","2014","Journal Article","PLOS ONE","Sabrina D. Thiel
Sabrina D. Thiel
Sebastian Bitzer
Till Nierhaus
Till Nierhaus
Christian Kalberlah
Sven Preusser
Jane Neumann
Jane Neumann
Vadim V. Nikulin
Vadim V. Nikulin
Elke van der Meer
Arno Villringer
Arno Villringer
Burkhard Pleger
Burkhard Pleger","10.1371/JOURNAL.PONE.0089802","https://scispace.com/pdf/hysteresis-as-an-implicit-prior-in-tactile-spatial-decision-52pzlnjfsf.pdf","Perceptual decisions not only depend on the incoming information from sensory systems but constitute a combination of current sensory evidence and internally accumulated information from past encounters. Although recent evidence emphasizes the fundamental role of prior knowledge for perceptual decision making, only few studies have quantified the relevance of such priors on perceptual decisions and examined their interplay with other decision-relevant factors, such as the stimulus properties. In the present study we asked whether hysteresis, describing the stability of a percept despite a change in stimulus property and known to occur at perceptual thresholds, also acts as a form of an implicit prior in tactile spatial decision making, supporting the stability of a decision across successively presented random stimuli (i.e., decision hysteresis). We applied a variant of the classical 2-point discrimination task and found that hysteresis influenced perceptual decision making: Participants were more likely to decide 'same' rather than 'different' on successively presented pin distances. In a direct comparison between the influence of applied pin distances (explicit stimulus property) and hysteresis, we found that on average, stimulus property explained significantly more variance of participants' decisions than hysteresis. However, when focusing on pin distances at threshold, we found a trend for hysteresis to explain more variance. Furthermore, the less variance was explained by the pin distance on a given decision, the more variance was explained by hysteresis, and vice versa. Our findings suggest that hysteresis acts as an implicit prior in tactile spatial decision making that becomes increasingly important when explicit stimulus properties provide decreasing evidence.","The findings suggest that hysteresis acts as an implicit prior in tactile spatial decision making that becomes increasingly important when explicit stimulus properties provide decreasing evidence."
